語句,読み,意味,詳細解説,関連事項,関連分野,種別,source,grade
フェイクニュース,ふぇいくにゅーす,虚偽の情報・ニュース,フェイクニュースはインターネット上で拡散される誤った情報やでっち上げのニュース。選挙や政治、健康情報などで社会に混乱を与える。情報リテラシーを高め、情報源を確認する習慣が必要。SNSでの拡散が問題。,情報リテラシー|SNS|ネット社会|情報社会,公民-政治,その他,,3
ユーロ,ゆーろ,EU加盟国の共通通貨,ユーロは1999年に導入されたEU（欧州連合）の単一通貨。19か国が採用（2020年時点）。国境を越えた取引が容易になり経済統合が進んだ。統一通貨のメリットとギリシャ危機などの課題がある。,EU|地域統合|欧州連合|共通通貨,地理-世界,制度概念,,3
三国協商,さんごくきょうしょう,英仏露の協力関係,三国協商は20世紀初頭にイギリス・フランス・ロシアが結んだ協力関係。ドイツ・オーストリア・イタリアの三国同盟に対抗。第一次世界大戦では協商国側が勝利したが、ロシア革命で協商は崩壊した。,第一次世界大戦|三国同盟|イギリス|フランス,歴史-近代,出来事,,3
三国同盟,さんごくどうめい,独墺伊の軍事同盟,三国同盟は1882年にドイツ・オーストリア・イタリアが結んだ軍事同盟。三国協商に対抗。第一次世界大戦でイタリアは協商側に転じ、ドイツ・オーストリアは敗北。戦後ベルサイユ条約でドイツに厳しい賠償が課された。,第一次世界大戦|三国協商|ベルサイユ条約|ドイツ,歴史-近代,出来事,,3
三大都市圏,さんだいとしけん,東京・大阪・名古屋の都市圏,三大都市圏は東京圏・大阪圏・名古屋圏の総称。日本の人口の約半分が集中。経済活動も集中し、首都機能・工業・商業の中心。一方で地方の過疎化が進み、都市と地方の格差が課題。,東京圏|大阪圏|名古屋圏|人口集中,地理-日本,地名,,2
中央銀行,ちゅうおうぎんこう,通貨発行権を持つ国の銀行,中央銀行は国の金融政策を担う銀行。日本では日本銀行が中央銀行。紙幣（日本銀行券）の発行、金利の調整、金融システムの安定化を行う。「銀行の銀行」「政府の銀行」とも呼ばれる。,日本銀行|金融政策|通貨|金利,公民-経済,制度概念,,3
主権,しゅけん,国家の最高権力,主権は国家が他国の干渉を受けずに独立して統治する権力。対外的には領土・国民を統治する権限、対内的には国の政治を最終的に決定する権力。日本国憲法では主権は国民にある（国民主権）。,国民主権|主権国家|国家|独立,公民-政治,制度概念,,3
主権国家,しゅけんこっか,独立した統治権を持つ国家,主権国家は他国の干渉を受けず独立して統治する権力（主権）を持つ国家。領土・国民・政府を持ち、他国と対等な立場で外交を行う。国際社会は約200の主権国家で構成される。国連加盟国は193か国。,主権|国際社会|国家|国連,公民-国際,制度概念,,3
予算,よさん,政府の収入と支出の計画,予算は政府が1年間にどのようにお金を集め（歳入）、どのように使うか（歳出）を定めた計画。国会の議決が必要。日本の予算は約100兆円規模。社会保障費、国債費、地方交付税などが大きな割合を占める。,財政|税金|歳入|歳出,公民-経済,制度概念,,3
交通網,こうつうもう,道路・鉄道などの交通網,交通網は道路・鉄道・空港・港湾などが結ばれた交通のネットワーク。日本は新幹線・高速道路が発達し、全国が結ばれる。物流と人の移動を支え、経済発展に不可欠。都市部は満員電車、地方部は過疎で公共交通が減少。,新幹線|高速道路|港湾|空港,地理-日本,その他,,2
人口減少,じんこうげんしょう,人口が減り続けること,人口減少は出生率の低下により人口が減り続ける現象。日本は2008年から減少に転じ、2065年には9000万人を下回ると予測される。労働力不足、経済縮小、社会保障費の増大などが課題。少子高齢化と密接に関連。,少子高齢化|出生率|人口問題|労働力不足,地理-日本,その他,,3
冠位十二階,かんいじゅうにかい,聖徳太子が定めた身分制度,冠位十二階は603年に聖徳太子が定めた役人の身分制度。徳・仁・礼・信・義・智の6つの段階をそれぞれ大小に分け12階とした。家柄にとらわれず才能や功績で役人を登用する画期的な制度。飛鳥時代の政治改革の一環。,聖徳太子|十七条の憲法|飛鳥時代|身分制度,歴史-古代,制度概念,,1
冷戦,れいせん,米ソ対立の時代,冷戦は第二次世界大戦後の1945年から1989年頃までアメリカ（資本主義陣営）とソ連（社会主義陣営）が対立した時代。直接戦争はせず軍備拡張・代理戦争（朝鮮戦争・ベトナム戦争）で対立。ベルリンの壁崩壊で終結。,アメリカ合衆国|ソ連|朝鮮戦争|ベルリンの壁,歴史-現代,出来事,,3
冷戦の終結,れいせんのしゅうけつ,米ソ対立が終わったこと,冷戦の終結は1989年のベルリンの壁崩壊、1991年のソ連解体により実現。東西ドイツが統一され、東欧諸国が民主化。アメリカが唯一の超大国となったが、地域紛争や民族対立が顕在化。新たな国際秩序の模索が始まった。,冷戦|ベルリンの壁|ソ連解体|東西ドイツ統一,歴史-現代,出来事,,3
刀狩,かたながり,豊臣秀吉が行った武器没収,刀狩は1588年に豊臣秀吉が行った農民から武器を没収する政策。一揆の防止と兵農分離（武士と農民の身分を明確に分ける）が目的。没収した武器は大仏建立に使われたとされる。江戸時代の身分制度の基礎となった。,豊臣秀吉|兵農分離|太閤検地|一揆,歴史-近世,制度概念,,2
利子,りし,お金の貸し借りで発生する対価,利子は銀行にお金を預けると受け取れる収益、またはお金を借りると支払う対価。金利（利子率）は日本銀行の金融政策で調整される。低金利政策では景気刺激、高金利政策では物価抑制が目的。預金と貸付の利子の差が銀行の収益源。,銀行|金利|預金|貸付,公民-経済,制度概念,,3
労働,ろうどう,働くこと,労働は賃金を得るために心身を使って働くこと。日本国憲法第27条で労働の権利と義務が定められる。労働基本権（団結権・団体交渉権・団体行動権）により労働者の地位が保護される。労働環境の改善や賃金交渉が重要な課題。,労働基本権|勤労|雇用|労働者,公民-経済,その他,,3
労働者,ろうどうしゃ,賃金をもらって働く人,労働者は企業などに雇用され賃金を得て働く人。日本国憲法で労働基本権（団結権・団体交渉権・団体行動権）が保障される。労働組合を結成し、労働条件の改善を求める権利がある。非正規雇用の増加が課題。,労働基本権|労働組合|雇用|賃金,公民-経済,その他,,3
労働運動,ろうどううんどう,労働条件改善を求める運動,労働運動は労働者が団結して労働条件の改善や賃金引き上げを求める運動。労働組合を中心に展開される。日本では大正時代に本格化し、労働争議（ストライキ）が頻発。戦後は労働基本権が憲法で保障され、春闘などが定着。,労働組合|ストライキ|労働基本権|大正デモクラシー,歴史-近代,出来事,,3
北条氏,ほうじょうし,鎌倉幕府の執権を担った一族,北条氏は鎌倉幕府で執権として実権を握った武家。初代執権は北条時政、3代執権の北条泰時は御成敗式目を制定。承久の乱で朝廷に勝利し武家政権を確立。元寇では北条時宗が防衛を指揮。鎌倉幕府滅亡まで執権職を世襲。,執権政治|鎌倉幕府|北条時政|御成敗式目,歴史-中世,人物名,,2
