語句,読み,意味,詳細解説,関連事項,関連分野,種別,source,grade
藤原氏,ふじわらし,平安時代の貴族,藤原氏は平安時代に最も繁栄した貴族。藤原道長・頼通の時代（10〜11世紀）に全盛期を迎えた。娘を天皇の后とし、天皇の外祖父として摂政・関白の地位を独占（摂関政治）。「この世をば我が世とぞ思ふ望月の欠けたることもなしと思へば」は道長の有名な歌。,摂関政治|藤原道長|平安時代|貴族,歴史-中世,人物名,,2
製造業,せいぞうぎょう,製品を作る産業,製造業は原材料を加工して製品を作る産業。工業の中核を占める。自動車、電子機器、機械、化学製品などを生産。日本の製造業は高い技術力を持ち、輸出の主力。第二次産業に分類される。近年は海外移転（産業空洞化）が課題。,工業|第二次産業|自動車|技術,地理-日本,その他,,2
象形文字,しょうけいもじ,物の形を表した文字,象形文字は物の形を絵で表した文字。古代エジプトのヒエログリフが代表例。中国の漢字も象形文字から発展。文字の起源として重要。絵文字的でわかりやすいが、抽象的な概念を表すのは困難。後に表音文字（音を表す文字）が発明された。,エジプト文明|ヒエログリフ|漢字|文字,歴史-古代,その他,,1
貧困,ひんこん,極度の貧しさ,貧困は生活に必要な収入・資産がなく極度に貧しい状態。発展途上国で深刻。1日1.9ドル以下で生活する絶対的貧困人口は約7億人。飢餓、教育不足、医療不足を招く。SDGsの目標1は「貧困をなくそう」。先進国の援助、途上国の経済発展が課題。,発展途上国|飢餓|SDGs|南北問題,地理-世界,その他,,3
資源,しげん,産業に利用できる物質,資源は産業活動に利用できる物質やエネルギー。石油・石炭・鉄鉱石などの鉱産資源、森林・水などの自然資源がある。日本は資源が乏しく大半を輸入に依存。資源の偏在が国際紛争の原因となることもある。再生可能資源の活用が重要。,石油|鉱産資源|エネルギー|輸入,地理-世界,その他,,2
軍備管理,ぐんびかんり,軍備を制限すること,軍備管理は軍隊の規模や兵器を制限し、軍拡競争を防ぐこと。軍縮よりも緩やかな概念。第一次世界大戦後のワシントン会議、冷戦期の米ソSTART（戦略兵器削減条約）などがある。核兵器不拡散、化学兵器禁止なども含まれる。国際平和の維持に重要。,軍縮|ワシントン会議|核兵器|平和,公民-国際,その他,,3
軽工業,けいこうぎょう,生活用品を作る工業,軽工業は繊維、食品、家具など生活用品を作る工業。原材料が軽く、資本が少なくても始められる。工業化の初期段階で発展。日本も明治時代に繊維工業（製糸業）から工業化を始めた。第二次世界大戦後は重化学工業が中心となった。,繊維工業|食品工業|重化学工業|工業,地理-日本,制度概念,,2
輸入,ゆにゅう,外国から商品を買うこと,輸入は外国から商品を買い入れること。日本は石油・天然ガス・鉄鉱石などの資源、小麦・大豆などの食料を大量に輸入。輸入依存度が高いため、国際情勢の影響を受けやすい。輸入が多ければ貿易赤字となる。円安だと輸入品が高くなり不利。,貿易|輸出|貿易収支|資源,地理-日本,その他,,2
農業,のうぎょう,作物を栽培する産業,農業は米・野菜・果物などの作物を栽培する産業。第一次産業に分類される。日本は稲作中心で、畑作、果樹栽培、酪農も行う。兼業農家が多く、高齢化・後継者不足が課題。食料自給率は約40%で低い。農業の6次産業化、スマート農業で活性化を目指す。,稲作|第一次産業|食料自給率|農業従事者,地理-日本,その他,,2
農業地帯,のうぎょうちたい,農業が盛んな地域,農業地帯は農業が盛んに行われる地域。日本では十勝平野（畑作・酪農）、庄内平野（稲作）などが代表例。世界ではアメリカのグレートプレーンズ（小麦）、アルゼンチンのパンパ（牧畜）などが大規模農業地帯。気候・土壌が農業に適した地域に形成される。,農業|稲作|畑作|平野,地理-日本,地名,,2
農業従事者,のうぎょうじゅうじしゃ,農業を職業とする人,農業従事者は農業を職業とする人。日本の農業従事者は約140万人（2020年）で、高齢化が深刻。65歳以上が約7割を占める。後継者不足により耕作放棄地が増加。新規就農支援、企業の農業参入、外国人労働者の受け入れなどで対応。,農業|高齢化|後継者不足|耕作放棄地,地理-日本,その他,,2
農産物,のうさんぶつ,農業で生産される産物,農産物は農業で生産される米・野菜・果物などの産物。日本の主要農産物は米、野菜、果物。輸入農産物（小麦、大豆、とうもろこし）も多い。農産物価格は天候、需給バランスで変動。農産物の安全性（農薬、遺伝子組み換え）も関心が高い。,農業|米|野菜|食料,地理-日本,その他,,2
都市化,としか,都市に人口が集中すること,都市化は農村から都市へ人口が集中し、都市が拡大する現象。工業化により雇用機会が都市に集中し、人口も流入。日本は高度経済成長期に急速に都市化が進んだ。都市問題（過密、環境悪化、住宅不足）と地方の過疎化が同時に発生。,都市|人口集中|過密|地方,地理-日本,その他,,2
重工業,じゅうこうぎょう,重厚長大な工業,重工業は鉄鋼、造船、機械など重厚長大な製品を作る工業。大量の資本・エネルギーが必要。日本は戦後、重工業を中心に発展し高度経済成長を遂げた。重化学工業の一部。近年は軽薄短小な先端技術産業へシフト。,鉄鋼|造船|重化学工業|工業,地理-日本,制度概念,,2
鉄器,てっき,鉄製の道具,鉄器は鉄で作られた道具や武器。弥生時代に朝鮮半島から日本に伝来。青銅器より硬く実用的。農具（鋤、鍬）や武器に使われ、生産力・戦闘力が向上。鉄器の普及により稲作が拡大し、クニ（小国家）が形成された。渡来人が製鉄技術を伝えた。,弥生時代|青銅器|渡来人|農具,歴史-古代,その他,,1
鉱産資源,こうさんしげん,地下から採掘する資源,鉱産資源は地下から採掘する鉱物資源。石油、石炭、鉄鉱石、銅、レアメタルなどが含まれる。工業の原料、エネルギー源として不可欠。偏在しており、中東（石油）、オーストラリア（鉄鉱石・石炭）、南アフリカ（金・ダイヤモンド）などに集中。,石油|鉄鉱石|レアメタル|資源,地理-世界,その他,,2
青銅器,せいどうき,銅と錫の合金製の道具,青銅器は銅と錫（すず）の合金で作られた道具や武器。弥生時代に朝鮮半島から日本に伝来。銅鐸、銅剣、銅矛などがある。鉄器より柔らかく実用性は低いため、主に祭祀用。青銅器の伝来は弥生文化の始まりを象徴。鉄器とともに金属器時代の到来を示す。,弥生時代|銅鐸|鉄器|金属器,歴史-古代,その他,,1
食料問題,しょくりょうもんだい,食料不足の課題,食料問題は世界人口の増加に対し食料生産が追いつかない問題。発展途上国で飢餓が深刻。気候変動、砂漠化、水不足により農地が減少。先進国の食料廃棄も問題。食料自給率向上、農業技術改善、食品ロス削減が必要。SDGsの目標2は「飢餓をゼロに」。,飢餓|人口問題|食料自給率|SDGs,地理-環境,その他,,3
首都圏,しゅとけん,首都を中心とする地域,首都圏は首都（東京）を中心とする地域。一般的には東京都と周辺の神奈川・埼玉・千葉・茨城・栃木・群馬・山梨の1都7県を指す。人口約4400万人で日本の人口の約3分の1が集中。政治・経済・文化の中心。過密、住宅不足、通勤ラッシュが問題。,東京|関東|三大都市圏|人口集中,地理-日本,地名,,2
高地,こうち,標高が高い土地,高地は標高が高い土地。高原、山地の平坦部を指す。気温が低く、農業は畑作・酪農が中心。日本では八ヶ岳山麓、阿蘇高原などが代表例。世界ではチベット高原、アンデス高原などが有名。避暑地、観光地としても利用される。,高原|山地|標高|気候,地理-世界,地名,,1
高速道路,こうそくどうろ,自動車専用の高速道路,高速道路は自動車専用の高速走行が可能な道路。日本では東名高速道路（東京〜名古屋）、名神高速道路（名古屋〜神戸）が最初に開通（1960年代）。全国に高速道路網が整備され、物流・人の移動を支える。インターチェンジで一般道と接続。交通網の基幹。,東名高速道路|交通網|物流|インフラ,地理-日本,その他,,2
魏志倭人伝,ぎしわじんでん,邪馬台国を記した中国の歴史書,魏志倭人伝は3世紀の中国の歴史書『三国志』の一部。卑弥呼が治める邪馬台国について記述。「倭人は帯方郡の東南大海の中にあり」「女王国より北は戸数・道里を略載できるも、その余の旁国は遠くて詳らかにできず」など。邪馬台国の所在地論争の根拠史料。,邪馬台国|卑弥呼|三国志|古代日本,歴史-古代,その他,,1
黄河文明,こうがぶんめい,古代中国の文明,黄河文明は紀元前5000年頃に黄河流域で栄えた古代文明。四大文明の一つ。殷（いん）、周の王朝が繁栄。甲骨文字（漢字の起源）を使用。青銅器文化が発達。黄河の洪水を治めることが政権の正統性の証とされた。中国文明の源流。,四大文明|黄河|殷|甲骨文字,歴史-古代,出来事,,1
