年号,登場人物,史実名,解説,関連史実,関連分野,難易度
1467,足利将軍家の跡継ぎ争いと、有力守護大名の勢力争いが重なる。細川氏と山名氏が東西に分かれて京都で11年間戦う。戦乱で京都が荒廃し、将軍の権威が失墜。各地の大名が独立し、戦国時代が始まった。,応仁の乱,日本の戦国時代の開始点として重要,戦国大名の台頭,その他,3
1543,ポルトガル人を乗せた中国船が種子島に漂着。鉄砲（火縄銃）が日本に初めて伝わる。戦国大名は鉄砲を大量生産し、戦術が大きく変化。城郭も鉄砲対策で改良され、戦国時代の戦いが激化した。,鉄砲伝来,戦術や城郭の変化に影響。年号と種子島を結び付けて覚える,戦国時代の軍事変化,テクノロジー,2
1568,戦国大名の織田信長が「天下布武」を掲げ、室町幕府を支援する名目で京都に入る。実際には将軍を傀儡とし、楽市楽座や関所廃止など革新的な政策を実施。全国統一への第一歩となった。,織田信長の上洛,戦国統一への転換点。信長の革新策を合わせて覚える,本能寺の変(1582),その他,3
1582,織田信長が天下統一目前で、家臣の明智光秀に裏切られる。京都の本能寺で信長が自害。その後、羽柴秀吉（豊臣秀吉）が光秀を討ち、信長の後継者となる。戦国時代の権力が秀吉に移った転換点。,本能寺の変,戦国の権力交代の象徴的事件,天正年間の動き・秀吉の台頭,その他,3
1590,豊臣秀吉が小田原の北条氏を滅ぼし、全国統一を達成。太閤検地で土地と収穫を正確に把握し、刀狩で農民から武器を没収。兵農分離を進め、秀吉の中央集権体制が確立した。,豊臣政権による全国統一の完了,検地・刀狩・太閤検地など政策をセットで覚える,関白政治と外征(朝鮮出兵),その他,3
1600,豊臣秀吉の死後、徳川家康と石田三成が対立。東軍（家康側）と西軍（三成側）に分かれて天下分け目の戦い。家康が勝利し、豊臣家は弱体化。家康が実質的な天下人となり、江戸幕府開設への道が開かれた。,関ヶ原の戦い,江戸幕府成立への最終段階として覚える,江戸幕府成立(1603),その他,3
1603 (慶長8年),関ヶ原の戦いで勝利した徳川家康が、朝廷から征夷大将軍に任命される。江戸に幕府を開き、大名を統制する幕藩体制を確立。参勤交代などで大名を監視し、260年続く江戸時代の平和が始まった。,江戸幕府成立,八代将軍までの体制、参勤交代・幕藩体制を合わせて学ぶ,参勤交代・鎖国,その他,3
1637,島原・天草地方で重税とキリシタン弾圧に苦しむ農民が一揆を起こす。天草四郎を指導者に約3万人が原城に立てこもり、幕府軍と戦う。幕府は鎮圧したが、キリスト教の脅威を痛感し、鎖国を強化した。,島原・天草の乱,幕府の統治手法やキリスト教禁止の実態を学ぶ,鎖国とキリスト教弾圧,その他,3
1639,島原の乱後、キリスト教の広がりを恐れた幕府が、ポルトガル船の来航を禁止。オランダと中国のみ長崎の出島で貿易を許可。日本人の海外渡航も禁止し、約200年間の鎖国体制が確立した。,鎖国（鎖国政策の確立）,鎖国の背景（幕府の統制）と影響を押さえる,鎖国諸制度,その他,3
1688-1704 (元禄期),江戸・大坂などの都市が発展し、町人（商人）が経済力を持つ。町人文化が栄え、井原西鶴の浮世草子、松尾芭蕉の俳句、菱川師宣の浮世絵など多彩な文化が生まれた。元禄文化は町人文化の代表。,元禄文化の栄華,元禄文化を代表する作品や都市文化を覚える,町人文化・経済の発展,文化,2
1707,富士山が大噴火し、江戸にも火山灰が降る。農作物に被害が出て、人々の生活が困窮。自然災害と幕府の対応を学ぶ事例。幕府の財政も悪化し、享保の改革へとつながった。,宝永の大噴火（富士山噴火）,自然災害と社会の対応を学ぶ,地震・火山災害の歴史,地理,2
1853,アメリカが太平洋進出を目指し、東インド艦隊司令長官ペリーが黒船4隻で浦賀に来航。開国を要求し、幕府に軍事的圧力をかける。250年続いた鎖国体制が動揺し、幕末の政治混乱が始まった。,ペリー来航,幕末政治の動揺の始まりとして重要。1853＝黒船をセットで暗記,開国・不平等条約,その他,3
1854,ペリーが再び来航し、幕府は開国を決断。下田と箱館の2港を開き、アメリカ船への燃料・水・食料の提供を約束。鎖国が終わり、欧米諸国との外交が始まったが、不平等な内容で日本に不利だった。,日米和親条約,和親条約とその後の通商条約の流れを理解,日米修好通商条約(1858),その他,3
1858,大老井伊直弼が朝廷の許可を得ずに日米修好通商条約を結ぶ。関税自主権がなく、領事裁判権を認める不平等条約。外国商人が有利になり、日本経済が混乱。尊王攘夷運動が激化し、幕府への不満が高まった。,日米修好通商条約,条約の内容と国内反発（尊王攘夷運動）を結びつける,尊王攘夷・幕末動乱,その他,3
1868,薩摩藩と長州藩が同盟を結び、倒幕運動を展開。大政奉還で幕府が政権を朝廷に返上するが、王政復古の大号令で新政府が樹立。戊辰戦争で旧幕府軍を破り、天皇中心の近代国家建設が始まった。日本の近代化の出発点。,明治維新,主要な改革（廃藩置県・地租改正など）を時系列で抑える,廃藩置県・富国強兵,その他,3
1871,明治政府が中央集権国家を作るため、江戸時代の藩を廃止し、政府が直接管理する県を設置。大名の領地支配を終わらせ、全国を統一的に統治する体制を確立。近代国家の行政基盤ができた。,廃藩置県,近代国家の行政基盤を理解,徴兵制・地租改正,その他,3
1873,欧米に対抗できる強い国を作るため、20歳以上の男子に兵役義務を課す徴兵令を発布。武士だけでなく国民全体が軍隊を支える体制に。「富国強兵」政策の中核として、近代的な国民軍が誕生した。,徴兵令の公布,国民国家と国防の関係を押さえる,富国強兵,その他,3
1873-1879,琉球王国は薩摩藩と中国（清）の両方に従属していた。明治政府が琉球を日本領土と主張し、武力を背景に琉球藩、次いで沖縄県とする。琉球王国が消滅し、近代日本の領土が確定した。,琉球処分と沖縄県設置,近代国民国家の領土統一を理解,領土問題・薩摩藩の影響,地理,3
1871-73,欧米の進んだ制度や技術を学ぶため、岩倉具視を団長に政府高官や留学生約100名を欧米に派遣。約2年間視察し、帰国後の近代化政策（殖産興業・憲法制定など）の基礎となった。,岩倉使節団（岩倉使節）派遣,明治政府の近代化路線を実務面で支えた事例,殖産興業・制度導入,その他,3
1889,欧米列強に対抗するため、近代国家として憲法が必要になる。プロイセン（ドイツ）を模範に、天皇が主権を持つ大日本帝国憲法を制定。議会も設置されたが、天皇の権限が強く、制限された立憲君主制だった。,大日本帝国憲法の制定,天皇制と議会制の関係を理解する際の基礎,政党政治・憲政,その他,3
1894-1895,朝鮮半島の支配権を巡り、日本と清（中国）が対立。日本が勝利し、下関条約で清から台湾や遼東半島、多額の賠償金を獲得。しかし三国干渉でロシア・ドイツ・フランスに遼東半島を返還させられ、日本は屈辱を感じた。,日清戦争と下関条約,帝国主義時代の日本の拡張を把握,日露戦争・朝鮮半島政策,その他,3
1904-1905,三国干渉の恨みと満州・朝鮮の権益を巡り、日本とロシアが衝突。陸戦（旅順・奉天）と海戦（日本海海戦）で日本が勝利。ポーツマス条約で南満州の権益などを獲得したが、賠償金がなく国民は不満（日比谷焼き討ち事件）。,日露戦争とポーツマス条約,国際社会の中での日本の立場を学ぶ,朝鮮・満州問題,その他,3
1910,日露戦争後、日本が朝鮮半島の保護国化を進める。1910年、韓国併合条約で朝鮮を完全に植民地化。朝鮮総督府を設置し、日本語教育や土地調査などで同化政策を進めた。朝鮮人の抵抗運動も起こった。,韓国併合,帝国主義政策と植民地支配の問題を学ぶ,朝鮮半島政策,その他,3
1918,第一次世界大戦の好景気で米価が高騰。富山県の主婦たちが米の安売りを求めて行動し、全国に広がる。民衆の不満が爆発し、政府は軍隊を出動させて鎮圧。原敬の本格的政党内閣が成立するきっかけとなった。,米騒動,大正デモクラシーや社会運動の流れを把握,大正デモクラシー,その他,2
1923,マグニチュード7.9の大地震が関東地方を襲い、東京・横浜が壊滅的被害。火災で10万人以上が死亡。混乱の中で朝鮮人虐殺などの悲劇も発生。震災恐慌で経済が悪化し、社会不安が軍部台頭の一因となった。,関東大震災,都市復興政策や人々の生活変化を学ぶ,震災復興・社会変動,地理,2
1925,大正デモクラシーの流れで、25歳以上の男子全員に選挙権を認める普通選挙法が成立。しかし同時に、社会主義運動を取り締まる治安維持法も制定。民主主義の拡大と弾圧が同時に進んだ矛盾の時代。,普通選挙法（男性）・治安維持法強化,民主主義の拡大と弾圧の両面を評価,大正〜昭和初期の政治,その他,3
1931,世界恐慌で日本経済が悪化し、軍部が満州（中国東北部）の資源に注目。関東軍が柳条湖で鉄道を爆破し、中国軍の仕業として満州を占領。政府の統制が効かず、軍部の独走が始まった。国際連盟は日本を非難し、日本は脱退。,満州事変（柳条湖事件）,軍部主導の外交と国際連盟脱退へつながる,国際秩序の変化,その他,3
1937,北京郊外の盧溝橋で日本軍と中国軍が衝突。当初は局地的な戦闘だったが、全面戦争に拡大。日本は南京など主要都市を占領したが、中国の抵抗は続き、戦争は長期化。国内では戦時体制が強化され、国民生活も統制された。,日中戦争（盧溝橋事件から全面化）,戦時体制・国民動員と戦争の影響を学ぶ,太平洋戦争へ,その他,3
1941,日中戦争の長期化で、アメリカが日本への石油輸出を禁止。資源確保のため東南アジア進出を目指し、ハワイの真珠湾を奇襲攻撃。太平洋戦争（大東亜戦争）が始まり、日本は連合国と全面戦争に突入した。,太平洋戦争開戦（真珠湾攻撃）,戦争の拡大と国内動員を理解する重要事件,対米戦・国内動員,その他,3
1945,アメリカ軍が沖縄に上陸し、本土空襲が激化。広島・長崎に原子爆弾が投下され、ソ連も参戦。8月15日、天皇がポツダム宣言を受諾し、日本は無条件降伏。戦争が終わり、GHQによる占領が始まった。,第二次世界大戦終結,戦後の政治体制と復興を学ぶ,日本国憲法・占領政策,その他,3
1947,GHQの指導の下、民主的な新憲法が制定される。国民主権・基本的人権の尊重・平和主義（戦争放棄）を三大原則とし、天皇は象徴となる。戦前の軍国主義を否定し、民主国家としての再出発を果たした。,日本国憲法施行,戦後改革の核心事項として理解,教育改革・裁判制度刷新,その他,3
1947-49,GHQが地主制度を解体し、小作農に土地を安価で売却。地主が大量の土地を所有する体制が終わり、自作農が大幅に増加。農村の民主化と経済基盤の安定が進み、戦後日本の安定した社会の基礎となった。,農地改革,戦後経済基盤の安定と農村社会の変化を学ぶ,財閥解体・労働改革,その他,3
1952,日本が国際社会へ復帰,主権回復（サンフランシスコ講和条約の発効）,講和条約の位置づけと冷戦下の国際情勢を学ぶ,安全保障・日米関係,その他,3
1964,日本の高度経済成長の象徴,東京オリンピック開催,復興と国際的地位の回復を象徴する出来事として覚える,高度経済成長,その他,2
1972,琉球・沖縄の施政権が日本に戻る,沖縄返還,戦後処理と外交の変化を学ぶ,日米地位協定・基地問題,その他,2
1995,都市直下型地震の大被害と復興の課題,阪神・淡路大震災,防災・減災対策の重要性を学ぶ,災害対応の変化,地理,2
2011,大規模地震と津波、原子力災害が重なった事例,東日本大震災と原発事故,防災・復興・エネルギー政策の課題を学ぶ,原子力問題・防災,地理,3
幕末 (1850年代),開国による思想対立が国内で激化,尊王攘夷運動の高まり,倒幕運動や維新の流れを理解するキーワードとして,坂本龍馬・薩長同盟,その他,3
江戸時代 (1603-1868),江戸幕府の支配構造が地方支配を安定化,参勤交代・身分制度の安定,長期平和（江戸の平和）と都市文化の発展を学ぶ,商品経済の発達・城下町,その他,2
弥生時代 (紀元前~3世紀頃),朝鮮半島経由の稲作伝播で社会構造が大きく変化,稲作・土器・金属器の普及,稲作→定住→階級形成の流れを押さえる,弥生農耕・渡来人の影響,その他,2
7世紀頃 (遣唐使の開始),中国大陸との活発な交流で制度や文化を学ぶ,遣唐使の派遣,遣唐使を通じた仏教・制度の流入をセットで覚える,律令制・国際交流,文化,2
11世紀頃,摂関家の権力が極まる貴族政治の典型,藤原道長の全盛,『この世をば〜』で道長の栄華を象徴する文化状況を覚える,摂関政治・院政,その他,2
1232,北条氏の執権体制下で武家の法が整えられる,御成敗式目（貞永式目）制定,鎌倉法の代表例として成立年と目的を押さえる,鎌倉幕府の制度,その他,3
1549,キリスト教伝来と南蛮交易の始まり,フランシスコ・ザビエルの来日,南蛮文化（鉄砲・キリスト教・南蛮貿易）をセットで覚える,鉄砲伝来・キリシタン大名,その他,2
1570,織田・徳川連合が武田勝頼を破る,長篠の戦い,鉄砲の効果を示した戦いとして年と名称を覚える,甲冑兵器の変化・武田氏衰退,その他,3
1571,織田信長が比叡山延暦寺を焼き討ち,比叡山焼き討ち,戦国の宗教勢力抑圧の事例として記憶,一向一揆・寺社勢力,その他,3
1560,今川義元が織田信長に討たれる,桶狭間の戦い,奇襲の成功例として年を覚える,織田信長台頭,その他,3
1587,キリシタン大名の勢力など,天草・島原の異変前の動き,日本のキリスト教史の背景,キリシタン弾圧・南蛮貿易,その他,3
1592-1598,豊臣秀吉の朝鮮出兵が東アジアに与えた影響,文禄・慶長の役（朝鮮出兵）,朝鮮出兵の目的と結果を対比する,国内諸政策と外征,その他,3
1605,江戸幕府が武家統制法を整備,武家諸法度の整備,幕府の統治ルールとして理解する,幕藩体制,その他,3
1615,豊臣氏の滅亡と江戸幕府の全国支配確立,大坂夏の陣,城攻防と政治決着の例,豊臣家滅亡,その他,3
1629,領内の経済圧迫と宗教対立,島原の乱の前史,一揆の原因と幕府の対応を整理,島原・天草の乱,その他,3
1651,参勤交代の意義と社会経済的影響を理解,徳川家光の治世と参勤交代の制度化,,参勤交代・藩財政,その他,3
1685,松尾芭蕉や近松門左衛門の作品の位置づけ,元禄文化の文学・演劇の広がり,,俳句・浄瑠璃の概要,文化,2
1700s,農村経済の変化と都市への流通,農村の改良と年貢体系,米価と藩の財政を結びつけて学ぶ,商品経済の発展,その他,2
1789,ヨーロッパの変革が日本の思想に与えた間接影響,フランス革命の影響（世界史と日本）,,国際情勢と開国前の知識受容,その他,3
1804-1829,尊王論や国学の高まりが政治運動に影響,幕末の思想潮流（陽明学・国学など）,思想史の流れと尊王攘夷につなげる,尊王攘夷,その他,3
1837,大阪での一揆的蜂起の事例,大塩平八郎の乱,都市部における社会不満の一例として理解,幕末社会の動揺,その他,3
1859,横浜などの開港と町の変化,江戸の開港と外国人居留地,国際貿易と都市化の関連,開国の社会影響,その他,3
1860,井伊直弼の暗殺で政局が動く,桜田門外の変,安政の大獄と反発の関係を押さえる,安政の改革,その他,3
1863,長州や薩摩の外交と軍事行動の例,薩英戦争（生麦事件後の衝突）,,諸藩の国際関係への関与,その他,3
1864,尊王攘夷派と幕府の衝突が激化,池田屋事件と禁門の変,倒幕への道筋を理解,幕末の内戦,その他,3
1866,倒幕を進める主導的同盟の成立,薩長同盟の成立,同盟の重要性と明治維新への影響,坂本龍馬,その他,3
1869,明治初期の藩主帰属と新政府の統制,版籍奉還の動き（諸藩の政治的変化）,,廃藩置県への過程,その他,3
1874,佐賀藩士の不満による反乱と政府の鎮圧,佐賀の乱,近代国家の暴力独占の確立を学ぶ,政府の統制力,その他,3
1877,士族反乱の最終章,西南戦争（再掲補足）,明治政府の力が全国的に行き渡る様子を理解,士族の処遇,その他,3
1881,国民政治参加の動きとして評価,民選議員設立の建白運動,自由民権運動との関連,政党政治の胎動,その他,3
1885,初代内閣の成立と内閣制度導入の意義,内閣制度の事実上の開始,,近代政治制度の形成,その他,3
1890,国会開設で立憲政治が始まる,帝国議会の開設,議会制度と選挙の意義を理解,普通選挙法までの流れ,その他,3
1897,近代経済制の整備と通貨制度の国際化,金本位制導入,経済史の視点で理解する,財政・通商政策,その他,3
1900,国際秩序の不安定な時期における列強の動き,義和団事件と列強の対応,日本の外交の立場を考える,列強の勢力と日本の対応,その他,3
1906,国際情勢変化と日本の外交拡張,第一次世界大戦前後の対外政策,,戦後処理と対外関係,その他,3
1912,大正期の特色（大正デモクラシー）を押さえる,大正天皇即位（大正時代開始）,,時代区分と民主主義運動,その他,2
1914,日本は戦争特需で経済発展を経験,第一次世界大戦と日本の対応,世界史との連携で覚える,戦後国際関係,その他,3
1919,日本の国際的役割の変化を説明,国際連盟参加と国際協調,,国際連盟の限界と日本の動き,その他,3
1921,日本の外交と軍備縮小の流れ,ワシントン会議,条約体制が東アジアに与えた影響を学ぶ,海軍軍縮と対米関係,その他,3
1927,日本経済の脆弱性と政府対応を学ぶ,昭和金融恐慌,,金融危機の国内影響,その他,3
1932,政党政治の衰退と軍部の台頭,犬養毅暗殺（五・一五事件）,政変から軍部台頭への流れを押さえる,軍国主義の進展,その他,3
1936,青年将校のクーデター未遂で政治が混迷,二・二六事件,国内政治の軍部影響を学ぶ,軍部の政治介入,その他,3
1940,戦時体制の法的整備で国民生活が統制される,国家総動員法の制定,戦時統制の具体例として理解,戦争体制,その他,3
1944,太平洋戦争末期の激戦と民間被害,沖縄戦（本島戦闘）,戦争の悲惨さと地域被害を学ぶ,戦後復興・米軍統治,地理,3
1948,農地分配により農村社会構造が変化,農地改革の実施完了,自作農化と農村経済の再編,財閥解体とセットで理解,その他,3
1950,戦争特需が日本経済を支えた面を学ぶ,朝鮮戦争の勃発と日本経済への影響,,高度成長の外的要因,その他,3
1954,防衛組織の整備と安全保障政策の開始,自衛隊発足,日本の安全保障体制の基礎,日米安保との関連,その他,3
1956,国際復帰の意義を深掘り,国連加盟（再掲補足）,国際社会での役割強化を押さえる,主権回復,その他,3
1960,政治参加と市民運動の流れを具体化,安保改定と国民運動（補足）,,60年安保の結果とその後,その他,3
1965,返還交渉の外交的背景を学ぶ,沖縄返還交渉の合意過程,,沖縄返還,その他,3
1968,学生運動の背景と社会的影響,学園闘争の一時的高まり,,60年代の世界的運動と比較,その他,3
1970,高度経済成長の象徴的イベントとして社会変化を示す,大阪万博（1970）,,産業展示と国際交流の場,文化,2
1974,自治体運営と財政の見直し,地方自治体の再編と制度改革,,地方分権の議論へ,その他,2
1985,国際為替協調が日本経済に影響,プラザ合意と円高,バブル期への一因として理解,経済政策の転換,その他,3
1990,経済史の転換点として年を押さえる,平成元年（バブル期最盛期）,,バブル経済の特徴を整理,その他,3
1997,日本の金融政策と景気後退を学ぶ,橋本不況と金融危機,,金融機関の再編と政策対応,その他,3
2001,構造改革と郵政民営化などの主要政策,小泉政権の改革路線,改革の目的と結果を比較検討,改革と反発,その他,3
2010,人口減少対策と地域活性化の政策論点,地方創生の議論の開始,地方政策の実務課題を押さえる,地方自治の強化,その他,2
2016,震災と復興の課題を地域事例で学ぶ,熊本地震,,災害対応と復興政策,地理,2
2018,労働慣行の見直しと社会制度の変化,働き方改革関連法の成立,,労働政策の変化を社会史的観点で,その他,2
2020,日本社会と経済に与えた影響を学ぶ,新型コロナウイルスの流行,,パンデミックと対策・経済支援,その他,3
2020s,行政のデジタル化と社会変化の観点で理解,デジタル改革推進,,政策と社会実装の課題,その他,2
紀元前1万年頃,氷河期が終わり温暖化が進む。日本列島が大陸から分離し、海面上昇で現在の形に。豊かな森林と海産物に恵まれ、狩猟・採集・漁労の生活が1万年続いた。縄文土器や竪穴住居が特徴。,縄文時代の始まり,縄文土器の縄目模様が名前の由来。狩猟採集の定住生活,縄文土器:縄目の土器; 竪穴住居:半地下式住居; 貝塚:食料の痕跡,その他,1
紀元前3世紀頃,大陸から稲作が伝来し、水田耕作が始まる。金属器（青銅器・鉄器）も伝わり、農耕社会に移行。米の収穫量で貧富の差が生まれ、集落間で争いが起こり、支配者が現れた。,弥生時代の始まり,弥生土器の赤褐色が特徴。農耕社会の始まり,稲作:水田農耕; 高床倉庫:米の貯蔵; 銅鐸:祭器,その他,1
57年,九州北部の奴国の王が、中国の後漢に使者を派遣。光武帝から「漢委奴国王」の金印を授かる。中国との外交関係の最古の記録。志賀島で金印が発見された。,奴国が後漢に使者を送る,漢委奴国王の金印。志賀島（福岡）で発見,後漢書:中国の歴史書; 金印:漢委奴国王印; 奴国:九州の国,その他,2
239年,邪馬台国の女王卑弥呼が、中国の魏に使者を派遣。親魏倭王の称号と銅鏡100枚を授かる。卑弥呼は鬼道で国を治め、各地の小国を従えていた。邪馬台国の場所は九州説と近畿説がある。,邪馬台国の卑弥呼が魏に使者を送る,卑弥呼は邪馬台国の女王。魏志倭人伝に記録,魏志倭人伝:中国の歴史書; 親魏倭王:称号; 銅鏡:賜り物,その他,2
3世紀後半,有力な豪族が死者を葬るため、巨大な墳墓（古墳）を築く。前方後円墳が各地に造られ、権力の象徴となった。古墳からは埴輪や鏡、剣などの副葬品が出土。大和政権の基礎となった。,古墳時代の始まり,前方後円墳が特徴的。埴輪が並ぶ,前方後円墳:鍵穴型古墳; 埴輪:土製人形; 副葬品:埋葬品,文化,1
478年,倭国の五人の王（讃・珍・済・興・武）が、中国の南朝（宋）に使者を派遣。朝鮮半島での軍事的地位を認めてもらおうとした。武王（雄略天皇と推定）が最も積極的に外交を展開。,倭の五王が中国南朝に使者を送る,倭の五王（讃珍済興武）。中国史書に記録,宋書:中国の歴史書; 雄略天皇:武王と推定; 朝鮮半島:外交の焦点,その他,2
6世紀前半,朝鮮半島の百済から仏教が公式に伝わる。蘇我氏は仏教を受け入れるが、物部氏は神道を守ろうと反対。蘇我氏が勝利し、仏教が広まる。飛鳥寺など寺院が建立され、日本文化に大きな影響。,仏教の伝来（公伝）,538年または552年説あり。蘇我氏が推進,蘇我氏:仏教推進; 物部氏:神道派; 飛鳥寺:最古級寺院,文化,2
607年,聖徳太子が小野妹子を隋に派遣。「日出づる処の天子」の国書を送り、対等な外交を試みる。隋の煬帝は不快に思ったが、日本は隋の文化や制度を学んだ。,小野妹子が遣隋使として派遣される,「日出づる処の天子」の国書。対等外交の試み,遣隋使:中国への使節; 煬帝:隋の皇帝; 国書:外交文書,その他,2
630年,唐が隋を滅ぼし、中国を統一。日本は唐に遣唐使を派遣し、進んだ政治制度や文化を学ぶ。留学生や留学僧も同行し、仏教や儒教、律令制度を持ち帰った。,第1回遣唐使の派遣,遣唐使は630年から。唐の文化を吸収,遣唐使:唐への使節; 留学生:学問を学ぶ; 律令制:政治制度,その他,2
672年,天智天皇の死後、後継者を巡って皇子たちが争う。大海人皇子（後の天武天皇）と大友皇子（弘文天皇）が対立。大海人皇子が勝利し、天武天皇として即位。天皇の権力が強化された。,壬申の乱,古代最大の内乱。大海人皇子の勝利,天智天皇:父; 天武天皇:勝者; 大友皇子:敗者,その他,2
