語句,読み,意味,詳細解説,関連事項,関連分野,種別,source,grade
応仁の乱,おうにんのらん,歴史,1467年から1477年まで続いた大規模な内乱。将軍後継問題と守護大名の対立が原因。京都は焼け野原となり、幕府の権威は失墜。下剋上の風潮が広がり、戦国時代の始まりとなった。,足利義政|戦国時代|下剋上,歴史-中世,出来事,,2
戦国大名,せんごくだいみょう,歴史,15世紀後半から16世紀にかけて、各地で独自の支配を行った大名。分国法を定め、家臣団を組織。領国経営に力を入れた。代表例は武田信玄、上杉謙信、毛利元就など。,武田信玄|上杉謙信|分国法,歴史-中世,出来事,,2
織田信長,おだのぶなが,歴史,戦国時代の武将。1560年桶狭間の戦いで今川義元を破る。楽市楽座で商業を発展させ、兵農分離を進めた。1582年本能寺の変で明智光秀に討たれた。,楽市楽座|本能寺の変|兵農分離,歴史-中世,人物名,,2
豊臣秀吉,とよとみひでよし,歴史,織田信長の後継者として天下統一を達成。太閤検地で土地と農民を把握し、刀狩で武士と農民を区別した。朝鮮出兵（文禄・慶長の役）を行うも失敗。,太閤検地|刀狩|朝鮮出兵,歴史-中世,人物名,,2
関ヶ原の戦い,せきがはらのたたかい,歴史,1600年に起きた戦い。豊臣秀吉の死後、徳川家康率いる東軍と石田三成率いる西軍が激突。東軍が勝利し、家康が天下の実権を握った。3年後に江戸幕府が開かれた。,徳川家康|石田三成|東軍と西軍,歴史-近世,出来事,,2
江戸幕府,えどばくふ,歴史,1603年に徳川家康が開いた幕府。江戸（東京）に幕府を置き、約260年間続いた。参勤交代や武家諸法度で大名を統制。士農工商の身分制度を確立し、鎖国政策をとった。,徳川家康|参勤交代|鎖国,歴史-近世,制度概念,,2
参勤交代,さんきんこうたい,歴史,3代将軍徳川家光が制度化。大名を1年おきに江戸に出仕させ、妻子を江戸に住まわせた。大名の経済力を弱め、謀反を防ぐ狙い。街道や宿場町が発展するきっかけとなった。,徳川家光|大名|武家諸法度,歴史-近世,人物名,,2
鎖国,さこく,歴史,1639年頃に完成した対外政策。キリスト教の広まりを恐れ、ポルトガル船の来航を禁止。長崎の出島でオランダと中国のみと貿易。朝鮮・琉球とも限定的に交流した。,出島|オランダ|キリスト教,歴史-近世,地名,,2
徳川綱吉,とくがわつなよし,歴史,江戸幕府5代将軍。儒学を奨励し、湯島聖堂を建てた。生類憐みの令で動物愛護を命じるも、行き過ぎた政策で庶民の生活を圧迫。貨幣の質を下げ、経済混乱を招いた。,生類憐みの令|湯島聖堂|元禄文化,歴史-近世,地名,,2
享保の改革,きょうほうのかいかく,歴史,8代将軍徳川吉宗が1716年頃から始めた改革。新田開発で年貢を増やし、倹約を奨励。目安箱を設置し、庶民の意見を聞いた。上げ米の制で大名から米を集めた。,徳川吉宗|目安箱|新田開発,歴史-近世,出来事,,2
国学,こくがく,歴史,江戸時代中期に発展した学問。儒教や仏教の影響を受ける前の、日本古来の精神や文化を研究。本居宣長が『古事記伝』を著し、国学を大成した。尊王攘夷思想に影響を与えた。,本居宣長|古事記伝|蘭学,歴史-近世,その他,,2
ペリー,ペリー,歴史,アメリカ東インド艦隊司令長官。1853年に4隻の黒船で浦賀に来航し、開国を要求。翌1854年に日米和親条約を結ばせた。これをきっかけに日本は鎖国を終え、開国した。,黒船|日米和親条約|開国,歴史-近代,その他,,3
日米修好通商条約,にちべいしゅうこうつうしょうじょうやく,歴史,1858年に井伊直弼が勅許なしで調印した通商条約。領事裁判権を認め（治外法権）、関税自主権がない不平等条約。この条約締結が幕府への不満を高め、尊王攘夷運動が激化した。,井伊直弼|治外法権|関税自主権,歴史-近代,出来事,,3
明治維新,めいじいしん,歴史,1868年の王政復古を経て始まった日本の近代化改革。五箇条の御誓文で新政府の方針を示し、版籍奉還・廃藩置県で中央集権国家を確立。身分制度を廃止し、四民平等を実現した。,王政復古|五箇条の御誓文|廃藩置県,歴史-近代,出来事,,3
廃藩置県,はいはんちけん,歴史,1871年に実施された改革。全国の藩を廃止して県とし、中央政府が知事を派遣。これにより江戸時代の封建制度が解体され、近代的な中央集権国家が成立した。,版籍奉還|中央集権|明治維新,歴史-近代,地名,,3
文明開化,ぶんめいかいか,歴史,明治時代初期の欧米文化の受容。洋服・洋食・ガス灯・鉄道など西洋の生活様式が導入された。福沢諭吉『学問のすゝめ』が刊行され、啓蒙思想が広まった。,福沢諭吉|学問のすゝめ|殖産興業,歴史-近代,人物名,,3
自由民権運動,じゆうみんけんうんどう,歴史,1870年代から80年代の民主化運動。板垣退助らが民撰議院設立の建白書を提出。国会開設を求め、政党（自由党・立憲改進党）を結成。政府は集会条例や保安条例で弾圧した。,板垣退助|国会開設|民撰議院,歴史-近代,その他,,3
大日本帝国憲法,だいにほんていこくけんぽう,歴史,明治政府が制定した憲法。伊藤博文らがプロイセン（ドイツ）憲法を参考に作成。天皇主権、帝国議会の設置、国民の権利を「臣民の権利」として限定的に認めた。,伊藤博文|天皇主権|帝国議会,歴史-近代,制度概念,,3
日清戦争,にっしんせんそう,歴史,1894-95年の戦争。朝鮮をめぐる対立から日本と清が開戦。日本が勝利し、下関条約で台湾を獲得。清から多額の賠償金を得た。しかし三国干渉で遼東半島を返還させられた。,下関条約|三国干渉|台湾,歴史-近代,出来事,,3
日露戦争,にちろせんそう,歴史,1904-05年の戦争。ロシアの南下政策に対抗して開戦。旅順攻囲戦、日本海海戦などで勝利。ポーツマス条約で韓国の支配権を認めさせたが、賠償金は得られず、日比谷焼打事件が起きた。,ポーツマス条約|日本海海戦|韓国併合,歴史-近代,出来事,,3
第一次世界大戦,だいいちじせかいたいせん,歴史,1914-18年の世界大戦。日英同盟を理由に日本は連合国側で参戦。ドイツの中国権益を奪い、大戦景気で経済発展。戦後のパリ講和会議で国際連盟が成立し、日本は常任理事国となった。,国際連盟|パリ講和会議|大戦景気,歴史-近代,出来事,,3
大正デモクラシー,たいしょうデモクラシー,歴史,大正時代（1912-26年）の民主化運動。吉野作造が民本主義を唱え、護憲運動や普通選挙運動が起こった。1925年に普通選挙法が成立し、25歳以上の男子に選挙権が与えられた。,吉野作造|民本主義|普通選挙法,歴史-近代,その他,,3
関東大震災,かんとうだいしんさい,歴史,1923年9月1日に発生したマグニチュード7.9の地震。東京・横浜を中心に壊滅的被害。死者・行方不明者約10万5000人。火災が被害を拡大し、朝鮮人虐殺事件も発生した。,震災|東京|火災,歴史-現代,その他,,3
満州事変,まんしゅうじへん,歴史,1931年に関東軍が起こした軍事行動。柳条湖事件を口実に満州全域を占領。翌年、満州国を建国し、清朝最後の皇帝溥儀を執政とした。国際連盟は日本の行動を非難し、日本は脱退した。,関東軍|満州国|国際連盟脱退,歴史-現代,出来事,,3
太平洋戦争,たいへいようせんそう,歴史,1941-45年の戦争。真珠湾攻撃で開戦。当初は優勢だったが、ミッドウェー海戦以降劣勢に。沖縄戦、広島・長崎への原爆投下を経て、1945年8月15日にポツダム宣言を受諾し無条件降伏。,真珠湾攻撃|原爆|ポツダム宣言,歴史-現代,出来事,,3
日本国憲法,にほんこくけんぽう,歴史,1946年11月3日公布、1947年5月3日施行。国民主権、基本的人権の尊重、平和主義の三大原則。第9条で戦争放棄を規定。GHQの指導のもと作成された。,国民主権|平和主義|基本的人権,歴史-現代,制度概念,,3
サンフランシスコ平和条約,サンフランシスコへいわじょうやく,歴史,1951年調印、1952年発効。日本は主権を回復し、占領が終了。同時に日米安全保障条約も調印。ソ連や中国は参加せず。賠償問題などは個別に解決することになった。,占領終了|主権回復|日米安保条約,歴史-現代,出来事,,3
高度経済成長,こうどけいざいせいちょう,歴史,1950年代半ばから1970年代初めまでの経済発展期。年平均10%以上の成長率。所得倍増計画、東海道新幹線開通、東京オリンピック開催。1968年にGNP世界第2位となった。公害問題も深刻化。,所得倍増計画|東京オリンピック|公害問題,歴史-現代,その他,,3
北海道,ほっかいどう,地理,日本列島の最北に位置する都道府県。面積は日本最大（約83424km²）。道庁所在地は札幌市。冷涼な気候で稲作、酪農、畑作が盛ん。アイヌ民族の伝統文化が残る。,札幌市|石狩平野|アイヌ文化,地理-日本,地名,,1|2
東北地方,とうほくちほう,地理,本州北部の地方。夏季のやませによる冷害、冬季の豪雪が特徴。稲作が盛んで、りんご・さくらんぼの生産が多い。三陸海岸はリアス海岸で漁業が盛ん。,やませ|リアス海岸|稲作,地理-日本,地名,,1|2
関東地方,かんとうちほう,地理,茨城・栃木・群馬・埼玉・千葉・東京・神奈川の1都6県。日本の政治・経済の中心。関東平野は日本最大の平野。東京湾岸に京浜工業地帯が発達。,関東平野|東京|京浜工業地帯,地理-日本,地名,,1|2
中部地方,ちゅうぶちほう,地理,新潟・富山・石川・福井・山梨・長野・岐阜・静岡・愛知の9県。日本アルプス（飛騨・木曽・赤石山脈）が連なる。東海地方（静岡・愛知）は中京工業地帯、北陸は米どころ。,日本アルプス|中京工業地帯|北陸,地理-日本,地名,,1|2
近畿地方,きんきちほう,地理,三重・滋賀・京都・大阪・兵庫・奈良・和歌山の2府5県。古都京都・奈良など歴史的建造物が多い。大阪は商業の中心で、阪神工業地帯が発達。琵琶湖は日本最大の湖。,大阪|京都|琵琶湖,地理-日本,地名,,1|2
中国地方,ちゅうごくちほう,地理,鳥取・島根・岡山・広島・山口の5県。中国山地が東西に走る。瀬戸内海側は温暖で降水量少ない。広島は平和記念都市。岡山は晴れの国として知られ、果樹栽培が盛ん。,中国山地|瀬戸内海|広島,地理-日本,地名,,1|2
四国地方,しこくちほう,地理,4県からなる島。讃岐山脈・四国山地が走る。瀬戸内海側は温暖少雨、太平洋側は多雨。高知はピーマン・なすの促成栽培、愛媛はみかん生産が盛ん。,四国山地|瀬戸内海|促成栽培,地理-日本,地名,,1|2
九州地方,きゅうしゅうちほう,地理,福岡・佐賀・長崎・熊本・大分・宮崎・鹿児島の7県。火山が多く温泉地が点在。北九州工業地帯があり、IC生産も盛ん。畜産・園芸農業が発達。沖縄県は含まない。,北九州工業地帯|火山|温泉,地理-日本,地名,,1|2
沖縄県,おきなわけん,地理,亜熱帯気候の島々からなる県。県庁所在地は那覇市。さとうきびパイナップル栽培が盛ん。琉球王国の歴史と独自の文化。第二次世界大戦の激戦地で、米軍基地が多い。,那覇市|琉球王国|米軍基地,地理-日本,地名,,1|2
石狩平野,いしかりへいや,地理,北海道中西部の平野。石狩川流域に広がる。泥炭地を開拓し、大規模な稲作が行われる。札幌市があり、北海道の政治・経済の中心。,石狩川|札幌市|稲作,地理-日本,地名,,1|2
アジア,あじあ,地理,世界の陸地の約30%を占める最大の大州。中国・インドなど人口大国がある。モンスーン気候で稲作が盛ん。イスラム教・ヒンドゥー教・仏教など多様な宗教・文化が共存。,中国|インド|モンスーン,地理-世界,地名,,1
ヨーロッパ,よーろっぱ,地理,面積は小さいが経済的に発達した大州。地中海性気候、西岸海洋性気候が分布。キリスト教文化圏。EUによる経済統合が進む。工業が発達し、農業も集約的。,EU|地中海|キリスト教,地理-世界,地名,,1
アフリカ,あふりか,地理,世界で2番目に大きい大州。赤道が通り、熱帯気候が広い。サハラ砂漠は世界最大の砂漠。かつて欧州の植民地だった国が多い。カカオコーヒーなどのプランテーション農業が盛ん。,サハラ砂漠|赤道|プランテーション,地理-世界,地名,,1
北アメリカ,きたあめりか,地理,世界第3位の面積。アメリカ合衆国は世界最大の経済大国。大平原では大規模な企業的農業。五大湖周辺は工業地帯。カナダは資源・農産物輸出国。,アメリカ合衆国|カナダ|五大湖,地理-世界,地名,,1
南アメリカ,みなみあめりか,地理,赤道が通り、熱帯気候が広い。アマゾン川は世界最大の流域面積。ブラジルは最大の国でコーヒー・サトウキビ生産が多い。アンデス山脈が南北に走る。鉱産資源が豊富。,アマゾン川|ブラジル|アンデス山脈,地理-世界,地名,,1
オセアニア,おせあにあ,地理,太平洋の島々とオーストラリア大陸からなる。オーストラリアは鉱産資源が豊富で、羊の放牧が盛ん。ニュージーランドは酪農が発達。先住民の文化が残る。,オーストラリア|ニュージーランド|太平洋,地理-世界,地名,,1
中国,ちゅうごく,地理,人口約14億人の世界最大の人口国。面積も世界第3位。1980年代の改革開放政策で急速に経済発展。世界の工場として製造業が発達。チベット・ウイグルなど多民族国家。,人口|改革開放|製造業,地理-世界,地名,,1
インド,いんど,地理,人口約14億人で中国に次ぐ世界第2位。IT産業が発達し、バンガロールがIT都市として有名。ヒンドゥー教徒が多数。モンスーンの影響で雨季・乾季がある。,IT産業|ヒンドゥー教|モンスーン,地理-世界,地名,,1
アメリカ合衆国,あめりかがっしゅうこく,地理,世界最大のGDPを持つ経済大国。多民族国家で移民が多い。グレートプレーンズで大規模農業、シリコンバレーでIT産業が発達。軍事・文化面でも世界に影響力を持つ。,GDP|多民族|シリコンバレー,地理-世界,その他,,1
ブラジル,ぶらじる,地理,面積・人口ともに南アメリカ最大。ポルトガル語を公用語とする。コーヒー・サトウキビ・大豆の生産が世界有数。アマゾン熱帯雨林の開発が環境問題となっている。,コーヒー|アマゾン|ポルトガル語,地理-世界,地名,,1
稲作,いなさく,地理,日本の主食である米を生産する農業。東北地方日本海側、北陸、北海道が主産地。モンスーン気候で降水量が多い東アジアで盛ん。機械化が進み、大規模化も進む。,米|モンスーン|農業,地理-産業,地名,,2
畑作,はたさく,地理,水田以外の畑で作物を栽培する農業。北海道の十勝平野では大規模な畑作。キャベツ・レタス・じゃがいも・小麦などを生産。機械化・企業化が進んでいる。,十勝平野|野菜|小麦,地理-産業,地名,,2
酪農,らくのう,地理,乳牛を飼育し乳製品を生産する農業。北海道が全国生産量の約半分を占める。根釧台地や十勝平野が主産地。冷涼な気候が乳牛飼育に適している。,北海道|乳牛|牛乳,地理-産業,地名,,2
漁業,ぎょぎょう,地理,日本は世界有数の漁業国だったが、漁獲量は減少傾向。三陸沖・北海道沖は好漁場。遠洋漁業は衰退し、沿岸漁業・養殖業が増加。200海里問題で遠洋漁業は制限された。,三陸沖|養殖業|200海里,地理-産業,地名,,2
工業地帯,こうぎょうちたい,地理,工場が多く集まり、工業生産が盛んな地域。日本の四大工業地帯は京浜・中京・阪神・北九州。近年は内陸の工業団地や臨海部の工業地域も発達。,京浜|中京|阪神,地理-産業,地名,,2
環境問題,かんきょうもんだい,地理,高度経済成長期に四大公害病（水俣病・イタイイタイ病など）が発生。大気汚染・水質汚濁が深刻化。現在は地球温暖化・オゾン層破壊などグローバルな問題も。,公害|地球温暖化|水質汚濁,地理-環境,地名,,2
地球温暖化,ちきゅうおんだんか,地理,化石燃料の大量消費により大気中の二酸化炭素が増加し、地球の平均気温が上昇する現象。海面上昇・異常気象の原因となる。京都議定書・パリ協定で対策が協議されている。,二酸化炭素|温室効果ガス|異常気象,地理-環境,地名,,2
リサイクル,りさいくる,地理,ごみや廃棄物を原料として再生利用すること。3R（リデュース・リユース・リサイクル）が提唱されている。容器包装リサイクル法など法整備も進む。循環型社会の実現が目標。,3R|循環型社会|ごみ問題,地理-環境,地名,,2
持続可能な開発,じぞくかのうなかいはつ,地理,環境保護と経済発展を両立させる開発。SDGs（持続可能な開発目標）が国連で採択された。再生可能エネルギー・フェアトレード・エコツーリズムなどが推進されている。,SDGs|再生可能エネルギー|環境保護,地理-環境,その他,,2
人口問題,じんこうもんだい,地理,発展途上国では人口爆発、先進国では少子高齢化が問題。日本は世界最速で高齢化が進行。労働力不足・社会保障費増大が課題。移民受け入れも議論されている。,少子高齢化|人口減少|労働力不足,地理-環境,地名,,2
民主主義,みんしゅしゅぎ,政治,国民が主権を持ち、政治に参加する制度。選挙で代表者を選び、多数決で決定する。基本的人権の尊重と法の支配が基礎。議会制民主主義が一般的。,国民主権|選挙|議会,公民-政治,制度概念,,3
国民主権,こくみんしゅけん,政治,日本国憲法の三大原則の一つ。国民が主権を持ち、選挙で代表を選び政治を行う。天皇は象徴であり、政治権力を持たない。国民投票で憲法改正も可能。,日本国憲法|選挙|天皇,公民-政治,制度概念,,3
三権分立,さんけんぶんりつ,政治,権力の集中を防ぐため、立法権（国会）・行政権（内閣）・司法権（裁判所）に分ける。互いに抑制と均衡を保ち、独裁を防ぐ。モンテスキューが提唱した原理。,国会|内閣|裁判所,公民-政治,制度概念,,3
国会,こっかい,政治,日本の立法機関で、法律を制定する。衆議院と参議院の二院制。衆議院は解散があり、予算先議権・内閣不信任権を持つ。参議院は任期6年で3年ごとに半数改選。,立法権|衆議院|参議院,公民-政治,制度概念,,3
内閣,ないかく,政治,内閣総理大臣と国務大臣で構成される行政機関。法律を執行し、政策を実施する。総理大臣は国会議員の中から国会が指名。内閣は国会に対して連帯責任を負う。,行政権|内閣総理大臣|国務大臣,公民-政治,制度概念,,3
裁判所,さいばんしょ,政治,争いを法律に基づいて解決する機関。最高裁判所と下級裁判所（高等・地方・家庭・簡易裁判所）がある。法律が憲法に違反していないか審査する違憲立法審査権を持つ。,司法権|最高裁判所|違憲審査権,公民-政治,制度概念,,3
選挙,せんきょ,政治,民主主義の基本。満18歳以上の国民に選挙権がある。普通選挙・平等選挙・秘密選挙・直接選挙が原則。衆議院は小選挙区比例代表並立制、参議院は選挙区制と比例代表制。,選挙権|普通選挙|18歳,公民-政治,制度概念,,3
地方自治,ちほうじち,政治,都道府県・市町村が独自に行う政治。首長と議員を住民が直接選挙で選ぶ。条例を制定し、地域の特性に応じた政策を実施。住民投票やリコール制度もある。,都道府県|市町村|条例,公民-政治,制度概念,,3
人権,じんけん,政治,すべての人が生まれながらに持つ基本的な権利。日本国憲法で基本的人権の尊重が保障される。自由権・平等権・社会権・参政権・請求権がある。公共の福祉により制限される場合もある。,基本的人権|自由権|平等権,公民-人権,制度概念,,3
平等権,びょうどうけん,政治,性別・人種・信条・社会的身分などによる差別を禁止。法の下の平等を保障。男女雇用機会均等法、障害者差別解消法などで具体化。部落差別・在日外国人差別の解消も課題。,法の下の平等|差別禁止|男女平等,公民-人権,制度概念,,3
資本主義,しほんしゅぎ,経済,生産手段を個人が所有し、利潤追求を目的とする経済体制。市場経済・自由競争が原則。しかし独占・格差などの問題もあり、政府による修正が必要。日本は修正資本主義。,市場経済|自由競争|私有財産,公民-経済,制度概念,,3
市場経済,しじょうけいざい,経済,商品の価格が需要と供給の関係で決まる経済。価格の自動調節機能（見えざる手）が働く。競争により効率的な生産が促進される。しかし市場の失敗もあり、政府の介入が必要。,需要と供給|価格|見えざる手,公民-経済,地名,,3
通貨,つうか,経済,商品の交換を仲介する手段。日本では日本銀行が発行する日本銀行券（紙幣）と、政府が発行する硬貨がある。価値の尺度・交換の手段・価値の保存の機能を持つ。,日本銀行|紙幣|硬貨,公民-経済,制度概念,,3
日本銀行,にほんぎんこう,経済,日本唯一の中央銀行で、日本銀行券（お札）を発行する。金融政策を行い、景気を調整。政府の銀行・銀行の銀行としても機能。物価の安定と金融システムの安定が目的。,中央銀行|紙幣|金融政策,公民-経済,制度概念,,3
財政,ざいせい,経済,政府の経済活動。税金を主な収入源とし、公共サービスや社会保障に支出。景気調整機能もある。国債発行により財政赤字を補填するが、累積債務が問題となっている。,税金|国債|歳入歳出,公民-経済,制度概念,,3
税金,ぜいきん,経済,公共サービスの財源。直接税（所得税・法人税など）と間接税（消費税など）がある。累進課税制度で所得の再分配機能。納税は国民の義務（憲法第30条）。,直接税|間接税|消費税,公民-経済,制度概念,,3
社会保障,しゃかいほしょう,経済,国民の生活を保障する制度。社会保険（年金・医療・介護・雇用・労災）、公的扶助（生活保護）、社会福祉、公衆衛生の4つの柱。高齢化で財源確保が課題。,年金|医療保険|生活保護,公民-経済,制度概念,,3
労働基本権,ろうどうきほんけん,経済,憲法第28条で保障される労働三権。団結権（労働組合結成）・団体交渉権（使用者と交渉）・団体行動権（ストライキ）。労働者の地位向上と労働条件改善が目的。,労働三権|労働組合|ストライキ,公民-経済,制度概念,,3
公害,こうがい,経済,事業活動により環境が損なわれ、健康被害が生じること。四大公害病（水俣病・新潟水俣病・イタイイタイ病・四日市ぜんそく）が発生。公害対策基本法で規制され、環境アセスメントが実施される。,四大公害病|水俣病|環境汚染,公民-経済,制度概念,,3
国際連合,こくさいれんごう,国際,1945年設立の国際機関。本部はニューヨーク。国際平和と安全の維持が目的。安全保障理事会（常任理事国5・非常任理事国10）・総会・事務局などで構成。PKO活動も実施。,国連|安全保障理事会|PKO,公民-国際,制度概念,,3
安全保障理事会,あんぜんほしょうりじかい,国際,国連の主要機関で、国際平和と安全の維持を担当。常任理事国5カ国（米・英・仏・露・中）と非常任理事国10カ国で構成。常任理事国は拒否権を持つ。,国連|常任理事国|拒否権,公民-国際,制度概念,,3
PKO,ピーケーオー,国際,紛争地域で停戦監視や人道支援を行う国連の活動。武力行使は自衛に限定。日本は1992年のPKO協力法により参加可能に。カンボジアをはじめ、アフリカなどで活動。,国連|平和維持|停戦監視,公民-国際,制度概念,,3
難民,なんみん,国際,戦争・迫害・紛争などで母国を追われた人々。国連難民高等弁務官事務所（UNHCR）が保護・支援。シリア・アフガニスタン・南スーダンなどから多数発生。受け入れが国際問題。,UNHCR|紛争|迫害,公民-国際,制度概念,,3
貧困問題,ひんこんもんだい,国際,発展途上国で多くの人が極度の貧困状態にある。食料不足・教育機会の欠如・医療不足が深刻。南北問題とも呼ばれる。SDGsで「貧困をなくそう」が第1目標。,発展途上国|南北問題|SDGs,公民-国際,制度概念,,3
南北問題,なんぼくもんだい,国際,北半球の先進国と南半球の発展途上国との経済格差。植民地支配の歴史や貿易条件の不利が原因。ODA（政府開発援助）やフェアトレードで格差解消を目指す。,先進国|発展途上国|経済格差,公民-国際,制度概念,,3
ODA,オーディーエー,国際,先進国政府が発展途上国に行う経済援助。無償資金協力・技術協力・有償資金協力（円借款）がある。インフラ整備・教育・医療分野を支援。日本も主要援助国の一つ。,政府開発援助|経済援助|技術協力,公民-国際,制度概念,,3
核兵器,かくへいき,国際,原子爆弾・水素爆弾などの大量破壊兵器。広島・長崎への原爆投下で日本は唯一の被爆国。核拡散防止条約（NPT）で拡散を防止。日本は非核三原則（持たず・作らず・持ち込ませず）を掲げる。,原爆|被爆国|非核三原則,公民-国際,制度概念,,3
地球温暖化,ちきゅうおんだんか,国際,二酸化炭素などの温室効果ガスにより地球の平均気温が上昇。海面上昇・異常気象の原因。京都議定書・パリ協定で国際的に対策。再生可能エネルギーへの転換が課題。,温室効果ガス|パリ協定|異常気象,公民-国際,制度概念,,3
フェアトレード,フェアトレード,国際,発展途上国の生産者に公正な対価を支払う貿易。適正価格での継続的取引により、生産者の生活改善と自立を支援。コーヒー・チョコレート・コットン製品などで広がる。,公正貿易|適正価格|発展途上国支援,公民-国際,制度概念,,3
