語句,読み,意味,詳細解説,関連事項,関連分野,種別,source,grade
乾燥帯,かんそうたい,降水量が少ない気候帯,乾燥帯は年間降水量が少なく、蒸発量が降水量を上回る気候帯。砂漠気候とステップ気候に分類される。サハラ砂漠、アラビア砂漠、中央アジアなどに分布。農業は困難だがオアシスや灌漑で可能。遊牧民が伝統的に生活。石油資源が豊富な地域も多い。,砂漠|ステップ|オアシス|気候帯,地理-世界,その他,,1
人口大国,じんこうたいこく,人口が非常に多い国,人口大国は人口が10億人を超える国。中国（約14億人）、インド（約14億人）が2大人口大国。人口増加は労働力・市場の拡大だが、食料・環境・雇用の課題も生む。インドは2023年頃に中国を抜き世界最多人口国になると予測される。,中国|インド|人口問題|人口増加,地理-世界,その他,,2
人口密度,じんこうみつど,単位面積あたりの人口,人口密度は1km²あたりの人口。日本は約330人/km²で世界平均より高い。東京都心部は1万人/km²を超え世界有数の過密地域。一方、北海道や山間部は人口密度が低く過疎化が進む。都市部の過密と地方の過疎が対照的。,人口|過密|過疎|都市化,地理-日本,その他,,2
仏教,ぶっきょう,釈迦が開いた宗教,仏教は紀元前5世紀にインドの釈迦（ガウタマ・シッダールタ）が開いた宗教。中国・朝鮮を経て日本に伝来（6世紀）。聖徳太子が保護し、奈良時代に国家仏教として栄えた。平安時代に密教、鎌倉時代に浄土教・禅宗が広まった。寺院・僧侶が文化・教育を担った。,釈迦|聖徳太子|奈良時代|浄土教,歴史-古代,その他,,1
俳諧,はいかい,江戸時代の短詩形文芸,俳諧は室町時代末期から江戸時代に流行した短詩形文芸。俳句の源流。松尾芭蕉が芸術的高みに引き上げた。「古池や蛙飛びこむ水の音」など。連歌から発展し、滑稽・風刺を含む。江戸時代の町人文化を代表。現代の俳句に継承される。,松尾芭蕉|俳句|江戸時代|町人文化,歴史-近世,その他,,2
先端技術産業,せんたんぎじゅつさんぎょう,最新技術を使う産業,先端技術産業は半導体・バイオテクノロジー・AI・ロボットなど最新技術を使う産業。従来の重化学工業に代わる成長産業。日本ではシリコンアイランド（九州）、テクノポリス（各地の研究開発拠点）で振興。研究開発投資が大きく、高度な技術者が必要。,半導体|AI|イノベーション|研究開発,地理-日本,その他,,3
共通通貨,きょうつうつうか,複数国で共用する通貨,共通通貨は複数の国が共同で使用する通貨。代表例はEUのユーロ。通貨統一により為替リスクがなくなり貿易・投資が活発化。しかし経済力の差がある国々では財政危機（ギリシャ危機など）が発生するリスクもある。地域統合の象徴。,ユーロ|EU|地域統合|経済統合,地理-世界,制度概念,,3
前方後円墳,ぜんぽうこうえんふん,古墳時代の墓,前方後円墳は古墳時代（3〜7世紀）に造られた鍵穴形の巨大な墓。前が四角（方）、後ろが円形の独特の形状。大和政権の王（大王）や豪族の墓。大仙古墳（仁徳天皇陵）が最大規模。権力の象徴として全国に3000基以上が分布。,古墳時代|大仙古墳|大和政権|古墳,歴史-古代,その他,,1
南アフリカ,みなみあふりか,アフリカ南部の国,南アフリカはアフリカ大陸南端の国。金・ダイヤモンドなどの鉱産資源が豊富。かつてアパルトヘイト（人種隔離政策）で黒人を差別。ネルソン・マンデラが民主化を実現（1994年）。ケープタウン、ヨハネスブルクが主要都市。アフリカ最大の経済大国。,アフリカ|アパルトヘイト|ネルソン・マンデラ|鉱産資源,地理-世界,地名,,2
台風,たいふう,熱帯低気圧の強いもの,台風は熱帯の海上で発生する強力な低気圧。風速17.2m/s以上のものを台風と呼ぶ。日本には夏から秋にかけて接近・上陸し、暴風・大雨・高潮の被害をもたらす。フィリピン沖で発生し北上。太平洋側は台風の影響を受けやすい。防災対策が重要。,低気圧|気象|暴風|災害,地理-日本,その他,,1
四大文明,よんだいぶんめい,古代の4つの大文明,四大文明は古代に大河の流域で栄えた4つの文明。メソポタミア文明（ティグリス・ユーフラテス川）、エジプト文明（ナイル川）、インダス文明（インダス川）、黄河文明（黄河）。農業・都市・文字が発達。人類の文明の起源。,メソポタミア文明|エジプト文明|インダス文明|黄河文明,歴史-古代,制度概念,,1
地域協力,ちいききょうりょく,地域内の国々が協力すること,地域協力は地理的に近い国々が経済・安全保障・環境などで協力すること。ASEAN（東南アジア）、EU（ヨーロッパ）、AU（アフリカ）などの地域機構が推進。自由貿易協定、共同市場、安全保障協力などを行う。地域統合の基礎。,ASEAN|EU|地域統合|国際協力,地理-世界,その他,,3
地方都市,ちほうとし,地方にある都市,地方都市は三大都市圏以外の都市。札幌、仙台、広島、福岡などの政令指定都市や県庁所在地が該当。人口減少・高齢化が進み、産業の空洞化が課題。地方創生、地域活性化の取り組みが進められる。一方で生活コストが低く住みやすい側面もある。,地方|都市|地方創生|人口減少,地理-日本,地名,,2
地球環境,ちきゅうかんきょう,地球規模の環境,地球環境は地球規模の環境問題の総称。地球温暖化、オゾン層破壊、熱帯林破壊、砂漠化、海洋汚染など。一国では解決できず国際協力が必要。国連環境計画（UNEP）、気候変動枠組条約、パリ協定などの国際的枠組みで対応。SDGsも地球環境保全を目標とする。,地球温暖化|環境問題|SDGs|国際協力,地理-環境,その他,,3
地頭,じとう,鎌倉幕府の地方役人,地頭は鎌倉幕府が全国の荘園・公領に置いた役人。土地の管理、年貢の徴収、治安維持を担当。守護とともに幕府の地方支配の要。次第に土地を私有化し、荘園領主と対立。室町時代には地頭が守護大名に成長し、戦国大名へと発展した。,鎌倉幕府|守護|荘園|源頼朝,歴史-中世,その他,,2
多文化社会,たぶんかしゃかい,多様な文化が共存する社会,多文化社会は異なる文化・民族・宗教が共存する社会。アメリカ、カナダ、オーストラリアなどの移民国家が代表例。多様性が社会を豊かにする一方、文化摩擦や差別も課題。日本も外国人労働者の増加で多文化共生が求められる。,移民|多様性|グローバル化|共生,地理-世界,その他,,3
大仙古墳,だいせんこふん,日本最大の前方後円墳,大仙古墳は大阪府堺市にある日本最大の前方後円墳。全長約486m。仁徳天皇陵として宮内庁が管理。5世紀前半の築造と推定される。周囲に三重の濠を持つ。世界文化遺産「百舌鳥・古市古墳群」の中核。古墳時代の権力の象徴。,前方後円墳|古墳時代|仁徳天皇|世界遺産,歴史-古代,地名,,1
大王,おおきみ,古墳時代の最高権力者,大王は古墳時代の大和政権の最高権力者の称号。後の天皇の前身。畿内（大和地方）を中心に各地の豪族を従えた。巨大な前方後円墳を築き、朝鮮半島とも交流。5世紀の倭の五王（讃・珍・済・興・武）が中国に使者を送った記録がある。,古墳時代|大和政権|倭の五王|天皇,歴史-古代,その他,,1
奈良の大仏,ならのだいぶつ,東大寺の巨大な仏像,奈良の大仏は奈良時代（752年）に聖武天皇が東大寺に建立した巨大な仏像（盧舎那仏）。高さ約15m。仏教の力で国を守る（鎮護国家）目的で造られた。当時の日本の人口約500万人、国家予算の大半を投入した大事業。国家仏教の象徴。,聖武天皇|東大寺|奈良時代|仏教,歴史-古代,その他,,1
守護,しゅご,鎌倉幕府の国ごとの役人,守護は鎌倉幕府が国（旧律令制の行政区画）ごとに置いた軍事・警察の役人。大犯三箇条（謀反・殺人・強盗）の取り締まりを担当。地頭とともに幕府の地方支配の要。室町時代には守護が権力を強め守護大名となり、戦国大名に発展した。,鎌倉幕府|地頭|守護大名|源頼朝,歴史-中世,その他,,2
寒帯,かんたい,年中寒冷な気候帯,寒帯は年間を通じて気温が低く、最暖月でも10℃以下の気候帯。北極圏、南極圏、高緯度地域に分布。樹木は育たずツンドラ（コケ・地衣類）やタイガ（針葉樹林）が広がる。エスキモー、イヌイット、サーミ人などが伝統的に生活。氷河、永久凍土が特徴。,気候帯|ツンドラ|北極圏|永久凍土,地理-世界,その他,,1
山地,さんち,標高が高い起伏の激しい地形,山地は標高が高く起伏の激しい地形。日本の国土の約75%を占める。急峻な地形で農業・居住には不向き。森林が発達し、木材・水資源を供給。日本アルプス、中国山地などが代表例。山地が多いため平野・盆地に人口が集中。,山脈|地形|森林|日本の地形,地理-日本,地名,,1
工場,こうじょう,製品を大量生産する施設,工場は機械を使って製品を大量生産する施設。産業革命以降、工場制機械工業が発達。日本では太平洋ベルトに工業地帯・工業地域が集中。自動車工場、製鉄所、電子機器工場などが代表例。近年はロボット化、自動化が進む。,工業|製造業|産業革命|太平洋ベルト,地理-日本,その他,,2
工業国,こうぎょうこく,工業が発達した国,工業国は工業が発達し、工業製品の生産・輸出が経済の中心となる国。先進工業国（日本、ドイツ、アメリカなど）と新興工業国（韓国、中国、ブラジルなど）に分類される。工業化により経済成長を達成。技術力・資本力が重要。,工業|先進国|新興国|経済発展,地理-世界,その他,,2
平原,へいげん,広く平らな土地,平原は広く平らな土地。アメリカのグレートプレーンズ、ロシアのシベリア平原、中国の華北平原などが代表例。農業に適し穀倉地帯となる。河川の氾濫で形成された沖積平野、氷河で削られた氷食平野などがある。,平野|大平原|農業|地形,地理-世界,地名,,1
平成不況,へいせいふきょう,平成時代の長期不況,平成不況は1990年代初めのバブル崩壊後、平成時代を通じて続いた長期不況。株価・地価の暴落、企業倒産、失業率上昇が発生。「失われた20年」と呼ばれる。デフレ（物価下落）、非正規雇用の増加、格差拡大が社会問題化。アベノミクスで回復を目指した。,バブル崩壊|失われた20年|デフレ|経済,歴史-現代,出来事,,3
平氏政権,へいしせいけん,平清盛による武家政権,平氏政権は平安時代末期（1160年代〜1180年代）に平清盛が確立した武家政権。保元・平治の乱で源氏を破り、太政大臣に昇進。娘を天皇の后とし権力を握った。日宋貿易で富を蓄積。しかし奢侈に走り、源頼朝の挙兵で滅亡（壇ノ浦の戦い）。,平清盛|源頼朝|保元の乱|壇ノ浦の戦い,歴史-中世,出来事,,2
平野,へいや,平らで低い土地,平野は平らで標高が低い土地。河川の堆積作用で形成される沖積平野が多い。日本は山地が多く平野は国土の約25%。関東平野、濃尾平野、大阪平野などが代表例。農業・都市に適し人口が集中。低地のため洪水・津波のリスクがある。,沖積平野|関東平野|地形|農業,地理-日本,地名,,1
弥生土器,やよいどき,弥生時代の土器,弥生土器は弥生時代（紀元前10世紀〜紀元後3世紀）に使われた土器。縄文土器より薄手で赤褐色。高温で焼成され、実用的。米の貯蔵に適した壺や甕が多い。稲作の伝来とともに朝鮮半島から伝わった。弥生時代の名は東京都文京区弥生町で最初に発見されたことに由来。,弥生時代|稲作|縄文土器|土器,歴史-古代,その他,,1
情報化社会,じょうほうかしゃかい,情報が重要な役割を果たす社会,情報化社会はインターネット、スマートフォン、SNSの普及により情報が経済・社会の中心となった社会。誰でも情報を発信・取得できる。IT産業が成長し、遠隔勤務・オンライン教育も普及。一方でフェイクニュース、デジタルデバイド（情報格差）が課題。,インターネット|IT|ICT|Society 5.0,公民-政治,その他,,3
新幹線,しんかんせん,高速鉄道,新幹線は日本の高速鉄道システム。1964年に東海道新幹線が開業（東京〜新大阪）。最高速度320km/h。全国に路線網が拡大し、都市間の移動時間を大幅短縮。安全性・定時性が高く、日本の技術力の象徴。輸出され海外でも採用される。交通網の要。,東海道新幹線|高速鉄道|交通|技術,地理-日本,その他,,2
条約改正,じょうやくかいせい,不平等条約を対等にすること,条約改正は幕末に結んだ不平等条約を対等な内容に改正すること。明治政府の最重要課題。関税自主権の回復、領事裁判権の撤廃を目指した。陸奥宗光が領事裁判権を撤廃（1894年）、小村寿太郎が関税自主権を回復（1911年）。近代国家として対等な地位を確立。,不平等条約|陸奥宗光|小村寿太郎|日米修好通商条約,歴史-近代,出来事,,3
梅雨,つゆ,初夏の長雨,梅雨は初夏（6〜7月）の長雨の時期。梅雨前線（停滞前線）が日本付近に停滞し、曇りや雨の日が続く。農業には恵みの雨だが、長雨による日照不足、洪水・土砂災害のリスクもある。沖縄は5月、東北は7月に梅雨入り。北海道にはない。,梅雨前線|気候|降水量|季節,地理-日本,その他,,1
