フレーズ,読み（カタカナ）,意味（日本語）,語源等解説（日本語）,関連語と意味,シチュエーション（日本語）,難易度
Can you keep my spot?,キャン ユー キープ マイ スポット,席を取っておいてくれますか,席取りや待機を頼む表現,Save my seat:席取っておいて,学校,1
Let's study for the test together,レッツ スタディ フォー ザ テスト トゥゲザー,テスト勉強を一緒にしましょう,勉強の呼びかけ,Shall we review?:復習しませんか,学校,1
Do you want to be on my team?,ドゥ ユー ウォント トゥ ビー オン マイ チーム,私のチームに入りませんか,運動会やプロジェクトの誘い,Join my team:チームに入って,学校,2
Could you pass the paper?,クッド ユー パス ザ ペーパー,紙を回してくれますか,配布物の受け渡し,Pass it around:回して,学校,1
Do you know where the club meets?,ドゥ ユー ノウ ホウェア ザ クラブ ミーツ,部活はどこで集まりますか,活動場所の確認,Where is the clubroom?:部室はどこ,学校,2
I'm going to be late for class,アイム ゴーイング トゥ ビー レイト フォー クラス,授業に遅れそうです,到着遅延の報告,I'm running late:遅れています,学校,1
Can I have extra time for the exam?,キャン アイ ハブ エクストラ タイム フォー ジ エグザム,試験の時間延長をお願いできますか,特別配慮の依頼,Can I get extra time?:延長できますか,学校,3
Where is the science lab?,ホウェア イズ ザ サイエンス ラボ,理科室はどこですか,実験室の場所確認,Where's the lab?:実験室はどこ,学校,1
Do you want to study at the library?,ドゥ ユー ウォント トゥ スタディ アット ザ ライブラリー,図書館で勉強しますか,勉強場所の提案,Shall we study at the library?:図書館で勉強する？,学校,1
Can you explain the answer?,キャン ユー エクスプレイン ジ アンサー,答えを説明してくれますか,解説を求める表現,How did you get that?:どうやって解いたの,学校,2
What did the teacher say?,ワット ディド ザ ティーチャー セイ,先生は何と言いましたか,授業中の発言確認,Did you hear the teacher?:先生聞いた？,学校,1
Let's meet after class,レッツ ミート アフター クラス,授業後に会いましょう,待ち合わせの提案,See you after class:授業後にね,学校,1
I'm helping with the school festival,アイム ヘルピング ウィズ ザ スクール フェスティバル,文化祭の手伝いをしています,学校行事の参加表現,I'm volunteering:ボランティアです,学校,2
Do you want to share lunch?,ドゥ ユー ウォント トゥ シェア ランチ,お弁当を分けませんか,昼食の提案,Let's swap lunches:お弁当交換しよう,学校,1
Can you cover my shift at the part time job?,キャン ユー カバー マイ シフト アット ザ パート タイム ジョブ,アルバイトのシフトを代わってくれますか,勤務調整の依頼,Can you take my shift?:シフト代われる？,家庭/仕事,3
I need to ask my parents first,アイ ニード トゥ アスク マイ ペアレンツ ファースト,まず親に聞く必要があります,家庭の了承を得る旨を伝える表現,Let me check with my parents:親に確認する,家庭,1
Please set the table,プリーズ セット ザ テーブル,テーブルを準備してください,家事の依頼,Could you lay the table?:食卓を準備して,家庭,1
Turn off the lights please,ターン オフ ザ ライツ プリーズ,電気を消してください,節電や就寝時の指示,Please switch off the lights:電気を消して,家庭,1
Don't forget to feed the cat,ドント フォーゲット トゥ フィード ザ キャット,猫に餌をあげるのを忘れないで,ペットの世話の依頼,Remember to feed the pet:ペットに餌を,家庭,1
Can you babysit this weekend?,キャン ユー ベビーシット ディス ウィークエンド,今週末子守をしてくれますか,子育て支援の依頼,Can you watch the kids?:子どもを見てくれる？,家庭,3
I need to pick up my sibling from school,アイ ニード トゥ ピック アップ マイ シブリング フロム スクール,兄弟を迎えに行かないといけません,家族の送迎,Pick up my brother:兄を迎えに行く,家庭,1
Can you help me cook dinner?,キャン ユー ヘルプ ミー クック ディナー,夕食作りを手伝ってくれますか,家事分担の依頼,Let's cook together:一緒に料理しよう,家庭,1
What's for dinner tonight?,ワッツ フォー ディナー トゥナイト,今夜の夕食は何ですか,食事内容の確認,What's on the menu?:献立は何,家庭,1
Can you pass the salt?,キャン ユー パス ザ ソルト,塩を取ってください,食卓でのやり取り,Pass me the salt:塩取って,家庭,1
I'm allergic to dairy,アイム アレルジック トゥ デイリー,乳製品にアレルギーがあります,健康情報の共有,I can't have milk:牛乳がダメ,病気,2
I need a day off from school,アイ ニード ア デイ オフ フロム スクール,学校を休みたいです,欠席希望の表現,I need to be absent:欠席します,学校/病気,2
I have a fever,アイ ハブ ア フィーバー,熱があります,症状の申告,I feel hot:熱っぽい,病気,2
My throat hurts,マイ スロート ハーツ,喉が痛いです,症状の申告,I have a sore throat:喉が痛い,病気,2
I need to see a doctor,アイ ニード トゥ シー ア ドクター,医者に診てもらう必要があります,医療の受診を希望する表現,Can I see a doctor?:医者に会えますか,病院,2
Can you take my temperature?,キャン ユー テイク マイ テンパラチャー,体温を測ってくれますか,検温の依頼,Check my temperature:熱を測って,病気,2
Where is the nearest clinic?,ホウェア イズ ザ ニアレスト クリニック,一番近い診療所はどこですか,医療施設の確認,Where's the clinic?:診療所はどこ,旅行/病気,2
I need medicine for a headache,アイ ニード メディスン フォー ア ヘッドエイク,頭痛薬が必要です,薬の要望,Can I get painkillers?:鎮痛剤はありますか,病院/薬局,2
Is this medicine okay for children?,イズ ディス メディスン オーケー フォー チルドレン,この薬は子供用ですか,薬の使用対象確認,Is it safe for kids?:子供に安全？,病院/薬局,3
I have a stomachache,アイ ハブ ア ストマックエイク,腹痛があります,症状の申告,I have a bellyache:お腹が痛い,病気,2
Can I have a sick note?,キャン アイ ハブ ア シック ノート,病欠の診断書をもらえますか,欠席手続き,Do I need a medical certificate?:診断書が必要？,病院,3
My phone battery is dead,マイ フォン バッテリー イズ デッド,携帯の電池が切れました,電子機器のトラブル,Battery is empty:電池が切れた,日常会話,1
Can I use your charger?,キャン アイ ユーズ ユア チャージャー,充電器を使わせてくれますか,充電の依頼,Do you have a charger?:充電器ありますか,日常会話,1
I lost my phone,アイ ロスト マイ フォン,携帯をなくしました,紛失の連絡,I can't find my phone:電話が見つからない,日常会話,2
Where can I buy a SIM card?,ホウェア キャン アイ バイ ア シム カード,SIMカードはどこで買えますか,通信手段の確保,Where can I get a SIM?:SIMはどこで買える,旅行,3
The Wi Fi is not working,ザ ワイファイ イズ ノット ワーキング,Wi Fiがつながりません,ネットワークトラブル,The internet is down:ネットが切れている,日常会話,2
Can you help me connect to Wi Fi?,キャン ユー ヘルプ ミー コネクト トゥ ワイファイ,Wi Fiの接続を手伝ってくれますか,接続サポートの依頼,How do I connect?:繋ぎ方は,日常会話,2
Do you have a password?,ドゥ ユー ハブ ア パスワード,パスワードはありますか,ネット接続情報の確認,What's the password?:パスワードは何,日常会話,1
Where is the supermarket?,ホウェア イズ ザ スーパーマーケット,スーパーはどこですか,買い物場所の確認,Where's the store?:お店はどこ,買い物,1
How much is this apple?,ハウ マッチ イズ ディス アップル,このリンゴはいくらですか,商品の値段確認,What's the cost?:値段はいくら,買い物,1
Do you have this in a different size?,ドゥ ユー ハブ ディス イン ア ディファレント サイズ,これの別サイズはありますか,服のサイズ確認,Any other sizes?:他のサイズは,買い物,2
Can I try the shoes?,キャン アイ トライ ザ シューズ,靴を試し履きできますか,試着の依頼,May I try them on?:試着してもいい？,買い物,1
Do you accept returns?,ドゥ ユー アクセプト リターンズ,返品はできますか,返品ポリシーの確認,Can I return this?:返品できますか,買い物,2
Could I have a bag please?,クッド アイ ハブ ア バッグ プリーズ,袋をください,持ち帰り袋の要望,Can I get a bag?:袋ください,買い物,1
Is there a student discount?,イズ ゼア ア スチューデント ディスカウント,学生割引はありますか,割引の有無確認,Any discounts for students?:学生割引ありますか,買い物,2
Could you review my work?,クッド ユー レビュー マイ ワーク,この資料をチェックしてくれますか,職場で成果物や作業を確認してもらう依頼,Please check this:確認してください,職場,2
I'm on my lunch break.,アイム オン マイ ランチ ブレイク,今昼休み中です,職場での休憩中の状態を伝える表現,Back in 30 minutes:30分で戻る,職場,1
When is the deadline?,ホウェン イズ ザ デッドライン,締切はいつですか,仕事の期日を確認する表現,Due date?:提出日,職場,2
I'd like to open a savings account.,アイド ライク トゥ オープン ア セービングス アカウント,普通預金口座を開きたいです,銀行での口座開設の意思表示,How do I open an account?:口座を開く方法,銀行,2
Can I withdraw cash here?,キャン アイ ウィズドロー キャッシュ ヒア,ここで現金を引き出せますか,ATMや窓口での現金引き出しの確認,Is there an ATM?:ATMありますか,銀行,1
Do you have foreign currency?,ドゥ ユー ハブ フォーリン カレンシー,外貨はありますか,両替や外貨の取り扱い確認,Can I exchange money?:両替できますか,銀行/旅行,3
Where is the check in counter?,ホウェア イズ ザ チェック イン カウンター,チェックインカウンターはどこですか,空港で搭乗手続き場所を尋ねる表現,Where do I check in?:搭乗手続きはどこ,空港,1
How many bags can I check?,ハウ メニー バッグス キャン アイ チェック,何個の荷物を預けられますか,預け入れ手荷物の許容量確認,Is there an extra fee for extra bags?:追加料金ある?,空港,2
Do I need to fill this form?,ドゥ アイ ニード トゥ フィル ディス フォーム,この用紙に記入する必要がありますか,入国カードや税関申告書の記入確認,Please complete the customs form:税関書類を記入,税関/入国,2
Are you carrying any food?,アー ユー キャリング エニー フード,食べ物を持っていますか,税関で持ち込み物の申告を求められた時の質問,Declare food items:食品を申告して,税関,3
I'd like to send this package.,アイド ライク トゥ センド ディス パッケージ,この荷物を送りたいです,郵便局での発送依頼,How much is postage?:送料はいくら,郵便局,1
Can I get tracking for this?,キャン アイ ゲット トラッキング フォー ディス,追跡番号はもらえますか,配送の追跡サービスについての確認,Track my parcel:荷物追跡,郵便局/配達,2
Two tickets please.,トゥー チケッツ プリーズ,チケットを2枚ください,映画館やイベントでの入場券購入の基本表現,Seats for two:2名分の席,映画館/娯楽,1
Is this seat taken?,イズ ディス シート テイケン,この席は空いていますか,座席の空き確認,May I sit here?:ここに座っていい?,映画館/公共,1
Could you lower the volume?,クッド ユー ローワー ザ ボリューム,音量を下げてくれますか,ジムや公共スペースで音が大きい時のお願い,Turn it down please:音量下げて,ジム/公衆,1
Can I join a class?,キャン アイ ジョイン ア クラス,クラスに参加してもいいですか,ジムや教室でクラス参加を確認する表現,Is there a trial class?:体験クラスありますか,ジム/趣味,2
How much is membership?,ハウ マッチ イズ メンバーシップ,会員料金はいくらですか,施設の会費を尋ねる表現,Monthly fee?:月額料金,ジム,2
Do you have an interview appointment?,ドゥ ユー ハブ アン インタビュー アポイントメント,面接の予約はありますか,面接会場で受付が確認する表現,Interview schedule?:面接スケジュール,面接/就職,2
Could you tell me about the role?,クッド ユー テル ミー アバウト ザ ロール,その職務内容について教えてください,面接で仕事内容を具体的に尋ねる表現,What are the responsibilities?:業務内容は,面接/仕事,3
I'd like to speak with customer service.,アイド ライク トゥ スピーク ウィズ カスタマー サービス,カスタマーサービスと話したいです,問い合わせ窓口への案内依頼,Customer support please:サポートお願いします,カスタマーサービス,2
My order hasn't arrived.,マイ オーダー ハズント アライヴド,注文が届いていません,通販や配達トラブルの報告,Where is my package?:荷物はどこ,配達/カスタマーサービス,2
Can you reset my password?,キャン ユー リセット マイ パスワード,パスワードをリセットしてもらえますか,オンラインサービスのアカウント復旧依頼,Password reset:パスワード再設定,オンライン/IT,2
How can I delete my account?,ハウ キャン アイ デリート マイ アカウント,アカウントを削除するにはどうすればいいですか,個人データやアカウント管理に関する問い合わせ,Close my account:アカウントを閉じる,オンライン/プライバシー,3
Do you accept cash on delivery?,ドゥ ユー アクセプト キャッシュ オン デリバリー,代金引換は使えますか,支払い方法の確認,COD available?:代金引換対応,配達/買い物,2
Can I return this by mail?,キャン アイ リターン ディス バイ メール,これを郵送で返品できますか,返品手続きの方法確認,Return via post?:郵送返品,買い物/郵便局,2
Is there a student or senior discount?,イズ ゼア ア スチューデント オア シニア ディスカウント,学生割引やシニア割引はありますか,年齢や立場に応じた割引の有無確認,Any discounts available?:割引ありますか,店舗/サービス,2
Could you approve my expense report?,クッド ユー アプルーブ マイ エクスペンス レポート,経費精算を承認してもらえますか,職場の承認依頼,Approve expenses:経費承認,職場,2
I'm ready for the presentation.,アイム レディ フォー ザ プレゼンテーション,発表の準備ができました,発表開始の宣言,Let's start the presentation:発表始めよう,学校/職場,1
Is this covered by insurance?,イズ ディス カバード バイ インシュアランス,これは保険でカバーされますか,医療費や損害の支払いに関する確認,Will insurance pay?:保険は払うか,病院/保険,3
Can I get a refund for this product?,キャン アイ ゲット ア リファンド フォー ディス プロダクト,この商品の返金はできますか,返品・返金の手続き確認,How to return?:返品方法,買い物/カスタマーサービス,2
Where is platform number three?,ホウェア イズ プラットフォーム ナンバー スリー,3番ホームはどこですか,駅でのホーム確認,Which track?:何番線,道案内/鉄道,1
I'd like to change my reservation.,アイド ライク トゥ チェンジ マイ リザベーション,予約を変更したいです,予約内容の変更申請,Can I reschedule?:日程変更できますか,旅行/ホテル/レストラン,2
The room key isn't working.,ザ ルーム キー イズント ワーキング,部屋の鍵が反応しません,施設のカードキー故障報告,Can you reprogram the key?:鍵を再設定,ホテル,2
I need a receipt for my purchase.,アイ ニード ア レシート フォー マイ パーチェス,購入の領収書が必要です,支払い証明の要求,Receipt please:領収書ください,買い物/店舗,1
Is there wheelchair access?,イズ ゼア ホイールチェア アクセス,車椅子で入れますか,バリアフリーの可否確認,Accessible entrance?:バリアフリー入口,公共施設,2
Could I speak to the manager?,クッド アイ スピーク トゥ ザ マネージャー,店長と話せますか,苦情や正式対応の要望,Talk to the manager:店長お願いします,店舗/カスタマーサービス,2
My luggage is damaged.,マイ ラゲッジ イズ ダメージド,手荷物が破損しています,受け取った荷物の損傷報告,File a damage claim:破損申請,空港/配達,3
Where can I pick up my prescription?,ホウェア キャン アイ ピック アップ マイ プリスクリプション,処方箋はどこで受け取れますか,薬の受取場所確認,Pharmacy pickup:薬局受取,病院/薬局,2
Is this show suitable for children?,イズ ディス ショウ スイタブル フォー チルドレン,この公演は子ども向けですか,上映や公演の対象年齢確認,Family friendly?:家族向け,映画館/イベント,2
Could you call me a taxi?,クッド ユー コール ミー ア タクシー,タクシーを呼んでください,送迎の手配依頼,Call a cab:タクシー呼んで,旅行/移動,1
Do you offer curbside pickup?,ドゥ ユー オファ カーブサイド ピックアップ,店頭受け取りサービスはありますか,非接触受取の有無,Pick up at curb:店頭受取,買い物,2
The screen is frozen.,ザ スクリーン イズ フローズン,画面が固まっています,ITトラブル報告,Restart the app:アプリ再起動,オンライン/IT,2
I need a translator.,アイ ニード ア トランスレーター,通訳が必要です,言語支援の要望,Interpreter needed:通訳必要,病院/役所,3
Is there a lost property office?,イズ ゼア ア ロスト プロパティ オフィス,遺失物取扱所はありますか,落とし物の問合せ,Lost & found:遺失物係,公共/駅,1
Can I change seats?,キャン アイ チェンジ シーツ,席を替えてもいいですか,映画や公演で座席を移動する希望,Move seats please:席を替えて,映画館,1
Do you have a size small?,ドゥ ユー ハブ ア サイズ スモール,サイズSはありますか,服の在庫確認,Any small size?:Sありますか,買い物,1
How long is the wait time?,ハウ ロング イズ ザ ウェイト タイム,待ち時間はどれくらいですか,店や受付の待ち時間確認,What's the queue time?:列はどれくらい,店舗/病院,2
Could I get an extension on the deadline?,クッド アイ ゲット アン エクステンション オン ザ デッドライン,締切の延長をお願いできますか,提出期限の猶予依頼,Request more time:もっと時間ほしい,学校/職場,3
Is there a cloakroom?,イズ ゼア ア クロークルーム,クロークはありますか,荷物預かりサービスの有無確認,Left luggage?:荷物預かり,イベント/旅行,1
Where is the baby changing room?,ホウェア イズ ザ ベイビー チェンジング ルーム,おむつ替えの設備はどこですか,子連れ対応施設の場所確認,Baby room location:ベビールーム,公共施設,1
Please hold my call.,プリーズ ホールド マイ コール,電話を保留にしてください,電話で一時的に保留する表現,Hold the line:保留して,電話/職場,2
There's a fire alarm.,ゼアズ ア ファイア アラーム,火災報知器が鳴っています,緊急事態の通知,Evacuate!:避難して,緊急,3
I'd like to order takeout.,アイド ライク トゥ オーダー テイクアウト,持ち帰りを注文したい,レストランでの持ち帰り注文,I'll get it to go:持ち帰りで,レストラン,1
Can I have this without sugar?,キャン アイ ハブ ディス ウィズアウト シュガー,砂糖抜きでお願いします,飲食のカスタマイズ,No sugar please:砂糖抜きで,レストラン,2
Where is the nearest police box?,ホウェア イズ ザ ニアレスト ポリス ボックス,交番はどこですか,治安や落とし物対応の確認,Police station?:警察署,安全,2
I need to file an insurance claim.,アイ ニード トゥ ファイル アン インシュアランス クレイム,保険の請求をしたい,事故や損害の手続き,Claim form please:請求書類,保険/病院,3
My package shows delivered but I didn't get it.,マイ パッケージ ショウズ デリバード バット アイ ディドント ゲット イット,配達済みになっているが受け取っていません,配達トラブルの報告,Where is my delivery?:配達はどこ,配達/カスタマーサービス,3
Can you recommend a quiet hotel?,キャン ユー レコメンド ア クワイエット ホテル,静かなホテルをおすすめできますか,宿泊先選びの相談,Which hotel is quiet?:静かなホテルはどれ,旅行,2
Do you have gluten-free options?,ドゥ ユー ハブ グルテン フリー オプションズ,グルテンフリーのメニューはありますか,食事制限の確認,Any gluten-free dishes?:グルテンフリーありますか,レストラン,3
I missed my flight.,アイ ミスト マイ フライト,飛行機に乗り遅れました,搭乗の遅延や欠席報告,Can I rebook?:再予約できますか,旅行/空港,3
Please call the doctor.,プリーズ コール ザ ドクター,医者を呼んでください,緊急時の医療依頼,Call a physician:医者呼んで,病院/緊急,3
Where can I print documents?,ホウェア キャン アイ プリント ドキュメンツ,どこで書類を印刷できますか,資料準備のための印刷場所確認,Is there a print shop?:印刷所ありますか,学校/ビジネス,2
Could you waive the late fee?,クッド ユー ウェイブ ザ レイト フィー,延滞料金を免除してもらえますか,支払い交渉の依頼,Remove late charge?:延滞金を無くして,銀行/サービス,3
I need help with my visa application.,アイ ニード ヘルプ ウィズ マイ ヴィザ アプリケーション,ビザ申請の手伝いが必要です,渡航手続きのサポート依頼,Where to apply?:申請はどこ,旅行/官公庁,3
Can I see the ingredients list?,キャン アイ シー ジ イングリーディエンツ リスト,成分表を見せてもらえますか,食品の成分確認とアレルギー対策,Ingredients please:成分を教えて,レストラン/店舗,2
The restroom is out of order.,ザ レストルーム イズ アウト オブ オーダー,トイレが使えません,設備の故障報告,Where is another restroom?:他にトイレは,公共施設,2
Please show your ID.,プリーズ ショウ ヨア アイディー,身分証を見せてください,年齢確認や入場時の本人確認,ID required:身分証必須,イベント/販売,2
Can I get a copy of the report?,キャン アイ ゲット ア コピー オブ ザ レポート,報告書のコピーをもらえますか,書類の複写依頼,Provide me a copy:コピーください,職場/学校,2
I need an interpreter for Japanese.,アイ ニード アン インタープリター フォー ジャパニーズ,日本語の通訳が必要です,言語支援の要望,Interpreter for JP:日本語通訳,病院/役所,3
Is the elevator working?,イズ ジ エレベーター ワーキング,エレベーターは動いていますか,施設の運用状況確認,Use stairs if not:階段を使って,公共施設,1
