語句,読み,意味,詳細解説,関連事項,関連分野,種別,source,grade
国際社会,こくさいしゃかい,主権国家が構成する世界,国際社会は約200の主権国家が相互に関係しながら構成する世界。国連を中心に国際法や国際協力で秩序を維持。グローバル化により相互依存が深まる一方、領土問題、民族紛争、テロなどの課題がある。外交と対話が重要。,主権国家|国際連合|グローバル化|外交,公民-国際,その他,,3
地域統合,ちいきとうごう,複数の国が経済・政治を統合すること,地域統合は複数の国が関税撤廃や共通通貨導入で経済・政治を一体化すること。代表例はEU（欧州連合）。ASEANやNAFTAも地域統合の事例。経済効率は高まるが、主権の制約や格差拡大などの課題もある。,EU|ASEAN|NAFTA|自由貿易,地理-世界,制度概念,,3
執権政治,しっけんせいじ,鎌倉幕府で北条氏が実権を握った政治,執権政治は鎌倉幕府で将軍を補佐する執権（北条氏）が実権を握った政治体制。初代執権は北条時政。3代執権北条泰時は御成敗式目を制定し武家法を整備。承久の乱で朝廷に勝利し武家政権を確立。元寇も執権北条時宗が対応。,鎌倉幕府|北条氏|御成敗式目|承久の乱,歴史-中世,制度概念,,2
墾田永年私財法,こんでんえいねんしざいほう,新しく開墾した土地の私有を認めた法,墾田永年私財法は743年に制定された法律。新しく開墾した土地を永久に私有できると定めた。それまでは一定期間後に国に返還する必要があった。これにより貴族や寺社が大土地（荘園）を所有し、律令制が崩壊していく。,荘園|奈良時代|律令制|公地公民制,歴史-古代,制度概念,,1
外交,がいこう,国家間の交渉や関係構築,外交は国家が他国と交渉し関係を構築すること。外務省が担当。条約の締結、国際会議への参加、大使館の設置などを行う。日本は日米安全保障条約、国連外交、経済外交などを展開。対話と協調が基本だが、国益の追求も重要。,主権|主権国家|条約|国際社会,公民-国際,その他,,3
大都市,だいとし,人口が多く経済の中心となる都市,大都市は人口が多く経済・文化の中心となる都市。日本では東京・大阪・名古屋などの政令指定都市が該当。企業・大学・商業施設が集中し雇用が多い。一方で満員電車、住宅不足、環境問題などの都市問題も発生。地方との格差が課題。,三大都市圏|政令指定都市|都市問題|過密,地理-日本,地名,,2
大陸,たいりく,広大な陸地,大陸は地球上の広大な陸地の総称。ユーラシア大陸・アフリカ大陸・北アメリカ大陸・南アメリカ大陸・オーストラリア大陸・南極大陸の6大陸がある。大陸と大陸の境界はウラル山脈、スエズ運河、パナマ運河などで区切られる。,ユーラシア大陸|アフリカ大陸|北アメリカ大陸|南アメリカ大陸,地理-世界,地名,,1
太平洋側,たいへいようがわ,太平洋に面した地域,太平洋側は日本列島の太平洋に面した地域。夏は南東季節風（太平洋高気圧）の影響で蒸し暑く、冬は乾燥して晴天が多い。降水量は多い。太平洋ベルトに工業地帯が集中。台風の影響を受けやすい。日本海側と対照的な気候。,日本列島|日本海側|季節風|太平洋ベルト,地理-日本,地名,,1
太閤検地,たいこうけんち,豊臣秀吉が行った全国的な土地調査,太閤検地は1582年から豊臣秀吉が行った全国的な土地調査。土地の面積・収穫高を統一基準（石高）で測定。農民を土地に固定し、年貢徴収を確実にした。刀狩とともに兵農分離を進め、近世の身分制度の基礎を築いた。,豊臣秀吉|石高制|刀狩|兵農分離,歴史-近世,制度概念,,2
失業,しつぎょう,働く意思があるのに仕事がない状態,失業は働く意思と能力があるのに仕事に就けない状態。完全失業率で測定される。景気悪化時に増加。長期失業は生活困窮や社会不安を招く。政府は雇用対策、職業訓練、失業給付などで対応。非正規雇用の増加も失業問題に関連。,雇用|雇用問題|失業率|景気,公民-経済,その他,,3
女性運動,じょせいうんどう,女性の権利拡大を求める運動,女性運動は女性の参政権や教育機会の拡大、男女平等を求める社会運動。日本では大正時代に平塚らいてうが青鞜社を結成。市川房枝が婦人参政権運動を展開。戦後、憲法で男女平等が保障され、1999年に男女共同参画社会基本法が制定。,大正デモクラシー|平塚らいてう|市川房枝|男女平等,歴史-近代,出来事,,3
季節風,きせつふう,季節によって向きが変わる風,季節風（モンスーン）は季節によって向きが変わる風。夏は海から陸へ（南東季節風）、冬は陸から海へ（北西季節風）吹く。日本は夏に太平洋側が蒸し暑く、冬に日本海側が豪雪となる。アジアの稲作文化は季節風による降雨に依存。,モンスーン|太平洋側|日本海側|気候,地理-日本,その他,,1
安土城,あづちじょう,織田信長が築いた城,安土城は1579年に織田信長が琵琶湖畔の安土山に築いた城。天守閣に金箔を施した豪華な城で、信長の権力を象徴。本能寺の変の後に焼失。楽市楽座で商業を振興し、城下町を繁栄させた。安土桃山時代の名の由来。,織田信長|本能寺の変|楽市楽座|城下町,歴史-近世,地名,,2
工業,こうぎょう,原料を加工して製品を作る産業,工業は原材料を加工して製品を作る産業。軽工業（繊維・食品など）と重化学工業（鉄鋼・機械・化学など）に分類される。日本は戦後、重化学工業を中心に発展し、1980年代には世界第2位の経済大国となった。近年は先端技術産業が重要。,重化学工業|軽工業|製造業|工業地帯,地理-日本,その他,,2
常任理事国,じょうにんりじこく,国連安保理の常設メンバー国,常任理事国は国連安全保障理事会の常設メンバー5か国（アメリカ・イギリス・フランス・ロシア・中国）。拒否権を持ち、決議に反対すれば否決できる。第二次世界大戦の戦勝国が指定された。日本は非常任理事国として11回選出。,国際連合|安全保障理事会|拒否権|国連,公民-国際,その他,,3
平和,へいわ,戦争や紛争のない状態,平和は戦争や紛争がなく、人々が安心して暮らせる状態。日本国憲法では平和主義が三大原則の一つ。戦争放棄（第9条）を掲げ、国際紛争を平和的手段で解決することを誓う。国連も国際平和の維持を最大の目的とする。,平和主義|戦争放棄|国際平和|日本国憲法,公民-政治,制度概念,,3
平和維持,へいわいじ,紛争後の平和を保つ活動,平和維持は紛争後の地域で平和を保つ国際的な活動。国連PKO（平和維持活動）が代表例。停戦監視、武装解除、選挙支援などを行う。日本も1992年のPKO協力法以降、カンボジア、ゴラン高原などに自衛隊を派遣。国際貢献の一形態。,PKO|国際連合|自衛隊|国際協力,公民-国際,その他,,3
平等原則,びょうどうげんそく,すべての人を平等に扱う原則,平等原則は法の下の平等を定める憲法の原則。日本国憲法第14条で「すべて国民は法の下に平等」と規定。人種・信条・性別・社会的身分・門地で差別されない。平等権の基礎。選挙権、教育、雇用などあらゆる場面で適用される。,法の下の平等|基本的人権|平等権|日本国憲法,公民-人権,制度概念,,3
座,ざ,中世の同業者組合,座は中世（鎌倉〜室町時代）に同業者が結成した組合。織物座、酒屋座などがあり、販売独占権を得て利益を守った。座に入れない者は商売できず、自由な経済活動を妨げた。織田信長は楽市楽座令で座を廃止し、自由な商業を促進した。,楽市楽座|室町時代|織田信長|商業,歴史-中世,制度概念,,2
憲法,けんぽう,国の基本法,憲法は国の政治の基本的な仕組みを定めた最高法規。国民の権利、国家機関の組織・権限を規定。日本では大日本帝国憲法（1889年）と日本国憲法（1946年）がある。日本国憲法は国民主権・基本的人権の尊重・平和主義を三大原則とする。,日本国憲法|大日本帝国憲法|三大原則|立憲主義,公民-政治,制度概念,,3
拒否権,きょひけん,安保理常任理事国の反対で決議を無効にする権利,拒否権は国連安全保障理事会の常任理事国5か国が持つ特別な権利。決議に1か国でも反対すれば否決される。冷戦時代は米ソが頻繁に行使し、国連の機能を麻痺させた。現在も常任理事国の利害対立で機能不全が問題。,常任理事国|国連|安全保障理事会|冷戦,公民-国際,制度概念,,3
政党政治,せいとうせいじ,政党が中心となる政治,政党政治は政党が議会で多数を占め内閣を組織する政治形態。大正時代に本格化し、原敬が初の本格的政党内閣を組織。普通選挙法の成立で民主化が進んだが、軍部の台頭で衰退。戦後、日本国憲法下で再興し、議院内閣制の基礎となる。,大正デモクラシー|原敬|普通選挙法|議院内閣制,歴史-近代,制度概念,,3
日本列島,にほんれっとう,日本を構成する島々,日本列島は北海道・本州・四国・九州の4大島と約6800の島々で構成される弓状の列島。環太平洋造山帯に位置し、火山・地震が多い。海洋性の温暖な気候。季節風の影響で太平洋側と日本海側で気候が異なる。豊かな自然と四季が特徴。,北海道|本州|四国|九州,地理-日本,地名,,1
日本海側,にほんかいがわ,日本海に面した地域,日本海側は日本列島の日本海に面した地域。冬に北西季節風が日本海で水蒸気を含み、山地にぶつかって大雪を降らせる。世界有数の豪雪地帯。夏は比較的涼しい。太平洋側と比べ人口・産業が少なく、過疎化が進む地域もある。,日本列島|太平洋側|季節風|豪雪,地理-日本,地名,,1
村社会,むらしゃかい,江戸時代の農村共同体,村社会は江戸時代の農村共同体。村ごとに自治が行われ、年貢の納入、用水管理、共同作業を行った。村役人（名主・庄屋）が指導。五人組で相互監視。士農工商の身分制度で農民は土地に縛られたが、村の自治により生活を支えた。,江戸時代|士農工商|身分制度|五人組,歴史-近世,制度概念,,2
東南アジア,とうなんあじあ,アジア南東部の地域,東南アジアはインドシナ半島とマレー諸島からなる地域。タイ・ベトナム・インドネシア・フィリピンなど11か国。熱帯モンスーン気候で稲作が盛ん。ASEAN（東南アジア諸国連合）を結成し地域統合を進める。人口増加と経済発展が著しい。,ASEAN|タイ|ベトナム|インドネシア,地理-世界,地名,,2
東南アジア諸国連合,とうなんあじあしょこくれんごう,ASEAN・東南アジアの地域機構,東南アジア諸国連合（ASEAN）は1967年に設立された東南アジアの地域機構。タイ・インドネシア・マレーシアなど10か国が加盟。経済協力・政治的安定・文化交流を促進。自由貿易地域を形成し、地域統合を進める。日本との関係も深い。,ASEAN|東南アジア|地域統合|自由貿易,地理-世界,制度概念,,2
核兵器廃絶,かくへいきはいぜつ,核兵器をなくすこと,核兵器廃絶は核兵器を地球上からなくす取り組み。唯一の被爆国である日本は核兵器廃絶を訴え続ける。NPT（核拡散防止条約）、CTBT（包括的核実験禁止条約）が国際的な枠組み。2017年に核兵器禁止条約が採択されたが、核保有国は不参加。,NPT|CTBT|広島|長崎,公民-国際,制度概念,,3
核軍縮,かくぐんしゅく,核兵器を削減すること,核軍縮は核兵器の数を減らし、最終的に廃絶を目指す取り組み。冷戦終結後、米ロ間で核軍縮条約が結ばれた。NPT（核拡散防止条約）、CTBT（包括的核実験禁止条約）が枠組み。しかし核保有国は約1万3000発を保有し、完全な廃絶は実現していない。,NPT|CTBT|核兵器廃絶|冷戦,公民-国際,制度概念,,3
楽市楽座,らくいちらくざ,織田信長が行った商業振興策,楽市楽座は織田信長が安土城下などで実施した商業振興策。「楽市」は自由市場、「楽座」は座（同業者組合）の特権廃止。誰でも自由に商売でき、城下町が繁栄。関所も撤廃し流通を活発化。近世商業の発展の基礎となった。,織田信長|安土城|座|商業,歴史-近世,制度概念,,2
欧州連合,おうしゅうれんごう,ヨーロッパの地域統合組織,欧州連合（EU）は1993年に発足したヨーロッパの地域統合組織。27か国が加盟（2020年時点、イギリス離脱後）。単一通貨ユーロ導入、国境管理撤廃（シェンゲン協定）で経済・政治を統合。欧州議会・欧州委員会が運営。地域統合の最も進んだ事例。,EU|ユーロ|地域統合|シェンゲン協定,地理-世界,制度概念,,3
民族自決,みんぞくじけつ,民族が自らの政治を決める権利,民族自決は各民族が外国の干渉を受けず自らの政治体制を決定する権利。第一次世界大戦後、アメリカのウィルソン大統領が提唱。ベルサイユ条約で東欧諸国が独立。しかし植民地の独立には適用されず、第二次世界大戦後にアジア・アフリカで独立運動が高まった。,第一次世界大戦|ウィルソン|ベルサイユ条約|植民地,歴史-近代,制度概念,,3
気候,きこう,長期間の平均的な天気,気候は長期間（数十年）の平均的な天気の状態。気温・降水量・風向などで特徴づけられる。熱帯・温帯・寒帯・乾燥帯などに分類される。日本は温帯（温暖湿潤気候）で四季がある。気候は農業・生活様式に大きく影響。近年は気候変動（温暖化）が問題。,気候帯|温帯|熱帯|季節風,地理-日本,その他,,1
気候帯,きこうたい,気候による地球の区分,気候帯は気温・降水量により地球を区分したもの。熱帯・温帯・寒帯・乾燥帯・高山気候に分類される。熱帯は年中高温多湿、温帯は四季あり、寒帯は年中寒冷。気候帯により農業・生活様式が異なる。日本は温帯に属する。,熱帯|温帯|寒帯|乾燥帯,地理-世界,その他,,1
海洋,かいよう,地球表面の水域,海洋は地球表面を覆う広大な水域。太平洋・大西洋・インド洋・北極海・南極海の5大洋がある。地球の7割を占め、気候調節、食料供給、交通路として重要。海洋資源（石油・天然ガス・魚介類）も豊富。海洋汚染や乱獲が問題。,太平洋|大西洋|インド洋|海洋資源,地理-世界,その他,,1
港湾,こうわん,船の発着・荷役を行う施設,港湾は船の発着、貨物の積み下ろしを行う施設。貿易の拠点として重要。日本の主要港湾は横浜港・神戸港・名古屋港など。コンテナ化により効率的な輸送が可能。空港・鉄道と連結し物流ネットワークの要。国際貿易に不可欠。,貿易|輸出入|横浜港|神戸港,地理-日本,その他,,2
無条件降伏,むじょうけんこうふく,条件なしで降伏すること,無条件降伏は戦争で敗北国が一切の条件をつけずに降伏すること。第二次世界大戦で連合国がドイツ・日本に要求。日本は1945年8月、ポツダム宣言を受諾し無条件降伏。天皇制の維持のみ条件として認められた。終戦を迎えた。,第二次世界大戦|ポツダム宣言|終戦|連合国,歴史-現代,出来事,,3
熱帯雨林,ねったいうりん,熱帯の密林,熱帯雨林は赤道付近の高温多湿地域に広がる密林。アマゾン川流域、コンゴ盆地、東南アジアに分布。多様な動植物が生息し「地球の肺」と呼ばれる。しかし開発や焼畑農業で急速に減少。地球温暖化の原因となり、生物多様性の損失が懸念される。,アマゾン川|熱帯|森林破壊|生物多様性,地理-環境,その他,,2
砂漠,さばく,降水量が極端に少ない地域,砂漠は年間降水量250mm以下の乾燥した地域。サハラ砂漠（アフリカ）、アラビア砂漠（中東）などがある。植物がほとんど育たず、人の居住も困難。オアシスでは農業が行われる。近年は過放牧や森林伐採により砂漠化が進行。,サハラ砂漠|乾燥帯|オアシス|砂漠化,地理-世界,地名,,2
砂漠化,さばくか,土地が砂漠のように荒廃すること,砂漠化は過放牧・森林伐採・気候変動により土地が砂漠のように荒廃する現象。アフリカのサヘル地域などで深刻。食料生産が減少し、貧困・飢餓を招く。国連砂漠化対処条約で国際的に対策。持続可能な土地利用が課題。,砂漠|環境破壊|サヘル|持続可能な開発,地理-環境,その他,,3
禁教令,きんきょうれい,キリスト教を禁止した法令,禁教令は江戸幕府が1612年に出したキリスト教禁止令。キリシタン大名の勢力拡大や西洋諸国の侵略を恐れた。宣教師を追放し信者を弾圧。1637年の島原の乱後、踏絵で信者を摘発。鎖国政策の一環として長崎出島でのオランダ貿易のみ許可。,江戸幕府|鎖国|島原の乱|踏絵,歴史-近世,制度概念,,2
租税,そぜい,税金,租税は国や地方自治体が公共サービスの財源として国民から強制的に徴収するお金。所得税・消費税・法人税などがある。日本国憲法第30条で納税の義務が定められる。税金は社会保障・教育・防衛などに使われる。公平な税負担が原則。,税金|財政|納税の義務|所得税,公民-経済,制度概念,,3
第二次世界大戦,だいにじせかいたいせん,1939-1945年の世界大戦,第二次世界大戦は1939年から1945年までの世界規模の戦争。ドイツのポーランド侵攻が発端。枢軸国（ドイツ・イタリア・日本）と連合国（アメリカ・イギリス・ソ連など）が対立。原爆投下、ホロコーストなど未曾有の被害。日本は1945年に敗戦。,太平洋戦争|原爆投下|ポツダム宣言|連合国,歴史-現代,出来事,,3
精神の自由,せいしんのじゆう,思想・信教の自由,精神の自由は思想・良心の自由、信教の自由、学問の自由、表現の自由などの総称。日本国憲法第19条〜23条で保障される。内心の自由は絶対的に保護される。民主主義社会の基盤。検閲の禁止、政教分離も含む。,基本的人権|自由権|思想の自由|表現の自由,公民-人権,制度概念,,3
経済,けいざい,生産・流通・消費の仕組み,経済は人々が生産・流通・消費を通じて生活する仕組み。市場経済では需要と供給により価格が決まる。政府は財政・金融政策で経済を調整。資本主義経済と社会主義経済がある。日本は市場経済を基本とするが、政府の役割も大きい。,市場経済|資本主義|財政|金融政策,公民-経済,その他,,3
経済活動,けいざいかつどう,生産・流通・消費の活動,経済活動は生産・流通・消費など経済に関わる人間の活動。企業の生産、消費者の購買、銀行の融資などが含まれる。経済活動の自由は資本主義経済の基本原理だが、独占や公害などの弊害を防ぐため政府が規制することもある。,生産|流通|消費|市場経済,公民-経済,その他,,3
経済活動の自由,けいざいかつどうのじゆう,職業選択や財産権の自由,経済活動の自由は職業選択の自由、財産権などの経済的自由権。日本国憲法第22条・29条で保障される。自由競争により経済が発展する。ただし公共の福祉による制限があり、独占禁止法や労働基準法で規制される。,基本的人権|自由権|職業選択の自由|財産権,公民-人権,制度概念,,3
総力戦,そうりょくせん,国家の全資源を投入する戦争,総力戦は軍隊だけでなく国民・産業・経済など国家の全資源を投入する戦争形態。第一次世界大戦が最初の総力戦とされる。銃後の国民も戦争に動員され、工場・農業が軍需生産に転換。民間人も空襲などで犠牲となった。第二次世界大戦でさらに徹底。,第一次世界大戦|第二次世界大戦|国家総動員法|銃後,歴史-近代,制度概念,,3
護憲運動,ごけんうんどう,憲法を守ろうとする運動,護憲運動は大正時代に憲法に基づく政党政治を守ろうとする民衆運動。1912年の第一次護憲運動では尾崎行雄らが「閥族打破・憲政擁護」を掲げ、桂太郎内閣を倒した。第二次護憲運動（1924年）では加藤高明内閣が成立し普通選挙法が制定された。,大正デモクラシー|尾崎行雄|政党政治|普通選挙法,歴史-近代,出来事,,3
貸付,かしつけ,お金を貸すこと,貸付は銀行や金融機関が企業や個人にお金を貸すこと。利子を付けて返済する約束で行われる。企業の設備投資や個人の住宅購入に使われる。銀行は預金と貸付の金利差で利益を得る。返済能力を審査し、担保を要求することもある。,銀行|利子|融資|金利,公民-経済,その他,,3
貿易,ぼうえき,国際的な商品の売買,貿易は国境を越えて商品を売買すること。輸出（売る）と輸入（買う）がある。日本は資源を輸入し工業製品を輸出する加工貿易で発展。貿易黒字（輸出＞輸入）と貿易赤字（輸入＞輸出）がある。自由貿易と保護貿易の対立が課題。,輸出|輸入|貿易収支|自由貿易,地理-日本,その他,,2
貿易収支,ぼうえきしゅうし,輸出と輸入の差額,貿易収支は輸出額から輸入額を引いた差額。黒字なら輸出が多く、赤字なら輸入が多い。日本は長年貿易黒字だったが、近年は原油価格上昇や円安で赤字となる年もある。貿易収支は国の経済力を示す指標の一つ。,貿易|輸出|輸入|経常収支,地理-日本,制度概念,,2
身分制度,みぶんせいど,生まれで社会的地位が決まる制度,身分制度は生まれによって社会的地位が固定される制度。江戸時代の士農工商が代表例。武士が支配層、農民・町人は被支配層、えた・ひにんは差別された。身分による職業・居住地・服装が制限された。明治維新で四民平等が実現し身分制度は廃止。,士農工商|江戸時代|四民平等|明治維新,歴史-近世,制度概念,,2
軍縮,ぐんしゅく,軍備を削減すること,軍縮は軍隊の規模や兵器を削減すること。軍事費を削減し、平和を実現する。第一次世界大戦後のワシントン海軍軍縮会議、冷戦後の米ロ核軍縮などがある。国連も軍縮を推進。しかし軍事的緊張が高まると軍拡に転じることもある。,核軍縮|ワシントン会議|国際連合|平和,公民-国際,その他,,3
輸出,ゆしゅつ,外国に商品を売ること,輸出は自国で生産した商品を外国に売ること。日本は自動車・電子機器・機械などを輸出。外貨を獲得し経済成長に貢献。輸出が多ければ貿易黒字となる。円高だと輸出品が高くなり不利、円安だと有利。輸出依存度が高いと為替変動の影響を受けやすい。,貿易|貿易収支|輸入|円高円安,地理-日本,その他,,2
輸出入,ゆしゅつにゅう,外国との商品売買,輸出入は外国に商品を売る（輸出）と外国から商品を買う（輸入）の総称。日本は資源・食料を輸入し、工業製品を輸出する加工貿易で発展。輸出と輸入の差が貿易収支。港湾・空港が貿易の拠点。自由貿易協定（FTA）で関税を撤廃する動きも進む。,貿易|貿易収支|輸出|輸入,地理-日本,その他,,2
重化学工業,じゅうかがくこうぎょう,金属・機械・化学の工業,重化学工業は鉄鋼・機械・化学などの工業の総称。大量の資源・エネルギーを必要とし、大規模な設備投資が必要。日本は戦後、重化学工業を中心に高度経済成長を遂げた。太平洋ベルトに工業地帯が集中。近年は先端技術産業へ転換。,工業|鉄鋼|太平洋ベルト|高度経済成長,地理-日本,制度概念,,2
金利,きんり,お金の貸し借りの利子率,金利は預金や貸付の利子の割合。中央銀行（日本銀行）が金融政策で調整する。低金利政策では企業が借りやすくなり景気刺激、高金利政策では物価上昇を抑制。日本は1990年代以降、低金利政策を続けている。金利は経済活動に大きく影響。,日本銀行|中央銀行|利子|金融政策,公民-経済,制度概念,,3
銀行,ぎんこう,預金・貸付を行う金融機関,銀行は預金を受け入れ、企業や個人に貸し付ける金融機関。預金と貸付の金利差で利益を得る。日本銀行（中央銀行）は銀行の銀行として金融システムを統括。銀行は経済の血液とも呼ばれ、資金を循環させる重要な役割を果たす。,日本銀行|預金|貸付|金利,公民-経済,制度概念,,3
雇用問題,こようもんだい,雇用に関する社会問題,雇用問題は失業・非正規雇用の増加・賃金格差などの問題。景気悪化時に失業が増え、若年層の就職難が深刻化。非正規雇用（パート・派遣）は雇用が不安定で低賃金。政府は雇用対策、職業訓練、働き方改革で対応。労働者の権利保護が課題。,失業|非正規雇用|労働|雇用対策,公民-経済,その他,,3
預金,よきん,銀行にお金を預けること,預金は銀行にお金を預けること。普通預金・定期預金などがある。利子を受け取れるが、低金利では利子は僅か。預金は銀行が企業への貸付に使い、経済を循環させる。預金保険制度で1000万円まで保護される。安全な資産管理手段。,銀行|利子|貸付|金利,公民-経済,その他,,3
