語句,発音（カタカナ）,和訳,語源等解説や覚え方（日本語）,関連語（英語）と意味（日本語）,関連分野（日本語）,難易度
look with,Look With,見る ～と一緒に,look + with の結合でできる慣用表現。同行や付帯,look:見る,日常,1
look into,Look Into,見る ～の中へ,look + into の結合でできる慣用表現。内部への移動,look:見る,日常,1
look through,Look Through,見る 通して,look + through の結合でできる慣用表現。貫通・通過,look:見る,日常,1
look away from,Look Away From,見る ～から離れて,look + away from の結合でできる慣用表現。起点からの離脱,look:見る,日常,1
look around,Look Around,見る 周りに/だいたい,look + around の結合でできる慣用表現。周辺やおおむね,look:見る,日常,1
look across,Look Across,見る 横切って,look + across の結合でできる慣用表現。横断,look:見る,日常,1
look along,Look Along,見る 沿って,look + along の結合でできる慣用表現。沿って移動,look:見る,日常,1
look throughout,Look Throughout,見る 全体に,look + throughout の結合でできる慣用表現。全域を通じて,look:見る,日常,1
take up,Take Up,取る 上へ,take + up の結合でできる慣用表現。動作の完了,take:取る,日常,1
take down,Take Down,取る 下へ,take + down の結合でできる慣用表現。動作の停止・解除,take:取る,日常,1
take on,Take On,取る ～の上に/作動,take + on の結合でできる慣用表現。作動や継続を示す,take:取る,日常,1
take in,Take In,取る 中に,take + in の結合でできる慣用表現。内への動作,take:取る,日常,1
take out,Take Out,取る 外へ,take + out の結合でできる慣用表現。外への動作,take:取る,日常,1
take back,Take Back,取る 戻る,take + back の結合でできる慣用表現。復帰・逆戻り,take:取る,日常,1
take away,Take Away,取る 離れて,take + away の結合でできる慣用表現。離脱を示す,take:取る,日常,1
take over,Take Over,取る 越えて/再度,take + over の結合でできる慣用表現。完了や繰り返し,take:取る,日常,1
take about,Take About,取る 約/～について,take + about の結合でできる慣用表現。おおよその意や話題,take:取る,日常,1
take after,Take After,取る 後に/世話,take + after の結合でできる慣用表現。時の後続や世話を表す,take:取る,日常,1
take for,Take For,取る ～のために/目的,take + for の結合でできる慣用表現。目的を示す,take:取る,日常,1
take with,Take With,取る ～と一緒に,take + with の結合でできる慣用表現。同行や付帯,take:取る,日常,1
take into,Take Into,取る ～の中へ,take + into の結合でできる慣用表現。内部への移動,take:取る,日常,1
take through,Take Through,取る 通して,take + through の結合でできる慣用表現。貫通・通過,take:取る,日常,1
take away from,Take Away From,取る ～から離れて,take + away from の結合でできる慣用表現。起点からの離脱,take:取る,日常,1
take around,Take Around,取る 周りに/だいたい,take + around の結合でできる慣用表現。周辺やおおむね,take:取る,日常,1
take across,Take Across,取る 横切って,take + across の結合でできる慣用表現。横断,take:取る,日常,1
take along,Take Along,取る 沿って,take + along の結合でできる慣用表現。沿って移動,take:取る,日常,1
take throughout,Take Throughout,取る 全体に,take + throughout の結合でできる慣用表現。全域を通じて,take:取る,日常,1
put up,Put Up,置く 上へ,put + up の結合でできる慣用表現。動作の完了,put:置く,日常,1
put down,Put Down,置く 下へ,put + down の結合でできる慣用表現。動作の停止・解除,put:置く,日常,1
put off,Put Off,置く ～から離れて/停止,put + off の結合でできる慣用表現。停止や除去を示す,put:置く,日常,1
put in,Put In,置く 中に,put + in の結合でできる慣用表現。内への動作,put:置く,日常,1
put out,Put Out,置く 外へ,put + out の結合でできる慣用表現。外への動作,put:置く,日常,1
put back,Put Back,置く 戻る,put + back の結合でできる慣用表現。復帰・逆戻り,put:置く,日常,1
put away,Put Away,置く 離れて,put + away の結合でできる慣用表現。離脱を示す,put:置く,日常,1
put over,Put Over,置く 越えて/再度,put + over の結合でできる慣用表現。完了や繰り返し,put:置く,日常,1
put about,Put About,置く 約/～について,put + about の結合でできる慣用表現。おおよその意や話題,put:置く,日常,1
put after,Put After,置く 後に/世話,put + after の結合でできる慣用表現。時の後続や世話を表す,put:置く,日常,1
put for,Put For,置く ～のために/目的,put + for の結合でできる慣用表現。目的を示す,put:置く,日常,1
put with,Put With,置く ～と一緒に,put + with の結合でできる慣用表現。同行や付帯,put:置く,日常,1
put into,Put Into,置く ～の中へ,put + into の結合でできる慣用表現。内部への移動,put:置く,日常,1
put through,Put Through,置く 通して,put + through の結合でできる慣用表現。貫通・通過,put:置く,日常,1
put away from,Put Away From,置く ～から離れて,put + away from の結合でできる慣用表現。起点からの離脱,put:置く,日常,1
put around,Put Around,置く 周りに/だいたい,put + around の結合でできる慣用表現。周辺やおおむね,put:置く,日常,1
put across,Put Across,置く 横切って,put + across の結合でできる慣用表現。横断,put:置く,日常,1
put along,Put Along,置く 沿って,put + along の結合でできる慣用表現。沿って移動,put:置く,日常,1
put throughout,Put Throughout,置く 全体に,put + throughout の結合でできる慣用表現。全域を通じて,put:置く,日常,1
turn up,Turn Up,回す 上へ,turn + up の結合でできる慣用表現。動作の完了,turn:回す,日常,1
turn down,Turn Down,回す 下へ,turn + down の結合でできる慣用表現。動作の停止・解除,turn:回す,日常,1
turn in,Turn In,回す 中に,turn + in の結合でできる慣用表現。内への動作,turn:回す,日常,1
turn out,Turn Out,回す 外へ,turn + out の結合でできる慣用表現。外への動作,turn:回す,日常,1
turn back,Turn Back,回す 戻る,turn + back の結合でできる慣用表現。復帰・逆戻り,turn:回す,日常,1
turn away,Turn Away,回す 離れて,turn + away の結合でできる慣用表現。離脱を示す,turn:回す,日常,1
turn over,Turn Over,回す 越えて/再度,turn + over の結合でできる慣用表現。完了や繰り返し,turn:回す,日常,1
turn about,Turn About,回す 約/～について,turn + about の結合でできる慣用表現。おおよその意や話題,turn:回す,日常,1
turn after,Turn After,回す 後に/世話,turn + after の結合でできる慣用表現。時の後続や世話を表す,turn:回す,日常,1
turn for,Turn For,回す ～のために/目的,turn + for の結合でできる慣用表現。目的を示す,turn:回す,日常,1
turn with,Turn With,回す ～と一緒に,turn + with の結合でできる慣用表現。同行や付帯,turn:回す,日常,1
turn into,Turn Into,回す ～の中へ,turn + into の結合でできる慣用表現。内部への移動,turn:回す,日常,1
turn through,Turn Through,回す 通して,turn + through の結合でできる慣用表現。貫通・通過,turn:回す,日常,1
turn away from,Turn Away From,回す ～から離れて,turn + away from の結合でできる慣用表現。起点からの離脱,turn:回す,日常,1
turn around,Turn Around,回す 周りに/だいたい,turn + around の結合でできる慣用表現。周辺やおおむね,turn:回す,日常,1
turn across,Turn Across,回す 横切って,turn + across の結合でできる慣用表現。横断,turn:回す,日常,1
turn along,Turn Along,回す 沿って,turn + along の結合でできる慣用表現。沿って移動,turn:回す,日常,1
turn throughout,Turn Throughout,回す 全体に,turn + throughout の結合でできる慣用表現。全域を通じて,turn:回す,日常,1
come up,Come Up,来る 上へ,come + up の結合でできる慣用表現。動作の完了,come:来る,日常,1
come down,Come Down,来る 下へ,come + down の結合でできる慣用表現。動作の停止・解除,come:来る,日常,1
come on,Come On,来る ～の上に/作動,come + on の結合でできる慣用表現。作動や継続を示す,come:来る,日常,1
come off,Come Off,来る ～から離れて/停止,come + off の結合でできる慣用表現。停止や除去を示す,come:来る,日常,1
come in,Come In,来る 中に,come + in の結合でできる慣用表現。内への動作,come:来る,日常,1
come out,Come Out,来る 外へ,come + out の結合でできる慣用表現。外への動作,come:来る,日常,1
come away,Come Away,来る 離れて,come + away の結合でできる慣用表現。離脱を示す,come:来る,日常,1
come over,Come Over,来る 越えて/再度,come + over の結合でできる慣用表現。完了や繰り返し,come:来る,日常,1
come about,Come About,来る 約/～について,come + about の結合でできる慣用表現。おおよその意や話題,come:来る,日常,1
come after,Come After,来る 後に/世話,come + after の結合でできる慣用表現。時の後続や世話を表す,come:来る,日常,1
come for,Come For,来る ～のために/目的,come + for の結合でできる慣用表現。目的を示す,come:来る,日常,1
come with,Come With,来る ～と一緒に,come + with の結合でできる慣用表現。同行や付帯,come:来る,日常,1
come into,Come Into,来る ～の中へ,come + into の結合でできる慣用表現。内部への移動,come:来る,日常,1
come through,Come Through,来る 通して,come + through の結合でできる慣用表現。貫通・通過,come:来る,日常,1
come away from,Come Away From,来る ～から離れて,come + away from の結合でできる慣用表現。起点からの離脱,come:来る,日常,1
come around,Come Around,来る 周りに/だいたい,come + around の結合でできる慣用表現。周辺やおおむね,come:来る,日常,1
come across,Come Across,来る 横切って,come + across の結合でできる慣用表現。横断,come:来る,日常,1
come along,Come Along,来る 沿って,come + along の結合でできる慣用表現。沿って移動,come:来る,日常,1
come throughout,Come Throughout,来る 全体に,come + throughout の結合でできる慣用表現。全域を通じて,come:来る,日常,1
give up,Give Up,与える 上へ,give + up の結合でできる慣用表現。動作の完了,give:与える,日常,2
give down,Give Down,与える 下へ,give + down の結合でできる慣用表現。動作の停止・解除,give:与える,日常,2
give on,Give On,与える ～の上に/作動,give + on の結合でできる慣用表現。作動や継続を示す,give:与える,日常,2
give off,Give Off,与える ～から離れて/停止,give + off の結合でできる慣用表現。停止や除去を示す,give:与える,日常,2
give in,Give In,与える 中に,give + in の結合でできる慣用表現。内への動作,give:与える,日常,2
give out,Give Out,与える 外へ,give + out の結合でできる慣用表現。外への動作,give:与える,日常,2
give back,Give Back,与える 戻る,give + back の結合でできる慣用表現。復帰・逆戻り,give:与える,日常,2
give away,Give Away,与える 離れて,give + away の結合でできる慣用表現。離脱を示す,give:与える,日常,2
give over,Give Over,与える 越えて/再度,give + over の結合でできる慣用表現。完了や繰り返し,give:与える,日常,2
give about,Give About,与える 約/～について,give + about の結合でできる慣用表現。おおよその意や話題,give:与える,日常,2
give after,Give After,与える 後に/世話,give + after の結合でできる慣用表現。時の後続や世話を表す,give:与える,日常,2
give for,Give For,与える ～のために/目的,give + for の結合でできる慣用表現。目的を示す,give:与える,日常,2
give with,Give With,与える ～と一緒に,give + with の結合でできる慣用表現。同行や付帯,give:与える,日常,2
give into,Give Into,与える ～の中へ,give + into の結合でできる慣用表現。内部への移動,give:与える,日常,2
give through,Give Through,与える 通して,give + through の結合でできる慣用表現。貫通・通過,give:与える,日常,2
give away from,Give Away From,与える ～から離れて,give + away from の結合でできる慣用表現。起点からの離脱,give:与える,日常,2
give around,Give Around,与える 周りに/だいたい,give + around の結合でできる慣用表現。周辺やおおむね,give:与える,日常,2
give across,Give Across,与える 横切って,give + across の結合でできる慣用表現。横断,give:与える,日常,2
give along,Give Along,与える 沿って,give + along の結合でできる慣用表現。沿って移動,give:与える,日常,2
give throughout,Give Throughout,与える 全体に,give + throughout の結合でできる慣用表現。全域を通じて,give:与える,日常,2
set up,Set Up,置く/設定する 上へ,set + up の結合でできる慣用表現。動作の完了,set:置く/設定する,日常,2
set down,Set Down,置く/設定する 下へ,set + down の結合でできる慣用表現。動作の停止・解除,set:置く/設定する,日常,2
set on,Set On,置く/設定する ～の上に/作動,set + on の結合でできる慣用表現。作動や継続を示す,set:置く/設定する,日常,2
set off,Set Off,置く/設定する ～から離れて/停止,set + off の結合でできる慣用表現。停止や除去を示す,set:置く/設定する,日常,2
set in,Set In,置く/設定する 中に,set + in の結合でできる慣用表現。内への動作,set:置く/設定する,日常,2
set out,Set Out,置く/設定する 外へ,set + out の結合でできる慣用表現。外への動作,set:置く/設定する,日常,2
set back,Set Back,置く/設定する 戻る,set + back の結合でできる慣用表現。復帰・逆戻り,set:置く/設定する,日常,2
set away,Set Away,置く/設定する 離れて,set + away の結合でできる慣用表現。離脱を示す,set:置く/設定する,日常,2
set over,Set Over,置く/設定する 越えて/再度,set + over の結合でできる慣用表現。完了や繰り返し,set:置く/設定する,日常,2
set about,Set About,置く/設定する 約/～について,set + about の結合でできる慣用表現。おおよその意や話題,set:置く/設定する,日常,2
set after,Set After,置く/設定する 後に/世話,set + after の結合でできる慣用表現。時の後続や世話を表す,set:置く/設定する,日常,2
set for,Set For,置く/設定する ～のために/目的,set + for の結合でできる慣用表現。目的を示す,set:置く/設定する,日常,2
set with,Set With,置く/設定する ～と一緒に,set + with の結合でできる慣用表現。同行や付帯,set:置く/設定する,日常,2
set into,Set Into,置く/設定する ～の中へ,set + into の結合でできる慣用表現。内部への移動,set:置く/設定する,日常,2
set through,Set Through,置く/設定する 通して,set + through の結合でできる慣用表現。貫通・通過,set:置く/設定する,日常,2
set away from,Set Away From,置く/設定する ～から離れて,set + away from の結合でできる慣用表現。起点からの離脱,set:置く/設定する,日常,2
set around,Set Around,置く/設定する 周りに/だいたい,set + around の結合でできる慣用表現。周辺やおおむね,set:置く/設定する,日常,2
set across,Set Across,置く/設定する 横切って,set + across の結合でできる慣用表現。横断,set:置く/設定する,日常,2
set along,Set Along,置く/設定する 沿って,set + along の結合でできる慣用表現。沿って移動,set:置く/設定する,日常,2
set throughout,Set Throughout,置く/設定する 全体に,set + throughout の結合でできる慣用表現。全域を通じて,set:置く/設定する,日常,2
bring up,Bring Up,持ってくる 上へ,bring + up の結合でできる慣用表現。動作の完了,bring:持ってくる,日常,2
bring down,Bring Down,持ってくる 下へ,bring + down の結合でできる慣用表現。動作の停止・解除,bring:持ってくる,日常,2
bring on,Bring On,持ってくる ～の上に/作動,bring + on の結合でできる慣用表現。作動や継続を示す,bring:持ってくる,日常,2
bring off,Bring Off,持ってくる ～から離れて/停止,bring + off の結合でできる慣用表現。停止や除去を示す,bring:持ってくる,日常,2
bring in,Bring In,持ってくる 中に,bring + in の結合でできる慣用表現。内への動作,bring:持ってくる,日常,2
bring out,Bring Out,持ってくる 外へ,bring + out の結合でできる慣用表現。外への動作,bring:持ってくる,日常,2
bring back,Bring Back,持ってくる 戻る,bring + back の結合でできる慣用表現。復帰・逆戻り,bring:持ってくる,日常,2
bring away,Bring Away,持ってくる 離れて,bring + away の結合でできる慣用表現。離脱を示す,bring:持ってくる,日常,2
bring over,Bring Over,持ってくる 越えて/再度,bring + over の結合でできる慣用表現。完了や繰り返し,bring:持ってくる,日常,2
bring about,Bring About,持ってくる 約/～について,bring + about の結合でできる慣用表現。おおよその意や話題,bring:持ってくる,日常,2
bring after,Bring After,持ってくる 後に/世話,bring + after の結合でできる慣用表現。時の後続や世話を表す,bring:持ってくる,日常,2
bring for,Bring For,持ってくる ～のために/目的,bring + for の結合でできる慣用表現。目的を示す,bring:持ってくる,日常,2
bring with,Bring With,持ってくる ～と一緒に,bring + with の結合でできる慣用表現。同行や付帯,bring:持ってくる,日常,2
bring into,Bring Into,持ってくる ～の中へ,bring + into の結合でできる慣用表現。内部への移動,bring:持ってくる,日常,2
bring through,Bring Through,持ってくる 通して,bring + through の結合でできる慣用表現。貫通・通過,bring:持ってくる,日常,2
bring away from,Bring Away From,持ってくる ～から離れて,bring + away from の結合でできる慣用表現。起点からの離脱,bring:持ってくる,日常,2
bring around,Bring Around,持ってくる 周りに/だいたい,bring + around の結合でできる慣用表現。周辺やおおむね,bring:持ってくる,日常,2
bring across,Bring Across,持ってくる 横切って,bring + across の結合でできる慣用表現。横断,bring:持ってくる,日常,2
bring along,Bring Along,持ってくる 沿って,bring + along の結合でできる慣用表現。沿って移動,bring:持ってくる,日常,2
bring throughout,Bring Throughout,持ってくる 全体に,bring + throughout の結合でできる慣用表現。全域を通じて,bring:持ってくる,日常,2
call up,Call Up,呼ぶ/電話する 上へ,call + up の結合でできる慣用表現。動作の完了,call:呼ぶ/電話する,日常,1
call down,Call Down,呼ぶ/電話する 下へ,call + down の結合でできる慣用表現。動作の停止・解除,call:呼ぶ/電話する,日常,1
call on,Call On,呼ぶ/電話する ～の上に/作動,call + on の結合でできる慣用表現。作動や継続を示す,call:呼ぶ/電話する,日常,1
call off,Call Off,呼ぶ/電話する ～から離れて/停止,call + off の結合でできる慣用表現。停止や除去を示す,call:呼ぶ/電話する,日常,1
call in,Call In,呼ぶ/電話する 中に,call + in の結合でできる慣用表現。内への動作,call:呼ぶ/電話する,日常,1
call out,Call Out,呼ぶ/電話する 外へ,call + out の結合でできる慣用表現。外への動作,call:呼ぶ/電話する,日常,1
call back,Call Back,呼ぶ/電話する 戻る,call + back の結合でできる慣用表現。復帰・逆戻り,call:呼ぶ/電話する,日常,1
call away,Call Away,呼ぶ/電話する 離れて,call + away の結合でできる慣用表現。離脱を示す,call:呼ぶ/電話する,日常,1
call over,Call Over,呼ぶ/電話する 越えて/再度,call + over の結合でできる慣用表現。完了や繰り返し,call:呼ぶ/電話する,日常,1
call about,Call About,呼ぶ/電話する 約/～について,call + about の結合でできる慣用表現。おおよその意や話題,call:呼ぶ/電話する,日常,1
call after,Call After,呼ぶ/電話する 後に/世話,call + after の結合でできる慣用表現。時の後続や世話を表す,call:呼ぶ/電話する,日常,1
call for,Call For,呼ぶ/電話する ～のために/目的,call + for の結合でできる慣用表現。目的を示す,call:呼ぶ/電話する,日常,1
call with,Call With,呼ぶ/電話する ～と一緒に,call + with の結合でできる慣用表現。同行や付帯,call:呼ぶ/電話する,日常,1
call into,Call Into,呼ぶ/電話する ～の中へ,call + into の結合でできる慣用表現。内部への移動,call:呼ぶ/電話する,日常,1
call through,Call Through,呼ぶ/電話する 通して,call + through の結合でできる慣用表現。貫通・通過,call:呼ぶ/電話する,日常,1
call away from,Call Away From,呼ぶ/電話する ～から離れて,call + away from の結合でできる慣用表現。起点からの離脱,call:呼ぶ/電話する,日常,1
call around,Call Around,呼ぶ/電話する 周りに/だいたい,call + around の結合でできる慣用表現。周辺やおおむね,call:呼ぶ/電話する,日常,1
call across,Call Across,呼ぶ/電話する 横切って,call + across の結合でできる慣用表現。横断,call:呼ぶ/電話する,日常,1
call along,Call Along,呼ぶ/電話する 沿って,call + along の結合でできる慣用表現。沿って移動,call:呼ぶ/電話する,日常,1
call throughout,Call Throughout,呼ぶ/電話する 全体に,call + throughout の結合でできる慣用表現。全域を通じて,call:呼ぶ/電話する,日常,1
find up,Find Up,見つける 上へ,find + up の結合でできる慣用表現。動作の完了,find:見つける,日常,1
find down,Find Down,見つける 下へ,find + down の結合でできる慣用表現。動作の停止・解除,find:見つける,日常,1
find on,Find On,見つける ～の上に/作動,find + on の結合でできる慣用表現。作動や継続を示す,find:見つける,日常,1
find off,Find Off,見つける ～から離れて/停止,find + off の結合でできる慣用表現。停止や除去を示す,find:見つける,日常,1
find in,Find In,見つける 中に,find + in の結合でできる慣用表現。内への動作,find:見つける,日常,1
find out,Find Out,見つける 外へ,find + out の結合でできる慣用表現。外への動作,find:見つける,日常,1
find back,Find Back,見つける 戻る,find + back の結合でできる慣用表現。復帰・逆戻り,find:見つける,日常,1
find away,Find Away,見つける 離れて,find + away の結合でできる慣用表現。離脱を示す,find:見つける,日常,1
find over,Find Over,見つける 越えて/再度,find + over の結合でできる慣用表現。完了や繰り返し,find:見つける,日常,1
find about,Find About,見つける 約/～について,find + about の結合でできる慣用表現。おおよその意や話題,find:見つける,日常,1
find after,Find After,見つける 後に/世話,find + after の結合でできる慣用表現。時の後続や世話を表す,find:見つける,日常,1
find for,Find For,見つける ～のために/目的,find + for の結合でできる慣用表現。目的を示す,find:見つける,日常,1
find with,Find With,見つける ～と一緒に,find + with の結合でできる慣用表現。同行や付帯,find:見つける,日常,1
find into,Find Into,見つける ～の中へ,find + into の結合でできる慣用表現。内部への移動,find:見つける,日常,1
find through,Find Through,見つける 通して,find + through の結合でできる慣用表現。貫通・通過,find:見つける,日常,1
find away from,Find Away From,見つける ～から離れて,find + away from の結合でできる慣用表現。起点からの離脱,find:見つける,日常,1
find around,Find Around,見つける 周りに/だいたい,find + around の結合でできる慣用表現。周辺やおおむね,find:見つける,日常,1
find across,Find Across,見つける 横切って,find + across の結合でできる慣用表現。横断,find:見つける,日常,1
find along,Find Along,見つける 沿って,find + along の結合でできる慣用表現。沿って移動,find:見つける,日常,1
find throughout,Find Throughout,見つける 全体に,find + throughout の結合でできる慣用表現。全域を通じて,find:見つける,日常,1
