語句,読み,意味,語源等解説,関連語,関連分野,難易度
Where is the pharmacy?,Where is the pharmacy?,会話表現: Where is the pharmacy? の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
Where is the parking lot?,Where is the parking lot?,会話表現: Where is the parking lot? の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
Where is the taxi stand?,Where is the taxi stand?,会話表現: Where is the taxi stand? の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
How much is this?,How much is this?,会話表現: How much is this? の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
How much is that?,How much is that?,会話表現: How much is that? の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
How much is it?,How much is it?,会話表現: How much is it? の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
How much is the book?,How much is the book?,会話表現: How much is the book? の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
How much is the ticket?,How much is the ticket?,会話表現: How much is the ticket? の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
How much is the map?,How much is the map?,会話表現: How much is the map? の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
How much is the menu?,How much is the menu?,会話表現: How much is the menu? の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
How much is the bag?,How much is the bag?,会話表現: How much is the bag? の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
How much is the pen?,How much is the pen?,会話表現: How much is the pen? の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
How much is the phone?,How much is the phone?,会話表現: How much is the phone? の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
How much is the room?,How much is the room?,会話表現: How much is the room? の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
How much is the seat?,How much is the seat?,会話表現: How much is the seat? の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
How much is the window?,How much is the window?,会話表現: How much is the window? の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
How much is the door?,How much is the door?,会話表現: How much is the door? の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
How much is the key?,How much is the key?,会話表現: How much is the key? の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
How much is the receipt?,How much is the receipt?,会話表現: How much is the receipt? の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
How much is the bill?,How much is the bill?,会話表現: How much is the bill? の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
"I'd like water, please.","I'd like water, please.","会話表現: I'd like water, please. の基本フレーズ。",旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
"I'd like tea, please.","I'd like tea, please.","会話表現: I'd like tea, please. の基本フレーズ。",旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
"I'd like coffee, please.","I'd like coffee, please.","会話表現: I'd like coffee, please. の基本フレーズ。",旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
"I'd like juice, please.","I'd like juice, please.","会話表現: I'd like juice, please. の基本フレーズ。",旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
"I'd like rice, please.","I'd like rice, please.","会話表現: I'd like rice, please. の基本フレーズ。",旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
"I'd like bread, please.","I'd like bread, please.","会話表現: I'd like bread, please. の基本フレーズ。",旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
"I'd like noodles, please.","I'd like noodles, please.","会話表現: I'd like noodles, please. の基本フレーズ。",旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
"I'd like chicken, please.","I'd like chicken, please.","会話表現: I'd like chicken, please. の基本フレーズ。",旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
"I'd like salad, please.","I'd like salad, please.","会話表現: I'd like salad, please. の基本フレーズ。",旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
"I'd like soup, please.","I'd like soup, please.","会話表現: I'd like soup, please. の基本フレーズ。",旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
"I'd like cake, please.","I'd like cake, please.","会話表現: I'd like cake, please. の基本フレーズ。",旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
"I'd like ice cream, please.","I'd like ice cream, please.","会話表現: I'd like ice cream, please. の基本フレーズ。",旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
"I'd like pizza, please.","I'd like pizza, please.","会話表現: I'd like pizza, please. の基本フレーズ。",旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
"I'd like hamburger, please.","I'd like hamburger, please.","会話表現: I'd like hamburger, please. の基本フレーズ。",旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
"I'd like sandwich, please.","I'd like sandwich, please.","会話表現: I'd like sandwich, please. の基本フレーズ。",旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
"Could you help me, please?","Could you ヘルプ me, please?","会話表現: Could you help me, please? の基本フレーズ。",旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
"Could you speak slowly, please?","Could you スピーク slowly, please?","会話表現: Could you speak slowly, please? の基本フレーズ。",旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
"Could you say that again, please?","Could you セイ that again, please?","会話表現: Could you say that again, please? の基本フレーズ。",旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
"Could you show me, please?","Could you ショー me, please?","会話表現: Could you show me, please? の基本フレーズ。",旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
"Could you tell me the way, please?","Could you テル me the way, please?","会話表現: Could you tell me the way, please? の基本フレーズ。",旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
"Could you take a photo, please?","Could you テイク a photo, please?","会話表現: Could you take a photo, please? の基本フレーズ。",旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
"Could you open the door, please?","Could you オープン the door, please?","会話表現: Could you open the door, please? の基本フレーズ。",旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
"Could you close the window, please?","Could you クローズ the window, please?","会話表現: Could you close the window, please? の基本フレーズ。",旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
"Could you call a taxi, please?","Could you コール a taxi, please?","会話表現: Could you call a taxi, please? の基本フレーズ。",旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
"Could you change money, please?","Could you チェンジ money, please?","会話表現: Could you change money, please? の基本フレーズ。",旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
"Could you find my seat, please?","Could you ファインド my seat, please?","会話表現: Could you find my seat, please? の基本フレーズ。",旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
"Could you check in, please?","Could you check in, please?","会話表現: Could you check in, please? の基本フレーズ。",旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
"Could you check out, please?","Could you check out, please?","会話表現: Could you check out, please? の基本フレーズ。",旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
"Could you carry this bag, please?","Could you carry this bag, please?","会話表現: Could you carry this bag, please? の基本フレーズ。",旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
"Could you translate this, please?","Could you translate this, please?","会話表現: Could you translate this, please? の基本フレーズ。",旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
What time is it?,What タイム is it?,会話表現: What time is it? の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
When does it open?,When does it open?,会話表現: When does it open? の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
When does it close?,When does it close?,会話表現: When does it close? の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
What time is the next bus?,What タイム is the next bus?,会話表現: What time is the next bus? の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
What time is the meeting?,What タイム is the meeting?,会話表現: What time is the meeting? の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
When does the museum open?,When does the ミュージアム open?,会話表現: When does the museum open? の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
When does the restaurant close?,When does the レストラン close?,会話表現: When does the restaurant close? の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
Do you have a map?,Do you have a map?,会話表現: Do you have a map? の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
Do you have a ticket?,Do you have a ticket?,会話表現: Do you have a ticket? の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
Do you have a receipt?,Do you have a receipt?,会話表現: Do you have a receipt? の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
Do you have a discount?,Do you have a discount?,会話表現: Do you have a discount? の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
Do you have free Wi-Fi?,Do you have free wi fi?,会話表現: Do you have free Wi-Fi? の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
Do you have an English menu?,Do you have an English menu?,会話表現: Do you have an English menu? の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
Do you have a restroom?,Do you have a restroom?,会話表現: Do you have a restroom? の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
Do you have any recommendations?,Do you have any recommendations?,会話表現: Do you have any recommendations? の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
Do you have a charger?,Do you have a charger?,会話表現: Do you have a charger? の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
Do you have a taxi?,Do you have a taxi?,会話表現: Do you have a taxi? の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
Do you have a room available?,Do you have a room available?,会話表現: Do you have a room available? の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
Can I have a map?,Can I have a map?,会話表現: Can I have a map? の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
Can I have a ticket?,Can I have a ticket?,会話表現: Can I have a ticket? の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
Can I have a receipt?,Can I have a receipt?,会話表現: Can I have a receipt? の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
Can I have a discount?,Can I have a discount?,会話表現: Can I have a discount? の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
Can I have free Wi-Fi?,Can I have free wi fi?,会話表現: Can I have free Wi-Fi? の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
Can I have an English menu?,Can I have an English menu?,会話表現: Can I have an English menu? の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
Can I have a restroom?,Can I have a restroom?,会話表現: Can I have a restroom? の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
Can I have any recommendations?,Can I have any recommendations?,会話表現: Can I have any recommendations? の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
Can I have a charger?,Can I have a charger?,会話表現: Can I have a charger? の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
Can I have a taxi?,Can I have a taxi?,会話表現: Can I have a taxi? の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
Can I have a room available?,Can I have a room available?,会話表現: Can I have a room available? の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
May I have a map?,May I have a map?,会話表現: May I have a map? の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
May I have a ticket?,May I have a ticket?,会話表現: May I have a ticket? の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
May I have a receipt?,May I have a receipt?,会話表現: May I have a receipt? の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
May I have a discount?,May I have a discount?,会話表現: May I have a discount? の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
May I have free Wi-Fi?,May I have free wi fi?,会話表現: May I have free Wi-Fi? の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
May I have an English menu?,May I have an English menu?,会話表現: May I have an English menu? の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
May I have a restroom?,May I have a restroom?,会話表現: May I have a restroom? の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
May I have any recommendations?,May I have any recommendations?,会話表現: May I have any recommendations? の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
May I have a charger?,May I have a charger?,会話表現: May I have a charger? の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
May I have a taxi?,May I have a taxi?,会話表現: May I have a taxi? の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
May I have a room available?,May I have a room available?,会話表現: May I have a room available? の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
Could I get a map?,Could I ゲット a map?,会話表現: Could I get a map? の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
Could I get a ticket?,Could I ゲット a ticket?,会話表現: Could I get a ticket? の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
Could I get a receipt?,Could I ゲット a receipt?,会話表現: Could I get a receipt? の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
Could I get a discount?,Could I ゲット a discount?,会話表現: Could I get a discount? の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
Could I get free Wi-Fi?,Could I ゲット free wi fi?,会話表現: Could I get free Wi-Fi? の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
Could I get an English menu?,Could I ゲット an English menu?,会話表現: Could I get an English menu? の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
Could I get a restroom?,Could I ゲット a restroom?,会話表現: Could I get a restroom? の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
Could I get any recommendations?,Could I ゲット any recommendations?,会話表現: Could I get any recommendations? の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
Could I get a charger?,Could I ゲット a charger?,会話表現: Could I get a charger? の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
Could I get a taxi?,Could I ゲット a taxi?,会話表現: Could I get a taxi? の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
Could I get a room available?,Could I ゲット a room available?,会話表現: Could I get a room available? の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
Is there a map?,Is there a map?,会話表現: Is there a map? の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
Is there a ticket?,Is there a ticket?,会話表現: Is there a ticket? の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
Is there a receipt?,Is there a receipt?,会話表現: Is there a receipt? の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
Is there a discount?,Is there a discount?,会話表現: Is there a discount? の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
Is there free Wi-Fi?,Is there free wi fi?,会話表現: Is there free Wi-Fi? の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
Is there an English menu?,Is there an English menu?,会話表現: Is there an English menu? の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
Is there a restroom?,Is there a restroom?,会話表現: Is there a restroom? の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
Is there any recommendations?,Is there any recommendations?,会話表現: Is there any recommendations? の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
Is there a charger?,Is there a charger?,会話表現: Is there a charger? の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
Is there a taxi?,Is there a taxi?,会話表現: Is there a taxi? の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
Is there a room available?,Is there a room available?,会話表現: Is there a room available? の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
How can I get to the station?,How can I ゲット トゥ the station?,会話表現: How can I get to the station? の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
Which bus goes to the museum?,Which バス goes トゥ the museum?,会話表現: Which bus goes to the museum? の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
Is this the right way to the hotel?,Is this the right way トゥ the hotel?,会話表現: Is this the right way to the hotel? の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
How far is it from here?,How far is it フロム here?,会話表現: How far is it from here? の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
How long does it take?,How long does it take?,会話表現: How long does it take? の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
Could you tell me how to get to the airport?,Could you テル me how トゥ ゲット トゥ the airport?,会話表現: Could you tell me how to get to the airport? の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
I have 1 tickets.,I have 1 tickets.,会話表現: I have 1 tickets. の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
I have 1 bottle of waters.,I have 1 bottle オブ waters.,会話表現: I have 1 bottle of waters. の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
I have 1 cup of coffees.,I have 1 cup オブ coffees.,会話表現: I have 1 cup of coffees. の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
I have 1 slice of pizzas.,I have 1 slice オブ pizzas.,会話表現: I have 1 slice of pizzas. の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
I have 1 piece of cakes.,I have 1 piece オブ cakes.,会話表現: I have 1 piece of cakes. の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
I have 1 rooms.,I have 1 rooms.,会話表現: I have 1 rooms. の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
I have 1 keys.,I have 1 keys.,会話表現: I have 1 keys. の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
I have 1 towels.,I have 1 towels.,会話表現: I have 1 towels. の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
I have 1 forks.,I have 1 forks.,会話表現: I have 1 forks. の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
I have 1 spoons.,I have 1 spoons.,会話表現: I have 1 spoons. の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
I have 1 knifes.,I have 1 knifes.,会話表現: I have 1 knifes. の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
I have 1 bags.,I have 1 bags.,会話表現: I have 1 bags. の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
I have 1 postcards.,I have 1 postcards.,会話表現: I have 1 postcards. の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
I have 2 tickets.,I have 2 tickets.,会話表現: I have 2 tickets. の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
I have 2 bottle of waters.,I have 2 bottle オブ waters.,会話表現: I have 2 bottle of waters. の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
I have 2 cup of coffees.,I have 2 cup オブ coffees.,会話表現: I have 2 cup of coffees. の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
I have 2 slice of pizzas.,I have 2 slice オブ pizzas.,会話表現: I have 2 slice of pizzas. の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
I have 2 piece of cakes.,I have 2 piece オブ cakes.,会話表現: I have 2 piece of cakes. の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
I have 2 rooms.,I have 2 rooms.,会話表現: I have 2 rooms. の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
I have 2 keys.,I have 2 keys.,会話表現: I have 2 keys. の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
I have 2 towels.,I have 2 towels.,会話表現: I have 2 towels. の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
I have 2 forks.,I have 2 forks.,会話表現: I have 2 forks. の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
I have 2 spoons.,I have 2 spoons.,会話表現: I have 2 spoons. の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
I have 2 knifes.,I have 2 knifes.,会話表現: I have 2 knifes. の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
I have 2 bags.,I have 2 bags.,会話表現: I have 2 bags. の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
I have 2 postcards.,I have 2 postcards.,会話表現: I have 2 postcards. の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
I have 3 tickets.,I have 3 tickets.,会話表現: I have 3 tickets. の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
I have 3 bottle of waters.,I have 3 bottle オブ waters.,会話表現: I have 3 bottle of waters. の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
I have 3 cup of coffees.,I have 3 cup オブ coffees.,会話表現: I have 3 cup of coffees. の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
I have 3 slice of pizzas.,I have 3 slice オブ pizzas.,会話表現: I have 3 slice of pizzas. の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
I have 3 piece of cakes.,I have 3 piece オブ cakes.,会話表現: I have 3 piece of cakes. の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
I have 3 rooms.,I have 3 rooms.,会話表現: I have 3 rooms. の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
I have 3 keys.,I have 3 keys.,会話表現: I have 3 keys. の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
I have 3 towels.,I have 3 towels.,会話表現: I have 3 towels. の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
I have 3 forks.,I have 3 forks.,会話表現: I have 3 forks. の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
I have 3 spoons.,I have 3 spoons.,会話表現: I have 3 spoons. の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
I have 3 knifes.,I have 3 knifes.,会話表現: I have 3 knifes. の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
I have 3 bags.,I have 3 bags.,会話表現: I have 3 bags. の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
I have 3 postcards.,I have 3 postcards.,会話表現: I have 3 postcards. の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
I have 4 tickets.,I have 4 tickets.,会話表現: I have 4 tickets. の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
I have 4 bottle of waters.,I have 4 bottle オブ waters.,会話表現: I have 4 bottle of waters. の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
I have 4 cup of coffees.,I have 4 cup オブ coffees.,会話表現: I have 4 cup of coffees. の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
I have 4 slice of pizzas.,I have 4 slice オブ pizzas.,会話表現: I have 4 slice of pizzas. の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
I have 4 piece of cakes.,I have 4 piece オブ cakes.,会話表現: I have 4 piece of cakes. の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
I have 4 rooms.,I have 4 rooms.,会話表現: I have 4 rooms. の基本フレーズ。,旅行・日常で頻出の定型表現。,,会話;旅行;日常生活,1
