語句,読み,意味,詳細解説,関連事項,関連分野,種別,source
財政,ざいせい,経済,政府の経済活動。税金を主な収入源とし、公共サービスや社会保障に支出。景気調整機能もある。国債発行により財政赤字を補填するが、累積債務が問題となっている。,税金|国債|歳入歳出,公民-経済,制度概念,junior
税金,ぜいきん,経済,公共サービスの財源。直接税（所得税・法人税など）と間接税（消費税など）がある。累進課税制度で所得の再分配機能。納税は国民の義務（憲法第30条）。,直接税|間接税|消費税,公民-経済,制度概念,junior
社会保障,しゃかいほしょう,経済,国民の生活を保障する制度。社会保険（年金・医療・介護・雇用・労災）、公的扶助（生活保護）、社会福祉、公衆衛生の4つの柱。高齢化で財源確保が課題。,年金|医療保険|生活保護,公民-経済,制度概念,junior
労働基本権,ろうどうきほんけん,経済,憲法第28条で保障される労働三権。団結権（労働組合結成）・団体交渉権（使用者と交渉）・団体行動権（ストライキ）。労働者の地位向上と労働条件改善が目的。,労働三権|労働組合|ストライキ,公民-経済,制度概念,junior
公害,こうがい,経済,事業活動により環境が損なわれ、健康被害が生じること。四大公害病（水俣病・新潟水俣病・イタイイタイ病・四日市ぜんそく）が発生。公害対策基本法で規制され、環境アセスメントが実施される。,四大公害病|水俣病|環境汚染,公民-経済,制度概念,junior
国際連合,こくさいれんごう,国際,1945年設立の国際機関。本部はニューヨーク。国際平和と安全の維持が目的。安全保障理事会（常任理事国5・非常任理事国10）・総会・事務局などで構成。PKO活動も実施。,国連|安全保障理事会|PKO,公民-国際,制度概念,junior
安全保障理事会,あんぜんほしょうりじかい,国際,国連の主要機関で、国際平和と安全の維持を担当。常任理事国5カ国（米・英・仏・露・中）と非常任理事国10カ国で構成。常任理事国は拒否権を持つ。,国連|常任理事国|拒否権,公民-国際,制度概念,junior
PKO,ピーケーオー,国際,紛争地域で停戦監視や人道支援を行う国連の活動。武力行使は自衛に限定。日本は1992年のPKO協力法により参加可能に。カンボジアをはじめ、アフリカなどで活動。,国連|平和維持|停戦監視,公民-国際,制度概念,junior
難民,なんみん,国際,戦争・迫害・紛争などで母国を追われた人々。国連難民高等弁務官事務所（UNHCR）が保護・支援。シリア・アフガニスタン・南スーダンなどから多数発生。受け入れが国際問題。,UNHCR|紛争|迫害,公民-国際,制度概念,junior
貧困問題,ひんこんもんだい,国際,発展途上国で多くの人が極度の貧困状態にある。食料不足・教育機会の欠如・医療不足が深刻。南北問題とも呼ばれる。SDGsで「貧困をなくそう」が第1目標。,発展途上国|南北問題|SDGs,公民-国際,制度概念,junior
南北問題,なんぼくもんだい,国際,北半球の先進国と南半球の発展途上国との経済格差。植民地支配の歴史や貿易条件の不利が原因。ODA（政府開発援助）やフェアトレードで格差解消を目指す。,先進国|発展途上国|経済格差,公民-国際,制度概念,junior
ODA,オーディーエー,国際,先進国政府が発展途上国に行う経済援助。無償資金協力・技術協力・有償資金協力（円借款）がある。インフラ整備・教育・医療分野を支援。日本も主要援助国の一つ。,政府開発援助|経済援助|技術協力,公民-国際,制度概念,junior
核兵器,かくへいき,国際,原子爆弾・水素爆弾などの大量破壊兵器。広島・長崎への原爆投下で日本は唯一の被爆国。核拡散防止条約（NPT）で拡散を防止。日本は非核三原則（持たず・作らず・持ち込ませず）を掲げる。,原爆|被爆国|非核三原則,公民-国際,制度概念,junior
地球温暖化,ちきゅうおんだんか,国際,二酸化炭素などの温室効果ガスにより地球の平均気温が上昇。海面上昇・異常気象の原因。京都議定書・パリ協定で国際的に対策。再生可能エネルギーへの転換が課題。,温室効果ガス|パリ協定|異常気象,公民-国際,制度概念,junior
フェアトレード,フェアトレード,国際,発展途上国の生産者に公正な対価を支払う貿易。適正価格での継続的取引により、生産者の生活改善と自立を支援。コーヒー・チョコレート・コットン製品などで広がる。,公正貿易|適正価格|発展途上国支援,公民-国際,制度概念,junior
