語句,読み,意味,詳細解説,関連事項,関連分野,種別,source
室町幕府,むろまちばくふ,歴史,1336年に足利尊氏が開いた武家政権。京都の室町に幕府を置いた。3代将軍足利義満が南北朝を統一し、金閣を建てた。8代将軍足利義政の時代に応仁の乱が起き、戦国時代へと続いた。,足利尊氏|金閣|応仁の乱,歴史-中世,制度概念,junior
応仁の乱,おうにんのらん,歴史,1467年から1477年まで続いた大規模な内乱。将軍後継問題と守護大名の対立が原因。京都は焼け野原となり、幕府の権威は失墜。下剋上の風潮が広がり、戦国時代の始まりとなった。,足利義政|戦国時代|下剋上,歴史-中世,出来事,junior
戦国大名,せんごくだいみょう,歴史,15世紀後半から16世紀にかけて、各地で独自の支配を行った大名。分国法を定め、家臣団を組織。領国経営に力を入れた。代表例は武田信玄、上杉謙信、毛利元就など。,武田信玄|上杉謙信|分国法,歴史-中世,出来事,junior
織田信長,おだのぶなが,歴史,戦国時代の武将。1560年桶狭間の戦いで今川義元を破る。楽市楽座で商業を発展させ、兵農分離を進めた。1582年本能寺の変で明智光秀に討たれた。,楽市楽座|本能寺の変|兵農分離,歴史-中世,人物名,junior
豊臣秀吉,とよとみひでよし,歴史,織田信長の後継者として天下統一を達成。太閤検地で土地と農民を把握し、刀狩で武士と農民を区別した。朝鮮出兵（文禄・慶長の役）を行うも失敗。,太閤検地|刀狩|朝鮮出兵,歴史-中世,人物名,junior
関ヶ原の戦い,せきがはらのたたかい,歴史,1600年に起きた戦い。豊臣秀吉の死後、徳川家康率いる東軍と石田三成率いる西軍が激突。東軍が勝利し、家康が天下の実権を握った。3年後に江戸幕府が開かれた。,徳川家康|石田三成|東軍と西軍,歴史-近世,出来事,junior
江戸幕府,えどばくふ,歴史,1603年に徳川家康が開いた幕府。江戸（東京）に幕府を置き、約260年間続いた。参勤交代や武家諸法度で大名を統制。士農工商の身分制度を確立し、鎖国政策をとった。,徳川家康|参勤交代|鎖国,歴史-近世,制度概念,junior
参勤交代,さんきんこうたい,歴史,3代将軍徳川家光が制度化。大名を1年おきに江戸に出仕させ、妻子を江戸に住まわせた。大名の経済力を弱め、謀反を防ぐ狙い。街道や宿場町が発展するきっかけとなった。,徳川家光|大名|武家諸法度,歴史-近世,人物名,junior
鎖国,さこく,歴史,1639年頃に完成した対外政策。キリスト教の広まりを恐れ、ポルトガル船の来航を禁止。長崎の出島でオランダと中国のみと貿易。朝鮮・琉球とも限定的に交流した。,出島|オランダ|キリスト教,歴史-近世,地名,junior
徳川綱吉,とくがわつなよし,歴史,江戸幕府5代将軍。儒学を奨励し、湯島聖堂を建てた。生類憐みの令で動物愛護を命じるも、行き過ぎた政策で庶民の生活を圧迫。貨幣の質を下げ、経済混乱を招いた。,生類憐みの令|湯島聖堂|元禄文化,歴史-近世,地名,junior
享保の改革,きょうほうのかいかく,歴史,8代将軍徳川吉宗が1716年頃から始めた改革。新田開発で年貢を増やし、倹約を奨励。目安箱を設置し、庶民の意見を聞いた。上げ米の制で大名から米を集めた。,徳川吉宗|目安箱|新田開発,歴史-近世,出来事,junior
国学,こくがく,歴史,江戸時代中期に発展した学問。儒教や仏教の影響を受ける前の、日本古来の精神や文化を研究。本居宣長が『古事記伝』を著し、国学を大成した。尊王攘夷思想に影響を与えた。,本居宣長|古事記伝|蘭学,歴史-近世,その他,junior
ペリー,ペリー,歴史,アメリカ東インド艦隊司令長官。1853年に4隻の黒船で浦賀に来航し、開国を要求。翌1854年に日米和親条約を結ばせた。これをきっかけに日本は鎖国を終え、開国した。,黒船|日米和親条約|開国,歴史-近代,その他,junior
日米修好通商条約,にちべいしゅうこうつうしょうじょうやく,歴史,1858年に井伊直弼が勅許なしで調印した通商条約。領事裁判権を認め（治外法権）、関税自主権がない不平等条約。この条約締結が幕府への不満を高め、尊王攘夷運動が激化した。,井伊直弼|治外法権|関税自主権,歴史-近代,出来事,junior
明治維新,めいじいしん,歴史,1868年の王政復古を経て始まった日本の近代化改革。五箇条の御誓文で新政府の方針を示し、版籍奉還・廃藩置県で中央集権国家を確立。身分制度を廃止し、四民平等を実現した。,王政復古|五箇条の御誓文|廃藩置県,歴史-近代,出来事,junior
廃藩置県,はいはんちけん,歴史,1871年に実施された改革。全国の藩を廃止して県とし、中央政府が知事を派遣。これにより江戸時代の封建制度が解体され、近代的な中央集権国家が成立した。,版籍奉還|中央集権|明治維新,歴史-近代,地名,junior
文明開化,ぶんめいかいか,歴史,明治時代初期の欧米文化の受容。洋服・洋食・ガス灯・鉄道など西洋の生活様式が導入された。福沢諭吉『学問のすゝめ』が刊行され、啓蒙思想が広まった。,福沢諭吉|学問のすゝめ|殖産興業,歴史-近代,人物名,junior
自由民権運動,じゆうみんけんうんどう,歴史,1870年代から80年代の民主化運動。板垣退助らが民撰議院設立の建白書を提出。国会開設を求め、政党（自由党・立憲改進党）を結成。政府は集会条例や保安条例で弾圧した。,板垣退助|国会開設|民撰議院,歴史-近代,その他,junior
大日本帝国憲法,だいにほんていこくけんぽう,歴史,明治政府が制定した憲法。伊藤博文らがプロイセン（ドイツ）憲法を参考に作成。天皇主権、帝国議会の設置、国民の権利を「臣民の権利」として限定的に認めた。,伊藤博文|天皇主権|帝国議会,歴史-近代,制度概念,junior
日清戦争,にっしんせんそう,歴史,1894-95年の戦争。朝鮮をめぐる対立から日本と清が開戦。日本が勝利し、下関条約で台湾を獲得。清から多額の賠償金を得た。しかし三国干渉で遼東半島を返還させられた。,下関条約|三国干渉|台湾,歴史-近代,出来事,junior
日露戦争,にちろせんそう,歴史,1904-05年の戦争。ロシアの南下政策に対抗して開戦。旅順攻囲戦、日本海海戦などで勝利。ポーツマス条約で韓国の支配権を認めさせたが、賠償金は得られず、日比谷焼打事件が起きた。,ポーツマス条約|日本海海戦|韓国併合,歴史-近代,出来事,junior
第一次世界大戦,だいいちじせかいたいせん,歴史,1914-18年の世界大戦。日英同盟を理由に日本は連合国側で参戦。ドイツの中国権益を奪い、大戦景気で経済発展。戦後のパリ講和会議で国際連盟が成立し、日本は常任理事国となった。,国際連盟|パリ講和会議|大戦景気,歴史-近代,出来事,junior
大正デモクラシー,たいしょうデモクラシー,歴史,大正時代（1912-26年）の民主化運動。吉野作造が民本主義を唱え、護憲運動や普通選挙運動が起こった。1925年に普通選挙法が成立し、25歳以上の男子に選挙権が与えられた。,吉野作造|民本主義|普通選挙法,歴史-近代,その他,junior
関東大震災,かんとうだいしんさい,歴史,1923年9月1日に発生したマグニチュード7.9の地震。東京・横浜を中心に壊滅的被害。死者・行方不明者約10万5000人。火災が被害を拡大し、朝鮮人虐殺事件も発生した。,震災|東京|火災,歴史-現代,その他,junior
満州事変,まんしゅうじへん,歴史,1931年に関東軍が起こした軍事行動。柳条湖事件を口実に満州全域を占領。翌年、満州国を建国し、清朝最後の皇帝溥儀を執政とした。国際連盟は日本の行動を非難し、日本は脱退した。,関東軍|満州国|国際連盟脱退,歴史-現代,出来事,junior
太平洋戦争,たいへいようせんそう,歴史,1941-45年の戦争。真珠湾攻撃で開戦。当初は優勢だったが、ミッドウェー海戦以降劣勢に。沖縄戦、広島・長崎への原爆投下を経て、1945年8月15日にポツダム宣言を受諾し無条件降伏。,真珠湾攻撃|原爆|ポツダム宣言,歴史-現代,出来事,junior
日本国憲法,にほんこくけんぽう,歴史,1946年11月3日公布、1947年5月3日施行。国民主権、基本的人権の尊重、平和主義の三大原則。第9条で戦争放棄を規定。GHQの指導のもと作成された。,国民主権|平和主義|基本的人権,歴史-現代,制度概念,junior
サンフランシスコ平和条約,サンフランシスコへいわじょうやく,歴史,1951年調印、1952年発効。日本は主権を回復し、占領が終了。同時に日米安全保障条約も調印。ソ連や中国は参加せず。賠償問題などは個別に解決することになった。,占領終了|主権回復|日米安保条約,歴史-現代,出来事,junior
高度経済成長,こうどけいざいせいちょう,歴史,1950年代半ばから1970年代初めまでの経済発展期。年平均10%以上の成長率。所得倍増計画、東海道新幹線開通、東京オリンピック開催。1968年にGNP世界第2位となった。公害問題も深刻化。,所得倍増計画|東京オリンピック|公害問題,歴史-現代,その他,junior
