語句,読み,意味,詳細解説,関連事項,関連分野,種別,source
アジア,あじあ,地理,世界の陸地の約30%を占める最大の大州。中国・インドなど人口大国がある。モンスーン気候で稲作が盛ん。イスラム教・ヒンドゥー教・仏教など多様な宗教・文化が共存。,中国|インド|モンスーン,地理-世界,地名,junior
ヨーロッパ,よーろっぱ,地理,面積は小さいが経済的に発達した大州。地中海性気候、西岸海洋性気候が分布。キリスト教文化圏。EUによる経済統合が進む。工業が発達し、農業も集約的。,EU|地中海|キリスト教,地理-世界,地名,junior
アフリカ,あふりか,地理,世界で2番目に大きい大州。赤道が通り、熱帯気候が広い。サハラ砂漠は世界最大の砂漠。かつて欧州の植民地だった国が多い。カカオコーヒーなどのプランテーション農業が盛ん。,サハラ砂漠|赤道|プランテーション,地理-世界,地名,junior
北アメリカ,きたあめりか,地理,世界第3位の面積。アメリカ合衆国は世界最大の経済大国。大平原では大規模な企業的農業。五大湖周辺は工業地帯。カナダは資源・農産物輸出国。,アメリカ合衆国|カナダ|五大湖,地理-世界,地名,junior
南アメリカ,みなみあめりか,地理,赤道が通り、熱帯気候が広い。アマゾン川は世界最大の流域面積。ブラジルは最大の国でコーヒー・サトウキビ生産が多い。アンデス山脈が南北に走る。鉱産資源が豊富。,アマゾン川|ブラジル|アンデス山脈,地理-世界,地名,junior
オセアニア,おせあにあ,地理,太平洋の島々とオーストラリア大陸からなる。オーストラリアは鉱産資源が豊富で、羊の放牧が盛ん。ニュージーランドは酪農が発達。先住民の文化が残る。,オーストラリア|ニュージーランド|太平洋,地理-世界,地名,junior
中国,ちゅうごく,地理,人口約14億人の世界最大の人口国。面積も世界第3位。1980年代の改革開放政策で急速に経済発展。世界の工場として製造業が発達。チベット・ウイグルなど多民族国家。,人口|改革開放|製造業,地理-世界,地名,junior
インド,いんど,地理,人口約14億人で中国に次ぐ世界第2位。IT産業が発達し、バンガロールがIT都市として有名。ヒンドゥー教徒が多数。モンスーンの影響で雨季・乾季がある。,IT産業|ヒンドゥー教|モンスーン,地理-世界,地名,junior
アメリカ合衆国,あめりかがっしゅうこく,地理,世界最大のGDPを持つ経済大国。多民族国家で移民が多い。グレートプレーンズで大規模農業、シリコンバレーでIT産業が発達。軍事・文化面でも世界に影響力を持つ。,GDP|多民族|シリコンバレー,地理-世界,その他,junior
ブラジル,ぶらじる,地理,面積・人口ともに南アメリカ最大。ポルトガル語を公用語とする。コーヒー・サトウキビ・大豆の生産が世界有数。アマゾン熱帯雨林の開発が環境問題となっている。,コーヒー|アマゾン|ポルトガル語,地理-世界,地名,junior
稲作,いなさく,地理,日本の主食である米を生産する農業。東北地方日本海側、北陸、北海道が主産地。モンスーン気候で降水量が多い東アジアで盛ん。機械化が進み、大規模化も進む。,米|モンスーン|農業,地理-産業,地名,junior
畑作,はたさく,地理,水田以外の畑で作物を栽培する農業。北海道の十勝平野では大規模な畑作。キャベツ・レタス・じゃがいも・小麦などを生産。機械化・企業化が進んでいる。,十勝平野|野菜|小麦,地理-産業,地名,junior
酪農,らくのう,地理,乳牛を飼育し乳製品を生産する農業。北海道が全国生産量の約半分を占める。根釧台地や十勝平野が主産地。冷涼な気候が乳牛飼育に適している。,北海道|乳牛|牛乳,地理-産業,地名,junior
漁業,ぎょぎょう,地理,日本は世界有数の漁業国だったが、漁獲量は減少傾向。三陸沖・北海道沖は好漁場。遠洋漁業は衰退し、沿岸漁業・養殖業が増加。200海里問題で遠洋漁業は制限された。,三陸沖|養殖業|200海里,地理-産業,地名,junior
工業地帯,こうぎょうちたい,地理,工場が多く集まり、工業生産が盛んな地域。日本の四大工業地帯は京浜・中京・阪神・北九州。近年は内陸の工業団地や臨海部の工業地域も発達。,京浜|中京|阪神,地理-産業,地名,junior
環境問題,かんきょうもんだい,地理,高度経済成長期に四大公害病（水俣病・イタイイタイ病など）が発生。大気汚染・水質汚濁が深刻化。現在は地球温暖化・オゾン層破壊などグローバルな問題も。,公害|地球温暖化|水質汚濁,地理-環境,地名,junior
地球温暖化,ちきゅうおんだんか,地理,化石燃料の大量消費により大気中の二酸化炭素が増加し、地球の平均気温が上昇する現象。海面上昇・異常気象の原因となる。京都議定書・パリ協定で対策が協議されている。,二酸化炭素|温室効果ガス|異常気象,地理-環境,地名,junior
リサイクル,りさいくる,地理,ごみや廃棄物を原料として再生利用すること。3R（リデュース・リユース・リサイクル）が提唱されている。容器包装リサイクル法など法整備も進む。循環型社会の実現が目標。,3R|循環型社会|ごみ問題,地理-環境,地名,junior
持続可能な開発,じぞくかのうなかいはつ,地理,環境保護と経済発展を両立させる開発。SDGs（持続可能な開発目標）が国連で採択された。再生可能エネルギー・フェアトレード・エコツーリズムなどが推進されている。,SDGs|再生可能エネルギー|環境保護,地理-環境,その他,junior
人口問題,じんこうもんだい,地理,発展途上国では人口爆発、先進国では少子高齢化が問題。日本は世界最速で高齢化が進行。労働力不足・社会保障費増大が課題。移民受け入れも議論されている。,少子高齢化|人口減少|労働力不足,地理-環境,地名,junior
