語句,読み,意味,語源等解説,関連語,関連分野,難易度
far away,fɑː (ファー アウェイ),遠くに,far(遠い)とaway(離れて)の組み合わせ。かなり離れた場所を指す表現。,"distant(ディスタント): 遠い, remote(リモート): 遠隔の",人・社会,beginner
close to,kləʊz (クロース トゥ),〜の近くに,close(近い)とto(〜に)の組み合わせ。何かのそばにあるという意味。,"near(ニア): 〜の近くに, next to(ネクスト トゥ): 〜の隣に",人・社会,beginner
next to,nɛkst (ネクスト トゥ),〜の隣に,next(隣の)とto(〜に)の組み合わせ。すぐ横に位置するという意味。,"beside(ビサイド): 〜のそばに, by(バイ): 〜のそばに",人・社会,beginner
in front of,ɪn (イン フロント オブ),〜の前に,in front(前方)とof(〜の)の組み合わせ。正面に位置するという意味。,"before(ビフォー): 〜の前に, ahead of(アヘッド オブ): 〜の前方に",時間・数量,beginner
behind,bəˈhaɪnd (ビハインド),〜の後ろに,何かの背後に位置することを表す前置詞。,"in back of(イン バック オブ): 〜の後ろに, after(アフター): 〜の後に",時間・数量,beginner
on the left,ɒn (オン) ðə (ザ) left (レフト),左側に,on(〜に)とthe left(左側)の組み合わせ。左の方向や位置を指す表現。,"to the left(トゥ ザ レフト): 左へ, on the left side(オン ザ レフト サイド): 左側に",場所・移動,beginner
on the right,ɒn (オン) ðə (ザ) raɪt (ライト),右側に,on(〜に)とthe right(右側)の組み合わせ。右の方向や位置を指す表現。,"to the right(トゥ ザ ライト): 右へ, on the right side(オン ザ ライト サイド): 右側に",場所・移動,beginner
in the middle,ɪn (イン ザ ミドル),真ん中に,in(〜に)とthe middle(真ん中)の組み合わせ。中央に位置するという意味。,"in the center(イン ザ センター): 中心に, at the center(アット ザ センター): 中央に",場所・移動,beginner
at school,æt (アット) skuːl (スクール),学校で,at(〜で)とschool(学校)の組み合わせ。学校という場所にいることを表す表現。,"in school(イン スクール): 在学中で, at college(アット カレッジ): 大学で",学校・学習,beginner
at home,æt (アット) hoʊm (ホーム),家で,at(〜で)とhome(家)の組み合わせ。自宅にいることを表す表現。,"home(ホーム): 家に, indoors(インドアーズ): 屋内で",場所・移動,beginner
make friends,meɪk (メイク) frendz (フレンズ),友達を作る,make(作る)とfriends(友達)の組み合わせ。友人関係を築くという意味。,"befriend(ビフレンド): 友達になる, become friends(ビカム フレンズ): 友達になる",人・社会,beginner
make a mistake,meɪk (メイク) ə (ア) mɪˈsteɪk (ミステイク),間違える,make(作る)とa mistake(間違い)の組み合わせ。誤りを犯すという意味。,"err(エラー): 誤る, make an error(メイク アン エラー): エラーをする",人・社会,beginner
do homework,duː (ドゥ) ˈhoʊmwɜːrk (ホームワーク),宿題をする,do(する)とhomework(宿題)の組み合わせ。家庭学習の課題をするという意味。,"study(スタディ): 勉強する, complete assignments(コンプリート アサインメンツ): 課題を完成させる",学校・学習,beginner
take a test,teɪk (テイク) ə (ア) test (テスト),試験を受ける,take(受ける)とa test(試験)の組み合わせ。テストを受験するという意味。,"sit for an exam(シット フォー アン イグザム): 試験を受ける, be examined(ビー イグザミンド): 試験される",学校・学習,beginner
ask a question,æsk (アスク) ə (ア) ˈkwestʃən (クエスチョン),質問する,ask(尋ねる)とa question(質問)の組み合わせ。何かを尋ねるという意味。,"inquire(インクワイア): 問い合わせる, query(クエリ): 質問する",学校・学習,beginner
answer a question,ˈænsər (アンサー) ə (ア) ˈkwestʃən (クエスチョン),質問に答える,answer(答える)とa question(質問)の組み合わせ。問いに対して回答するという意味。,"reply(リプライ): 返答する, respond(リスポンド): 応答する",学校・学習,beginner
tell a story,tel (テル) ə (ア) ˈstɔːri (ストーリー),話をする,tell(語る)とa story(物語)の組み合わせ。話を語って聞かせるという意味。,"narrate(ナレイト): 語る, relate(リレイト): 話す",人・社会,beginner
read a book,riːd (リード) ə (ア) bʊk (ブック),本を読む,read(読む)とa book(本)の組み合わせ。書籍を読むという意味。,"study(スタディ): 勉強する, peruse(ペルーズ): 熟読する",学校・学習,beginner
write a letter,raɪt (ライト) ə (ア) ˈletər (レター),手紙を書く,write(書く)とa letter(手紙)の組み合わせ。文通をするという意味。,"correspond(コレスポンド): 文通する, compose(コンポーズ): 作成する",食・健康,beginner
say hello,seɪ (セイ) həˈloʊ (ハロー),挨拶する,say(言う)とhello(こんにちは)の組み合わせ。挨拶の言葉を述べるという意味。,"greet(グリート): 挨拶する, welcome(ウェルカム): 歓迎する",人・社会,beginner
say goodbye,seɪ (セイ) ɡʊdˈbaɪ (グッバイ),さよならを言う,say(言う)とgoodbye(さようなら)の組み合わせ。別れの挨拶をするという意味。,"farewell(フェアウェル): 別れを告げる, bid farewell(ビッド フェアウェル): 別れの挨拶をする",人・社会,beginner
have fun,hæv (ハヴ) fʌn (ファン),楽しむ,have(持つ)とfun(楽しみ)の組み合わせ。楽しい時間を過ごすという意味。,"enjoy oneself(エンジョイ ワンセルフ): 楽しむ, have a good time(ハヴ ア グッド タイム): 楽しい時を過ごす",人・社会,beginner
have a good time,hæv (ハヴ) ə (ア) ɡʊd (グッド) taɪm (タイム),楽しい時を過ごす,have(持つ)とa good time(良い時間)の組み合わせ。素晴らしいひと時を経験するという意味。,"enjoy(エンジョイ): 楽しむ, have fun(ハヴ ファン): 楽しむ",時間・数量,beginner
play sports,pleɪ (プレイ) spɔːrts (スポーツ),スポーツをする,play(する)とsports(スポーツ)の組み合わせ。運動競技をするという意味。,"exercise(エクササイズ):運動する, do sports(ドゥ スポーツ): スポーツをする",運動・娯楽,beginner
play the piano,pleɪ (プレイ) ðə (ザ) piˈænoʊ (ピアノ),ピアノを弾く,play(演奏する)とthe piano(ピアノ)の組み合わせ。ピアノを演奏するという意味。,"perform(パフォーム): 演奏する, play music(プレイ ミュージック): 音楽を演奏する",運動・娯楽,beginner
go shopping,ɡoʊ (ゴー) ˈʃɑːpɪŋ (ショッピング),買い物に行く,go(行く)とshopping(買い物)の組み合わせ。店で物を買いに行くという意味。,"shop(ショップ): 買い物する, purchase(パーチェス): 購入する",場所・移動,beginner
go swimming,ɡoʊ (ゴー) ˈswɪmɪŋ (スイミング),泳ぎに行く,go(行く)とswimming(水泳)の組み合わせ。プールや海で泳ぐという意味。,"swim(スイム): 泳ぐ, take a swim(テイク ア スイム): ひと泳ぎする",場所・移動,beginner
go fishing,ɡoʊ (ゴー) ˈfɪʃɪŋ (フィッシング),釣りに行く,go(行く)とfishing(釣り)の組み合わせ。魚を釣りに出かけるという意味。,"fish(フィッシュ): 釣りをする, angle(アングル): 釣りをする",場所・移動,beginner
take a walk,teɪk (テイク) ə (ア) wɔːk (ウォーク),散歩する,take(する)とa walk(散歩)の組み合わせ。歩いて運動するという意味。,"walk(ウォーク): 歩く, stroll(ストロール): ぶらぶら歩く",人・社会,beginner
take a picture,teɪk (テイク) ə (ア) ˈpɪktʃər (ピクチャー),写真を撮る,take(撮る)とa picture(写真)の組み合わせ。カメラで撮影するという意味。,"photograph(フォトグラフ): 写真を撮る, snap(スナップ): 撮影する",運動・娯楽,beginner
get ready,ɡet (ゲット) ˈredi (レディ),準備する,get(〜になる)とready(準備ができて)の組み合わせ。用意を整えるという意味。,"prepare(プリペア): 準備する, make ready(メイク レディ): 用意する",日常生活,beginner
make the bed,meɪk (メイク) ðə (ザ) bed (ベッド),ベッドを整える,make(作る)とthe bed(ベッド)の組み合わせ。寝具を整えるという意味。,"arrange the bed(アレンジ ザ ベッド): ベッドを整える, tidy the bed(タイディ ザ ベッド): ベッドを片付ける",日常生活,beginner
have breakfast,hæv (ハヴ) ˈbrekfəst (ブレックファスト),朝食を食べる,have(食べる)とbreakfast(朝食)の組み合わせ。朝ごはんを食べるという意味。,"eat breakfast(イート ブレックファスト): 朝食を食べる, breakfast(ブレックファスト): 朝食をとる",時間・数量,beginner
have lunch,hæv (ハヴ) lʌntʃ (ランチ),昼食を食べる,have(食べる)とlunch(昼食)の組み合わせ。昼ごはんを食べるという意味。,"eat lunch(イート ランチ): 昼食を食べる, lunch(ランチ): 昼食をとる",時間・数量,beginner
have dinner,hæv (ハヴ) ˈdɪnər (ディナー),夕食を食べる,have(食べる)とdinner(夕食)の組み合わせ。晩ごはんを食べるという意味。,"eat dinner(イート ディナー): 夕食を食べる, dine(ダイン): 食事する",食・健康,beginner
eat out,iːt (イート) aʊt (アウト),外食する,eat(食べる)とout(外で)の組み合わせ。レストランなどで食事をするという意味。,"dine out(ダイン アウト): 外で食事する, go to a restaurant(ゴー トゥ ア レストラン): レストランに行く",場所・移動,beginner
get sick,ɡet (ゲット) sɪk (シック),病気になる,get(〜になる)とsick(病気の)の組み合わせ。体調を崩すという意味。,"fall ill(フォール イル): 病気になる, become ill(ビカム イル): 病気になる",食・健康,beginner
catch a cold,kætʃ (キャッチ) ə (ア) koʊld (コールド),風邪をひく,catch(かかる)とa cold(風邪)の組み合わせ。風邪に感染するという意味。,"get a cold(ゲット ア コールド): 風邪をひく, come down with a cold(カム ダウン ウィズ ア コールド): 風邪にかかる",自然・環境,beginner
feel better,fiːl (フィール) ˈbetər (ベター),気分が良くなる,feel(感じる)とbetter(より良い)の組み合わせ。体調や気分が回復するという意味。,"improve(インプルーブ): 良くなる, get better(ゲット ベター): 回復する",時間・数量,beginner
stay healthy,steɪ (ステイ) ˈhelθi (ヘルシー),健康を保つ,stay(〜のままでいる)とhealthy(健康な)の組み合わせ。良好な健康状態を維持するという意味。,"keep healthy(キープ ヘルシー): 健康を保つ, remain healthy(リメイン ヘルシー): 健康でいる",食・健康,beginner
go to sleep,ɡoʊ (ゴー) tuː (トゥ) sliːp (スリープ),眠りにつく,go(行く)とto sleep(眠りへ)の組み合わせ。寝入るという意味。,"fall asleep(フォール アスリープ): 眠りに落ちる, sleep(スリープ): 眠る",日常生活,beginner
wake up,weɪk (ウェイク) ʌp (アップ),目を覚ます,wake(目覚める)とup(起きて)の組み合わせ。睡眠から覚醒するという意味。,"awake(アウェイク): 目覚める, get up(ゲット アップ): 起きる",食・健康,beginner
brush teeth,brʌʃ (ブラッシュ) tiːθ (ティース),歯を磨く,brush(磨く)とteeth(歯)の組み合わせ。歯磨きをするという意味。,"clean teeth(クリーン ティース): 歯を掃除する, dental care(デンタル ケア): 歯の手入れ",食・健康,beginner
take a bath,teɪk (テイク) ə (ア) bæθ (バス),お風呂に入る,take(する)とa bath(入浴)の組み合わせ。入浴するという意味。,"bathe(ベイズ): 入浴する, have a bath(ハヴ ア バス): お風呂に入る",自然・環境,beginner
take a shower,teɪk (テイク) ə (ア) ˈʃaʊər (シャワー),シャワーを浴びる,take(する)とa shower(シャワー)の組み合わせ。シャワーを浴びるという意味。,"shower(シャワー): シャワーする, have a shower(ハヴ ア シャワー): シャワーを浴びる",人・社会,beginner
listen to music,ˈlɪsən (リスン) tuː (トゥ) ˈmjuːzɪk (ミュージック),音楽を聴く,listen to(聞く)とmusic(音楽)の組み合わせ。音楽を楽しむという意味。,"hear music(ヒア ミュージック): 音楽を聞く, enjoy music(エンジョイ ミュージック): 音楽を楽しむ",学校・学習,beginner
a lot of,ə (ア) lɑːt (ロット) ʌv (オブ),たくさんの,a lot(たくさん)とof(〜の)の組み合わせ。多量を表す表現。,"many(メニー): 多くの, much(マッチ): 多量の",人・社会,beginner
how about,haʊ (ハウ) əˈbaʊt (アバウト),〜はどうですか,how(どう)とabout(〜について)の組み合わせ。提案や意見を求める表現。,"what about(ワット アバウト): 〜はどうですか, why not(ワイ ノット): 〜してはどう",人・社会,beginner
would like to,wʊd (ウッド) laɪk (ライク) tuː (トゥ),〜したい,would like(望む)とto(〜すること)の組み合わせ。丁寧な希望の表現。,"want to(ウォント トゥ): 〜したい, wish to(ウィッシュ トゥ): 〜を望む",人・社会,beginner
be able to,biː (ビー) ˈeɪbəl (エイブル) tuː (トゥ),〜できる,be able(能力がある)とto(〜すること)の組み合わせ。可能性を表す表現。,"can(キャン): 〜できる, be capable of(ビー ケイパブル オブ): 〜する能力がある",人・社会,beginner
have to,hæv (ハヴ) tuː (トゥ),〜しなければならない,have(持つ)とto(〜すること)の組み合わせ。義務を表す表現。,"must(マスト): 〜しなければならない, need to(ニード トゥ): 〜する必要がある",人・社会,beginner
used to,juːzd (ユースト) tuː (トゥ),以前は〜だった,used(慣れた)とto(〜すること)の組み合わせ。過去の習慣を表す表現。,"formerly(フォーマリー): 以前は, in the past(イン ザ パスト): 過去に",時間・数量,beginner
thanks to,θæŋks (サンクス トゥ),〜のおかげで,thanks(感謝)とto(〜に)の組み合わせ。感謝の理由を示す表現。,"because of(ビコーズ オブ): 〜のため, due to(デュー トゥ): 〜により",人・社会,beginner
be proud of,biː (ビー) praʊd (プラウド) ʌv (オブ),〜を誇りに思う,be proud(誇らしい)とof(〜を)の組み合わせ。誇りを表す表現。,"take pride in(テイク プライド イン): 〜を誇る, feel proud of(フィール プラウド オブ): 〜を誇らしく思う",人・社会,beginner
be famous for,biː (ビー) ˈfeɪməs (フェイマス) fɔːr (フォー),〜で有名である,be famous(有名な)とfor(〜で)の組み合わせ。名声の理由を示す表現。,"be known for(ビー ノウン フォー): 〜で知られる, be well-known for(ビー ウェル ノウン フォー): 〜で有名である",人・社会,beginner
each other,iːt͡ʃ (イーチ アザー),お互いに,each(それぞれ)とother(他の)の組み合わせ。相互関係を表す表現。,"one another(ワン アナザー): お互いに, mutually(ミューチュアリー): 相互に",人・社会,beginner
