語句,読み,意味,語源等解説,関連語,関連分野,難易度
turn on,ター́ン オ́ン,スイッチを入れる,turn(回す)と on(つけて)の組み合わせ。スイッチを回してつける動作から。対義語: turn off(ター́ンオ́フ): 消す,"switch on(スウィ́ッチオ́ン): つける, start(スタ́ート): 始動する",科学・技術,初級
turn off,ター́ン オ́フ,スイッチを消す,turn(回す)と off(切って)の組み合わせ。スイッチを回して切る動作から。対義語: turn on(ター́ンオ́ン): つける,"switch off(スウィ́ッチオ́フ): 消す, shut down(シャ́ットダ́ウン): 停止する",科学・技術,初級
put on,プッ́ト オ́ン,着る・身につける,put(置く)と on(〜の上に)の組み合わせ。服を身体の上に置くイメージ。対義語: take off(テ́イクオ́フ): 脱ぐ,"wear(ウェ́ア): 着ている, dress(ドレ́ス): 服を着る",日常生活,初級
take off,テ́イク オ́フ,脱ぐ・離陸する,take(取る)と off(離れて)の組み合わせ。服を身体から離す、飛行機が地面から離れる。対義語: put on(プッ́トオ́ン): 着る,"remove(リムー́ヴ): 取り除く, depart(ディパ́ート): 出発する",日常生活,初級
make up,メ́イク ア́ップ,仲直りする・作り上げる,make(作る)と up(上に)の組み合わせ。関係を修復する、話を作り上げるなど複数の意味。派生: make up for(メ́イクア́ップフォア): 埋め合わせる,"reconcile(レ́コンサイル): 和解する, invent(インヴェ́ント): 考案する",人・社会,中級
look forward to,ルッ́ク フォ́ワード トゥ,〜を楽しみに待つ,look(見る)、forward(前方へ)、to(〜に)の組み合わせ。未来を前向きに見るイメージ。to の後は名詞・動名詞。,"anticipate(アンティ́シペイト): 期待する, expect(イクスペ́クト): 期待する",人・社会,中級
run out of,ラ́ン ア́ウト オヴ,〜を使い果たす,run(走る)、out(外に)、of(〜から)の組み合わせ。在庫が外に出て無くなるイメージ。,"use up(ユ́ーズア́ップ): 使い切る, exhaust(イグゾ́ースト): 使い果たす",時間・数量,中級
find out,ファ́インド ア́ウト,見つけ出す・わかる,find(見つける)と out(外に)の組み合わせ。隠れているものを外に出して見つけるイメージ。,"discover(ディスカ́ヴァー): 発見する, learn(ラー́ン): 知る",学校・学習,初級
call off,コ́ール オ́フ,中止する,call(呼ぶ)と off(離れて)の組み合わせ。予定を呼び戻して中止するイメージ。,"cancel(キャ́ンセル): 取り消す, postpone(ポウストポ́ウン): 延期する",時間・数量,中級
break down,ブレ́イク ダ́ウン,故障する・壊れる,break(壊れる)と down(下に)の組み合わせ。機械が壊れる、精神的に崩れるなどの意味。,"malfunction(マルファ́ンクション): 故障する, fail(フェ́イル): 機能しなくなる",科学・技術,中級
carry out,キャ́リ ア́ウト,実行する・遂行する,carry(運ぶ)と out(外に)の組み合わせ。計画を最後まで運び出すイメージ。,"execute(エ́クシキュート): 実行する, perform(パフォ́ーム): 遂行する",学校・学習,中級
figure out,フィ́ギャー ア́ウト,理解する・解決する,figure(計算する)と out(外に)の組み合わせ。問題を計算して答えを出すイメージ。,"solve(ソ́ルヴ): 解く, understand(アンダスタ́ンド): 理解する",学校・学習,中級
grow up,グロ́ウ ア́ップ,成長する・大人になる,grow(成長する)と up(上に)の組み合わせ。上に向かって成長するイメージ。派生: grown-up(グロ́ウンア́ップ): 大人,"mature(マチュ́ア): 成熟する, develop(ディヴェ́ロップ): 発達する",人・社会,初級
pick up,ピ́ック ア́ップ,拾う・迎えに行く,pick(選ぶ)と up(上に)の組み合わせ。地面から拾い上げる、人を迎えに行くなど複数の意味。,"collect(コレ́クト): 集める, fetch(フェ́ッチ): 取ってくる",場所・移動,初級
set up,セッ́ト ア́ップ,設置する・準備する,set(置く)と up(上に)の組み合わせ。何かを組み立てて設置するイメージ。,"establish(イスタ́ブリッシュ): 設立する, arrange(アレ́インジ): 配置する",科学・技術,中級
show up,ショ́ウ ア́ップ,現れる・姿を見せる,show(見せる)と up(上に)の組み合わせ。姿を現して見えるようになるイメージ。,"appear(アピ́アー): 現れる, arrive(アラ́イヴ): 到着する",場所・移動,中級
a piece of cake,ア ピ́ース オヴ ケ́イク,とても簡単なこと,直訳は「ケーキ一切れ」。ケーキを食べるのは簡単なことから、「とても簡単」という意味の慣用句に。類似: easy as pie(イ́ージーアズパ́イ),"easy as pie(イ́ージーアズパ́イ): とても簡単, no sweat(ノ́ウスウェ́ット): 楽勝",言語基本,中級
break the ice,ブレ́イク ザ ア́イス,打ち解ける・緊張をほぐす,直訳は「氷を砕く」。固い氷のような冷たい雰囲気を壊すことから、「打ち解ける」という意味に。社交的な場面で使用。,"warm up to(ウォ́ームア́ップトゥ): 親しくなる, get along with(ゲッ́ットアロ́ングウィズ): 仲良くする",人・社会,上級
once in a blue moon,ワ́ンス イン ア ブルー ムー́ン,めったに〜ない,青い月(満月が月に2回見える珍しい現象)から。非常に稀なことのたとえ。,"rarely(レ́アリ): めったに〜ない, seldom(セ́ルダム): めったに〜ない",時間・数量,上級
beat around the bush,ビ́ート アラ́ウンド ザ ブッ́シュ,遠回しに言う,直訳は「茂みの周りを叩く」。狩りで茂みの周りを叩いて鳥を追い出す様子から、本題を避ける意味に。,"avoid the topic(アヴォ́イドザトッ́ピック): 話題を避ける, speak indirectly(スピ́ークインダレ́クトリ): 間接的に話す",人・社会,上級
cost an arm and a leg,コ́スト アン ア́ーム アンド ア レ́ッグ,とても高価である,直訳は「腕と脚の値段がする」。身体の一部を失うほど高額という極端な表現。,"very expensive(ヴェ́リイクスペ́ンシヴ): とても高い, pricey(プラ́イシ): 高価な",時間・数量,上級
make a decision,メ́イク ア ディシ́ジョン,決定を下す,make と decision の固定的な組み合わせ。do a decision とは言わない。重要なコロケーション。類似: make a choice(メ́イクアチョ́イス),"decide(ディサ́イド): 決める, determine(ディタ́ーミン): 決定する",人・社会,中級
take a bath,テ́イク ア バ́ース,風呂に入る,take と bath の固定的な組み合わせ。have a bath とも言う。do a bath とは言わない。,"have a bath(ハ́ヴアバ́ース): 風呂に入る, bathe(ベ́イズ): 入浴する",日常生活,初級
pay attention,ペ́イ アテ́ンション,注意を払う,pay(支払う)と attention(注意)の固定的な組み合わせ。注意を向けることを「支払う」と表現。,"focus on(フォ́ウカスオ́ン): 集中する, concentrate on(コ́ンセントレイトオ́ン): 集中する",学校・学習,初級
make sense,メ́イク セ́ンス,意味をなす・理にかなう,make と sense の固定的な組み合わせ。論理的に筋が通っている状態。否定形: doesn't make sense(意味不明),"be logical(ビーロ́ジカル): 論理的である, be reasonable(ビーリ́ーズナブル): 合理的である",言語基本,中級
take place,テ́イク プレ́イス,行われる・起こる,take と place の固定的な組み合わせ。イベントや出来事が場所を取って起こるイメージ。,"happen(ハ́ペン): 起こる, occur(オカ́ー): 発生する",時間・数量,中級
come true,カ́ム トゥルー,実現する,come(なる)と true(本当の)の組み合わせ。夢や希望が本当になること。主に夢・願いを主語に。,"be realized(ビーリ́アライズド): 実現される, materialize(マティ́アリアライズ): 具体化する",人・社会,中級
in time,イン タ́イム,間に合って,in と time の組み合わせ。時間内にという意味。on time(定刻に)と区別すること。,"punctually(パ́ンクチュアリ): 時間通りに, before the deadline(ビフォ́アザデ́ッドライン): 締切前に",時間・数量,初級
on time,オ́ン タ́イム,時間通りに・定刻に,on と time の組み合わせ。正確な時間にという意味。in time(間に合って)と区別すること。,"punctually(パ́ンクチュアリ): 時間通りに, promptly(プロ́ンプトリ): 即座に",時間・数量,初級
at least,ア́ット リ́ースト,少なくとも,at と least(最小)の組み合わせ。最低限という意味。対義語: at most(多くても),"minimum(ミ́ニマム): 最小限, no less than(ノ́ウレ́スザン): 〜に劣らず",時間・数量,初級
at most,ア́ット モ́ウスト,多くても・せいぜい,at と most(最大)の組み合わせ。最大限という意味。対義語: at least(少なくとも),"maximum(マ́クシマム): 最大限, no more than(ノ́ウモ́アザン): 〜だけ",時間・数量,中級
as well,ア́ズ ウェ́ル,〜もまた,as と well の組み合わせ。too と同じ意味だが、文末に置く。類似: also(文中)、too(文末),"also(オ́ールソウ): 〜もまた, too(トゥ́ー): 〜もまた",言語基本,初級
so far,ソ́ウ ファ́ー,今までのところ,so と far の組み合わせ。今この時点までという意味。現在完了形とよく使われる。,"until now(アンティ́ルナ́ウ): 今まで, up to now(ア́ップトゥナ́ウ): これまで",時間・数量,中級
right away,ラ́イト アウェ́イ,すぐに・直ちに,"right(まさに)と away(すぐに)の組み合わせ。即座にという強い意味。類似: immediately, at once","immediately(イミ́ーディエトリ): 直ちに, at once(ア́ットワ́ンス): すぐに",時間・数量,中級
all of a sudden,オ́ール オヴ ア サ́ドゥン,突然,all、of、a、sudden の組み合わせ。突然という意味の慣用句。類似: suddenly,"suddenly(サ́ドゥンリ): 突然, unexpectedly(アニクスペ́クティドリ): 予期せず",時間・数量,中級
for example,フォー イグザ́ンプル,例えば,for と example の固定的な組み合わせ。具体例を示すときに使用。略: e.g.,"for instance(フォーイ́ンスタンス): 例えば, such as(サ́ッチアズ): 〜のような",言語基本,初級
in fact,イン ファ́クト,実は・実際には,in と fact の組み合わせ。実際の事実としてという意味。前述の内容を訂正・強調する。,"actually(ア́クチュアリ): 実際に, as a matter of fact(アズアマ́ターオヴファ́クト): 実を言うと",言語基本,中級
by the way,バ́イ ザ ウェ́イ,ところで,by、the、way の組み合わせ。話題を変えるときに使う。略: BTW(メールなど),"incidentally(インシデ́ントリ): ついでながら, speaking of which(スピ́ーキングオヴウィ́ッチ): それについて言えば",言語基本,初級
on purpose,オ́ン パ́ーパス,わざと・故意に,on と purpose の組み合わせ。意図的にという意味。対義語: by accident(偶然に),"intentionally(インテ́ンショナリ): 意図的に, deliberately(ディリ́バレイトリ): 故意に",人・社会,中級
by accident,バ́イ ア́クシデント,偶然に・うっかり,by と accident の組み合わせ。意図せずにという意味。対義語: on purpose(わざと),"accidentally(アクシデ́ントリ): 偶然に, unintentionally(アニンテ́ンショナリ): 意図せずに",時間・数量,中級
run away,ラ́ン アウェ́イ,逃げる,run(走る)と away(離れて)の組み合わせ。危険から逃げる。名詞: runaway(逃亡者),"escape(エスケ́イプ): 脱出する, flee(フリ́ー): 逃げる",場所・移動,初級
wake up,ウェ́イク ア́ップ,目を覚ます,wake(目覚める)と up(上へ)の組み合わせ。睡眠から覚める。類似: get up(起き上がる),"awaken(アウェ́イクン): 目覚める, rise(ラ́イズ): 起きる",日常生活,初級
give back,ギ́ヴ バ́ック,返す,give(与える)と back(後ろへ)の組み合わせ。借りたものを返す。類似: return,"return(リタ́ーン): 返却する, restore(リスト́ー): 返還する",人・社会,初級
get along with,ゲ́ット アロ́ング ウィズ,仲良くやる,get、along、with の組み合わせ。人と良い関係を保つ。類似: get on with,"get on with(ゲ́ットオ́ンウィズ): うまくやる, be friendly with(ビーフレ́ンドリウィズ): 親しくする",人・社会,中級
bring up,ブリ́ング ア́ップ,育てる・話題を出す,bring(持ってくる)と up(上へ)の組み合わせ。子供を育てる、または話題を持ち出す。,"raise(レ́イズ): 育てる, mention(メ́ンション): 言及する",人・社会,中級
deal with,ディ́ール ウィズ,対処する・扱う,deal(扱う)と with(〜と)の組み合わせ。問題などに対応する。類似: handle,"handle(ハ́ンドル): 処理する, cope with(コ́ウプウィズ): 対処する",人・社会,中級
go through,ゴ́ウ スル́ー,経験する・通り抜ける,go(行く)と through(通って)の組み合わせ。困難な経験をする、または何かを通過する。,"experience(イクスピ́アリエンス): 経験する, endure(エンデュ́ア): 耐える",人・社会,中級
keep up with,キ́ープ ア́ップ ウィズ,ついていく,keep、up、with の組み合わせ。他者のペースに遅れないようにする。類似: catch up with,"catch up with(キャ́ッチア́ップウィズ): 追いつく, stay abreast of(ステ́イアブレ́ストオヴ): 遅れずについていく",学校・学習,中級
stand for,スタ́ンド フォ́ー,表す・支持する,stand(立つ)と for(〜のために)の組み合わせ。略語が何を意味するか、または主義を支持する。,"represent(レプリゼ́ント): 表す, symbolize(シ́ンボライズ): 象徴する",言語基本,中級
work out,ワ́ーク ア́ウト,うまくいく・運動する,work(働く)と out(外へ)の組み合わせ。計画がうまくいく、または体を鍛える。,"succeed(サクスィ́ード): 成功する, exercise(エ́クササイズ): 運動する",運動・娯楽,中級
cut down on,カ́ット ダ́ウン オ́ン,減らす,cut、down、on の組み合わせ。量や頻度を減少させる。類似: reduce,"reduce(リデュ́ース): 削減する, decrease(ディクリ́ース): 減少させる",日常生活,中級
drop out of,ドロ́ップ ア́ウト オヴ,中退する,drop、out、of の組み合わせ。学校やプログラムを途中でやめる。名詞: dropout,"quit(クウィ́ット): やめる, withdraw from(ウィズドロ́ーフロム): 退く",学校・学習,中級
in advance,イン アドヴァ́ンス,前もって,in と advance(前進)の組み合わせ。事前にという意味。類似: beforehand,"beforehand(ビフォ́アハンド): あらかじめ, ahead of time(アヘ́ッドオヴタ́イム): 予定より早く",時間・数量,初級
at first,ア́ット ファ́ースト,最初は,at と first(最初)の組み合わせ。始めの段階でという意味。対比: at last(ついに),"initially(イニ́シャリ): 最初に, in the beginning(インザビギ́ニング): はじめに",時間・数量,初級
at last,ア́ット ラ́ースト,ついに・とうとう,at と last(最後)の組み合わせ。長い時間の後にようやくという意味。類似: finally,"finally(ファ́イナリ): ついに, eventually(イヴェ́ンチュアリ): 結局",時間・数量,中級
from now on,フロ́ム ナ́ウ オ́ン,今後は・これからは,from、now、on の組み合わせ。この瞬間以降という意味。類似: hereafter,"hereafter(ヒアア́フター): 今後, in the future(インザフュ́ーチャー): 将来",時間・数量,中級
no longer,ノ́ウ ロ́ンガー,もはや〜ない,no と longer(より長く)の組み合わせ。以前はそうだったが今は違うという意味。,"not anymore(ナ́ットエニモ́ア): もう〜ない, no more(ノ́ウモ́ア): これ以上〜ない",時間・数量,中級
out of order,ア́ウト オヴ オ́ーダー,故障中・順序が違って,out、of、order の組み合わせ。機械が壊れている、または順番が正しくない。,"broken(ブロ́ウクン): 壊れた, not working(ナ́ットワ́ーキング): 動いていない",科学・技術,中級
get in touch with,ゲ́ット イン タ́ッチ ウィズ,連絡を取る,get、in、touch、with の組み合わせ。誰かと連絡を取り合う。類似: contact,"contact(コ́ンタクト): 連絡する, reach(リ́ーチ): 連絡がつく",人・社会,中級
as long as,ア́ズ ロ́ング ア́ズ,〜する限り・〜である限り,as、long、as の組み合わせ。条件を示す接続詞。類似: provided that,"provided that(プロヴァ́イディドザ́ット): 〜という条件で, if(イ́フ): もし〜なら",言語基本,中級
as soon as,ア́ズ ス́ーン ア́ズ,〜するとすぐに,as、soon、as の組み合わせ。2つの出来事がほぼ同時に起こることを示す。,"immediately when(イミ́ーディエトリウェ́ン): 〜したらすぐ, the moment(ザモ́ウメント): 〜する瞬間に",時間・数量,中級
because of,ビコ́ーズ オヴ,〜のために・〜が理由で,because と of の組み合わせ。原因や理由を示す。後ろは名詞。類似: due to,"due to(デュ́ートゥ): 〜のせいで, owing to(オ́ウイングトゥ): 〜のため",言語基本,初級
according to,アコ́ーディング トゥ,〜によれば,according と to の組み合わせ。情報源を示す表現。,"based on(ベ́イストオン): 〜に基づいて, as per(ア́ズパ́ー): 〜に従って",言語基本,中級
in spite of,イン スパ́イト オヴ,〜にもかかわらず,in、spite、of の組み合わせ。逆接を表す。類似: despite,"despite(ディスパ́イト): 〜にもかかわらず, although(オールゾ́ウ): 〜だけれども",言語基本,中級
thanks to,サ́ンクス トゥ,〜のおかげで,thanks と to の組み合わせ。良い結果の原因を示す。対比: because of(中立的),"owing to(オ́ウイングトゥ): 〜のために, due to(デュ́ートゥ): 〜が原因で",言語基本,中級
instead of,インステ́ッド オヴ,〜の代わりに,instead と of の組み合わせ。代替を示す表現。後ろは名詞または動名詞。,"in place of(インプレ́イスオヴ): 〜の代わりに, rather than(ラ́ーザザン): 〜よりむしろ",言語基本,中級
in order to,イン オ́ーダー トゥ,〜するために,in、order、to の組み合わせ。目的を示す表現。後ろは動詞の原形。類似: so as to,"so as to(ソ́ウア́ズトゥ): 〜するために, for the purpose of(フォーザパ́ーパスオヴ): 〜の目的で",言語基本,中級
up to,ア́ップ トゥ,〜まで・〜次第で,up と to の組み合わせ。限度や責任の所在を示す。文脈により意味が変わる。,"until(アンティ́ル): 〜まで, depending on(ディペ́ンディングオン): 〜次第で",時間・数量,中級
be willing to,ビー ウィ́リング トゥ,喜んで〜する,be、willing、to の組み合わせ。進んで何かをする意思があることを示す。後ろは動詞の原形。,"be ready to(ビーレ́ディトゥ): 用意ができている, be prepared to(ビープリペ́アドトゥ): 〜する覚悟がある",人・社会,中級
cheer up,チィ́ア ア́ップ,元気づける・元気を出す,cheer(応援)と up(上へ)の組み合わせ。気分を上げるという意味。,"encourage(エンカ́レッジ): 励ます, lift spirits(リ́フトスピ́リッツ): 気分を高揚させる",人・社会,初級
slow down,スロ́ウ ダ́ウン,速度を落とす,slow(遅い)と down(下へ)の組み合わせ。スピードを下げるという意味。,"decelerate(ディスェ́ラレイト): 減速する, reduce speed(リデュ́ーススピ́ード): 速度を下げる",場所・移動,初級
hurry up,ハ́リ ア́ップ,急ぐ,hurry(急ぐ)と up(上へ)の組み合わせ。動作を速めるという意味。,"rush(ラ́ッシュ): 急ぐ, be quick(ビークウィ́ック): 素早くする",時間・数量,初級
calm down,カ́ーム ダ́ウン,落ち着く,calm(穏やか)と down(下へ)の組み合わせ。興奮状態から落ち着くという意味。,"relax(リラ́ックス): くつろぐ, settle down(セ́トルダ́ウン): 落ち着く",人・社会,初級
give in,ギ́ヴ イ́ン,屈する・譲歩する,give(与える)と in(中に)の組み合わせ。抵抗をやめて従うという意味。,"surrender(サレ́ンダー): 降伏する, yield(イ́ールド): 譲る",人・社会,中級
hold on,ホ́ウルド オ́ン,待つ・つかまる,hold(保つ)と on(上に)の組み合わせ。その状態を保つという意味。電話で「お待ちください」の意味も。,"wait(ウェ́イト): 待つ, hang on(ハ́ングオン): しがみつく",時間・数量,初級
move on,ムー́ヴ オ́ン,先へ進む,move(動く)と on(前へ)の組み合わせ。次の段階に進むという意味。,"proceed(プロスィ́ード): 進む, advance(アドヴァ́ンス): 前進する",場所・移動,中級
write down,ラ́イト ダ́ウン,書き留める,write(書く)と down(下へ)の組み合わせ。紙に記録するという意味。,"note down(ノ́ウトダ́ウン): メモする, record(レコ́ード): 記録する",学校・学習,初級
clean up,クリ́ーン ア́ップ,掃除する・片付ける,clean(きれいにする)と up(上へ)の組み合わせ。完全にきれいにするという意味。,"tidy up(タ́イディア́ップ): 整理する, clear up(クリ́アア́ップ): 片付ける",日常生活,初級
use up,ユ́ーズ ア́ップ,使い果たす,use(使う)と up(上へ)の組み合わせ。完全に使い切るという意味。,"consume(コンスュ́ーム): 消費する, exhaust(イグゾ́ースト): 使い尽くす",日常生活,中級
eat out,イ́ート ア́ウト,外食する,eat(食べる)と out(外で)の組み合わせ。レストランなどで食事するという意味。,"dine out(ダ́インア́ウト): 外食する, have a meal out(ハ́ヴアミ́ールア́ウト): 外で食事する",食・健康,初級
stay up,ステ́イ ア́ップ,夜更かしする,stay(留まる)と up(起きて)の組み合わせ。寝ないで起きているという意味。,"sit up(スィ́ットア́ップ): 寝ないでいる, keep awake(キ́ープアウェ́イク): 起きている",日常生活,中級
lie down,ラ́イ ダ́ウン,横になる,lie(横たわる)と down(下へ)の組み合わせ。体を横たえるという意味。,"recline(リクラ́イン): もたれる, rest(レ́スト): 休む",日常生活,初級
stand up,スタ́ンド ア́ップ,立ち上がる,stand(立つ)と up(上へ)の組み合わせ。座った状態から立つという意味。,"rise(ラ́イズ): 起立する, get to one's feet(ゲ́ットトゥワ́ンズフィ́ート): 立ち上がる",日常生活,初級
sit down,スィ́ット ダ́ウン,座る,sit(座る)と down(下へ)の組み合わせ。立った状態から座るという意味。,"take a seat(テ́イクアスィ́ート): 着席する, be seated(ビースィ́ーティド): 座る",日常生活,初級
count on,カ́ウント オ́ン,頼りにする・当てにする,count(数える)と on(〜に)の組み合わせ。計算に入れるという意味から「頼りにする」に。,"rely on(リラ́イオン): 頼る, depend on(ディペ́ンドオン): 依存する",人・社会,中級
hand in,ハ́ンド イ́ン,提出する,hand(手渡す)と in(中へ)の組み合わせ。書類などを提出するという意味。,"submit(サブミ́ット): 提出する, turn in(タ́ーンイン): 提出する",学校・学習,初級
point out,ポ́イント ア́ウト,指摘する,point(指す)と out(外へ)の組み合わせ。何かを示して注意を向けさせるという意味。,"indicate(イ́ンディケイト): 示す, mention(メ́ンション): 言及する",言語基本,中級
try on,トラ́イ オ́ン,試着する,try(試す)と on(身に付けて)の組み合わせ。服などを着てみるという意味。,"test(テ́スト): 試す, fit(フィ́ット): 合わせてみる",日常生活,初級
throw away,スロ́ウ アウェ́イ,捨てる,throw(投げる)と away(離れて)の組み合わせ。不要なものを処分するという意味。,"discard(ディスカ́ード): 捨てる, get rid of(ゲ́ットリ́ッドオヴ): 処分する",日常生活,初級
fill out,フィ́ル ア́ウト,記入する,fill(満たす)と out(外へ)の組み合わせ。フォームなどを書き込んで完成させるという意味。,"complete(コンプリ́ート): 完成させる, fill in(フィ́ルイン): 記入する",学校・学習,中級
