語句,読み,意味,語源等解説,関連語,関連分野,難易度
look ahead,ル́ック アヘ́ッド,先を見る,look(見る)とahead(前方へ)の組み合わせ。将来を考えるという意味。,"plan for the future(プラ́ンフォーザフュ́ーチャー): 将来を計画する, anticipate(アンティ́シペイト): 予期する",時間・数量,中級
look out for,ル́ック ア́ウト フォ́ー,気をつける・探す,look(見る)、out(外へ)、for(〜のために)の組み合わせ。警戒するという意味。,"watch for(ウォ́ッチフォー): 注意する, be careful of(ビーケ́アフルオヴ): 気をつける",人・社会,中級
look through,ル́ック スルー́,目を通す,look(見る)とthrough(通して)の組み合わせ。読み通すという意味。,"read through(リ́ードスルー): 通読する, peruse(ペルー́ズ): 熟読する",学校・学習,中級
look upon,ル́ック アポ́ン,みなす,look(見る)とupon(〜の上に)の組み合わせ。評価するという意味。,"regard as(リガ́ードアズ): 〜とみなす, consider(コンスィ́ダー): 考える",人・社会,中級
lose out,ルー́ズ ア́ウト,損をする,lose(失う)とout(外へ)の組み合わせ。機会を逃すという意味。,"miss out(ミ́スアウト): 逃す, be at a disadvantage(ビーア́ットアディスアドヴァ́ンティジ): 不利になる",人・社会,中級
make away with,メ́イク アウェ́イ ウィズ,盗む・持ち去る,make(作る)、away(離れて)、with(〜と)の組み合わせ。逃走するという意味。,"steal(スティ́ール): 盗む, abscond with(アブスコ́ンドウィズ): 持ち逃げする",人・社会,中級
make do,メ́イク ドゥ́ー,間に合わせる,make(作る)とdo(する)の組み合わせ。やりくりするという意味。,"manage(マ́ニジ): やりくりする, get by(ゲ́ットバイ): 何とかする",日常生活,中級
make off,メ́イク オ́フ,逃げる,make(作る)とoff(離れて)の組み合わせ。急いで立ち去るという意味。,"flee(フリ́ー): 逃走する, run away(ラ́ンアウェイ): 逃げる",場所・移動,中級
make off with,メ́イク オ́フ ウィズ,持ち逃げする,make(作る)、off(離れて)、with(〜と)の組み合わせ。盗んで逃げるという意味。,"steal and escape(スティ́ールアンドイスケ́イプ): 盗んで逃げる, run off with(ラ́ンオフウィズ): 持ち逃げする",人・社会,中級
mark down,マ́ーク ダ́ウン,値下げする・記録する,mark(印をつける)とdown(下へ)の組み合わせ。減額するという意味。,"reduce price(リデュ́ースプライス): 値下げする, note down(ノ́ウトダウン): 書き留める",日常生活,中級
mark up,マ́ーク ア́ップ,値上げする,mark(印をつける)とup(上へ)の組み合わせ。増額するという意味。,"increase price(インクリ́ースプライス): 値上げする, raise price(レ́イズプライス): 価格を上げる",日常生活,中級
mess up,メ́ス ア́ップ,台無しにする,mess(混乱)とup(上へ)の組み合わせ。めちゃくちゃにするという意味。,"ruin(ル́ーイン): 台無しにする, spoil(スポ́イル): 駄目にする",人・社会,中級
miss out on,ミ́ス ア́ウト オ́ン,機会を逃す,miss(逃す)、out(外へ)、on(〜の上に)の組み合わせ。取り損なうという意味。,"lose opportunity(ル́ーズオポチュ́ーニティ): 機会を失う, fail to get(フェ́イルトゥゲット): 得られない",人・社会,中級
opt for,オ́プト フォ́ー,選ぶ,opt(選択する)とfor(〜のために)の組み合わせ。決定するという意味。,"choose(チュ́ーズ): 選ぶ, select(シレ́クト): 選択する",人・社会,中級
own up,オ́ウン ア́ップ,白状する,own(所有する)とup(上へ)の組み合わせ。認めるという意味。,"confess(コンフェ́ス): 告白する, admit(アドミ́ット): 認める",人・社会,中級
pan out,パ́ン ア́ウト,うまくいく,pan(パン)とout(外へ)の組み合わせ。成功するという意味。,"succeed(サクシ́ード): 成功する, work out(ワ́ークアウト): うまくいく",人・社会,中級
pass by,パ́ス バ́イ,通り過ぎる,pass(通る)とby(そばを)の組み合わせ。横を通るという意味。,"go past(ゴ́ウパスト): 通り過ぎる, move past(ムー́ヴパスト): 過ぎ去る",場所・移動,中級
pass down,パ́ス ダ́ウン,伝える・受け継ぐ,pass(渡す)とdown(下へ)の組み合わせ。次世代に継承するという意味。,"hand down(ハ́ンドダウン): 譲り渡す, transmit(トランスミ́ット): 伝達する",人・社会,中級
pass up,パ́ス ア́ップ,見送る・断る,pass(渡す)とup(上へ)の組み合わせ。機会を逃すという意味。,"decline(ディクラ́イン): 辞退する, refuse(リフュ́ーズ): 拒否する",人・社会,中級
pay off,ペ́イ オ́フ,完済する・報われる,pay(支払う)とoff(離して)の組み合わせ。借金を返し終えるという意味。,"repay fully(リペ́イフ́リ): 完済する, succeed(サクシ́ード): 成功する",人・社会,中級
perk up,パ́ーク ア́ップ,元気になる,perk(活気づく)とup(上へ)の組み合わせ。回復するという意味。,"become lively(ビカ́ムラ́イヴリ): 生き生きする, cheer up(チ́アアップ): 元気を出す",人・社会,中級
peter out,ピ́ーター ア́ウト,尽きる・衰える,peter(減少する)とout(外へ)の組み合わせ。徐々になくなるという意味。,"dwindle(ドウィ́ンドル): 減少する, fade away(フェ́イドアウェイ): 消え去る",時間・数量,中級
piece together,ピ́ース トゥゲ́ザー,つなぎ合わせる,piece(破片)とtogether(一緒に)の組み合わせ。組み立てるという意味。,"assemble(アセ́ンブル): 組み立てる, reconstruct(リコンストラ́クト): 再構築する",学校・学習,中級
pile up,パ́イル ア́ップ,積み重なる,pile(積む)とup(上へ)の組み合わせ。蓄積するという意味。,"accumulate(アキュ́ーミュレイト): 蓄積する, heap up(ヒ́ープアップ): 積み上げる",日常生活,中級
pin down,ピ́ン ダ́ウン,特定する・動けなくする,pin(ピン)とdown(下へ)の組み合わせ。固定するという意味。,"identify(アイデ́ンティファイ): 特定する, determine(ディタ́ーミン): 確定する",学校・学習,中級
play up,プレ́イ ア́ップ,強調する・調子が悪い,play(演じる)とup(上へ)の組み合わせ。誇張するという意味。,"emphasize(エ́ンファサイズ): 強調する, malfunction(マルファ́ンクション): 故障する",言語基本,中級
pluck up,プラ́ック ア́ップ,勇気を出す,pluck(引き抜く)とup(上へ)の組み合わせ。奮い起こすという意味。,"summon courage(サ́マンカ́リッジ): 勇気を奮い起こす, gather strength(ギャ́ザーストレ́ングス): 力を集める",人・社会,中級
plug in,プラ́グ イ́ン,差し込む,plug(栓)とin(中へ)の組み合わせ。接続するという意味。,"connect(コネ́クト): 接続する, insert(インサ́ート): 挿入する",科学・技術,中級
pop in,ポ́ップ イ́ン,ちょっと立ち寄る,pop(ポンと出る)とin(中へ)の組み合わせ。短時間訪問するという意味。,"drop by(ドロ́ップバイ): 立ち寄る, stop in(スト́ップイン): ちょっと寄る",場所・移動,中級
pop up,ポ́ップ ア́ップ,突然現れる,pop(ポンと出る)とup(上へ)の組み合わせ。不意に出現するという意味。,"appear suddenly(アピ́アサ́ドゥンリ): 突然現れる, emerge(イマ́ージ): 出現する",時間・数量,中級
pull away,プ́ル アウェ́イ,引き離す・離れる,pull(引く)とaway(離れて)の組み合わせ。距離を取るという意味。,"move away(ムー́ヴアウェイ): 離れる, withdraw(ウィズドロ́ー): 引く",場所・移動,中級
pull in,プ́ル イ́ン,引き込む・停車する,pull(引く)とin(中へ)の組み合わせ。引き寄せるという意味。,"draw in(ドロ́ーイン): 引き入れる, arrive(アラ́イヴ): 到着する",場所・移動,中級
pull off,プ́ル オ́フ,成功させる・脱ぐ,pull(引く)とoff(離して)の組み合わせ。困難なことを達成するという意味。,"succeed in(サクシ́ードイン): 成功する, accomplish(アコ́ンプリッシュ): 達成する",人・社会,中級
pull out,プ́ル ア́ウト,引き抜く・撤退する,pull(引く)とout(外へ)の組み合わせ。取り出すまたは退くという意味。,"withdraw(ウィズドロ́ー): 撤退する, extract(イクストラ́クト): 抽出する",場所・移動,中級
pull up,プ́ル ア́ップ,止まる・引き上げる,pull(引く)とup(上へ)の組み合わせ。停車するという意味。,"stop(スト́ップ): 止まる, halt(ホ́ールト): 停止する",場所・移動,中級
push ahead,プ́ッシュ アヘ́ッド,押し進める,push(押す)とahead(前へ)の組み合わせ。前進するという意味。,"proceed(プロシ́ード): 進む, forge ahead(フォ́ージアヘッド): 突き進む",人・社会,中級
push around,プ́ッシュ アラ́ウンド,いじめる,push(押す)とaround(周りに)の組み合わせ。威圧するという意味。,"bully(ブ́リ): いじめる, intimidate(インティ́ミデイト): 脅す",人・社会,中級
harp on,ハ́ープ オ́ン,くどくど言う,harp(竪琴)とon(〜の上に)の組み合わせ。同じことを繰り返すという意味。,"keep talking about(キ́ープトーキングアバウト): しつこく話す, dwell on(ドウェルオン): くよくよ考える",言語基本,中級
hash out,ハ́ッシュ ア́ウト,詳しく話し合う,hash(細かく切る)とout(外へ)の組み合わせ。徹底的に議論するという意味。,"discuss thoroughly(ディスカ́ススロ́ウリ): 徹底的に議論する, work out(ワ́ークアウト): 解決する",人・社会,中級
haul in,ホ́ール イ́ン,引き寄せる・逮捕する,haul(引っ張る)とin(中へ)の組み合わせ。力ずくで連れてくるという意味。,"pull in(プ́ルイン): 引き込む, arrest(アレ́スト): 逮捕する",人・社会,中級
hem in,ヘ́ム イ́ン,閉じ込める・包囲する,hem(縁取る)とin(中へ)の組み合わせ。周りを囲むという意味。,"surround(サラ́ウンド): 取り囲む, confine(コンファ́イン): 閉じ込める",場所・移動,中級
hit back,ヒ́ット バ́ック,反撃する,hit(打つ)とback(後ろへ)の組み合わせ。やり返すという意味。,"strike back(ストラ́イクバック): 反撃する, retaliate(リタ́リエイト): 報復する",人・社会,中級
hole up,ホ́ウル ア́ップ,隠れる・立てこもる,hole(穴)とup(上へ)の組み合わせ。穴に入って隠れるという意味。,"hide(ハ́イド): 隠れる, take refuge(テ́イクレ́フュージ): 避難する",場所・移動,中級
hook up,フ́ック ア́ップ,接続する・会う,hook(鉤)とup(上へ)の組み合わせ。つなぐという意味。,"connect(コネ́クト): 接続する, meet up(ミ́ートアップ): 会う",科学・技術,中級
hunt down,ハ́ント ダ́ウン,追い詰める,hunt(狩る)とdown(下へ)の組み合わせ。徹底的に探すという意味。,"track down(トラ́ックダウン): 追跡して見つける, pursue(パースー́): 追求する",場所・移動,中級
inch forward,イ́ンチ フォ́ーワード,少しずつ進む,inch(インチ)とforward(前へ)の組み合わせ。わずかに前進するという意味。,"move slowly forward(ムー́ヴスロ́ウリフォーワード): ゆっくり前進する, edge forward(エ́ッジフォーワード): じりじり進む",場所・移動,中級
jot down,ジョ́ット ダ́ウン,メモする,jot(走り書きする)とdown(下へ)の組み合わせ。素早く書き留めるという意味。,"note down(ノ́ウトダウン): 書き留める, write down(ラ́イトダウン): 書く",学校・学習,中級
keel over,キ́ール オ́ウヴァー,倒れる・ひっくり返る,keel(竜骨)とover(越えて)の組み合わせ。船が転覆するという意味。,"collapse(コラ́プス): 倒れる, fall over(フォ́ールオウヴァー): 転倒する",人・社会,中級
lash out,ラ́ッシュ ア́ウト,激しく攻撃する,lash(鞭打つ)とout(外へ)の組み合わせ。突然暴力的になるという意味。,"attack violently(アタ́ックヴァ́イオレントリ): 激しく攻撃する, strike out(ストラ́イクアウト): 殴りかかる",人・社会,中級
latch onto,ラ́ッチ オ́ントゥ,しがみつく・理解する,latch(掛け金)とonto(〜の上へ)の組み合わせ。固執するという意味。,"grasp(グラ́スプ): つかむ, cling to(クリ́ングトゥ): しがみつく",学校・学習,中級
level off,レ́ヴル オ́フ,横ばいになる,level(水平)とoff(離れて)の組み合わせ。安定するという意味。,"stabilize(ステ́イビライズ): 安定する, flatten out(フラ́トゥンアウト): 平らになる",時間・数量,中級
lighten up,ラ́イトゥン ア́ップ,リラックスする・明るくなる,lighten(軽くする)とup(上へ)の組み合わせ。気楽になるという意味。,"relax(リラ́ックス): くつろぐ, become cheerful(ビカ́ムチ́アフル): 陽気になる",人・社会,中級
limber up,リ́ンバー ア́ップ,準備体操をする,limber(柔軟な)とup(上へ)の組み合わせ。体をほぐすという意味。,"warm up(ウォ́ームアップ): ウォームアップする, stretch(ストレ́ッチ): ストレッチする",運動・娯楽,中級
loosen up,ル́ースン ア́ップ,リラックスする・ほぐす,loosen(緩める)とup(上へ)の組み合わせ。緊張を解くという意味。,"relax(リラ́ックス): くつろぐ, become less tense(ビカ́ムレ́ステ́ンス): 緊張がほぐれる",人・社会,中級
lop off,ロ́ップ オ́フ,切り落とす,lop(枝を切る)とoff(離して)の組み合わせ。切断するという意味。,"cut off(カ́ットオフ): 切断する, chop off(チョ́ップオフ): 切り取る",日常生活,中級
map out,マ́ップ ア́ウト,計画を立てる,map(地図)とout(外へ)の組み合わせ。詳細に計画するという意味。,"plan out(プラ́ンアウト): 計画する, outline(ア́ウトライン): 概要を示す",学校・学習,中級
mull over,マ́ル オ́ウヴァー,じっくり考える,mull(じっくり考える)とover(越えて)の組み合わせ。熟考するという意味。,"ponder(ポ́ンダー): 熟考する, think over(スィ́ンクオウヴァー): よく考える",人・社会,中級
muster up,マ́スター ア́ップ,奮い起こす,muster(集める)とup(上へ)の組み合わせ。勇気を集めるという意味。,"summon(サ́マン): 召喚する, gather(ギャ́ザー): 集める",人・社会,中級
nurse along,ナ́ース アロ́ング,大事に育てる,nurse(看護する)とalong(一緒に)の組み合わせ。注意深く世話するという意味。,"care for carefully(ケ́アフォーケ́アフリ): 注意深く世話する, nurture(ナ́ーチャー): 育てる",人・社会,中級
parcel out,パ́ーセル ア́ウト,分配する,parcel(小包)とout(外へ)の組み合わせ。配分するという意味。,"distribute(ディストリ́ビュート): 分配する, divide up(ディヴァ́イドアップ): 分ける",人・社会,中級
patch up,パ́ッチ ア́ップ,修理する・仲直りする,patch(つぎ当て)とup(上へ)の組み合わせ。取り繕うという意味。,"repair(リペ́ア): 修理する, reconcile(レ́コンサイル): 和解させる",人・社会,中級
polish off,ポ́リッシュ オ́フ,平らげる・片付ける,polish(磨く)とoff(離して)の組み合わせ。完了するという意味。,"finish quickly(フィ́ニッシュクウィ́クリ): 素早く終える, consume(コンスー́ム): 消費する",日常生活,中級
pore over,ポ́ア オ́ウヴァー,熟読する,pore(じっと見る)とover(越えて)の組み合わせ。注意深く読むという意味。,"study carefully(スタ́ディケ́アフリ): 注意深く勉強する, examine closely(イグザ́ミンクロ́ウスリ): 綿密に調べる",学校・学習,中級
prop up,プロ́ップ ア́ップ,支える,prop(支柱)とup(上へ)の組み合わせ。支持するという意味。,"support(サポ́ート): 支える, hold up(ホ́ウルドアップ): 支持する",人・社会,中級
puzzle out,パ́ズル ア́ウト,解明する,puzzle(パズル)とout(外へ)の組み合わせ。謎を解くという意味。,"solve(ソ́ルヴ): 解く, work out(ワ́ークアウト): 解決する",学校・学習,中級
rattle off,ラ́トル オ́フ,すらすら言う,rattle(ガタガタ音を立てる)とoff(離れて)の組み合わせ。早口でしゃべるという意味。,"recite rapidly(リサ́イトラ́ピッドリ): 素早く暗唱する, say quickly(セ́イクウィ́クリ): 素早く言う",言語基本,中級
