語句,読み,意味,語源等解説,関連語,関連分野,難易度
be aware of,ビー アウェ́ア オヴ,〜に気づいている,be、aware(気づいて)、of(〜に)の組み合わせ。知っているという意味。,"know(ノ́ウ): 知っている, realize(リ́アライズ): 認識する",人・社会,初級
be fond of,ビー フォ́ンド オヴ,〜が好きである,be、fond(好きな)、of(〜が)の組み合わせ。愛着があるという意味。,"like(ラ́イク): 好む, be keen on(ビーキ́ーンオン): 〜に熱中している",人・社会,初級
be ashamed of,ビー アシェ́イムド オヴ,〜を恥じる,be、ashamed(恥ずかしい)、of(〜を)の組み合わせ。恥を感じるという意味。,"feel shame about(フィ́ールシェ́イムアバ́ウト): 〜を恥じる, be embarrassed about(ビーエンバ́ラストアバウト): 〜を恥ずかしく思う",人・社会,初級
be jealous of,ビー ジェ́ラス オヴ,〜を妬む,be、jealous(嫉妬深い)、of(〜を)の組み合わせ。羨ましく思うという意味。,"envy(エ́ンヴィ): 羨む, be envious of(ビーエ́ンヴィアスオヴ): 〜を妬む",人・社会,初級
be made of,ビー メ́イド オヴ,〜でできている,be、made(作られた)、of(〜から)の組み合わせ。材料が見える場合に使う。類似: be made from(材料が見えない),"consist of(コンスィ́ストオヴ): 〜から成る, be composed of(ビーコンポ́ウズドオヴ): 〜で構成されている",科学・技術,初級
be interested in,ビー イ́ンタレスティド イ́ン,〜に興味がある,be、interested(興味を持った)、in(〜に)の組み合わせ。関心があるという意味。,"be curious about(ビーキュ́アリアスアバウト): 〜に好奇心がある, be keen on(ビーキ́ーンオン): 〜に熱心である",学校・学習,初級
be satisfied with,ビー サ́ティスファイド ウィズ,〜に満足している,be、satisfied(満足した)、with(〜に)の組み合わせ。納得しているという意味。,"be content with(ビーコンテ́ントウィズ): 〜に満足している, be pleased with(ビープリ́ーズドウィズ): 〜に喜んでいる",人・社会,初級
be familiar with,ビー ファミ́リアー ウィズ,〜をよく知っている,be、familiar(よく知られた)、with(〜を)の組み合わせ。精通しているという意味。,"know well(ノ́ウウェ́ル): よく知っている, be acquainted with(ビーアクウェ́インティドウィズ): 〜に精通している",学校・学習,初級
be popular with,ビー ポ́ピュラー ウィズ,〜に人気がある,be、popular(人気の)、with(〜に)の組み合わせ。多くの人に好かれているという意味。,"be well-liked by(ビーウェ́ルラ́イクトバ́イ): 〜に好かれている, be favored by(ビーフェ́イヴァードバイ): 〜に好まれている",人・社会,初級
be covered with,ビー カ́ヴァード ウィズ,〜で覆われている,be、covered(覆われた)、with(〜で)の組み合わせ。表面が何かで覆われているという意味。,"be coated with(ビーコ́ウティドウィズ): 〜でコーティングされている, be blanketed with(ビーブラ́ンキティドウィズ): 〜で覆われている",自然・環境,初級
be busy with,ビー ビ́ズィ ウィズ,〜で忙しい,be、busy(忙しい)、with(〜で)の組み合わせ。用事で手一杯という意味。,"be occupied with(ビーオ́キュパイドウィズ): 〜で手がふさがっている, be engaged in(ビーエンゲ́イジドイン): 〜に従事している",日常生活,初級
be angry with,ビー ア́ングリ ウィズ,〜に怒っている,be、angry(怒った)、with(〜に)の組み合わせ。人に対して腹を立てているという意味。,"be mad at(ビーマ́ッドア́ット): 〜に怒っている, be furious with(ビーフュ́アリアスウィズ): 〜に激怒している",人・社会,初級
be pleased with,ビー プリ́ーズド ウィズ,〜に喜んでいる,be、pleased(喜んだ)、with(〜に)の組み合わせ。満足しているという意味。,"be happy with(ビーハ́ッピウィズ): 〜に満足している, be delighted with(ビーディラ́イティドウィズ): 〜に大喜びしている",人・社会,初級
be born in,ビー ボ́ーン イ́ン,〜で生まれる,be、born(生まれた)、in(〜で)の組み合わせ。出生地を示すという意味。,"come from(カ́ムフロム): 〜出身である, originate in(オリ́ジネイトイン): 〜で生まれる",人・社会,初級
grow in,グロ́ウ イ́ン,〜で育つ,grow(成長する)と in(〜で)の組み合わせ。特定の場所で大きくなるという意味。,"develop in(ディヴェ́ロップイン): 〜で発達する, thrive in(スラ́イヴイン): 〜で繁栄する",自然・環境,初級
live in,リ́ヴ イ́ン,〜に住む,live(住む)と in(〜に)の組み合わせ。居住するという意味。,"reside in(リザ́イドイン): 〜に居住する, dwell in(ドウェ́ルイン): 〜に住む",場所・移動,初級
believe in,ビリ́ーヴ イ́ン,〜を信じる,believe(信じる)と in(〜を)の組み合わせ。存在や価値を信じるという意味。,"have faith in(ハ́ヴフェ́イスイン): 〜を信頼する, trust in(トラ́ストイン): 〜を信用する",人・社会,初級
succeed in,サクスィ́ード イ́ン,〜に成功する,succeed(成功する)と in(〜において)の組み合わせ。目標を達成するという意味。,"achieve(アチ́ーヴ): 達成する, accomplish(アコ́ンプリッシュ): 成し遂げる",学校・学習,初級
fail in,フェ́イル イ́ン,〜に失敗する,fail(失敗する)と in(〜において)の組み合わせ。うまくいかないという意味。,"be unsuccessful in(ビーアンサクセ́スフルイン): 〜で失敗する, not succeed in(ナ́ットサクスィードイン): 〜で成功しない",学校・学習,初級
take part in,テ́イク パ́ート イ́ン,〜に参加する,take(取る)、part(部分)、in(〜に)の組み合わせ。活動に加わるという意味。,"participate in(パーティ́シペイトイン): 〜に参加する, join in(ジョ́インイン): 〜に加わる",人・社会,初級
get involved in,ゲ́ット インヴォ́ルヴド イ́ン,〜に関わる,get(なる)、involved(巻き込まれた)、in(〜に)の組み合わせ。活動に参加するという意味。,"engage in(エンゲ́イジイン): 〜に従事する, take part in(テイクパートイン): 〜に参加する",人・社会,初級
be different from,ビー ディ́ファレント フロ́ム,〜と異なる,be、different(異なる)、from(〜と)の組み合わせ。違いがあるという意味。,"differ from(ディ́ファーフロム): 〜と異なる, vary from(ヴェ́アリフロム): 〜と変わる",言語基本,初級
be absent from,ビー ア́ブセント フロ́ム,〜を欠席する,be、absent(不在の)、from(〜を)の組み合わせ。いないという意味。対義語: be present at,"be away from(ビーアウェ́イフロム): 〜から離れている, miss(ミ́ス): 欠席する",学校・学習,初級
be free from,ビー フリ́ー フロ́ム,〜がない・解放されている,be、free(自由な)、from(〜から)の組み合わせ。束縛がないという意味。,"be without(ビーウィザ́ウト): 〜がない, be liberated from(ビーリ́バレイティドフロム): 〜から解放されている",人・社会,初級
be far from,ビー ファ́ー フロ́ム,〜から遠い,be、far(遠い)、from(〜から)の組み合わせ。距離がある、または程遠いという意味。,"be distant from(ビーディ́スタントフロム): 〜から離れている, be remote from(ビーリモ́ウトフロム): 〜から遠く離れている",場所・移動,初級
take away from,テ́イク アウェ́イ フロ́ム,〜から取り去る,take(取る)、away(離れて)、from(〜から)の組み合わせ。何かを除去するという意味。,"remove from(リムー́ヴフロム): 〜から取り除く, subtract from(サブトラ́クトフロム): 〜から引く",時間・数量,初級
keep away from,キ́ープ アウェ́イ フロ́ム,〜から離れている,keep(保つ)、away(離れて)、from(〜から)の組み合わせ。近づかないようにするという意味。,"stay away from(ステ́イアウェイフロム): 〜から離れている, avoid(アヴォ́イド): 避ける",日常生活,初級
run away from,ラ́ン アウェ́イ フロ́ム,〜から逃げる,run(走る)、away(離れて)、from(〜から)の組み合わせ。急いで逃げるという意味。,"flee from(フリ́ーフロム): 〜から逃走する, escape from(エスケイプフロム): 〜から逃げる",場所・移動,初級
be made from,ビー メ́イド フロ́ム,〜から作られる,be、made(作られた)、from(〜から)の組み合わせ。原料が変化して見えない場合に使う。類似: be made of(材料が見える),"be produced from(ビープロデュ́ーストフロム): 〜から生産される, derive from(ディラ́イヴフロム): 〜に由来する",科学・技術,初級
come out of,カ́ム ア́ウト オヴ,〜から出てくる,come(来る)、out(外へ)、of(〜から)の組み合わせ。中から外に出るという意味。,"emerge from(イマ́ージフロム): 〜から現れる, exit from(エ́グジットフロム): 〜から退出する",場所・移動,初級
go out of,ゴ́ウ ア́ウト オヴ,〜から出る,go(行く)、out(外へ)、of(〜から)の組み合わせ。内側から外側へ移動するという意味。,"leave(リ́ーヴ): 去る, exit(エ́グジット): 退出する",場所・移動,初級
get out of,ゲ́ット ア́ウト オヴ,〜から出る・逃れる,get(なる)、out(外へ)、of(〜から)の組み合わせ。場所から出る、または義務を免れるという意味。,"exit(エ́グジット): 出る, escape(エスケ́イプ): 逃れる",場所・移動,初級
take out of,テ́イク ア́ウト オヴ,〜から取り出す,take(取る)、out(外へ)、of(〜から)の組み合わせ。中から外に取るという意味。,"remove from(リムー́ヴフロム): 〜から取り除く, extract from(イクストラ́クトフロム): 〜から抽出する",日常生活,初級
make use of,メ́イク ユ́ース オヴ,〜を利用する,make(作る)、use(使用)、of(〜の)の組み合わせ。活用するという意味。,"utilize(ユ́ーティライズ): 利用する, take advantage of(テイクアドヴァンティジオヴ): 〜を活用する",日常生活,初級
take advantage of,テ́イク アドヴァ́ンティジ オヴ,〜を利用する,take(取る)、advantage(利点)、of(〜の)の組み合わせ。好機を活かす、または悪用するという意味。,"exploit(イクスプロ́イト): 利用する, make use of(メイクユースオヴ): 〜を利用する",人・社会,初級
take notice of,テ́イク ノ́ウティス オヴ,〜に注意を払う,take(取る)、notice(注意)、of(〜に)の組み合わせ。気にかけるという意味。,"pay attention to(ペイアテンショントゥ): 〜に注意する, observe(オブザ́ーヴ): 観察する",日常生活,初級
make friends with,メ́イク フレ́ンズ ウィズ,〜と友達になる,make(作る)、friends(友達)、with(〜と)の組み合わせ。友情を築くという意味。,"become friends with(ビカ́ムフレンズウィズ): 〜と友達になる, befriend(ビフレ́ンド): 友達になる",人・社会,初級
shake hands with,シェ́イク ハ́ンズ ウィズ,〜と握手する,shake(振る)、hands(手)、with(〜と)の組み合わせ。挨拶として手を握り合うという意味。,"greet(グリ́ート): 挨拶する, exchange greetings(イクスチェインジグリーティングズ): 挨拶を交わす",人・社会,初級
fall in love with,フォ́ール イン ラ́ヴ ウィズ,〜と恋に落ちる,fall(落ちる)、in(〜に)、love(愛)、with(〜と)の組み合わせ。恋愛感情を抱くという意味。,"become attracted to(ビカムアトラクティドトゥ): 〜に惹かれる, develop feelings for(ディヴェロップフィーリングズフォア): 〜に好意を持つ",人・社会,初級
get married to,ゲ́ット マ́リッド トゥ,〜と結婚する,get(なる)、married(結婚した)、to(〜と)の組み合わせ。婚姻するという意味。,"marry(マ́リ): 結婚する, wed(ウェ́ッド): 結婚する",人・社会,初級
be late for,ビー レ́イト フォ́ー,〜に遅刻する,be、late(遅い)、for(〜に)の組み合わせ。時間に間に合わないという意味。,"arrive late for(アラ́イヴレイトフォア): 〜に遅れて到着する, miss(ミ́ス): 乗り遅れる",時間・数量,初級
be ready for,ビー レ́ディ フォ́ー,〜の準備ができている,be、ready(準備ができた)、for(〜の)の組み合わせ。用意が整っているという意味。,"be prepared for(ビープリペアドフォア): 〜の準備ができている, be set for(ビーセットフォア): 〜の準備万端である",日常生活,初級
be sorry for,ビー ソ́リ フォ́ー,〜を気の毒に思う,be、sorry(気の毒な)、for(〜を)の組み合わせ。同情する、または謝るという意味。,"feel sorry for(フィ́ールソリフォア): 〜を気の毒に思う, apologize for(アポ́ロジャイズフォア): 〜を謝る",人・社会,初級
be responsible for,ビー リスポ́ンシブル フォ́ー,〜に責任がある,be、responsible(責任のある)、for(〜に)の組み合わせ。義務を負っているという意味。,"be in charge of(ビーインチャージオヴ): 〜を担当している, be accountable for(ビーアカ́ウンタブルフォア): 〜に対して説明責任がある",人・社会,初級
be grateful for,ビー グレ́イトフル フォ́ー,〜に感謝している,be、grateful(感謝する)、for(〜に)の組み合わせ。ありがたく思うという意味。,"be thankful for(ビーサ́ンクフルフォア): 〜に感謝している, appreciate(アプリ́ーシエイト): 感謝する",人・社会,初級
be suitable for,ビー ス́ータブル フォ́ー,〜に適している,be、suitable(適した)、for(〜に)の組み合わせ。ふさわしいという意味。,"be appropriate for(ビーアプロ́ウプリエイトフォア): 〜に適切である, be fit for(ビーフィットフォア): 〜に適している",日常生活,初級
be known for,ビー ノ́ウン フォ́ー,〜で知られている,be、known(知られた)、for(〜で)の組み合わせ。有名であるという意味。,"be famous for(ビーフェイマスフォア): 〜で有名である, be noted for(ビーノ́ウティドフォア): 〜で知られている",人・社会,初級
be excited about,ビー イクサ́イティド アバ́ウト,〜にワクワクしている,be、excited(興奮した)、about(〜について)の組み合わせ。楽しみで興奮しているという意味。,"be thrilled about(ビースリ́ルドアバウト): 〜に興奮している, look forward to(ル́ックフォワードトゥ): 〜を楽しみにする",人・社会,初級
be worried about,ビー ワ́リッド アバ́ウト,〜を心配している,be、worried(心配な)、about(〜について)の組み合わせ。不安に思うという意味。,"be concerned about(ビーコンサ́ーンドアバウト): 〜を心配している, be anxious about(ビーア́ングシャスアバウト): 〜を不安に思う",人・社会,初級
be serious about,ビー スィ́アリアス アバ́ウト,〜に真剣である,be、serious(真剣な)、about(〜について)の組み合わせ。本気で取り組んでいるという意味。,"be committed to(ビーコミ́ッティドトゥ): 〜に専念している, be dedicated to(ビーデ́ディケイティドトゥ): 〜に打ち込んでいる",人・社会,初級
be careful about,ビー ケ́アフル アバ́ウト,〜に注意する,be、careful(注意深い)、about(〜について)の組み合わせ。気をつけるという意味。,"be cautious about(ビーコ́ーシャスアバウト): 〜に用心する, watch out for(ウォッチアウトフォア): 〜に気をつける",日常生活,初級
talk about,トー́ク アバ́ウト,〜について話す,talk(話す)と about(〜について)の組み合わせ。話題にするという意味。,"discuss(ディスカ́ス): 議論する, speak about(スピ́ークアバウト): 〜について話す",言語基本,初級
think about,スィ́ンク アバ́ウト,〜について考える,think(考える)と about(〜について)の組み合わせ。思いを巡らせるという意味。,"consider(コンスィ́ダー): 熟考する, ponder(ポ́ンダー): 熟考する",言語基本,初級
worry about,ワ́リ アバ́ウト,〜を心配する,worry(心配する)と about(〜について)の組み合わせ。不安に思うという意味。,"be concerned about(ビーコンサーンドアバウト): 〜を心配する, fret about(フレ́ットアバウト): 〜を気に病む",人・社会,初級
complain about,コンプレ́イン アバ́ウト,〜について不平を言う,complain(不平を言う)と about(〜について)の組み合わせ。文句を言うという意味。,"grumble about(グラ́ンブルアバウト): 〜について愚痴る, protest against(プロ́ウテストアゲインスト): 〜に抗議する",人・社会,初級
dream about,ドリ́ーム アバ́ウト,〜の夢を見る,dream(夢見る)と about(〜について)の組み合わせ。夢に見る、または夢想するという意味。,"dream of(ドリ́ームオヴ): 〜を夢見る, fantasize about(ファ́ンタサイズアバウト): 〜を空想する",人・社会,初級
know about,ノ́ウ アバ́ウト,〜について知っている,know(知る)と about(〜について)の組み合わせ。情報を持っているという意味。,"be aware of(ビーアウェアオヴ): 〜に気づいている, be informed about(ビーインフォ́ームドアバウト): 〜について知らされている",言語基本,初級
hear about,ヒ́ア アバ́ウト,〜について聞く,hear(聞く)と about(〜について)の組み合わせ。情報を耳にするという意味。,"learn about(ラ́ーンアバウト): 〜について学ぶ, be told about(ビートー́ルドアバウト): 〜について聞かされる",言語基本,初級
read about,リ́ード アバ́ウト,〜について読む,read(読む)と about(〜について)の組み合わせ。書かれた情報を得るという意味。,"study about(スタ́ディアバウト): 〜について学習する, research(リサ́ーチ): 調査する",学校・学習,初級
write about,ラ́イト アバ́ウト,〜について書く,write(書く)と about(〜について)の組み合わせ。話題にして記述するという意味。,"compose about(コンポ́ウズアバウト): 〜について書く, author about(オ́ーサーアバウト): 〜について執筆する",学校・学習,初級
learn about,ラ́ーン アバ́ウト,〜について学ぶ,learn(学ぶ)と about(〜について)の組み合わせ。知識を得るという意味。,"study(スタ́ディ): 勉強する, find out about(ファインドアウトアバウト): 〜について知る",学校・学習,初級
care about,ケ́ア アバ́ウト,〜を気にかける,care(気にかける)と about(〜について)の組み合わせ。大事に思うという意味。,"be concerned about(ビーコンサーンドアバウト): 〜を心配する, mind(マ́インド): 気にする",人・社会,初級
forget about,フォゲ́ット アバ́ウト,〜を忘れる,forget(忘れる)と about(〜について)の組み合わせ。記憶から消えるという意味。,"lose memory of(ル́ーズメ́モリオヴ): 〜の記憶を失う, not remember(ナ́ットリメ́ンバー): 思い出さない",日常生活,初級
bring about,ブリ́ング アバ́ウト,もたらす・引き起こす,bring(持ってくる)と about(周りに)の組み合わせ。結果を生じさせるという意味。,"cause(コ́ーズ): 引き起こす, lead to(リ́ードトゥ): 〜につながる",言語基本,初級
come about,カ́ム アバ́ウト,起こる・生じる,come(来る)と about(周りに)の組み合わせ。出来事が発生するという意味。,"happen(ハ́プン): 起こる, occur(オカ́ー): 生じる",時間・数量,初級
set off,セ́ット オ́フ,出発する,set(置く)と off(離れて)の組み合わせ。旅に出るという意味。,"depart(ディパ́ート): 出発する, leave(リ́ーヴ): 出発する",場所・移動,初級
go on,ゴ́ウ オ́ン,続ける・起こる,go(行く)と on(続いて)の組み合わせ。継続する、または発生するという意味。,"continue(コンティ́ニュー): 続ける, happen(ハ́プン): 起こる",時間・数量,初級
carry on,キャ́リ オ́ン,続ける・継続する,carry(運ぶ)と on(続いて)の組み合わせ。活動を続けるという意味。,"continue(コンティ́ニュー): 続ける, keep on(キ́ープオン): 続ける",日常生活,初級
cut down,カ́ット ダ́ウン,切り倒す・削減する,cut(切る)と down(下に)の組み合わせ。木を倒す、または量を減らすという意味。,"reduce(リデュ́ース): 減らす, decrease(ディクリ́ース): 減少させる",自然・環境,初級
catch up,キャ́ッチ ア́ップ,追いつく,catch(つかまえる)と up(上へ)の組み合わせ。遅れを取り戻すという意味。,"overtake(オ́ウヴァーテイク): 追い越す, keep pace with(キ́ーププェイスウィズ): 〜についていく",場所・移動,初級
end up,エ́ンド ア́ップ,結局〜になる,end(終わる)と up(結局)の組み合わせ。最終的にある状態になるという意味。,"finish(フィ́ニッシュ): 終わる, wind up(ワ́インドア́ップ): 結局〜になる",時間・数量,初級
get rid of,ゲ́ット リ́ッド オヴ,〜を取り除く,get(する)、rid(取り除く)、of(〜を)の組み合わせ。不要なものを処分するという意味。,"remove(リムー́ヴ): 取り除く, dispose of(ディスポ́ウズオヴ): 処分する",日常生活,初級
in front of,イン フラ́ント オヴ,〜の前に,in(〜に)、front(前)、of(〜の)の組み合わせ。前方の位置を示す。,"before(ビフォ́ー): 〜の前に, ahead of(アヘ́ッドオヴ): 〜の前方に",場所・移動,初級
at once,ア́ット ワ́ンス,すぐに・同時に,at(〜に)と once(一度)の組み合わせ。即座に、または一度にという意味。,"immediately(イミ́ーディエトリ): すぐに, simultaneously(サイマルテ́イニアスリ): 同時に",時間・数量,初級
for a while,フォ́ー ア ワ́イル,しばらくの間,for(〜の間)、a(一つの)、while(間)の組み合わせ。短い期間という意味。,"for a time(フォ́ーアタ́イム): しばらく, temporarily(テ́ンポラリリ): 一時的に",時間・数量,初級
all day long,オ́ール デ́イ ロ́ング,一日中,all(全ての)、day(日)、long(長く)の組み合わせ。丸一日という意味。,"throughout the day(スルー́アウトザデイ): 一日中, the whole day(ザホ́ウルデイ): 一日中",時間・数量,初級
right now,ラ́イト ナ́ウ,今すぐ・ちょうど今,right(まさに)と now(今)の組み合わせ。この瞬間にという意味。,"at this moment(ア́ットディスモーメント): この瞬間, immediately(イミ́ーディエトリ): すぐに",時間・数量,初級
