Report: /Users/yuichinakamura/Documents/20251006_002/SimpleWord/SimpleWord/Resources/中学英単語.csv
Backup used: /Users/yuichinakamura/Documents/20251006_002/SimpleWord/SimpleWord/Resources/中学英単語.csv.preaugment.bak

Key	Old Related	New Related
movie	文化・芸術・娯楽	文化・芸術・娯楽
library	学校・学習;日常	学校・学習;日常
friend	日常	日常;家族・人間関係
family	日常	日常;家族・人間関係
mother	日常;家族・人間関係	日常;家族・人間関係
father	日常;家族・人間関係	日常;家族・人間関係
sister	日常;家族・人間関係	日常;家族・人間関係
brother	日常;家族・人間関係	日常;家族・人間関係
happy	感情・思考・認知;日常	感情・思考・認知;日常
sad	感情・思考・認知;学校・学習	感情・思考・認知;学校・学習
angry	感情・思考・認知;日常	感情・思考・認知;日常
cold	自然;医療・健康	自然;医療・健康;物理・状態
hot	自然;日常	自然;日常;物理・状態
warm	自然;日常	自然;日常
summer	日常;自然	日常;自然
spring	日常;自然	日常;自然
autumn	日常;自然	日常;自然
rain	自然;日常	自然;日常;天体・天気
snow	自然;日常	自然;日常
sun	天体・天気;自然	天体・天気;自然
moon	天体・天気;自然	天体・天気;自然
star	天体・天気;文化・芸術・娯楽	天体・天気;文化・芸術・娯楽
light	自然;物理・状態	自然;物理・状態
dark	自然;日常	自然;日常;物理・状態
open	文法・表現;物理・状態	文法・表現;物理・状態
close	文法・表現;物理・状態	文法・表現;物理・状態
start	文法・表現;日常	文法・表現;日常;天体・天気
finish	文法・表現;物理・状態	文法・表現;物理・状態
use	文法・表現;日常	文法・表現;日常
make	文法・表現;日常	文法・表現;日常
have	文法・表現;物理・状態	文法・表現;物理・状態
get	文法・表現;日常	文法・表現;日常
see	文法・表現;日常	文法・表現;日常
hear	文法・表現;日常	文法・表現;日常
say	文法・表現	文法・表現
speak	文法・表現	文法・表現
write	文法・表現;学校・学習	文法・表現;学校・学習
read	文法・表現;学校・学習	文法・表現;学校・学習
listen	文法・表現	文法・表現
learn	文法・表現;学校・学習	文法・表現;学校・学習
think	文法・表現;感情・思考・認知	文法・表現;感情・思考・認知
know	文法・表現;感情・思考・認知	文法・表現;感情・思考・認知
like	文法・表現;感情・思考・認知	文法・表現;感情・思考・認知
love	文法・表現;感情・思考・認知	文法・表現;感情・思考・認知
want	文法・表現;日常	文法・表現;日常
need	文法・表現;日常	文法・表現;日常
can	文法・表現	文法・表現
will	文法・表現	文法・表現
may	文法・表現	文法・表現
must	文法・表現;日常	文法・表現;日常

Total rows compared: 118
Rows with changed related fields: 15
