語句,読み,意味,解説,関連事項,例文1,例文2
うつくし,うつくし,かわいい・美しい,「うつくし」は「かわいい」「美しい」「いとしい」の意。小さくてかわいらしいものを表す。現代語の「美しい」とは異なる。「うつくしきもの」などの形。,かわいい|小さい|いとしい|現代語と違う|時代:平安時代|種別:古文単語,いづれの御時にか、女御、更衣あまた候ひ給ひける中に、いとやむごとなき際にはあらぬが、すぐれて時めき給ふありけり。（うつくし）＜いつの帝の御代であったか。＞【源氏物語】,祇園精舎の鐘の声（うつくし）＜この世は無常である。＞【平家物語】
わびし,わびし,つらい・侘しい,「わびし」は「つらい」「侘しい」「みじめだ」の意。精神的・物質的な困窮を表す。「わびしき心」などの形。「わび」の美意識の源。,つらい|侘しい|みじめ|わび|時代:平安時代|種別:古文単語,月日は百代の過客にして、行きかふ年も又旅人也（わびし）＜月日も年も旅人のように過ぎていく。＞【奥の細道】,つれづれなるままに、日暮らし、硯にむかひて、心にうつりゆくよしなし事を、そこはかとなく書きつくれば、あやしうこそものぐるほしけれ。（わびし）＜退屈なので、硯に向かって書きつける。＞【徒然草】
ありがたし,ありがたし,めったにない・珍しい,「ありがたし」は「めったにない」「珍しい」「すばらしい」の意。「有り難し」が語源。稀少性を表す。現代語の「ありがたい」とはニュアンスが異なる。,めったにない|珍しい|すばらしい|有り難し|時代:平安時代|種別:古文単語,一事を必ず成さんと思はば、他の事の破るるをも傷むべからず（ありがたし）＜一つの事を必ずやり遂げようと思うなら、他の事がだめになるのも惜しんではならない。＞【徒然草】,高名の木登りといひし男、人を掟てて、高き木に登せて、梢を切らせしに（ありがたし）＜危険は油断した時に起こる。＞【徒然草】
なまめかし,なまめかし,優美だ・上品だ,「なまめかし」は「優美だ」「上品だ」「若々しい」の意。洗練された美しさを表す。「なまめかしき姿」などの形。王朝貴族の理想的美意識。,優美|上品|若々しい|王朝美意識|時代:平安時代|種別:古文単語,中納言参り給ひて、御扇奉らせ給ふに（なまめかし）＜中納言が参上なさって、御扇を差し上げなさるときに。＞【枕草子】,いづれの御時にか、女御、更衣あまた候ひ給ひける中に、いとやむごとなき際にはあらぬが、すぐれて時めき給ふありけり。（なまめかし）＜いつの帝の御代であったか。＞【源氏物語】
あてなり,あてなり,上品だ・高貴だ,「あてなり」は「上品だ」「高貴だ」「優雅だ」の意。「貴なり」と書く。身分の高さや品格を表す。「あてなる人」などの形。,上品|高貴|優雅|貴なり|時代:平安時代|種別:古文単語,つれづれなるままに（あてなり）＜退屈なので、硯に向かって書きつける。＞【徒然草】,仁和寺にある法師、年寄るまで、石清水を拝まざりければ（あてなり）＜行き先を勘違いして失敗する話。＞【徒然草】
きよげなり,きよげなり,上品だ・美しい,「きよげなり」は「上品だ」「美しい」「清らかだ」の意。清潔で端正な美しさを表す。「きよげなる姿」などの形。視覚的な美を強調。,上品|美しい|清らか|視覚的美|時代:平安時代|種別:古文単語,ゆく河の流れは絶えずして（きよげなり）＜物事は常に移り変わる。＞【方丈記】,春はあけぼの。（きよげなり）＜春は夜明けがよい。＞【枕草子】
めづらし,めずらし,珍しい・新鮮だ,「めづらし」は「珍しい」「新鮮だ」「すばらしい」の意。現代語とほぼ同じだが賞賛の意味も含む。「めづらしき花」などの形。滅多にないものへの評価。,珍しい|新鮮|すばらしい|賞賛|時代:平安時代|種別:古文単語,つれづれなるままに、日暮らし硯に向かひて（めずらし）＜退屈なので、硯に向かって書きつける。＞【徒然草】,少しのことにも先達はあらまほしきことなり（めずらし）＜些細なことでも、先に知っている人がいてほしいものだ。＞【徒然草】
ねんごろなり,ねんごろなり,心がこもっている・親しい,「ねんごろなり」は「心がこもっている」「親しい」「熱心だ」の意。「懇ろ」と書く。「ねんごろに語らふ」などの形。誠実で丁寧な様子を表す。,心がこもる|親しい|熱心|誠実|時代:平安時代|種別:古文単語,いづれの御時にか（ねんごろなり）＜いつの帝の御代であったか。＞【源氏物語】,月日は百代の過客にして、行きかふ年も又旅人也（ねんごろなり）＜月日も年も旅人のように過ぎていく。＞【奥の細道】
はかなし,はかなし,頼りない・むなしい,「はかなし」は「頼りない」「むなしい」「はかない」の意。「果無し」が語源。一時的で消え去りやすいものを表す。無常観を示す重要語。,頼りない|むなしい|はかない|無常観|時代:平安時代|種別:古文単語,ゆく河の流れは絶えずして、しかももとの水にあらず（はかなし）＜物事は常に移り変わる。＞【方丈記】,秋は夕暮れ。（はかなし）＜秋は夕暮れがよい。＞【枕草子】
たのもし,たのもし,頼もしい・心強い,「たのもし」は「頼もしい」「心強い」「信頼できる」の意。現代語とほぼ同じ。「たのもしき人」などの形。信頼感を表す重要語。,頼もしい|心強い|信頼できる|現代語同じ|時代:平安時代|種別:古文単語,うつくしきもの。（たのもし）＜かわいいものを列挙する。＞【枕草子】,雪のいと高う降りたるを、例ならず御格子まゐりて、炭櫃に火おこして、物語などして集まりさぶらふに（たのもし）＜雪がたいそう降ったので、いつもと違って御格子を上げ、炭びつに火をおこし、物語などしながら集まってお仕えしているときに。＞【枕草子】
こころづきなし,こころずきなし,気に入らない・不愉快だ,「こころづきなし」は「気に入らない」「不愉快だ」「気にくわない」の意。心が引かれない、の意。「心憂し」より軽い否定的感情。,気に入らない|不愉快|気にくわない|否定感情|時代:平安時代|種別:古文単語,世にしたがへば、身苦し。（こころずきなし）＜世間に合わせて生きると、身が苦しくなる。＞【徒然草】,ゆく河の流れは絶えずして（こころずきなし）＜物事は常に移り変わる。＞【方丈記】
こころうし,こころうし,つらい・いやだ,「こころうし」は「つらい」「いやだ」「情けない」の意。「心憂し」と書く。心が痛む、の意。強い精神的苦痛を表す。「こころうく思ふ」の形。,つらい|いやだ|情けない|精神的苦痛|時代:平安時代|種別:古文単語,秋は夕暮れ。（こころうし）＜秋は夕暮れがよい。＞【枕草子】,男もすなる日記といふものを、女もしてみむとて、するなり（こころうし）＜男が書くという日記というものを、女も書いてみようと思って書くのである。＞【土佐日記】
すさまじ,すさまじ,興ざめだ・殺風景だ,「すさまじ」は「興ざめだ」「殺風景だ」「がっかりだ」の意。期待外れや白けた気持ちを表す。枕草子「すさまじきもの」の段が有名。,興ざめ|殺風景|がっかり|枕草子|時代:平安時代|種別:古文単語,一つには、高く、やんごとなき人（すさまじ）＜一つ目は、身分が高く、たいへん高貴な人。＞【徒然草】,花は盛りに、月は隈なきをのみ、見るものかは（すさまじ）＜花は満開の時だけ、月は雲のない時だけを見るものだろうか。いや、そうではない。＞【徒然草】
ゆゆし,ゆゆし,恐ろしい・不吉だ,「ゆゆし」は「恐ろしい」「不吉だ」「はなはだしい」の意。忌み嫌うべきもの、神聖で近づきがたいものを表す。「ゆゆしき御夢」などの形。,恐ろしい|不吉|はなはだしい|神聖|時代:平安時代|種別:古文単語,一事を必ず成さんと思はば、他の事の破るるをも傷むべからず（ゆゆし）＜一つの事を必ずやり遂げようと思うなら、他の事がだめになるのも惜しんではならない。＞【徒然草】,高名の木登りといひし男、人を掟てて、高き木に登せて、梢を切らせしに（ゆゆし）＜危険は油断した時に起こる。＞【徒然草】
おろかなり,おろかなり,いいかげんだ・並大抵でない,「おろかなり」は「いいかげんだ」「並大抵でない」の意。二つの正反対の意味を持つ。文脈判断が必要。「おろかならず」は並大抵でない、の意。,いいかげん|並大抵でない|二義|文脈判断|時代:平安時代|種別:古文単語,やうやう白くなりゆく山ぎは（おろかなり）＜だんだんと白くなっていく山際、夜明けの山の端。＞【枕草子】,いづれの御時にか（おろかなり）＜いつの帝の御代であったか。＞【源氏物語】
たいだいし,たいだいし,いいかげんだ・粗略だ,「たいだいし」は「いいかげんだ」「粗略だ」「無造作だ」の意。「大々し」が語源。軽率でいいかげんな様子を表す。否定的評価。,いいかげん|粗略|無造作|軽率|時代:平安時代|種別:古文単語,やうやう白くなりゆく山ぎは（たいだいし）＜だんだんと白くなっていく山際、夜明けの山の端。＞【枕草子】,いづれの御時にか（たいだいし）＜いつの帝の御代であったか。＞【源氏物語】
こころにくし,こころにくし,奥ゆかしい・上品だ,「こころにくし」は「奥ゆかしい」「上品だ」「心惹かれる」の意。心が遠い、の意から。すべてを見せない品格を表す。平安貴族の美意識。,奥ゆかしい|上品|心惹かれる|品格|時代:平安時代|種別:古文単語,つれづれなるままに、日暮らし、硯にむかひて、心にうつりゆくよしなし事を、そこはかとなく書きつくれば、あやしうこそものぐるほしけれ。（こころにくし）＜退屈なので、硯に向かって書きつける。＞【徒然草】,奥山に、猫またといふものありて、人を食ふなる（こころにくし）＜奥深い山には猫またというものがいて、人を食うという。＞【徒然草】
らうたし,らうたし,かわいい・いとしい,「らうたし」は「かわいい」「いとしい」「愛らしい」の意。「うつくし」より強い愛情を表す。子供や小動物への愛情表現。,かわいい|いとしい|愛らしい|強い愛情|時代:平安時代|種別:古文単語,男もすなる日記といふものを、女もしてみむとて、するなり（らうたし）＜男が書くという日記というものを、女も書いてみようと思って書くのである。＞【土佐日記】,つれづれなるままに（らうたし）＜退屈なので、硯に向かって書きつける。＞【徒然草】
まばゆし,まばゆし,まぶしい・きらびやかだ,「まばゆし」は「まぶしい」「きらびやかだ」「見事すぎて見ていられない」の意。現代語とほぼ同じ。「まばゆき光」などの形。,まぶしい|きらびやか|見事|現代語同じ|時代:平安時代|種別:古文単語,祇園精舎の鐘の声（まばゆし）＜この世は無常である。＞【平家物語】,つれづれなるままに、日暮らし硯に向かひて（まばゆし）＜退屈なので、硯に向かって書きつける。＞【徒然草】
はづかし,はずかし,立派だ・気後れする,「はづかし」は「立派だ」「気後れする」「恥ずかしい」の意。相手が優れていて自分が気後れする、の意が原義。現代語の「恥ずかしい」とは微妙に異なる。,立派|気後れ|恥ずかしい|現代語と違う|時代:平安時代|種別:古文単語,仁和寺にある法師、年寄るまで、石清水を拝まざりければ（はずかし）＜行き先を勘違いして失敗する話。＞【徒然草】,ゆく河の流れは絶えずして、しかももとの水にあらず（はずかし）＜物事は常に移り変わる。＞【方丈記】
こころぐるし,こころぐるし,気の毒だ・心苦しい,「こころぐるし」は「気の毒だ」「心苦しい」「かわいそうだ」の意。「心苦し」と書く。同情や罪悪感を表す。「いとほし」と類義。,気の毒|心苦しい|かわいそう|同情|時代:平安時代|種別:古文単語,秋は夕暮れ。（こころぐるし）＜秋は夕暮れがよい。＞【枕草子】,男もすなる日記といふものを、女もしてみむとて、するなり（こころぐるし）＜男が書くという日記というものを、女も書いてみようと思って書くのである。＞【土佐日記】
あぢきなし,あじきなし,つまらない・どうしようもない,「あぢきなし」は「つまらない」「どうしようもない」「無益だ」の意。価値がない、の意。「あぢきなく思ふ」などの形。無力感を表す。,つまらない|どうしようもない|無益|無力感|時代:平安時代|種別:古文単語,今となっては昔のことだが（あじきなし）＜今となってはもう昔の話だが。＞【今昔物語集】,祇園精舎の鐘の声、諸行無常の響きあり（あじきなし）＜この世は無常である。＞【平家物語】
びんなし,びんなし,都合が悪い・具合が悪い,「びんなし」は「都合が悪い」「具合が悪い」「不適当だ」の意。「便無し」が語源。状況に適していない様子を表す。,都合悪い|具合悪い|不適当|便無し|時代:平安時代|種別:古文単語,奥山に、猫またといふものありて、人を食ふなる（びんなし）＜奥深い山には猫またというものがいて、人を食うという。＞【徒然草】,やうやう白くなりゆく山ぎは（びんなし）＜だんだんと白くなっていく山際、夜明けの山の端。＞【枕草子】
いたづらなり,いたずらなり,むだだ・何もしない,「いたづらなり」は「むだだ」「何もしない」「無益だ」の意。「徒らなり」と書く。効果がない、無駄に過ごす、の意。「いたづらに月日を送る」などの形。,むだ|何もしない|無益|徒らなり|時代:平安時代|種別:古文単語,月やあらぬ、春や昔の春ならぬ、我が身ひとつはもとの身にして（いたずらなり）＜月は同じでも春は昔の春ではない。私だけが昔のままの私でいる。＞【伊勢物語】,祇園精舎の鐘の声、諸行無常の響きあり。（いたずらなり）＜この世は無常である。＞【平家物語】
あながちなり,あながちなり,強引だ・むやみに,「あながちなり」は「強引だ」「むやみに」「一途だ」の意。「強ちなり」と書く。無理に押し通す様子。副詞的に「あながちに」の形も。,強引|むやみに|一途|無理に|時代:平安時代|種別:古文単語,春はあけぼの（あながちなり）＜春は夜明けがよい。＞【枕草子】,月やあらぬ、春や昔の春ならぬ、我が身ひとつはもとの身にして（あながちなり）＜月は同じでも春は昔の春ではない。私だけが昔のままの私でいる。＞【伊勢物語】
ゆへあり,ゆえあり,由緒がある・事情がある,「ゆへあり」は「由緒がある」「事情がある」「風流だ」の意。「故あり」「由あり」と書く。「ゆへある人」は教養ある人の意。,由緒|事情|風流|教養|時代:平安時代|種別:古文単語,月日は百代の過客にして（ゆえあり）＜月日も年も旅人のように過ぎていく。＞【奥の細道】,つれづれなるままに、日暮らし、硯にむかひて（ゆえあり）＜退屈なので、硯に向かって書きつける。＞【徒然草】
なさけあり,なさけあり,思いやりがある・風流だ,「なさけあり」は「思いやりがある」「風流だ」「情趣を解する」の意。「情あり」と書く。人情と風流心の両方を含む。平安貴族の理想。,思いやり|風流|情趣|人情|時代:平安時代|種別:古文単語,祇園精舎の鐘の声、諸行無常の響きあり（なさけあり）＜この世は無常である。＞【平家物語】,一つには、高く、やんごとなき人（なさけあり）＜一つ目は、身分が高く、たいへん高貴な人。＞【徒然草】
なさけなし,なさけなし,無情だ・無風流だ,「なさけなし」は「無情だ」「無風流だ」「冷淡だ」の意。思いやりも風流心もない様子。「なさけあり」の対義語。強い非難を含む。,無情|無風流|冷淡|なさけあり対義|時代:平安時代|種別:古文単語,今となっては昔のことだが（なさけなし）＜今となってはもう昔の話だが。＞【今昔物語集】,祇園精舎の鐘の声、諸行無常の響きあり（なさけなし）＜この世は無常である。＞【平家物語】
つきづきし,つきずきし,ふさわしい・似合っている,「つきづきし」は「ふさわしい」「似合っている」「釣り合いが取れている」の意。「付き付きし」が語源。調和の取れた美しさを表す。,ふさわしい|似合う|釣り合い|調和|時代:平安時代|種別:古文単語,中納言参り給ひて、御扇奉らせ給ふに（つきずきし）＜中納言が参上なさって、御扇を差し上げなさるときに。＞【枕草子】,いづれの御時にか、女御、更衣あまた候ひ給ひける中に、いとやむごとなき際にはあらぬが、すぐれて時めき給ふありけり。（つきずきし）＜いつの帝の御代であったか。＞【源氏物語】
うるはし,うるわし,端正だ・きちんとしている,「うるはし」は「端正だ」「きちんとしている」「几帳面だ」の意。「麗し」と書く。形式的な美しさ。「うるはしくもてなす」などの形。,端正|きちんと|几帳面|形式美|時代:平安時代|種別:古文単語,つれづれなるままに、日暮らし、硯にむかひて（うるわし）＜退屈なので、硯に向かって書きつける。＞【徒然草】,友とするにわろき者、七つあり（うるわし）＜友にしてはいけない人が七種類いる。＞【徒然草】
あさし,あさし,浅い・薄い,「あさし」は「浅い」「薄い」「軽薄だ」の意。現代語とほぼ同じ。物理的深さと心の浅さの両方を表す。「浅き心」などの形。,浅い|薄い|軽薄|現代語同じ|時代:平安時代|種別:古文単語,仁和寺にある法師、年寄るまで、石清水を拝まざりければ（あさし）＜行き先を勘違いして失敗する話。＞【徒然草】,ゆく河の流れは絶えずして、しかももとの水にあらず（あさし）＜物事は常に移り変わる。＞【方丈記】
ふかし,ふかし,深い・濃い,「ふかし」は「深い」「濃い」「親しい」の意。現代語とほぼ同じ。物理的深さと情の深さの両方。「深き契り」などの形。「あさし」の対義語。,深い|濃い|親しい|あさし対義|時代:平安時代|種別:古文単語,つれづれなるままに（ふかし）＜退屈なので、硯に向かって書きつける。＞【徒然草】,仁和寺にある法師、年寄るまで、石清水を拝まざりければ（ふかし）＜行き先を勘違いして失敗する話。＞【徒然草】
おもし,おもし,趣がある・味わい深い,「おもし」は「趣がある」「味わい深い」「重々しい」の意。「重し」が語源。落ち着いた趣を表す。「おもしろし」とは別。,趣がある|味わい深い|重々しい|おもしろし別|時代:平安時代|種別:古文単語,ゆく河の流れは絶えずして、しかももとの水にあらず（おもし）＜物事は常に移り変わる。＞【方丈記】,秋は夕暮れ。（おもし）＜秋は夕暮れがよい。＞【枕草子】
おもしろし,おもしろし,興味深い・明るく広々としている,「おもしろし」は「興味深い」「明るく広々としている」「愉快だ」の意。「面白し」と書く。視界が開ける感じが原義。現代語より広い意味。,興味深い|広々|愉快|視界開ける|時代:平安時代|種別:古文単語,世にしたがへば、身苦し。（おもしろし）＜世間に合わせて生きると、身が苦しくなる。＞【徒然草】,ゆく河の流れは絶えずして（おもしろし）＜物事は常に移り変わる。＞【方丈記】
おどろく,おどろく,目を覚ます・気づく,「おどろく」は「目を覚ます」「気づく」「驚く」の意。現代語の「驚く」より「目覚める」の意が強い。「音におどろく」などの形。古文最重要動詞の一つ。,目を覚ます|気づく|驚く|現代語と違う|時代:平安時代|種別:古文重要動詞,世の中にたえて桜のなかりせば、春の心はのどけからまし（おどろく）＜もし世の中に桜がまったくなかったなら、春の心はどれほどのどかだっただろう。＞【古今和歌集】,あやふき時は言はで、やすき時に教へけり（おどろく）＜危ない時には言わず、安心な時にこそ教えたのだ。＞【徒然草】
わぶ,わぶ,困る・つらい思いをする,「わぶ」は「困る」「つらい思いをする」「嘆く」の意。精神的・物質的困窮を表す。「わびしげなり」などの形。「わび」の語源。,困る|つらい|嘆く|わび語源|時代:平安時代|種別:古文重要動詞,やうやう白くなりゆく山ぎは（わぶ）＜だんだんと白くなっていく山際、夜明けの山の端。＞【枕草子】,いづれの御時にか（わぶ）＜いつの帝の御代であったか。＞【源氏物語】
ながむ,ながむ,物思いに沈む・ぼんやり眺める,「ながむ」は「物思いに沈む」「ぼんやり眺める」の意。単に見るのではなく、思いにふけりながら眺める様子。「空をながむ」などの形。古文の情緒表現。,物思い|ぼんやり|眺める|情緒|時代:平安時代|種別:古文重要動詞,月日は百代の過客にして、行きかふ年も又旅人也（ながむ）＜月日も年も旅人のように過ぎていく。＞【奥の細道】,つれづれなるままに、日暮らし、硯にむかひて、心にうつりゆくよしなし事を、そこはかとなく書きつくれば、あやしうこそものぐるほしけれ。（ながむ）＜退屈なので、硯に向かって書きつける。＞【徒然草】
あかす,あかす,飽きない・満足しない,「あかす」は「飽きない」「満足しない」の意。「飽かす」と書く。満足できずにもっと求める様子。「見あかす」などの形で頻出。,飽きない|満足しない|もっと|飽かす|時代:平安時代|種別:古文重要動詞,高名の木登りといひし男、人を掟てて、高き木に登せて、梢を切らせしに（あかす）＜危険は油断した時に起こる。＞【徒然草】,春はあけぼの（あかす）＜春は夜明けがよい。＞【枕草子】
あく,あく,満足する・飽きる,「あく」は「満足する」「飽きる」の意。「飽く」と書く。「あかす」の対。「見飽く」「聞き飽く」などの形。十分に堪能する意味。,満足する|飽きる|堪能|あかす対|時代:平安時代|種別:古文重要動詞,少しのことにも先達はあらまほしきことなり（あく）＜些細なことでも、先に知っている人がいてほしいものだ。＞【徒然草】,中納言参り給ひて、御扇奉らせ給ふに（あく）＜中納言が参上なさって、御扇を差し上げなさるときに。＞【枕草子】
まどふ,まどふ,途方に暮れる・迷う,「まどふ」は「途方に暮れる」「迷う」「困惑する」の意。「惑ふ」と書く。現代語とほぼ同じ。精神的な混乱を表す。「心まどふ」などの形。,途方に暮れる|迷う|困惑|惑ふ|時代:平安時代|種別:古文重要動詞,雪のいと高う降りたるを、例ならず御格子まゐりて、炭櫃に火おこして、物語などして集まりさぶらふに（まどふ）＜雪がたいそう降ったので、いつもと違って御格子を上げ、炭びつに火をおこし、物語などしながら集まってお仕えしているときに。＞【枕草子】,月日は百代の過客にして（まどふ）＜月日も年も旅人のように過ぎていく。＞【奥の細道】
わたる,わたる,続く・〜していく,「わたる」は「続く」「〜していく」「ずっと〜する」の意。動作の継続を表す補助動詞。「降りわたる」「鳴きわたる」などの形で頻出。,続く|継続|補助動詞|ずっと|時代:平安時代|種別:古文重要動詞,あやふき時は言はで、やすき時に教へけり（わたる）＜危ない時には言わず、安心な時にこそ教えたのだ。＞【徒然草】,世にしたがへば、身苦し。（わたる）＜世間に合わせて生きると、身が苦しくなる。＞【徒然草】
おこなふ,おこなう,仏道修行をする・勤行する,「おこなふ」は「仏道修行をする」「勤行する」の意。現代語の「行う」より宗教的な意味が強い。「行ふ」と書く。僧侶の修行を指す。,仏道修行|勤行|宗教的|僧侶|時代:平安〜鎌倉時代|種別:古文重要動詞,つれづれなるままに、日暮らし、硯にむかひて、心にうつりゆくよしなし事を、そこはかとなく書きつくれば、あやしうこそものぐるほしけれ。（おこなう）＜退屈なので、硯に向かって書きつける。＞【徒然草】,奥山に、猫またといふものありて、人を食ふなる（おこなう）＜奥深い山には猫またというものがいて、人を食うという。＞【徒然草】
とぶらふ,とぶらう,訪ねる・見舞う,「とぶらふ」は「訪ねる」「見舞う」「弔問する」の意。「訪ふ」と書く。人を尋ねる、安否を気遣う意味。「とぶらひに来る」などの形。,訪ねる|見舞う|弔問|訪ふ|時代:平安時代|種別:古文重要動詞,つれづれなるままに、日暮らし、硯にむかひて、心にうつりゆくよしなし事を、そこはかとなく書きつくれば、あやしうこそものぐるほしけれ。（とぶらう）＜退屈なので、硯に向かって書きつける。＞【徒然草】,奥山に、猫またといふものありて、人を食ふなる（とぶらう）＜奥深い山には猫またというものがいて、人を食うという。＞【徒然草】
ののしる,ののしる,大声で騒ぐ・評判になる,「ののしる」は「大声で騒ぐ」「評判になる」の意。現代語の「罵る」とは異なる。世間で話題になる様子。「世にののしる」などの形。,大声で騒ぐ|評判|話題|現代語と違う|時代:平安時代|種別:古文重要動詞,男もすなる日記といふものを、女もしてみむとて、するなり（ののしる）＜男が書くという日記というものを、女も書いてみようと思って書くのである。＞【土佐日記】,つれづれなるままに（ののしる）＜退屈なので、硯に向かって書きつける。＞【徒然草】
おぼゆ,おぼゆ,思われる・似ている,「おぼゆ」は「思われる」「似ている」「覚える」の意。自然に心に浮かぶ、の意。「覚ゆ」と書く。「思ふ」の自発形的な意味。,思われる|似ている|覚える|自発|時代:平安時代|種別:古文重要動詞,ゆく河の流れは絶えずして（おぼゆ）＜物事は常に移り変わる。＞【方丈記】,春はあけぼの。（おぼゆ）＜春は夜明けがよい。＞【枕草子】
いらふ,いらう,答える・応じる,「いらふ」は「答える」「応じる」の意。「答ふ」「応ふ」と書く。相手の言葉に反応する様子。「問ひにいらふ」などの形。返答を表す。,答える|応じる|返答|答ふ|時代:平安時代|種別:古文重要動詞,世の中にたえて桜のなかりせば、春の心はのどけからまし（いらう）＜もし世の中に桜がまったくなかったなら、春の心はどれほどのどかだっただろう。＞【古今和歌集】,あやふき時は言はで、やすき時に教へけり（いらう）＜危ない時には言わず、安心な時にこそ教えたのだ。＞【徒然草】
そうず,そうず,そうする・そうである,「そうず」は「そうする」「そうである」の意。サ変動詞「す」に「さう」が付いた形。「然うす」が語源。指示内容を受ける。,そうする|そうである|然うす|指示|時代:平安時代|種別:古文重要動詞,秋は夕暮れ。（そうず）＜秋は夕暮れがよい。＞【枕草子】,男もすなる日記といふものを、女もしてみむとて、するなり（そうず）＜男が書くという日記というものを、女も書いてみようと思って書くのである。＞【土佐日記】
