語句,読み,意味,解説,関連事項,例文1,例文2
方丈記,ほうじょうき,鴨長明の随筆,「方丈記」は鴨長明の随筆。「ゆく河の流れは絶えずして」で始まる。無常観を哲学的に描く。五大災厄を記録。隠遁生活を語る。【あらすじ】鴨長明が災厄の記憶と自らの隠遁生活を語り、世の無常を深く考察する随筆。,鴨長明|ゆく河の流れ|無常観|隠遁|時代:鎌倉時代|種別:古典作品,都で起きた大火や飢饉などの災厄を振り返り、人の世の不安定さを語る。（ほうじょうき）＜都で起きた大火や飢饉などの災厄を振り返り、人の世の不安定さを語る。＞【方丈記】,災厄で都が崩れていく様子を見たのち、作者は小さな庵に身を置く。静けさの中でも執着が消えないことに気づき、無常を突き詰めて語る場面が核心となる。（ほうじょうき）＜災厄で都が崩れていく様子を見たのち、作者は小さな庵に身を置く。静けさの中でも執着が消えないことに気づき、無常を突き詰めて語る場面が核心となる。＞【方丈記】
奥の細道,おくのほそみち,松尾芭蕉の紀行文,「奥の細道」は松尾芭蕉の俳諧紀行文。「月日は百代の過客にして」で始まる。東北・北陸の旅を俳句と散文で記録。俳文学の最高峰。【あらすじ】松尾芭蕉が弟子と共に東北・北陸を旅し、名所の感慨を俳句と散文で記した俳諧紀行。,松尾芭蕉|月日は百代の過客|俳諧紀行|俳文学|時代:江戸時代|種別:古典作品,旅立ちにあたり、時の流れも人も旅人であると感じ、人生を旅に重ねて語る。（おくのほそみち）＜旅立ちにあたり、時の流れも人も旅人であると感じ、人生を旅に重ねて語る。＞【奥の細道】,名所を前にして言葉が尽きるほどの感慨に包まれ、旅の疲れも忘れる。ふと一句を置いた瞬間、風景と歴史が一つに結ばれたように感じられる。（おくのほそみち）＜名所を前にして言葉が尽きるほどの感慨に包まれ、旅の疲れも忘れる。ふと一句を置いた瞬間、風景と歴史が一つに結ばれたように感じられる。＞【奥の細道】
古今和歌集,こきんわかしゅう,最初の勅撰和歌集,「古今和歌集」は最初の勅撰和歌集。紀貫之らが撰者。仮名序と真名序を持つ。約1100首収録。六歌仙・三十六歌仙の歌を多く含む。【あらすじ】最初の勅撰和歌集として、四季や恋などの歌を体系的に集めた。仮名序・真名序を持ち、和歌の美意識を示す。,勅撰和歌集|紀貫之|仮名序|六歌仙|時代:平安時代初期|種別:古典作品,桜への思いのように、自然の美が人の心を大きく揺らすことを歌で表す。（こきんわかしゅう）＜桜への思いのように、自然の美が人の心を大きく揺らすことを歌で表す。＞【古今和歌集】,仮名序で、和歌は人の心から生まれ世を動かすものだと語られ、歌の価値が高らかに宣言される。続く歌々では、恋や別れの痛みが凝縮され、短い言葉で感情の頂点が示される。（こきんわかしゅう）＜仮名序で、和歌は人の心から生まれ世を動かすものだと語られ、歌の価値が高らかに宣言される。続く歌々では、恋や別れの痛みが凝縮され、短い言葉で感情の頂点が示される。＞【古今和歌集】
春はあけぼの,はるはあけぼの,枕草子冒頭,「春はあけぼの」は枕草子の有名な冒頭文。四季の美しさを簡潔に表現。「やうやう白くなりゆく山ぎは」と続く。をかしの美意識の典型。,枕草子|清少納言|をかし|四季|時代:平安時代中期|種別:名文句,ゆく河の流れは絶えずして、しかももとの水にあらず（はるはあけぼの）＜物事は常に移り変わる。＞【方丈記】,秋は夕暮れ。（はるはあけぼの）＜秋は夕暮れがよい。＞【枕草子】
祇園精舎の鐘の声,ぎおんしょうじゃのかねのこえ,平家物語冒頭,「祇園精舎の鐘の声、諸行無常の響きあり」は平家物語の冒頭。仏教的無常観を表現。盛者必衰の理を説く。日本文学屈指の名文。,平家物語|無常観|盛者必衰|諸行無常|時代:鎌倉時代|種別:名文句,奥山に、猫またといふものありて、人を食ふなる（ぎおんしょうじゃのかねのこえ）＜奥深い山には猫またというものがいて、人を食うという。＞【徒然草】,やうやう白くなりゆく山ぎは（ぎおんしょうじゃのかねのこえ）＜だんだんと白くなっていく山際、夜明けの山の端。＞【枕草子】
ゆく河の流れは絶えずして,ゆくかわのながれはたえずして,方丈記冒頭,「ゆく河の流れは絶えずして、しかももとの水にあらず」は方丈記の冒頭。無常の理を河の流れに喩える。哲学的な無常観の表現。,方丈記|鴨長明|無常観|河の流れ|時代:鎌倉時代|種別:名文句,奥山に、猫またといふものありて、人を食ふなる（ゆくかわのながれはたえずして）＜奥深い山には猫またというものがいて、人を食うという。＞【徒然草】,やうやう白くなりゆく山ぎは（ゆくかわのながれはたえずして）＜だんだんと白くなっていく山際、夜明けの山の端。＞【枕草子】
つれづれなるままに,つれづれなるままに,徒然草冒頭,「つれづれなるままに、日暮らし硯に向かひて」は徒然草の冒頭。退屈な時間に物を書く動機を語る。随筆文学の名文。,徒然草|兼好法師|退屈|随筆|時代:鎌倉時代|種別:名文句,高名の木登りといひし男、人を掟てて、高き木に登せて、梢を切らせしに（つれづれなるままに）＜危険は油断した時に起こる。＞【徒然草】,春はあけぼの（つれづれなるままに）＜春は夜明けがよい。＞【枕草子】
月日は百代の過客にして,つきひはひゃくだいのかかくにして,奥の細道冒頭,「月日は百代の過客にして、行きかふ年も又旅人也」は奥の細道の冒頭。時間の流れを旅に喩える。人生を旅と捉える哲学。,奥の細道|松尾芭蕉|時間|旅人|時代:江戸時代|種別:名文句,中納言参り給ひて、御扇奉らせ給ふに（つきひはひゃくだいのかかくにして）＜中納言が参上なさって、御扇を差し上げなさるときに。＞【枕草子】,いづれの御時にか、女御、更衣あまた候ひ給ひける中に、いとやむごとなき際にはあらぬが、すぐれて時めき給ふありけり。（つきひはひゃくだいのかかくにして）＜いつの帝の御代であったか。＞【源氏物語】
いとをかし,いとおかし,たいそう趣がある,「いとをかし」は「をかし」の強調形。「いと」(たいそう)+「をかし」(趣がある)。枕草子に頻出する表現。知的で明るい美の評価。,をかし|強調|枕草子|知的美|時代:平安時代|種別:古文表現,ゆく河の流れは絶えずして（いとおかし）＜物事は常に移り変わる。＞【方丈記】,春はあけぼの。（いとおかし）＜春は夜明けがよい。＞【枕草子】
あはれなり,あわれなり,しみじみとしている,「あはれなり」は「あはれ」の形容動詞形。しみじみとした情趣を表す。源氏物語に頻出。平安貴族の美意識の中核概念。,あはれ|もののあわれ|源氏物語|美意識|時代:平安時代|種別:古文表現,冬はつとめて。（あわれなり）＜冬は早朝がよい。＞【枕草子】,今となっては昔のことだが（あわれなり）＜今となってはもう昔の話だが。＞【今昔物語集】
かたはらいたし,かたわらいたし,そばにいて恥ずかしい,「かたはらいたし」は「そばにいて恥ずかしい」「見ていられない」の意。他人の失態を見て自分も恥ずかしい気持ち。現代語の「片腹痛い」とは異なる。,恥ずかしい|見ていられない|他人の失態|現代語と違う|時代:平安時代|種別:古文表現,いづれの御時にか、女御、更衣あまた候ひ給ひける中に、いとやむごとなき際にはあらぬが、すぐれて時めき給ふありけり。（かたわらいたし）＜いつの帝の御代であったか。＞【源氏物語】,祇園精舎の鐘の声（かたわらいたし）＜この世は無常である。＞【平家物語】
心もとなし,こころもとなし,待ち遠しい・不安だ,「心もとなし」は「待ち遠しい」「不安だ」「はっきりしない」の意。心が落ち着かない様子。「おぼつかなし」と類義だが、より強い焦燥感。,待ち遠しい|不安|はっきりしない|焦燥感|時代:平安時代|種別:古文表現,一つには、高く、やんごとなき人（こころもとなし）＜一つ目は、身分が高く、たいへん高貴な人。＞【徒然草】,花は盛りに、月は隈なきをのみ、見るものかは（こころもとなし）＜花は満開の時だけ、月は雲のない時だけを見るものだろうか。いや、そうではない。＞【徒然草】
あやし,あやし,不思議だ・粗末だ,「あやし」は「不思議だ」「粗末だ」「身分が低い」の意。多義的な語。「あやしの者」は身分の低い人。文脈で意味を判断する必要がある。,不思議|粗末|身分低い|多義語|時代:平安時代|種別:古文表現,つれづれなるままに、日暮らし、硯にむかひて（あやし）＜退屈なので、硯に向かって書きつける。＞【徒然草】,友とするにわろき者、七つあり（あやし）＜友にしてはいけない人が七種類いる。＞【徒然草】
うつくしげなり,うつくしげなり,かわいらしそうだ,「うつくしげなり」は「かわいらしそうだ」「愛らしく見える」の意。「うつくし」に様態の「げなり」が付いた形。外見の評価。,かわいらしい|愛らしい|様態|外見|時代:平安時代|種別:古文表現,月やあらぬ、春や昔の春ならぬ、我が身ひとつはもとの身にして（うつくしげなり）＜月は同じでも春は昔の春ではない。私だけが昔のままの私でいる。＞【伊勢物語】,祇園精舎の鐘の声、諸行無常の響きあり。（うつくしげなり）＜この世は無常である。＞【平家物語】
いみじう,いみじう,たいそう・はなはだしく,「いみじう」は「いみじ」の連用形で副詞。「たいそう」「はなはだしく」の意。程度の強さを表す最頻出副詞。「いみじう泣く」「いみじう喜ぶ」など。,たいそう|はなはだしく|程度副詞|最頻出|時代:平安時代|種別:古文表現,春はあけぼの。（いみじう）＜春は夜明けがよい。＞【枕草子】,世の中にたえて桜のなかりせば、春の心はのどけからまし（いみじう）＜もし世の中に桜がまったくなかったなら、春の心はどれほどのどかだっただろう。＞【古今和歌集】
いかにもいかにも,いかにもいかにも,どうかどうか・何とか,「いかにもいかにも」は「どうかどうか」「何とか」「ぜひとも」の意。「いかに」の繰り返しで強調。強い願望や懇願を表す。,どうか|何とか|ぜひとも|強調|時代:平安時代|種別:古文表現,うつくしきもの。（いかにもいかにも）＜かわいいものを列挙する。＞【枕草子】,雪のいと高う降りたるを、例ならず御格子まゐりて、炭櫃に火おこして、物語などして集まりさぶらふに（いかにもいかにも）＜雪がたいそう降ったので、いつもと違って御格子を上げ、炭びつに火をおこし、物語などしながら集まってお仕えしているときに。＞【枕草子】
春はあけぼの,はるはあけぼの,枕草子の冒頭,「春はあけぼの。やうやう白くなりゆく山際、少し明かりて、紫だちたる雲の細くたなびきたる。」清少納言『枕草子』の有名な冒頭文。春の美しさを「あけぼの」に見出す。をかしの文学の代表。,枕草子|清少納言|をかし|冒頭文|春|時代:平安時代中期|種別:名文句,中納言参り給ひて、御扇奉らせ給ふに（はるはあけぼの）＜中納言が参上なさって、御扇を差し上げなさるときに。＞【枕草子】,いづれの御時にか、女御、更衣あまた候ひ給ひける中に、いとやむごとなき際にはあらぬが、すぐれて時めき給ふありけり。（はるはあけぼの）＜いつの帝の御代であったか。＞【源氏物語】
夏は夜,なつはよる,枕草子・四季の美,「夏は夜。月のころはさらなり、闇もなほ、蛍の多く飛びちがひたる。」『枕草子』の春夏秋冬論の夏の部分。夏の美しさを夜に見出す。蛍の飛ぶ様子を描写。,枕草子|清少納言|四季|夏|蛍|時代:平安時代中期|種別:名文句,雪のいと高う降りたるを、例ならず御格子まゐりて、炭櫃に火おこして、物語などして集まりさぶらふに（なつはよる）＜雪がたいそう降ったので、いつもと違って御格子を上げ、炭びつに火をおこし、物語などしながら集まってお仕えしているときに。＞【枕草子】,月日は百代の過客にして（なつはよる）＜月日も年も旅人のように過ぎていく。＞【奥の細道】
秋は夕暮れ,あきはゆうぐれ,枕草子・四季の美,「秋は夕暮れ。夕日の差して山の端いと近うなりたるに、烏の寝所へ行くとて、三つ四つ、二つ三つなど飛び急ぐさへあはれなり。」『枕草子』の秋の美。夕暮れ時の情趣を描く。,枕草子|清少納言|四季|秋|あはれ|時代:平安時代中期|種別:名文句,やうやう白くなりゆく山ぎは（あきはゆうぐれ）＜だんだんと白くなっていく山際、夜明けの山の端。＞【枕草子】,いづれの御時にか（あきはゆうぐれ）＜いつの帝の御代であったか。＞【源氏物語】
冬はつとめて,ふゆはつとめて,枕草子・四季の美,「冬はつとめて。雪の降りたるは言ふべきにもあらず、霜のいと白きも、またさらでもいと寒きに、火など急ぎおこして、炭持て渡るもいとつきづきし。」『枕草子』の冬の美。早朝の寒さと炭火の情景。,枕草子|清少納言|四季|冬|早朝|時代:平安時代中期|種別:名文句,世の中にたえて桜のなかりせば、春の心はのどけからまし（ふゆはつとめて）＜もし世の中に桜がまったくなかったなら、春の心はどれほどのどかだっただろう。＞【古今和歌集】,あやふき時は言はで、やすき時に教へけり（ふゆはつとめて）＜危ない時には言わず、安心な時にこそ教えたのだ。＞【徒然草】
つれづれなるままに,つれづれなるままに,徒然草の冒頭,「つれづれなるままに、日暮らし、硯にむかひて、心にうつりゆくよしなし事を、そこはかとなく書きつくれば、あやしうこそものぐるほしけれ。」兼好法師『徒然草』の有名な冒頭文。無聊の中で随筆を書く動機を述べる。,徒然草|兼好法師|冒頭文|無聊|随筆|時代:鎌倉時代末期|種別:名文句,秋は夕暮れ。（つれづれなるままに）＜秋は夕暮れがよい。＞【枕草子】,男もすなる日記といふものを、女もしてみむとて、するなり（つれづれなるままに）＜男が書くという日記というものを、女も書いてみようと思って書くのである。＞【土佐日記】
祇園精舎の鐘の声,ぎおんしょうじゃのかねのこえ,平家物語の冒頭,「祇園精舎の鐘の声、諸行無常の響きあり。沙羅双樹の花の色、盛者必衰の理をあらはす。」『平家物語』の有名な冒頭文。仏教の無常観を表す。平家一門の栄枯盛衰のテーマを示す。,平家物語|冒頭文|無常観|諸行無常|盛者必衰|時代:鎌倉時代|種別:名文句,今となっては昔のことだが（ぎおんしょうじゃのかねのこえ）＜今となってはもう昔の話だが。＞【今昔物語集】,祇園精舎の鐘の声、諸行無常の響きあり（ぎおんしょうじゃのかねのこえ）＜この世は無常である。＞【平家物語】
いづれの御時にか,いずれのおんときにか,源氏物語の冒頭,「いづれの御時にか、女御、更衣あまた候ひ給ひける中に、いとやむごとなき際にはあらぬが、すぐれて時めき給ふありけり。」紫式部『源氏物語』の冒頭文。桐壺帝の時代を「いづれの御時にか」とぼかして始まる。,源氏物語|紫式部|冒頭文|桐壺|更衣|時代:平安時代中期|種別:名文句,友とするにわろき者、七つあり（いずれのおんときにか）＜友にしてはいけない人が七種類いる。＞【徒然草】,うつくしきもの。（いずれのおんときにか）＜かわいいものを列挙する。＞【枕草子】
うつくしきもの,うつくしきもの,枕草子の名段,「うつくしきもの。瓜にかきたるちごの顔。すずめの子の、ねず鳴きするに躍り来る。」『枕草子』の有名な段。「うつくし」はかわいいものの意。小さくてかわいいものを列挙。清少納言の鋭い観察眼。,枕草子|清少納言|かわいい|観察|小さい|時代:平安時代中期|種別:名文句,今となっては昔のことだが（うつくしきもの）＜今となってはもう昔の話だが。＞【今昔物語集】,祇園精舎の鐘の声、諸行無常の響きあり（うつくしきもの）＜この世は無常である。＞【平家物語】
木は桜,きはさくら,枕草子・植物論,「木は、桜。花は濃くて葉は薄きが、いと面白し。」『枕草子』の植物論の一節。桜を最高の木として賛美。をかしの美意識。簡潔な表現で美を語る清少納言の文体。,枕草子|清少納言|桜|植物|をかし|時代:平安時代中期|種別:名文句,月日は百代の過客にして、行きかふ年も又旅人也（きはさくら）＜月日も年も旅人のように過ぎていく。＞【奥の細道】,つれづれなるままに、日暮らし、硯にむかひて、心にうつりゆくよしなし事を、そこはかとなく書きつくれば、あやしうこそものぐるほしけれ。（きはさくら）＜退屈なので、硯に向かって書きつける。＞【徒然草】
雪のいと高う降りたるを,ゆきのいとたこうふりたるを,枕草子の名場面,「雪のいと高う降りたるを、例ならず御格子まゐりて、炭櫃に火おこして、物語などして集まりさぶらふに」『枕草子』の冬の情景。雪の日の宮中の優雅な様子を描く。,枕草子|清少納言|雪|宮中|優雅|時代:平安時代中期|種別:名文句,一つには、高く、やんごとなき人（ゆきのいとたこうふりたるを）＜一つ目は、身分が高く、たいへん高貴な人。＞【徒然草】,花は盛りに、月は隈なきをのみ、見るものかは（ゆきのいとたこうふりたるを）＜花は満開の時だけ、月は雲のない時だけを見るものだろうか。いや、そうではない。＞【徒然草】
中納言参り給ひて,ちゅうなごんまいりたまいて,枕草子の名場面,「中納言参り給ひて、御扇奉らせ給ふに」から始まる有名な場面。中納言定子が清少納言に扇を贈る場面。「香炉峰の雪」の故事を引いた知的な遊び。才女同士の交流。,枕草子|清少納言|中納言|扇|香炉峰|時代:平安時代中期|種別:名文句,つれづれなるままに、日暮らし、硯にむかひて、心にうつりゆくよしなし事を、そこはかとなく書きつくれば、あやしうこそものぐるほしけれ。（ちゅうなごんまいりたまいて）＜退屈なので、硯に向かって書きつける。＞【徒然草】,奥山に、猫またといふものありて、人を食ふなる（ちゅうなごんまいりたまいて）＜奥深い山には猫またというものがいて、人を食うという。＞【徒然草】
仁和寺にある法師,にんなじにあるほうし,徒然草の名段,「仁和寺にある法師、年寄るまで、石清水を拝まざりければ」で始まる話。目的地の本社まで行かず麓で帰った失敗談。「少しのことにも先達はあらまほしきことなり」の教訓。,徒然草|兼好法師|失敗|教訓|先達|時代:鎌倉時代末期|種別:名文句,つれづれなるままに、日暮らし、硯にむかひて（にんなじにあるほうし）＜退屈なので、硯に向かって書きつける。＞【徒然草】,友とするにわろき者、七つあり（にんなじにあるほうし）＜友にしてはいけない人が七種類いる。＞【徒然草】
高名の木登り,こうみょうのきのぼり,徒然草の名段,「高名の木登りといひし男、人を掟てて、高き木に登せて、梢を切らせしに」で始まる話。危険は油断した時に起こるという教訓。「あやふき時は言はで、やすき時に教へけり」の名言。,徒然草|兼好法師|教訓|油断|安全|時代:鎌倉時代末期|種別:名文句,男もすなる日記といふものを、女もしてみむとて、するなり（こうみょうのきのぼり）＜男が書くという日記というものを、女も書いてみようと思って書くのである。＞【土佐日記】,つれづれなるままに（こうみょうのきのぼり）＜退屈なので、硯に向かって書きつける。＞【徒然草】
奥山に猫またといふもの,おくやまにねこまたというもの,徒然草の逸話,「奥山に、猫またといふものありて、人を食ふなる」という怪異譚。山中で恐怖に怯えていたら、実は飼っていた犬だったという話。恐怖心理を描く。思い込みの危険性。,徒然草|兼好法師|怪異|恐怖|心理|時代:鎌倉時代末期|種別:名文句,世にしたがへば、身苦し。（おくやまにねこまたというもの）＜世間に合わせて生きると、身が苦しくなる。＞【徒然草】,ゆく河の流れは絶えずして（おくやまにねこまたというもの）＜物事は常に移り変わる。＞【方丈記】
花は盛りに,はなはさかりに,徒然草の美意識,「花は盛りに、月は隈なきをのみ、見るものかは」で始まる有名な段。完璧なものだけを美とするのではなく、衰えや不完全さにも美を見出す。無常観に基づく美意識。,徒然草|兼好法師|美意識|無常|不完全|時代:鎌倉時代末期|種別:名文句,仁和寺にある法師、年寄るまで、石清水を拝まざりければ（はなはさかりに）＜行き先を勘違いして失敗する話。＞【徒然草】,ゆく河の流れは絶えずして、しかももとの水にあらず（はなはさかりに）＜物事は常に移り変わる。＞【方丈記】
