語句,読み,意味,解説,関連事項,例文1,例文2
登鸛雀楼,かんじゃくろうにのぼる,鸛雀楼に登る,王之渙の五言絶句。楼閣から遠くを望む詩。「欲窮千里目　更上一層楼」（千里の目を窮めんと欲して　更に上る一層の楼）。,漢詩,,
山行,さんこう,山を行く,杜牧の七言絶句。秋の山道の風景を詠む詩。「停車坐愛楓林晩」（車を停めて坐ながら楓林の晩を愛す）が有名。,漢詩,,
春暁,しゅんぎょう,春の朝,孟浩然の五言絶句。春の朝の情景。「春眠不覚暁」（春眠暁を覚えず）で始まる。春の心地よい朝を詠う。,漢詩,,
白帝城,はくていじょう,白帝城,李白「早発白帝城」の題材。長江沿いの城。「朝辞白帝彩雲間」（朝に辞す白帝彩雲の間）。,地名,,
洛陽,らくよう,洛陽,中国の古都。多くの漢詩に登場。東の都として栄えた。牡丹の名所としても知られる。,地名,,
長安,ちょうあん,長安,唐の都。現在の西安。多くの詩人が集まった文化の中心地。「春望」の舞台。,地名,,
江南,こうなん,江南,長江の南の地域。温暖で風景が美しい。「江南春」など多くの詩の題材。,地名,,
三月,さんがつ,陰暦3月,春を代表する月。桃の花が咲く季節。「上巳の節句」がある。春の盛りを表す。,季節,,
九月,くがつ,陰暦9月,秋を代表する月。菊の花が咲く。「重陽の節句」がある。収穫の季節。,季節,,
梅花,ばいか,梅の花,早春の花。厳しい寒さに耐えて咲く。高潔さや不屈の精神の象徴。漢詩で好まれる題材。,季節,,
菊花,きくか,菊の花,秋の代表的な花。気高さや長寿の象徴。「重陽の節句」に鑑賞する。陶淵明が愛した花として有名。,季節,,
月,つき,月,漢詩の最も重要なモチーフの一つ。故郷への思い、時の流れ、美の象徴。李白は特に月を愛した。,自然,,
風,かぜ,風,季節や心情を表す重要な要素。「春風」は優しさ、「秋風」は寂しさを象徴することが多い。,自然,,
雲,くも,雲,変化や無常を象徴。「浮雲」は定まらないものの例え。自由や漂泊を表すこともある。,自然,,
山,やま,山,不変性や堅固さの象徴。「山河」で国土を表す。「泰山」は特に重要な山として尊ばれる。,自然,,
川,かわ,川,時の流れや変化を象徴。「逝者如斯夫」（逝く者は斯くの如きか）という孔子の言葉が有名。,自然,,
