語句,読み,意味,解説,関連事項,例文1,例文2
若,〜ごとシ,〜のようだ,比喩を表す文字。「ごとし」と読む。例：「若レ夢」→「夢のごとし」。「如」とほぼ同義。やや文語的で格調高い表現。,比喩,若レ夢（-）＜夢のごとし＞【漢文】,
於,〜ニ,〜に、〜において,"場所や時を表す前置詞。「に」「において」と読む。例：「生於レ貧」→「貧しきに生まる」。動作の場所や時点を示す。英語のin, at, onに相当。",前置詞,生於レ貧（-）＜貧しきに生まる＞【漢文】,
乎,〜か,〜だろうか（疑問・反語）,文末の疑問を表す助詞。「か」と読む。例：「知乎」→「知るか」。疑問文や反語文を作る。感嘆を表すこともある。,助詞,知乎（-）＜知るか＞【漢文】,
哉,〜かな,〜だなあ（詠嘆）,感動や詠嘆を表す助詞。「かな」と読む。例：「美哉」→「美しきかな」。深い感動や感慨を表現する。漢詩の結句によく使われる。,助詞,美哉（-）＜美しきかな＞【漢文】,
矣,〜のみ,〜だけだ、〜である,断定や限定を表す助詞。「のみ」「り」と読む。例：「足矣」→「足れり」。強い断定や完了を表す。文末に置かれることが多い。,助詞,足矣（-）＜足れり＞【漢文】,
也,〜なり,〜である,断定を表す助詞。「なり」と読む。例：「学者也」→「学者なり」。主語と述語を結ぶ判断の助詞。英語のisに相当。,助詞,学者也（-）＜学者なり＞【漢文】,
耶,〜や,〜か（疑問）,疑問を表す助詞。「や」と読む。例：「然耶」→「然るや」。「乎」と同様に疑問文を作る。やや口語的な印象。,助詞,然耶（-）＜然るや＞【漢文】,
焉,これ、いづくんゾ,これ、どうして,指示代名詞または疑問詞。文脈により読み分ける。例：「何為焉」→「何をかこれ為さん」。多義的で文脈判断が重要。,代名詞,何為焉（-）＜何をかこれ為さん＞【漢文】,
焉,〜たり,〜である（断定）,文末で断定を表す場合もある。「たり」と読む。多機能な文字で、文脈により意味が変わる。助詞としても代名詞としても使われる。,助詞,,
之,これ、の,これ、〜の,代名詞「これ」または助詞「の」。例：「読二之一」→「これを読む」、「天之道」→「天の道」。漢文で最も頻出する文字の一つ。,代名詞・助詞,読二之一（-）＜これを読む＞【漢文】,
其,その,その,"指示代名詞。「その」と読む。例：「其人」→「その人」。三人称の所有を表すことが多い。英語のhis, her, itsに相当。",代名詞,其人（-）＜その人＞【漢文】,
安,いづくんゾ,どうして、どこに,疑問詞。「いずくんぞ」「いずくにか」と読む。例：「安得」→「いずくんぞ得ん」。場所や方法を問う。反語を表すことも多い。,疑問詞,安得（-）＜いずくんぞ得ん＞【漢文】,
何,なニ、なんゾ,何、なぜ,疑問詞。「なに」「なんぞ」と読む。例：「何為」→「何をか為さん」。事物や理由を問う。英語のwhatやwhyに相当。,疑問詞,何為（-）＜何をか為さん＞【漢文】,
胡,なんゾ,どうして,疑問詞。「なんぞ」と読む。例：「胡不レ帰」→「なんぞ帰らざる」。理由を問う。反語を表すことが多い。,疑問詞,胡不レ帰（-）＜なんぞ帰らざる＞【漢文】,
矛盾,むじゅん,つじつまが合わないこと,「矛」は攻撃の武器、「盾」は防御の武器。「どんな盾も突き通す矛」と「どんな矛も防ぐ盾」を同時に売ろうとした商人の話に由来。韓非子の説話。論理的な矛盾を指す。,故事成語,,
推敲,すいこう,文章を練り直すこと,唐の詩人賈島が「僧推月下門」か「僧敲月下門」か迷い、韓愈に相談した故事に由来。「推す」か「敲く（たたく）」かで悩んだことから、詩文を何度も練り直すことを意味する。,故事成語,,
蛇足,だそく,余計なもの、無用の長物,「蛇を描くのに足を加える」という故事に由来。酒を早く飲める者に与えるという競争で、先に描き終えた者が「足も描こう」と余計なことをした話（戦国策）。必要のない付け足しを指す。,故事成語,,
漁夫之利,ぎょふのり,第三者が争いの利益を得ること,シギと二枚貝が争っている間に漁師が両方とも捕まえた故事（戦国策）。二者が争っている隙に第三者が利益を得ることを意味する。類義語：両者争えば両者失う。,故事成語,,
五言絶句,ごごんぜっく,五字四句の漢詩形式,一句が五字、全体で四句（二十字）の漢詩。起句・承句・転句・結句の構成。押韻は通常第二句と第四句。最も基本的な近体詩の形式。,漢詩,,
七言絶句,しちごんぜっく,七字四句の漢詩形式,一句が七字、全体で四句（二十八字）の漢詩。五言絶句より表現が豊かになる。杜甫「春望」など名作多数。押韻規則は五言絶句と同じ。,漢詩,,
五言律詩,ごごんりっし,五字八句の漢詩形式,一句が五字、全体で八句（四十字）の漢詩。絶句より長く、複雑な内容を表現できる。中四句で対句を用いる規則がある。格調高い作品が多い。,漢詩,,
七言律詩,しちごんりっし,七字八句の漢詩形式,一句が七字、全体で八句（五十六字）の漢詩。律詩の中で最も長大な形式。対句や押韻の規則が厳格。杜甫が名手として知られる。,漢詩,,
起句,きく,漢詩の第一句,詩の導入部分。情景や主題を提示する。読者を詩の世界に誘い込む役割。場面設定や時間・場所の提示が多い。,漢詩,,
承句,しょうく,漢詩の第二句,起句を受けて展開する句。主題をさらに深める。起句の内容を承けて具体化したり、説明を加えたりする。,漢詩,,
転句,てんく,漢詩の第三句,詩の視点や内容を転換する句。新しい視点や対比を提示。詩に変化と深みを与える最も重要な句。意外性や発見がある。,漢詩,,
結句,けっく,漢詩の第四句（最終句）,詩を締めくくる句。主題を総括し、余韻を残す。感慨や教訓を述べることが多い。読者の心に残る印象的な表現が求められる。,漢詩,,
対句,ついく,対になる二つの句,意味や文法構造が対応する二句の組。例：「天高く地低し」。律詩では中四句（第三・四句と第五・六句）で対句を用いる規則。美的効果を高める修辞技法。,漢詩,,
押韻,おういん,句末の音を揃えること,詩の各句の最後の字の音（韻）を揃える技法。リズムと音楽性を生む。近体詩では偶数句（第二・四句など）の末尾で韻を踏む規則がある。,漢詩,,
平仄,ひょうそく,漢字の音調,漢字の声調を「平声」と「仄声」に分類したもの。近体詩では平仄の配置に厳格な規則がある。音楽的なリズムを作る基礎。日本人には習得が難しい。,漢詩,,
近体詩,きんたいし,唐代に完成した定型詩,絶句と律詩の総称。平仄・押韻・対句などの厳格な規則がある。唐代に完成された洗練された詩形。格調高い作品が多い。,漢詩,,
古体詩,こたいし,形式が自由な漢詩,近体詩以前の自由な形式の詩。句数や字数に制限が少ない。平仄の規則も緩やか。率直で力強い表現が特徴。,漢詩,,
絶句,ぜっく,四句からなる短詩,近体詩の一形式。五言絶句と七言絶句がある。短い中に深い情趣を込める。最も親しまれている漢詩の形式。,漢詩,,
律詩,りっし,八句からなる定型詩,近体詩の一形式。五言律詩と七言律詩がある。対句や押韻の規則が厳格。格調高く複雑な内容を表現できる。,漢詩,,
