語句,読み,意味,解説,関連事項,時代背景,種別
びんなし,びんなし,都合が悪い・具合が悪い,「びんなし」は「都合が悪い」「具合が悪い」「不適当だ」の意。「便無し」が語源。状況に適していない様子を表す。,都合悪い|具合悪い|不適当|便無し,平安時代,古文単語
いたづらなり,いたずらなり,むだだ・何もしない,「いたづらなり」は「むだだ」「何もしない」「無益だ」の意。「徒らなり」と書く。効果がない、無駄に過ごす、の意。「いたづらに月日を送る」などの形。,むだ|何もしない|無益|徒らなり,平安時代,古文単語
あながちなり,あながちなり,強引だ・むやみに,「あながちなり」は「強引だ」「むやみに」「一途だ」の意。「強ちなり」と書く。無理に押し通す様子。副詞的に「あながちに」の形も。,強引|むやみに|一途|無理に,平安時代,古文単語
ゆへあり,ゆえあり,由緒がある・事情がある,「ゆへあり」は「由緒がある」「事情がある」「風流だ」の意。「故あり」「由あり」と書く。「ゆへある人」は教養ある人の意。,由緒|事情|風流|教養,平安時代,古文単語
なさけあり,なさけあり,思いやりがある・風流だ,「なさけあり」は「思いやりがある」「風流だ」「情趣を解する」の意。「情あり」と書く。人情と風流心の両方を含む。平安貴族の理想。,思いやり|風流|情趣|人情,平安時代,古文単語
なさけなし,なさけなし,無情だ・無風流だ,「なさけなし」は「無情だ」「無風流だ」「冷淡だ」の意。思いやりも風流心もない様子。「なさけあり」の対義語。強い非難を含む。,無情|無風流|冷淡|なさけあり対義,平安時代,古文単語
つきづきし,つきずきし,ふさわしい・似合っている,「つきづきし」は「ふさわしい」「似合っている」「釣り合いが取れている」の意。「付き付きし」が語源。調和の取れた美しさを表す。,ふさわしい|似合う|釣り合い|調和,平安時代,古文単語
うるはし,うるわし,端正だ・きちんとしている,「うるはし」は「端正だ」「きちんとしている」「几帳面だ」の意。「麗し」と書く。形式的な美しさ。「うるはしくもてなす」などの形。,端正|きちんと|几帳面|形式美,平安時代,古文単語
あさし,あさし,浅い・薄い,「あさし」は「浅い」「薄い」「軽薄だ」の意。現代語とほぼ同じ。物理的深さと心の浅さの両方を表す。「浅き心」などの形。,浅い|薄い|軽薄|現代語同じ,平安時代,古文単語
ふかし,ふかし,深い・濃い,「ふかし」は「深い」「濃い」「親しい」の意。現代語とほぼ同じ。物理的深さと情の深さの両方。「深き契り」などの形。「あさし」の対義語。,深い|濃い|親しい|あさし対義,平安時代,古文単語
おもし,おもし,趣がある・味わい深い,「おもし」は「趣がある」「味わい深い」「重々しい」の意。「重し」が語源。落ち着いた趣を表す。「おもしろし」とは別。,趣がある|味わい深い|重々しい|おもしろし別,平安時代,古文単語
おもしろし,おもしろし,興味深い・明るく広々としている,「おもしろし」は「興味深い」「明るく広々としている」「愉快だ」の意。「面白し」と書く。視界が開ける感じが原義。現代語より広い意味。,興味深い|広々|愉快|視界開ける,平安時代,古文単語
おどろく,おどろく,目を覚ます・気づく,「おどろく」は「目を覚ます」「気づく」「驚く」の意。現代語の「驚く」より「目覚める」の意が強い。「音におどろく」などの形。古文最重要動詞の一つ。,目を覚ます|気づく|驚く|現代語と違う,平安時代,古文重要動詞
わぶ,わぶ,困る・つらい思いをする,「わぶ」は「困る」「つらい思いをする」「嘆く」の意。精神的・物質的困窮を表す。「わびしげなり」などの形。「わび」の語源。,困る|つらい|嘆く|わび語源,平安時代,古文重要動詞
ながむ,ながむ,物思いに沈む・ぼんやり眺める,「ながむ」は「物思いに沈む」「ぼんやり眺める」の意。単に見るのではなく、思いにふけりながら眺める様子。「空をながむ」などの形。古文の情緒表現。,物思い|ぼんやり|眺める|情緒,平安時代,古文重要動詞
あかす,あかす,飽きない・満足しない,「あかす」は「飽きない」「満足しない」の意。「飽かす」と書く。満足できずにもっと求める様子。「見あかす」などの形で頻出。,飽きない|満足しない|もっと|飽かす,平安時代,古文重要動詞
あく,あく,満足する・飽きる,「あく」は「満足する」「飽きる」の意。「飽く」と書く。「あかす」の対。「見飽く」「聞き飽く」などの形。十分に堪能する意味。,満足する|飽きる|堪能|あかす対,平安時代,古文重要動詞
まどふ,まどふ,途方に暮れる・迷う,「まどふ」は「途方に暮れる」「迷う」「困惑する」の意。「惑ふ」と書く。現代語とほぼ同じ。精神的な混乱を表す。「心まどふ」などの形。,途方に暮れる|迷う|困惑|惑ふ,平安時代,古文重要動詞
わたる,わたる,続く・〜していく,「わたる」は「続く」「〜していく」「ずっと〜する」の意。動作の継続を表す補助動詞。「降りわたる」「鳴きわたる」などの形で頻出。,続く|継続|補助動詞|ずっと,平安時代,古文重要動詞
おこなふ,おこなう,仏道修行をする・勤行する,「おこなふ」は「仏道修行をする」「勤行する」の意。現代語の「行う」より宗教的な意味が強い。「行ふ」と書く。僧侶の修行を指す。,仏道修行|勤行|宗教的|僧侶,平安〜鎌倉時代,古文重要動詞
とぶらふ,とぶらう,訪ねる・見舞う,「とぶらふ」は「訪ねる」「見舞う」「弔問する」の意。「訪ふ」と書く。人を尋ねる、安否を気遣う意味。「とぶらひに来る」などの形。,訪ねる|見舞う|弔問|訪ふ,平安時代,古文重要動詞
ののしる,ののしる,大声で騒ぐ・評判になる,「ののしる」は「大声で騒ぐ」「評判になる」の意。現代語の「罵る」とは異なる。世間で話題になる様子。「世にののしる」などの形。,大声で騒ぐ|評判|話題|現代語と違う,平安時代,古文重要動詞
おぼゆ,おぼゆ,思われる・似ている,「おぼゆ」は「思われる」「似ている」「覚える」の意。自然に心に浮かぶ、の意。「覚ゆ」と書く。「思ふ」の自発形的な意味。,思われる|似ている|覚える|自発,平安時代,古文重要動詞
いらふ,いらう,答える・応じる,「いらふ」は「答える」「応じる」の意。「答ふ」「応ふ」と書く。相手の言葉に反応する様子。「問ひにいらふ」などの形。返答を表す。,答える|応じる|返答|答ふ,平安時代,古文重要動詞
そうず,そうず,そうする・そうである,「そうず」は「そうする」「そうである」の意。サ変動詞「す」に「さう」が付いた形。「然うす」が語源。指示内容を受ける。,そうする|そうである|然うす|指示,平安時代,古文重要動詞
たまふ,たまう,お与えになる・〜なさる,「たまふ」は尊敬語で「お与えになる」「〜なさる」の意。補助動詞として「〜なさる」の意でも使う。「賜ふ」「給ふ」と書く。最頻出の尊敬語。,尊敬語|お与えになる|なさる|最頻出,平安時代,古文敬語
きこゆ,きこゆ,申し上げる・お聞こえになる,「きこゆ」は謙譲語で「申し上げる」の意。尊敬語で「お聞こえになる」の意もある。「聞こゆ」と書く。謙譲と尊敬の両方の用法がある重要語。,謙譲語|尊敬語|申し上げる|聞こえる,平安時代,古文敬語
はべり,はべり,あります・ございます,「はべり」は丁寧語で「あります」「ございます」「お仕えする」の意。「侍り」と書く。「あり」の丁寧語。会話文に頻出。,丁寧語|あります|ございます|侍り,平安時代,古文敬語
さぶらふ,さぶらう,お仕えする・おります,「さぶらふ」は謙譲語で「お仕えする」「おります」の意。「候ふ」と書く。貴人の近くに控える意味。「はべり」より古風。,謙譲語|お仕えする|おります|候ふ,平安時代,古文敬語
おはす,おわす,いらっしゃる・おいでになる,「おはす」は尊敬語で「いらっしゃる」「おいでになる」「おられる」の意。「御座す」と書く。「あり」「をり」「行く」「来」の尊敬語。最重要尊敬語。,尊敬語|いらっしゃる|おいでになる|御座す,平安時代,古文敬語
まかる,まかる,退出する・参る,「まかる」は謙譲語で「退出する」「参る」の意。「罷る」と書く。貴人の前から退く意味。「行く」の謙譲語としても使う。,謙譲語|退出する|参る|罷る,平安時代,古文敬語
まかづ,まかず,退出させる・お帰しになる,「まかづ」は「退出させる」「お帰しになる」の意。「まかる」の使役形。「罷づ」と書く。貴人が人を退出させる意味。,退出させる|帰す|使役|罷づ,平安時代,古文敬語
まゐる,まいる,参上する・差し上げる,「まゐる」は謙譲語で「参上する」「差し上げる」の意。「参る」と書く。「行く」「来」「食ふ」「飲む」などの謙譲語。最頻出謙譲語。,謙譲語|参上する|差し上げる|参る,平安時代,古文敬語
たてまつる,たてまつる,差し上げる・申し上げる,「たてまつる」は謙譲語で「差し上げる」「申し上げる」の意。「奉る」と書く。「〜してさしあげる」の補助動詞としても頻出。最重要謙譲語。,謙譲語|差し上げる|申し上げる|奉る,平安時代,古文敬語
けり,けり,〜た・〜たなあ,「けり」は過去・詠嘆の助動詞。「〜た」「〜たなあ」の意。ラ変型活用。連用形接続。伝聞過去や詠嘆を表す。最重要助動詞の一つ。,過去|詠嘆|助動詞|伝聞過去,平安時代,助動詞
き,き,〜た,「き」は過去の助動詞。「〜た」の意。特殊型活用。連用形接続。直接過去(自分が体験した過去)を表す。「けり」(伝聞過去)と対比される重要助動詞。,過去|直接過去|体験|けりと対,平安時代,助動詞
つ,つ,〜てしまった・〜た,「つ」は完了の助動詞。「〜てしまった」「〜た」の意。下二段型活用。連用形接続。強い完了・確述を表す。「ぬ」と対で重要助動詞。,完了|確述|てしまった|強意,平安時代,助動詞
ぬ,ぬ,〜てしまった・〜た,「ぬ」は完了の助動詞。「〜てしまった」「〜た」の意。ナ変型活用。連用形接続。完了・確述を表す。「つ」と対。打消の「ず」の連体形とは別。,完了|確述|てしまった|つと対,平安時代,助動詞
たり,たり,〜ている・〜だ,「たり」は完了・存続の助動詞。「〜ている」「〜だ」の意。ラ変型活用。連用形(音便)接続。状態の継続を表す。「咲きたり」などの形。,完了|存続|ている|音便接続,平安時代,助動詞
り,り,〜ている・〜た,「り」は完了・存続の助動詞。「〜ている」「〜た」の意。ラ変型活用。サ変の未然形・四段の已然形に接続。特殊な接続をする助動詞。,完了|存続|ている|特殊接続,平安時代,助動詞
ず,ず,〜ない,「ず」は打消の助動詞。「〜ない」の意。特殊型活用。未然形接続。連体形は「ぬ」、已然形は「ね」。打消表現として最重要。「〜ず」「〜ぬ」「〜ね」の使い分けに注意。,打消|ない|ぬね|未然形接続,平安時代,助動詞
む,む,〜だろう・〜よう,「む」は推量・意志・勧誘・仮定・婉曲の助動詞。「〜だろう」「〜よう」の意。特殊型活用。未然形接続。多義的な最重要助動詞。現代語の「う・よう」の原型。,推量|意志|勧誘|仮定婉曲,平安時代,助動詞
むず,むず,〜にちがいない・きっと〜だろう,「むず」は推量の助動詞。「〜にちがいない」「きっと〜だろう」の意。サ変型活用。終止形接続。「む」+「す」の融合。強い推量を表す。,推量|にちがいない|強意|むとす,平安時代,助動詞
べし,べし,〜するべきだ・〜だろう,「べし」は推量・当然・義務・命令・可能・意志の助動詞。「〜するべきだ」「〜だろう」の意。特殊型活用。終止形接続(ラ変は連体形)。多義的な最重要助動詞。,推量|当然|義務|命令可能意志,平安時代,助動詞
まし,まし,〜だろうに・〜ただろう,「まし」は反実仮想の助動詞。「〜だろうに」「〜ただろう」の意。特殊型活用。未然形接続。事実に反する仮定や後悔を表す。「ましかば〜まし」の形。,反実仮想|だろうに|仮定|後悔,平安時代,助動詞
まほし,まほし,〜たい・〜てほしい,「まほし」は希望の助動詞。「〜たい」「〜てほしい」の意。形容詞型活用。未然形接続。話し手の願望を表す。「見まほし」「聞きまほし」の形。,希望|たい|願望|未然形接続,平安時代,助動詞
たし,たし,〜たい,「たし」は希望の助動詞。「〜たい」の意。形容詞型活用。連用形接続。「まほし」より口語的。「見たし」「聞きたし」などの形で願望を表す。,希望|たい|口語的|連用形接続,平安時代,助動詞
らし,らし,〜らしい・〜ようだ,「らし」は推定の助動詞。「〜らしい」「〜ようだ」の意。形容詞型活用の一部のみ。終止形接続。客観的な根拠に基づく推定を表す。,推定|らしい|客観的根拠|終止形接続,平安時代,助動詞
めり,めり,〜ようだ・〜らしい,「めり」は推定の助動詞。「〜ようだ」「〜らしい」の意。ラ変型活用。終止形接続。視覚的な根拠に基づく推定。「見+あり」が語源。,推定|ようだ|視覚的|見あり,平安時代,助動詞
なり(伝聞),なり,〜そうだ・〜と聞こえる,「なり」は伝聞・推定の助動詞。「〜そうだ」「〜と聞こえる」の意。ラ変型活用。終止形接続。「音+なり」で伝聞。断定の「なり」とは別。,伝聞|推定|そうだ|音なり,平安時代,助動詞
なり(断定),なり,〜だ・〜である,「なり」は断定の助動詞。「〜だ」「〜である」の意。ラ変型活用。体言・連体形に接続。現代語の「だ」「です」に相当。伝聞の「なり」とは別。,断定|だ|体言接続|である,平安時代,助動詞
たり(断定),たり,〜だ・〜である,「たり」は断定の助動詞。「〜だ」「〜である」の意。ラ変型活用。体言に接続。「と+あり」が語源。「なり」より古い断定表現。完了の「たり」とは別。,断定|だ|とあり|体言接続,平安時代,助動詞
る,る,〜れる・〜られる,「る」は受身・尊敬・自発・可能の助動詞。「〜れる」「〜られる」の意。下二段型活用。未然形接続(四段・ナ変・ラ変)。多義語として最重要。,受身|尊敬|自発|可能,平安時代,助動詞
らる,らる,〜れる・〜られる,「らる」は受身・尊敬・自発・可能の助動詞。「〜れる」「〜られる」の意。下二段型活用。未然形接続(上一・上二・下一・下二・サ変)。「る」と同義で接続が異なる。,受身|尊敬|自発|可能,平安時代,助動詞
す,す,〜せる・〜させる,「す」は使役・尊敬の助動詞。「〜せる」「〜させる」の意。サ変型活用。未然形接続(四段・ナ変・ラ変)。使役が主で尊敬は稀。「言はす」「泣かす」の形。,使役|尊敬|せる|四段ナ変ラ変,平安時代,助動詞
さす,さす,〜せる・〜させる,「さす」は使役・尊敬の助動詞。「〜せる」「〜させる」の意。サ変型活用。未然形接続(上一・上二・下一・下二・サ変)。「す」と同義で接続が異なる。,使役|尊敬|せる|上下二段サ変,平安時代,助動詞
しむ,しむ,〜させる,「しむ」は使役の助動詞。「〜させる」の意。下二段型活用。未然形接続。「す・さす」と同じ使役だが接続が異なる。古語では稀。,使役|させる|下二段|未然形接続,平安時代,助動詞
じ,じ,〜まい・〜ないつもりだ,「じ」は打消推量・打消意志の助動詞。「〜まい」「〜ないつもりだ」の意。特殊型活用。未然形接続。「む」の打消形として重要。,打消推量|打消意志|まい|む打消,平安時代,助動詞
まじ,まじ,〜ないだろう・〜べきでない,「まじ」は打消推量・打消当然の助動詞。「〜ないだろう」「〜べきでない」の意。形容詞型活用。終止形接続。「べし」の打消形として重要。,打消推量|べきでない|べし打消|形容詞型,平安時代,助動詞
竹取物語,たけとりものがたり,日本最古の物語,「竹取物語」は日本最古の物語文学。かぐや姫の物語として有名。平安時代初期成立。作者未詳。「物語の出で来はじめの祖」と評される。,かぐや姫|最古の物語|平安初期|作者未詳,平安時代初期,古典作品
伊勢物語,いせものがたり,在原業平の歌物語,「伊勢物語」は在原業平を主人公とする歌物語。全125段。和歌を中心とした短編集。「昔男ありけり」で始まる各段が有名。恋愛を主題とする。,在原業平|歌物語|昔男|恋愛,平安時代初期,古典作品
土佐日記,とさにっき,紀貫之の日記文学,「土佐日記」は紀貫之が仮名で書いた日記文学。「男もすなる日記といふものを」で始まる。女性視点で書かれた最初の仮名日記。,紀貫之|仮名日記|男もすなる|女性視点,平安時代中期,古典作品
枕草子,まくらのそうし,清少納言の随筆,「枕草子」は清少納言の随筆文学。「春はあけぼの」で始まる。をかしの文学の代表。宮廷生活を鋭い観察眼で描く。約300段。,清少納言|春はあけぼの|をかし|随筆,平安時代中期,古典作品
源氏物語,げんじものがたり,紫式部の長編小説,「源氏物語」は紫式部による世界最古の長編小説。光源氏の生涯と恋愛を描く全54帖。「もののあわれ」の文学の最高峰。日本文学の最高傑作。,紫式部|光源氏|もののあわれ|長編小説,平安時代中期,古典作品
更級日記,さらしなにっき,菅原孝標女の日記,「更級日記」は菅原孝標女の回想的日記文学。源氏物語への憧れから始まる。「あづまぢの道のはてよりも」で始まる。女性の内面を描く。,菅原孝標女|源氏物語憧れ|回想的日記|女性内面,平安時代後期,古典作品
大鏡,おおかがみ,歴史物語,「大鏡」は歴史物語の代表作。藤原道長の栄華を中心に摂関政治を描く。「鏡物」の最初。二人の老人の対話形式。紀伝体で書かれる。,藤原道長|歴史物語|鏡物|対話形式,平安時代後期,古典作品
今昔物語集,こんじゃくものがたりしゅう,説話集,「今昔物語集」は日本最大の説話集。全31巻(現存28巻)。「今は昔」で始まる約千話を収録。仏教説話・世俗説話を含む。,説話集|今は昔|仏教説話|世俗説話,平安時代後期,古典作品
平家物語,へいけものがたり,軍記物語,「平家物語」は平氏の興亡を描いた軍記物語。「祇園精舎の鐘の声」で始まる。琵琶法師により語られた。無常観を描く。全12巻。,平氏興亡|祇園精舎|軍記物語|琵琶法師,鎌倉時代,古典作品
徒然草,つれづれぐさ,兼好法師の随筆,「徒然草」は兼好法師(吉田兼好)の随筆。「つれづれなるままに」で始まる。全243段。人生観・無常観を記す。枕草子と並ぶ随筆の双璧。,兼好法師|つれづれなるままに|随筆|人生観,鎌倉時代,古典作品
方丈記,ほうじょうき,鴨長明の随筆,「方丈記」は鴨長明の随筆。「ゆく河の流れは絶えずして」で始まる。無常観を哲学的に描く。五大災厄を記録。隠遁生活を語る。,鴨長明|ゆく河の流れ|無常観|隠遁,鎌倉時代,古典作品
奥の細道,おくのほそみち,松尾芭蕉の紀行文,「奥の細道」は松尾芭蕉の俳諧紀行文。「月日は百代の過客にして」で始まる。東北・北陸の旅を俳句と散文で記録。俳文学の最高峰。,松尾芭蕉|月日は百代の過客|俳諧紀行|俳文学,江戸時代,古典作品
古今和歌集,こきんわかしゅう,最初の勅撰和歌集,「古今和歌集」は最初の勅撰和歌集。紀貫之らが撰者。仮名序と真名序を持つ。約1100首収録。六歌仙・三十六歌仙の歌を多く含む。,勅撰和歌集|紀貫之|仮名序|六歌仙,平安時代初期,古典作品
春はあけぼの,はるはあけぼの,枕草子冒頭,「春はあけぼの」は枕草子の有名な冒頭文。四季の美しさを簡潔に表現。「やうやう白くなりゆく山ぎは」と続く。をかしの美意識の典型。,枕草子|清少納言|をかし|四季,平安時代中期,名文句
祇園精舎の鐘の声,ぎおんしょうじゃのかねのこえ,平家物語冒頭,「祇園精舎の鐘の声、諸行無常の響きあり」は平家物語の冒頭。仏教的無常観を表現。盛者必衰の理を説く。日本文学屈指の名文。,平家物語|無常観|盛者必衰|諸行無常,鎌倉時代,名文句
ゆく河の流れは絶えずして,ゆくかわのながれはたえずして,方丈記冒頭,「ゆく河の流れは絶えずして、しかももとの水にあらず」は方丈記の冒頭。無常の理を河の流れに喩える。哲学的な無常観の表現。,方丈記|鴨長明|無常観|河の流れ,鎌倉時代,名文句
つれづれなるままに,つれづれなるままに,徒然草冒頭,「つれづれなるままに、日暮らし硯に向かひて」は徒然草の冒頭。退屈な時間に物を書く動機を語る。随筆文学の名文。,徒然草|兼好法師|退屈|随筆,鎌倉時代,名文句
月日は百代の過客にして,つきひはひゃくだいのかかくにして,奥の細道冒頭,「月日は百代の過客にして、行きかふ年も又旅人也」は奥の細道の冒頭。時間の流れを旅に喩える。人生を旅と捉える哲学。,奥の細道|松尾芭蕉|時間|旅人,江戸時代,名文句
いとをかし,いとおかし,たいそう趣がある,「いとをかし」は「をかし」の強調形。「いと」(たいそう)+「をかし」(趣がある)。枕草子に頻出する表現。知的で明るい美の評価。,をかし|強調|枕草子|知的美,平安時代,古文表現
あはれなり,あわれなり,しみじみとしている,「あはれなり」は「あはれ」の形容動詞形。しみじみとした情趣を表す。源氏物語に頻出。平安貴族の美意識の中核概念。,あはれ|もののあわれ|源氏物語|美意識,平安時代,古文表現
かたはらいたし,かたわらいたし,そばにいて恥ずかしい,「かたはらいたし」は「そばにいて恥ずかしい」「見ていられない」の意。他人の失態を見て自分も恥ずかしい気持ち。現代語の「片腹痛い」とは異なる。,恥ずかしい|見ていられない|他人の失態|現代語と違う,平安時代,古文表現
心もとなし,こころもとなし,待ち遠しい・不安だ,「心もとなし」は「待ち遠しい」「不安だ」「はっきりしない」の意。心が落ち着かない様子。「おぼつかなし」と類義だが、より強い焦燥感。,待ち遠しい|不安|はっきりしない|焦燥感,平安時代,古文表現
あやし,あやし,不思議だ・粗末だ,「あやし」は「不思議だ」「粗末だ」「身分が低い」の意。多義的な語。「あやしの者」は身分の低い人。文脈で意味を判断する必要がある。,不思議|粗末|身分低い|多義語,平安時代,古文表現
