語句,発音（カタカナ）,和訳,語源等解説（日本語）,関連語（英語）と意味（日本語）,関連分野（日本語）,難易度
go along,ゴー アロング,（一緒に）行く、進む,句動詞（go + along）。'go' は「行く・起こる」、'along' は「一緒に/沿って」を示し、結びついて「（一緒に）行く、進む」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,go: 行く・起こる: （一緒に）行く; along: 一緒に: （一緒に）行く; 沿って: （一緒に）行く,テクノロジー,1
give up,ギブ アップ,諦める,句動詞（give + up）。'give' は「与える・渡す」、'up' は「上・完了・増加」を示し、結びついて「諦める」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,give: 与える・渡す: 諦める; up: 上・完了・増加: 諦める,社会・政治,1
give in,ギブ イン,折れる、提出する,句動詞（give + in）。'give' は「与える・渡す」、'in' は「中・内部・完了」を示し、結びついて「折れる、提出する」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,give: 与える・渡す: 折れる; in: 中・内部・完了: 折れる,その他,1
give out,ギブ アウト,配る、尽きる,句動詞（give + out）。'give' は「与える・渡す」、'out' は「外側・除去・完了」を示し、結びついて「配る、尽きる」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,give: 与える・渡す: 配る; out: 外側・除去・完了: 配る,学校・学習,1
give back,ギブ バック,返す,句動詞（give + back）。'give' は「与える・渡す」、'back' は「戻る・復帰」を示し、結びついて「返す」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,give: 与える・渡す: 返す; back: 戻る・復帰: 返す,学校・学習,1
give away,ギブ アウェイ,配る、（秘密を）漏らす,句動詞（give + away）。'give' は「与える・渡す」、'away' は「離れて・放棄」を示し、結びついて「配る、（秘密を）漏らす」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,give: 与える・渡す: 配る; away: 離れて・放棄: 配る,学校・学習,1
call up,コール アップ,電話をかける、召喚する,句動詞（call + up）。'call' は「呼ぶ・電話する」、'up' は「上・完了・増加」を示し、結びついて「電話をかける、召喚する」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,call: 呼ぶ・電話する: 電話をかける; up: 上・完了・増加: 電話をかける,学校・学習,1
call off,コール オフ,中止する,句動詞（call + off）。'call' は「呼ぶ・電話する」、'off' は「離脱・停止」を示し、結びついて「中止する」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,call: 呼ぶ・電話する: 中止する; off: 離脱・停止: 中止する,学校・学習,1
call back,コール バック,折り返し電話する,句動詞（call + back）。'call' は「呼ぶ・電話する」、'back' は「戻る・復帰」を示し、結びついて「折り返し電話する」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,call: 呼ぶ・電話する: 折り返し電話する; back: 戻る・復帰: 折り返し電話する,学校・学習,1
call for,コール フォー,要求する,句動詞（call + for）。'call' は「呼ぶ・電話する」、'for' は「〜のため・方向」を示し、結びついて「要求する」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,call: 呼ぶ・電話する: 要求する; for: 〜のため・方向: 要求する,学校・学習,1
call on,コール オン,訪問する、呼びかける,句動詞（call + on）。'call' は「呼ぶ・電話する」、'on' は「上・接触（装着や起動）」を示し、結びついて「訪問する、呼びかける」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,call: 呼ぶ・電話する: 訪問する; on: 上・接触（装着や起動）: 訪問する,学校・学習,1
look at,ルック アット,見る,句動詞（look + at）。'look' は「見る・調べる」、'at' は「〜で（場所/時間）」を示し、結びついて「見る」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,look: 見る・調べる: 見る; at: 〜で（場所: 見る; 時間）: 見る,食べ物・飲食,1
look for,ルック フォー,探す,句動詞（look + for）。'look' は「見る・調べる」、'for' は「〜のため・方向」を示し、結びついて「探す」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,look: 見る・調べる: 探す; for: 〜のため・方向: 探す,学校・学習,1
look after,ルック アフター,世話をする,句動詞（look + after）。'look' は「見る・調べる」、'after' は「after」を示し、結びついて「世話をする」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,look: 見る・調べる: 世話をする; after: （意味未設定）: 世話をする,学校・学習,1
look up,ルック アップ,調べる、見上げる,句動詞（look + up）。'look' は「見る・調べる」、'up' は「上・完了・増加」を示し、結びついて「調べる、見上げる」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,look: 見る・調べる: 調べる; up: 上・完了・増加: 調べる,学校・学習,1
look over,ルック オーバー,見る 越える/再び/終わる（直訳的: look+over）,句動詞（look + over）。'look' は「見る・調べる」、'over' は「上・越えて」を示し、結びついて「見る 越える/再び/終わる（直訳的: look+over）」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,look: 見る・調べる: 見る 越える/再び/終わる（直訳的: look+over）; over: 上・越えて: 見る 越える/再び/終わる（直訳的: look+over）,学校・学習,1
look into,ルック イントゥ,調査する,句動詞（look + into）。'look' は「見る・調べる」、'into' は「〜の中へ・変化」を示し、結びついて「調査する」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,look: 見る・調べる: 調査する; into: 〜の中へ・変化: 調査する,学校・学習,1
look out,ルック アウト,気をつける,句動詞（look + out）。'look' は「見る・調べる」、'out' は「外側・除去・完了」を示し、結びついて「気をつける」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,look: 見る・調べる: 気をつける; out: 外側・除去・完了: 気をつける,学校・学習,1
look back,ルック バック,振り返る,句動詞（look + back）。'look' は「見る・調べる」、'back' は「戻る・復帰」を示し、結びついて「振り返る」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,look: 見る・調べる: 振り返る; back: 戻る・復帰: 振り返る,学校・学習,1
look around,ルック アラウンド,見る around（直訳的: look+around）,句動詞（look + around）。'look' は「見る・調べる」、'around' は「周りに」を示し、結びついて「見る around（直訳的: look+around）」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,look: 見る・調べる: 見る around（直訳的: look+around）; around: 周りに: 見る around（直訳的: look+around）,学校・学習,1
take off,テイク オフ,脱ぐ、離陸する,句動詞（take + off）。'take' は「取る・持っていく・始める」、'off' は「離脱・停止」を示し、結びついて「脱ぐ、離陸する」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,take: 取る・持っていく・始める: 脱ぐ; off: 離脱・停止: 脱ぐ,学校・学習,1
take on,テイク オン,引き受ける,句動詞（take + on）。'take' は「取る・持っていく・始める」、'on' は「上・接触（装着や起動）」を示し、結びついて「引き受ける」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,take: 取る・持っていく・始める: 引き受ける; on: 上・接触（装着や起動）: 引き受ける,学校・学習,1
take out,テイク アウト,取り出す、連れ出す,句動詞（take + out）。'take' は「取る・持っていく・始める」、'out' は「外側・除去・完了」を示し、結びついて「取り出す、連れ出す」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,take: 取る・持っていく・始める: 取り出す; out: 外側・除去・完了: 取り出す,学校・学習,1
take up,テイク アップ,始める（趣味等）,句動詞（take + up）。'take' は「取る・持っていく・始める」、'up' は「上・完了・増加」を示し、結びついて「始める（趣味等）」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,take: 取る・持っていく・始める: 始める（趣味等）; up: 上・完了・増加: 始める（趣味等）,学校・学習,1
take over,テイク オーバー,引き継ぐ,句動詞（take + over）。'take' は「取る・持っていく・始める」、'over' は「上・越えて」を示し、結びついて「引き継ぐ」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,take: 取る・持っていく・始める: 引き継ぐ; over: 上・越えて: 引き継ぐ,学校・学習,1
take back,テイク バック,取る 戻る（直訳的: take+back）,句動詞（take + back）。'take' は「取る・持っていく・始める」、'back' は「戻る・復帰」を示し、結びついて「取る 戻る（直訳的: take+back）」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,take: 取る・持っていく・始める: 取る 戻る（直訳的: take+back）; back: 戻る・復帰: 取る 戻る（直訳的: take+back）,学校・学習,1
take in,テイク イン,取る 中/内部/完了（直訳的: take+in）,句動詞（take + in）。'take' は「取る・持っていく・始める」、'in' は「中・内部・完了」を示し、結びついて「取る 中/内部/完了（直訳的: take+in）」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,take: 取る・持っていく・始める: 取る 中/内部/完了（直訳的: take+in）; in: 中・内部・完了: 取る 中/内部/完了（直訳的: take+in）,学校・学習,1
check in,check イン,チェックインする,句動詞（check + in）。'check' は「確認する」、'in' は「中・内部・完了」を示し、結びついて「チェックインする」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,check: 確認する: チェックインする; in: 中・内部・完了: チェックインする,学校・学習,1
check out,check アウト,チェックアウトする、調べる,句動詞（check + out）。'check' は「確認する」、'out' は「外側・除去・完了」を示し、結びついて「チェックアウトする、調べる」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,check: 確認する: チェックアウトする; out: 外側・除去・完了: チェックアウトする,学校・学習,1
check over,check オーバー,確認する 越える/再び/終わる（直訳的: check+over）,句動詞（check + over）。'check' は「確認する」、'over' は「上・越えて」を示し、結びついて「確認する 越える/再び/終わる（直訳的: check+over）」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,check: 確認する: 確認する 越える/再び/終わる（直訳的: check+over）; over: 上・越えて: 確認する 越える/再び/終わる（直訳的: check+over）,学校・学習,1
check up on,check アップ オン,確認する 上/完了/増加（直訳的: check+up）,句動詞（check + up）。'check' は「確認する」、'up' は「上・完了・増加」を示し、結びついて「確認する 上/完了/増加（直訳的: check+up）」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,check: 確認する: 確認する 上/完了/増加（直訳的: check+up）; on: 上・接触（装着や起動）: 確認する 上/完了/増加（直訳的: check+up）,学校・学習,1
make up,メイク アップ,作り上げる、化粧する、仲直りする,句動詞（make + up）。'make' は「作る・行う」、'up' は「上・完了・増加」を示し、結びついて「作り上げる、化粧する、仲直りする」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,make: 作る・行う: 作り上げる; up: 上・完了・増加: 作り上げる,学校・学習,1
make out,メイク アウト,理解する、うまくやる,句動詞（make + out）。'make' は「作る・行う」、'out' は「外側・除去・完了」を示し、結びついて「理解する、うまくやる」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,make: 作る・行う: 理解する; out: 外側・除去・完了: 理解する,学校・学習,1
make for,メイク フォー,〜に向かう、助ける,句動詞（make + for）。'make' は「作る・行う」、'for' は「〜のため・方向」を示し、結びついて「〜に向かう、助ける」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,make: 作る・行う: 〜に向かう; for: 〜のため・方向: 〜に向かう,学校・学習,1
make over,メイク オーバー,作る 越える/再び/終わる（直訳的: make+over）,句動詞（make + over）。'make' は「作る・行う」、'over' は「上・越えて」を示し、結びついて「作る 越える/再び/終わる（直訳的: make+over）」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,make: 作る・行う: 作る 越える/再び/終わる（直訳的: make+over）; over: 上・越えて: 作る 越える/再び/終わる（直訳的: make+over）,学校・学習,1
make into,メイク イントゥ,作る 中へ（直訳的: make+into）,句動詞（make + into）。'make' は「作る・行う」、'into' は「〜の中へ・変化」を示し、結びついて「作る 中へ（直訳的: make+into）」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,make: 作る・行う: 作る 中へ（直訳的: make+into）; into: 〜の中へ・変化: 作る 中へ（直訳的: make+into）,学校・学習,1
turn on,ターン オン,（電気等を）つける,句動詞（turn + on）。'turn' は「回す・変える・（スイッチを）つける」、'on' は「上・接触（装着や起動）」を示し、結びついて「（電気等を）つける」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,turn: 回す・変える・（スイッチを）つける: （電気等を）つける; on: 上・接触（装着や起動）: （電気等を）つける,学校・学習,1
turn off,ターン オフ,（電気等を）消す,句動詞（turn + off）。'turn' は「回す・変える・（スイッチを）つける」、'off' は「離脱・停止」を示し、結びついて「（電気等を）消す」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,turn: 回す・変える・（スイッチを）つける: （電気等を）消す; off: 離脱・停止: （電気等を）消す,学校・学習,1
turn up,ターン アップ,音量を上げる、現れる,句動詞（turn + up）。'turn' は「回す・変える・（スイッチを）つける」、'up' は「上・完了・増加」を示し、結びついて「音量を上げる、現れる」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,turn: 回す・変える・（スイッチを）つける: 音量を上げる; up: 上・完了・増加: 音量を上げる,学校・学習,1
turn down,ターン ダウン,断る、下げる,句動詞（turn + down）。'turn' は「回す・変える・（スイッチを）つける」、'down' は「下・減少・故障」を示し、結びついて「断る、下げる」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,turn: 回す・変える・（スイッチを）つける: 断る; down: 下・減少・故障: 断る,学校・学習,1
turn in,ターン イン,提出する、寝る,句動詞（turn + in）。'turn' は「回す・変える・（スイッチを）つける」、'in' は「中・内部・完了」を示し、結びついて「提出する、寝る」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,turn: 回す・変える・（スイッチを）つける: 提出する; in: 中・内部・完了: 提出する,学校・学習,1
turn out,ターン アウト,判明する、生産する,句動詞（turn + out）。'turn' は「回す・変える・（スイッチを）つける」、'out' は「外側・除去・完了」を示し、結びついて「判明する、生産する」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,turn: 回す・変える・（スイッチを）つける: 判明する; out: 外側・除去・完了: 判明する,学校・学習,1
turn over,ターン オーバー,回す/つける 越える/再び/終わる（直訳的: turn+over）,句動詞（turn + over）。'turn' は「回す・変える・（スイッチを）つける」、'over' は「上・越えて」を示し、結びついて「回す/つける 越える/再び/終わる（直訳的: turn+over）」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,turn: 回す・変える・（スイッチを）つける: 回す/つける 越える/再び/終わる（直訳的: turn+over）; over: 上・越えて: 回す/つける 越える/再び/終わる（直訳的: turn+over）,学校・学習,1
turn back,ターン バック,回す/つける 戻る（直訳的: turn+back）,句動詞（turn + back）。'turn' は「回す・変える・（スイッチを）つける」、'back' は「戻る・復帰」を示し、結びついて「回す/つける 戻る（直訳的: turn+back）」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,turn: 回す・変える・（スイッチを）つける: 回す/つける 戻る（直訳的: turn+back）; back: 戻る・復帰: 回す/つける 戻る（直訳的: turn+back）,学校・学習,1
find out,ファインド アウト,突き止める,句動詞（find + out）。'find' は「find」、'out' は「外側・除去・完了」を示し、結びついて「突き止める」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,find: （意味未設定）: 突き止める; out: 外側・除去・完了: 突き止める,学校・学習,1
find out about,ファインド アウト about,find 外/除去/完了（直訳的: find+out）,句動詞（find + out）。'find' は「find」、'out' は「外側・除去・完了」を示し、結びついて「find 外/除去/完了（直訳的: find+out）」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,find: （意味未設定）: find 外/除去/完了（直訳的: find+out）; about: 〜について: find 外/除去/完了（直訳的: find+out）,学校・学習,1
come in,カム イン,入る,句動詞（come + in）。'come' は「来る・発生する」、'in' は「中・内部・完了」を示し、結びついて「入る」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,come: 来る・発生する: 入る; in: 中・内部・完了: 入る,学校・学習,1
come out,カム アウト,出る、公表される,句動詞（come + out）。'come' は「来る・発生する」、'out' は「外側・除去・完了」を示し、結びついて「出る、公表される」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,come: 来る・発生する: 出る; out: 外側・除去・完了: 出る,学校・学習,1
come back,カム バック,戻る,句動詞（come + back）。'come' は「来る・発生する」、'back' は「戻る・復帰」を示し、結びついて「戻る」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,come: 来る・発生する: 戻る; back: 戻る・復帰: 戻る,学校・学習,1
come across,カム across,偶然出会う、見つける,句動詞（come + across）。'come' は「来る・発生する」、'across' は「横切って」を示し、結びついて「偶然出会う、見つける」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,come: 来る・発生する: 偶然出会う; across: 横切って: 偶然出会う,学校・学習,1
come along,カム アロング,来る along（直訳的: come+along）,句動詞（come + along）。'come' は「来る・発生する」、'along' は「一緒に/沿って」を示し、結びついて「来る along（直訳的: come+along）」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,come: 来る・発生する: 来る along（直訳的: come+along）; along: 一緒に: 来る along（直訳的: come+along）; 沿って: 来る along（直訳的: come+along）,学校・学習,1
come over,カム オーバー,来る 越える/再び/終わる（直訳的: come+over）,句動詞（come + over）。'come' は「来る・発生する」、'over' は「上・越えて」を示し、結びついて「来る 越える/再び/終わる（直訳的: come+over）」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,come: 来る・発生する: 来る 越える/再び/終わる（直訳的: come+over）; over: 上・越えて: 来る 越える/再び/終わる（直訳的: come+over）,学校・学習,1
come up,カム アップ,持ち上がる、起こる,句動詞（come + up）。'come' は「来る・発生する」、'up' は「上・完了・増加」を示し、結びついて「持ち上がる、起こる」という意味で使われるようになった。よく文脈で意味が変わるので、例文とともに覚えましょう。,come: 来る・発生する: 持ち上がる; up: 上・完了・増加: 持ち上がる,学校・学習,1
