西暦（和暦）年,史実,経緯,解説や覚え方や語呂合わせ,関連史実,関連分野,難易度
1600,関ヶ原の戦い,天下分け目の戦いで徳川家康が優位に立つ,江戸幕府成立への最終段階として覚える,江戸幕府成立(1603),その他,3
1603 (慶長8年),江戸幕府成立,徳川家康が征夷大将軍となり幕藩体制が始まる,八代将軍までの体制、参勤交代・幕藩体制を合わせて学ぶ,参勤交代・鎖国,その他,3
1637,島原・天草の乱,重税やキリスト教弾圧に対する一揆が大規模化,幕府の統治手法やキリスト教禁止の実態を学ぶ,鎖国とキリスト教弾圧,その他,3
1639,鎖国（鎖国政策の確立）,海外との交流が厳しく制限され長期の平和が保たれる,鎖国の背景（幕府の統制）と影響を押さえる,鎖国諸制度,その他,3
1688-1704 (元禄期),元禄文化の栄華,町人文化（浮世絵・歌舞伎・俳句）が発展,元禄文化を代表する作品や都市文化を覚える,町人文化・経済の発展,文化,2
1707,宝永の大噴火（富士山噴火）,富士山の噴火が社会に影響を与えた自然災害の事例,自然災害と社会の対応を学ぶ,地震・火山災害の歴史,地理,2
1853,ペリー来航,黒船来航で開国を迫られる,幕末政治の動揺の始まりとして重要。1853＝黒船をセットで暗記,開国・不平等条約,その他,3
1854,日米和親条約,幕府が開国に向けて動くきっかけの条約,和親条約とその後の通商条約の流れを理解,日米修好通商条約(1858),その他,3
1858,日米修好通商条約,不平等条約により開国後の経済的不利が生じる,条約の内容と国内反発（尊王攘夷運動）を結びつける,尊王攘夷・幕末動乱,その他,3
1868,明治維新,江戸幕府が倒れ近代国家づくりが始まる,主要な改革（廃藩置県・地租改正など）を時系列で抑える,廃藩置県・富国強兵,その他,3
1871,廃藩置県,藩が廃止され中央政府が直轄する県を設置,近代国家の行政基盤を理解,徴兵制・地租改正,その他,3
1873,徴兵令の公布,近代国軍の基礎として徴兵制が導入される,国民国家と国防の関係を押さえる,富国強兵,その他,3
1873-1879,琉球処分と沖縄県設置,琉球王国が日本に編入される過程,近代国民国家の領土統一を理解,領土問題・薩摩藩の影響,その他,3
1871-73,岩倉使節団（岩倉使節）派遣,先進国視察で近代化政策の参考にするため欧米へ派遣,明治政府の近代化路線を実務面で支えた事例,殖産興業・制度導入,その他,3
1889,大日本帝国憲法の制定,近代国家の憲法を制定し立憲政治が始まる,天皇制と議会制の関係を理解する際の基礎,政党政治・憲政,その他,3
1894-1895,日清戦争と下関条約,朝鮮の支配権を巡る戦いで勝利し台湾を獲得,帝国主義時代の日本の拡張を把握,日露戦争・朝鮮半島政策,その他,3
1904-1905,日露戦争とポーツマス条約,列強との戦争で勝利し国際的地位が上昇,国際社会の中での日本の立場を学ぶ,朝鮮・満州問題,その他,3
1910,韓国併合,日本が朝鮮半島を直接支配,帝国主義政策と植民地支配の問題を学ぶ,朝鮮半島政策,その他,3
1918,米騒動,米価高騰により民衆の反発が全国に拡大,大正デモクラシーや社会運動の流れを把握,大正デモクラシー,その他,2
1923,関東大震災,首都圏を襲った大災害で社会混乱と復興が重要なテーマ,都市復興政策や人々の生活変化を学ぶ,震災復興・社会変動,地理,2
1925,普通選挙法（男性）・治安維持法強化,選挙制度の拡大と政治統制が同時に進行,民主主義の拡大と弾圧の両面を評価,大正〜昭和初期の政治,その他,3
1931,満州事変（柳条湖事件）,軍部が主体となり中国東北部へ進出,軍部主導の外交と国際連盟脱退へつながる,国際秩序の変化,その他,3
1937,日中戦争（盧溝橋事件から全面化）,日本と中国の全面戦争に発展,戦時体制・国民動員と戦争の影響を学ぶ,太平洋戦争へ,その他,3
1941,太平洋戦争開戦（真珠湾攻撃）,アジア太平洋での戦線拡大の起点,戦争の拡大と国内動員を理解する重要事件,対米戦・国内動員,その他,3
1945,第二次世界大戦終結,日本の敗戦と占領期の開始（原爆・降伏）,戦後の政治体制と復興を学ぶ,日本国憲法・占領政策,その他,3
1947,日本国憲法施行,民主主義・基本的人権・平和主義を明記した憲法が施行,戦後改革の核心事項として理解,教育改革・裁判制度刷新,その他,3
1947-49,農地改革,GHQの指導で小作制度を廃止し自作農を増やす政策,戦後経済基盤の安定と農村社会の変化を学ぶ,財閥解体・労働改革,その他,3
1952,主権回復（サンフランシスコ講和条約の発効）,日本が国際社会へ復帰,講和条約の位置づけと冷戦下の国際情勢を学ぶ,安全保障・日米関係,その他,3
1964,東京オリンピック開催,日本の高度経済成長の象徴,復興と国際的地位の回復を象徴する出来事として覚える,高度経済成長,その他,2
1972,沖縄返還,琉球・沖縄の施政権が日本に戻る,戦後処理と外交の変化を学ぶ,日米地位協定・基地問題,その他,2
1995,阪神・淡路大震災,都市直下型地震の大被害と復興の課題,防災・減災対策の重要性を学ぶ,災害対応の変化,地理,2
2011,東日本大震災と原発事故,大規模地震と津波、原子力災害が重なった事例,防災・復興・エネルギー政策の課題を学ぶ,原子力問題・防災,地理,3
幕末 (1850年代),尊王攘夷運動の高まり,開国による思想対立が国内で激化,倒幕運動や維新の流れを理解するキーワードとして,坂本龍馬・薩長同盟,その他,3
江戸時代 (1603-1868),参勤交代・身分制度の安定,江戸幕府の支配構造が地方支配を安定化,長期平和（江戸の平和）と都市文化の発展を学ぶ,商品経済の発達・城下町,その他,2
弥生時代 (紀元前~3世紀頃),稲作・土器・金属器の普及,朝鮮半島経由の稲作伝播で社会構造が大きく変化,稲作→定住→階級形成の流れを押さえる,弥生農耕・渡来人の影響,その他,2
7世紀頃 (遣唐使の開始),遣唐使の派遣,中国大陸との活発な交流で制度や文化を学ぶ,遣唐使を通じた仏教・制度の流入をセットで覚える,律令制・国際交流,文化,2
11世紀頃,藤原道長の全盛,摂関家の権力が極まる貴族政治の典型,『この世をば〜』で道長の栄華を象徴する文化状況を覚える,摂関政治・院政,その他,2
1232,御成敗式目（貞永式目）制定,北条氏の執権体制下で武家の法が整えられる,鎌倉法の代表例として成立年と目的を押さえる,鎌倉幕府の制度,その他,3
1549,フランシスコ・ザビエルの来日,キリスト教伝来と南蛮交易の始まり,南蛮文化（鉄砲・キリスト教・南蛮貿易）をセットで覚える,鉄砲伝来・キリシタン大名,その他,2
1570,長篠の戦い,織田・徳川連合が武田勝頼を破る,鉄砲の効果を示した戦いとして年と名称を覚える,甲冑兵器の変化・武田氏衰退,その他,3
1571,比叡山焼き討ち,織田信長が比叡山延暦寺を焼き討ち,戦国の宗教勢力抑圧の事例として記憶,一向一揆・寺社勢力,その他,3
1560,桶狭間の戦い,今川義元が織田信長に討たれる,奇襲の成功例として年を覚える,織田信長台頭,その他,3
1587,天草・島原の異変前の動き,キリシタン大名の勢力など,日本のキリスト教史の背景,キリシタン弾圧・南蛮貿易,その他,3
1592-1598,文禄・慶長の役（朝鮮出兵）,豊臣秀吉の朝鮮出兵が東アジアに与えた影響,朝鮮出兵の目的と結果を対比する,国内諸政策と外征,その他,3
1605,武家諸法度の整備,江戸幕府が武家統制法を整備,幕府の統治ルールとして理解する,幕藩体制,その他,3
1615,大坂夏の陣,豊臣氏の滅亡と江戸幕府の全国支配確立,城攻防と政治決着の例,豊臣家滅亡,その他,3
1629,島原の乱の前史,領内の経済圧迫と宗教対立,一揆の原因と幕府の対応を整理,島原・天草の乱,その他,3
1651,徳川家光の治世と参勤交代の制度化,参勤交代の意義と社会経済的影響を理解,,参勤交代・藩財政,その他,3
1685,元禄文化の文学・演劇の広がり,松尾芭蕉や近松門左衛門の作品の位置づけ,,俳句・浄瑠璃の概要,文化,2
1700s,農村の改良と年貢体系,農村経済の変化と都市への流通,米価と藩の財政を結びつけて学ぶ,商品経済の発展,その他,2
1789,フランス革命の影響（世界史と日本）,ヨーロッパの変革が日本の思想に与えた間接影響,,国際情勢と開国前の知識受容,その他,3
1804-1829,幕末の思想潮流（陽明学・国学など）,尊王論や国学の高まりが政治運動に影響,思想史の流れと尊王攘夷につなげる,尊王攘夷,その他,3
1837,大塩平八郎の乱,大阪での一揆的蜂起の事例,都市部における社会不満の一例として理解,幕末社会の動揺,その他,3
1859,江戸の開港と外国人居留地,横浜などの開港と町の変化,国際貿易と都市化の関連,開国の社会影響,その他,3
1860,桜田門外の変,井伊直弼の暗殺で政局が動く,安政の大獄と反発の関係を押さえる,安政の改革,その他,3
1863,薩英戦争（生麦事件後の衝突）,長州や薩摩の外交と軍事行動の例,,諸藩の国際関係への関与,その他,3
1864,池田屋事件と禁門の変,尊王攘夷派と幕府の衝突が激化,倒幕への道筋を理解,幕末の内戦,その他,3
1866,薩長同盟の成立,倒幕を進める主導的同盟の成立,同盟の重要性と明治維新への影響,坂本龍馬,その他,3
1869,版籍奉還の動き（諸藩の政治的変化）,明治初期の藩主帰属と新政府の統制,,廃藩置県への過程,その他,3
1874,佐賀の乱,佐賀藩士の不満による反乱と政府の鎮圧,近代国家の暴力独占の確立を学ぶ,政府の統制力,その他,3
1877,西南戦争（再掲補足）,士族反乱の最終章,明治政府の力が全国的に行き渡る様子を理解,士族の処遇,その他,3
1881,民選議員設立の建白運動,国民政治参加の動きとして評価,自由民権運動との関連,政党政治の胎動,その他,3
1885,内閣制度の事実上の開始,初代内閣の成立と内閣制度導入の意義,,近代政治制度の形成,その他,3
1890,帝国議会の開設,国会開設で立憲政治が始まる,議会制度と選挙の意義を理解,普通選挙法までの流れ,その他,3
1897,金本位制導入,近代経済制の整備と通貨制度の国際化,経済史の視点で理解する,財政・通商政策,その他,3
1900,義和団事件と列強の対応,国際秩序の不安定な時期における列強の動き,日本の外交の立場を考える,列強の勢力と日本の対応,その他,3
1906,第一次世界大戦前後の対外政策,国際情勢変化と日本の外交拡張,,戦後処理と対外関係,その他,3
1912,大正天皇即位（大正時代開始）,大正期の特色（大正デモクラシー）を押さえる,,時代区分と民主主義運動,その他,2
1914,第一次世界大戦と日本の対応,日本は戦争特需で経済発展を経験,世界史との連携で覚える,戦後国際関係,その他,3
1919,国際連盟参加と国際協調,日本の国際的役割の変化を説明,,国際連盟の限界と日本の動き,その他,3
1921,ワシントン会議,日本の外交と軍備縮小の流れ,条約体制が東アジアに与えた影響を学ぶ,海軍軍縮と対米関係,その他,3
1927,昭和金融恐慌,日本経済の脆弱性と政府対応を学ぶ,,金融危機の国内影響,その他,3
1932,犬養毅暗殺（五・一五事件）,政党政治の衰退と軍部の台頭,政変から軍部台頭への流れを押さえる,軍国主義の進展,その他,3
1936,二・二六事件,青年将校のクーデター未遂で政治が混迷,国内政治の軍部影響を学ぶ,軍部の政治介入,その他,3
1940,国家総動員法の制定,戦時体制の法的整備で国民生活が統制される,戦時統制の具体例として理解,戦争体制,その他,3
1944,沖縄戦（本島戦闘）,太平洋戦争末期の激戦と民間被害,戦争の悲惨さと地域被害を学ぶ,戦後復興・米軍統治,地理,3
1948,農地改革の実施完了,農地分配により農村社会構造が変化,自作農化と農村経済の再編,財閥解体とセットで理解,その他,3
1950,朝鮮戦争の勃発と日本経済への影響,戦争特需が日本経済を支えた面を学ぶ,,高度成長の外的要因,その他,3
1954,自衛隊発足,防衛組織の整備と安全保障政策の開始,日本の安全保障体制の基礎,日米安保との関連,その他,3
1956,国連加盟（再掲補足）,国際復帰の意義を深掘り,国際社会での役割強化を押さえる,主権回復,その他,3
1960,安保改定と国民運動（補足）,政治参加と市民運動の流れを具体化,,60年安保の結果とその後,その他,3
1965,沖縄返還交渉の合意過程,返還交渉の外交的背景を学ぶ,,沖縄返還,その他,3
1968,学園闘争の一時的高まり,学生運動の背景と社会的影響,,60年代の世界的運動と比較,その他,3
1970,大阪万博（1970）,高度経済成長の象徴的イベントとして社会変化を示す,,産業展示と国際交流の場,文化,2
1974,地方自治体の再編と制度改革,自治体運営と財政の見直し,,地方分権の議論へ,その他,2
1985,プラザ合意と円高,国際為替協調が日本経済に影響,バブル期への一因として理解,経済政策の転換,その他,3
1990,平成元年（バブル期最盛期）,経済史の転換点として年を押さえる,,バブル経済の特徴を整理,その他,3
1997,橋本不況と金融危機,日本の金融政策と景気後退を学ぶ,,金融機関の再編と政策対応,その他,3
2001,小泉政権の改革路線,構造改革と郵政民営化などの主要政策,改革の目的と結果を比較検討,改革と反発,その他,3
2010,地方創生の議論の開始,人口減少対策と地域活性化の政策論点,地方政策の実務課題を押さえる,地方自治の強化,その他,2
2016,熊本地震,震災と復興の課題を地域事例で学ぶ,,災害対応と復興政策,地理,2
2018,働き方改革関連法の成立,労働慣行の見直しと社会制度の変化,,労働政策の変化を社会史的観点で,その他,2
2020,新型コロナウイルスの流行,日本社会と経済に与えた影響を学ぶ,,パンデミックと対策・経済支援,その他,3
2020s,デジタル改革推進,行政のデジタル化と社会変化の観点で理解,,政策と社会実装の課題,その他,2
