語句,読み,意味,語源等解説,関連語,関連分野,難易度
old habits die hard,オールド ハビッツ ダイ ハード,古い習慣は直らない,old(古い)habits(習慣)はhard(なかなか)die(死なない)。長年の癖は変えにくい。,"difficult to change(ディフィカルト トゥ チェンジ): 変えるのが難しい, ingrained behavior(イングレインド ビヘイビア): 染み付いた行動",人・社会,上級
on a shoestring,オン ア シューストリング,わずかな予算で,shoestring(靴ひも)の上で。非常に少ない資金で。,"with little money(ウィズ リトル マニー): わずかなお金で, on tight budget(オン タイト バジェット): 厳しい予算で",日常生活,上級
on pins and needles,オン ピンズ アンド ニードルズ,はらはらして,pins(ピン)とneedles(針)の上に。非常に緊張している状態。,"very nervous(ベリ ナーバス): とても緊張して, anxious(アングシャス): 不安な",人・社会,上級
on tenterhooks,オン テンターフックス,気をもんで,tenterhooks(布の張り枠の鉤)の上に。焦って結果を待つこと。,"in suspense(イン サスペンス): 気をもんで, nervously waiting(ナーバスリ ウェイティング): 神経質に待って",人・社会,上級
on the ball,オン ザ ボール,機敏な,ball(ボール)の上に。注意深く素早く対応できる状態。,"alert(アラート): 機敏な, quick to respond(クイック トゥ リスポンド): 素早く反応する",人・社会,上級
on the fence,オン ザ フェンス,どっちつかず,fence(塀)の上に。決断できずにいること。,"undecided(アンディサイディッド): 未決定の, neutral(ニュートラル): 中立の",人・社会,上級
on the same wavelength,オン ザ セイム ウェイブレングス,気が合う,同じwavelength(波長)の上に。考え方が一致していること。,"in agreement(イン アグリーメント): 同意して, understanding each other(アンダースタンディング イーチ アザー): お互いを理解して",人・社会,上級
on the spur of the moment,オン ザ スパー オブ ザ モーメント,突然の思いつきで,moment(瞬間)のspur(拍車)で。計画なく即座に行動すること。,"impulsively(インパルシブリ): 衝動的に, without planning(ウィザウト プラニング): 計画なしに",時間・数量,上級
once bitten twice shy,ワンス ビトゥン トワイス シャイ,一度失敗したら用心深くなる,一度bitten(噛まれたら)二度shy(臆病になる)。失敗から学ぶという意味。,"learn from mistakes(ラーン フロム ミステイクス): 失敗から学ぶ, become cautious(ビカム コーシャス): 用心深くなる",人・社会,上級
one man's trash is another man's treasure,ワン マンズ トラッシュ イズ アナザー マンズ トレジャー,人の価値観は様々,ある人のtrash(ゴミ)は別の人のtreasure(宝)。価値観は人それぞれという意味。,"different values(ディファレント バリューズ): 異なる価値観, subjective worth(サブジェクティブ ワース): 主観的な価値",人・社会,上級
open Pandora's box,オープン パンドラズ ボックス,災いの種をまく,Pandora's box(パンドラの箱)をopen(開ける)。収拾困難な問題を引き起こすこと。,"cause trouble(コーズ トラブル): 問題を起こす, unleash problems(アンリーシュ プロブレムズ): 問題を解き放つ",人・社会,上級
out of sight out of mind,アウト オブ サイト アウト オブ マインド,去る者日々に疎し,sight(視界)から出ればmind(心)から出る。会わなくなると忘れること。,"forgotten when absent(フォーゴトゥン ウェン アブセント): 不在時に忘れられる, distance reduces interest(ディスタンス リデューシズ インタレスト): 距離が興味を減らす",人・社会,上級
paint the town red,ペイント ザ タウン レッド,派手に遊ぶ,town(町)をred(赤く)paint(塗る)。盛大に楽しむこと。,"celebrate wildly(セレブレイト ワイルドリ): 激しく祝う, have wild fun(ハブ ワイルド ファン): 派手に楽しむ",運動・娯楽,上級
par for the course,パー フォー ザ コース,予想通り,course(コース)のpar(基準打数)。予期された結果という意味。,"expected(エクスペクティッド): 予想された, typical(ティピカル): 典型的な",人・社会,上級
pass the buck,パス ザ バック,責任転嫁する,buck(責任の印)をpass(渡す)。責任を他人に押し付けること。,"shift blame(シフト ブレイム): 責任を転嫁する, avoid responsibility(アボイド リスポンシビリティ): 責任を避ける",人・社会,上級
pay through the nose,ペイ スルー ザ ノーズ,法外な金を払う,nose(鼻)をthrough(通して)pay(払う)。非常に高い代価を払うこと。,"pay too much(ペイ トゥー マッチ): 払いすぎる, overcharged(オーバーチャージド): 過剰請求された",日常生活,上級
pick someone's brain,ピック サムワンズ ブレイン,知恵を借りる,誰かのbrain(頭脳)をpick(つつく)。専門知識を求めて質問すること。,"seek advice(シーク アドバイス): 助言を求める, ask for expertise(アスク フォー エクスパタイズ): 専門知識を求める",学校・学習,上級
play devil's advocate,プレイ デビルズ アドボケイト,わざと反対意見を言う,devil's advocate(悪魔の弁護人)をplay(演じる)。議論のために反対意見を述べること。,"argue opposite view(アーギュー オポジット ビュー): 反対の見方を主張する, challenge ideas(チャレンジ アイディアズ): 考えに異議を唱える",人・社会,上級
play second fiddle,プレイ セカンド フィドル,二番手に甘んじる,second(二番目の)fiddle(バイオリン)をplay(弾く)。補佐役に回ること。,"be subordinate(ビー サボーディネイト): 従属的である, take secondary role(テイク セカンダリ ロール): 二次的役割を取る",人・社会,上級
plenty of fish in the sea,プレンティ オブ フィッシュ イン ザ シー,他にもいる,sea(海)にfish(魚)はplenty(たくさん)いる。恋人は他にもいるという慰めの言葉。,"other opportunities(アザー オポチュニティーズ): 他の機会, alternatives available(オルターナティブズ アベイラブル): 代替案がある",人・社会,上級
point of no return,ポイント オブ ノー リターン,後戻りできない地点,no return(戻りなし)のpoint(地点)。引き返せない段階。,"irreversible stage(イリバーシブル ステージ): 不可逆的段階, can't go back(キャント ゴー バック): 戻れない",時間・数量,上級
practice makes perfect,プラクティス メイクス パーフェクト,習うより慣れろ,practice(練習)がperfect(完璧)をmakes(作る)。反復練習で上達すること。,"repetition improves skill(レペティション インプルーブズ スキル): 反復が技能を向上させる, training essential(トレーニング エッセンシャル): 訓練が不可欠",学校・学習,上級
preaching to the choir,プリーチング トゥ ザ クワイア,釈迦に説法,choir(聖歌隊)にpreaching(説教する)。すでに知っている人に教えること。,"telling someone who already knows(テリング サムワン フー オールレディ ノウズ): すでに知っている人に言う, unnecessary explanation(アンネセサリー エクスプラネイション): 不要な説明",言語基本,上級
pull out all the stops,プル アウト オール ザ ストップス,全力を尽くす,全てのstops(ストッパー)をpull out(引き出す)。最大限の努力をすること。,"make maximum effort(メイク マキシマム エフォート): 最大限の努力をする, use all resources(ユーズ オール リソーシズ): 全資源を使う",人・社会,上級
put the cart before the horse,プット ザ カート ビフォー ザ ホース,本末転倒,horse(馬)の前にcart(荷車)をput(置く)。順序が逆であること。,"reverse order(リバース オーダー): 順序を逆にする, wrong priority(ローング プライオリティ): 誤った優先順位",人・社会,上級
put two and two together,プット トゥー アンド トゥー トゥギャザー,事実から推測する,2と2をtogether(一緒に)put(置く)。情報から結論を導くこと。,"deduce(ディデュース): 推論する, figure out(フィギュア アウト): 理解する",学校・学習,上級
raining cats and dogs,レイニング キャッツ アンド ドッグズ,土砂降り,cats(猫)とdogs(犬)がraining(降っている)。激しい雨の比喩。,"heavy rain(ヘビー レイン): 大雨, pouring(ポーリング): 土砂降り",自然・環境,上級
read the room,リード ザ ルーム,空気を読む,room(部屋)をread(読む)。状況や雰囲気を察すること。,"sense atmosphere(センス アトモスフィア): 雰囲気を察する, understand situation(アンダースタンド シチュエイション): 状況を理解する",人・社会,上級
red tape,レッド テープ,お役所仕事,red(赤い)tape(テープ)。過度な官僚的手続き。,"bureaucracy(ビュロクラシー): 官僚主義, excessive paperwork(エクセッシブ ペーパーワーク): 過度な書類仕事",人・社会,上級
reinvent the wheel,リインベント ザ ウィール,無駄な努力をする,wheel(車輪)をreinvent(再発明する)。すでにあるものを作り直すこと。,"waste effort(ウェイスト エフォート): 努力を無駄にする, duplicate work(デュプリケイト ワーク): 仕事を重複させる",人・社会,上級
right off the bat,ライト オフ ザ バット,即座に,bat(バット)から離れてright(すぐに)。野球のバットから球が飛ぶように素早く。,"immediately(イミーディアトリ): 即座に, right away(ライト アウェイ): すぐに",時間・数量,上級
rob Peter to pay Paul,ロブ ピーター トゥ ペイ ポール,一方から奪って他方に与える,Paulに払うためにPeterからrob(奪う)。借金で借金を返すこと。,"solve one problem by creating another(ソルブ ワン プロブレム バイ クリエイティング アナザー): 別の問題を作って一つを解決する, temporary solution(テンポラリ ソリューション): 一時的解決",人・社会,上級
Rome wasn't built in a day,ローマ ワズント ビルト イン ア デイ,ローマは一日にして成らず,Rome(ローマ)は一日でbuilt(建てられなかった)。大事業には時間がかかること。,"takes time(テイクス タイム): 時間がかかる, gradual progress(グラジュアル プログレス): 段階的な進歩",時間・数量,上級
rule of thumb,ルール オブ サム,経験則,thumb(親指)のrule(規則)。実践的な指針。,"practical guideline(プラクティカル ガイドライン): 実践的指針, general principle(ジェネラル プリンシプル): 一般原則",人・社会,上級
run of the mill,ラン オブ ザ ミル,ありふれた,mill(工場)のrun(稼働)。標準的で特別でないこと。,"ordinary(オーディナリー): 普通の, average(アベレージ): 平均的な",人・社会,上級
save for a rainy day,セイブ フォー ア レイニー デイ,万一に備える,rainy day(雨の日)のためにsave(蓄える)。将来の困難に備えること。,"prepare for future(プリペア フォー フューチャー): 将来に備える, set aside savings(セット アサイド セイビングズ): 貯蓄を取っておく",日常生活,上級
scrape the bottom of the barrel,スクレイプ ザ ボトム オブ ザ バレル,最後の手段を取る,barrel(樽)のbottom(底)をscrape(こする)。残っている最悪の選択肢を取ること。,"use worst option(ユーズ ワースト オプション): 最悪の選択肢を使う, desperate measure(デスパレット メジャー): 必死の手段",人・社会,上級
sell like hotcakes,セル ライク ホットケイクス,飛ぶように売れる,hotcakes(ホットケーキ)のようにsell(売れる)。非常によく売れること。,"very popular(ベリ ポピュラー): とても人気がある, high demand(ハイ ディマンド): 高需要",日常生活,上級
separate the wheat from the chaff,セパレイト ザ ウィート フロム ザ チャフ,良い物と悪い物を区別する,chaff(もみ殻)からwheat(小麦)をseparate(分ける)。価値あるものを選別すること。,"distinguish good from bad(ディスティングウィッシュ グッド フロム バッド): 良い物と悪い物を区別する, sort quality(ソート クォリティ): 品質を選別する",人・社会,上級
shot in the dark,ショット イン ザ ダーク,当てずっぽう,dark(暗闇)でのshot(射撃)。根拠のない推測。,"wild guess(ワイルド ゲス): でたらめな推測, random attempt(ランダム アテンプト): 無作為な試み",人・社会,上級
silver bullet,シルバー ブレット,特効薬,silver(銀の)bullet(弾丸)。問題を一気に解決する方法。,"perfect solution(パーフェクト ソリューション): 完璧な解決策, magic fix(マジック フィックス): 魔法の解決法",人・社会,上級
sleep on it,スリープ オン イット,一晩考える,それの上でsleep(眠る)。決断前に時間を置くこと。,"think overnight(シンク オーバーナイト): 一晩考える, delay decision(ディレイ ディシジョン): 決定を遅らせる",時間・数量,上級
slip through the cracks,スリップ スルー ザ クラックス,見落とされる,cracks(割れ目)をthrough(通って)slip(滑る)。注意されずに見過ごされること。,"be overlooked(ビー オーバールックト): 見落とされる, go unnoticed(ゴー アンノーティスト): 気づかれない",人・社会,上級
slow and steady wins the race,スロー アンド ステディ ウィンズ ザ レース,急がば回れ,slow(遅く)かつsteady(着実)にrace(レース)にwins(勝つ)。着実な努力が成功を導く。,"patience pays off(ペイシェンス ペイズ オフ): 忍耐が報われる, consistent effort succeeds(コンシステント エフォート サクシーズ): 一貫した努力が成功する",時間・数量,上級
smell a rat,スメル ア ラット,怪しいと思う,rat(ネズミ)をsmell(嗅ぐ)。何か不正があると感じること。,"suspect something wrong(サスペクト サムシング ローング): 何かおかしいと疑う, sense deception(センス ディセプション): 欺瞞を感じる",人・社会,上級
smooth sailing,スムース セイリング,順風満帆,smooth(滑らかな)sailing(航海)。物事が順調に進むこと。,"easy progress(イージー プログレス): 順調な進行, no difficulties(ノー ディフィカルティーズ): 困難なし",人・社会,上級
snake oil,スネイク オイル,インチキ商品,snake(蛇)のoil(油)。効果のない偽物の薬。,"fake product(フェイク プロダクト): 偽物の製品, fraudulent(フロージュレント): 詐欺的な",人・社会,上級
snowball effect,スノーボール エフェクト,雪だるま式に増える,snowball(雪玉)のeffect(効果)。勢いが増していく現象。,"cumulative growth(キュミュラティブ グロウス): 累積的成長, accelerating increase(アクセラレイティング インクリース): 加速する増加",時間・数量,上級
spill the tea,スピル ザ ティー,ゴシップを話す,tea(お茶、ゴシップ)をspill(こぼす)。噂話をすること。,"gossip(ゴシップ): うわさ話をする, share rumors(シェア ルーマーズ): 噂を共有する",言語基本,上級
steal the spotlight,スティール ザ スポットライト,注目を奪う,spotlight(スポットライト)をsteal(盗む)。注目の的になること。,"attract attention(アトラクト アテンション): 注目を集める, become center of attention(ビカム センター オブ アテンション): 注目の的になる",人・社会,上級
straw that broke the camel's back,ストロー ザット ブローク ザ キャメルズ バック,我慢の限界を超えた最後の一撃,camel's back(ラクダの背中)をbroke(壊した)straw(わら)。限界を超える最後の出来事。,"final trigger(ファイナル トリガー): 最後の引き金, breaking point(ブレイキング ポイント): 限界点",人・社会,上級
strike while the iron is hot,ストライク ホワイル ジ アイアン イズ ホット,好機を逃すな,iron(鉄)がhot(熱い)間にstrike(打て)。チャンスを活かすこと。,"seize opportunity(シーズ オポチュニティ): 機会をつかむ, act quickly(アクト クイックリ): 素早く行動する",時間・数量,上級
swallow one's pride,スワロー ワンズ プライド,プライドを捨てる,pride(プライド)をswallow(飲み込む)。自尊心を抑えて謝ること。,"humble oneself(ハンブル ワンセルフ): 謙虚になる, set aside ego(セット アサイド エゴ): 自我を脇に置く",人・社会,上級
take a rain check,テイク ア レイン チェック,また今度にする,rain check(雨天順延券)をtake(受け取る)。約束を延期すること。,"postpone(ポストポーン): 延期する, decline politely(ディクライン ポライトリ): 丁重に断る",時間・数量,上級
take the bull by the horns,テイク ザ ブル バイ ザ ホーンズ,難題に敢然と立ち向かう,bull(雄牛)をhorns(角)でtake(つかむ)。困難に勇敢に立ち向かうこと。,"face challenge directly(フェイス チャレンジ ダイレクトリ): 挑戦に直接立ち向かう, confront boldly(コンフロント ボールドリ): 大胆に直面する",人・社会,上級
take the wind out of someone's sails,テイク ザ ウィンド アウト オブ サムワンズ セイルズ,出鼻をくじく,誰かのsails(帆)からwind(風)をtake out(取り除く)。勢いを削ぐこと。,"deflate enthusiasm(ディフレイト エンスージアズム): 熱意をしぼませる, discourage(ディスカレッジ): 落胆させる",人・社会,上級
talk turkey,トーク ターキー,本音で話す,turkey(七面鳥)についてtalk(話す)。率直に交渉すること。,"speak frankly(スピーク フランクリ): 率直に話す, negotiate directly(ニゴシエイト ダイレクトリ): 直接交渉する",言語基本,上級
test the waters,テスト ザ ウォーターズ,様子を見る,waters(水)をtest(試す)。状況を確認してから行動すること。,"check situation(チェック シチュエイション): 状況を確認する, try cautiously(トライ コーシャスリ): 慎重に試す",人・社会,上級
the ball is rolling,ザ ボール イズ ローリング,物事が動き出す,ball(ボール)がrolling(転がっている)。計画が進行中であること。,"progress underway(プログレス アンダーウェイ): 進行中, started moving(スターティッド ムービング): 動き始めた",時間・数量,上級
the early bird catches the worm,ジ アーリー バード キャッチーズ ザ ワーム,早起きは三文の得,early(早い)bird(鳥)がworm(虫)をcatches(捕まえる)。早く行動する者が得をする。,"act early gains advantage(アクト アーリー ゲインズ アドバンテージ): 早く行動すれば有利になる, promptness rewarded(プロンプトネス リワーディッド): 迅速さが報われる",時間・数量,上級
the grass is always greener,ザ グラス イズ オールウェイズ グリーナー,隣の芝生は青い,grass(芝生)は常により緑に見える。他人のものがよく見えること。,"others seem better(アザーズ シーム ベター): 他人のものがよく見える, envious perspective(エンビアス パースペクティブ): 羨望の視点",人・社会,上級
the pot calling the kettle black,ザ ポット コーリング ザ ケトル ブラック,目糞鼻糞を笑う,pot(鍋)がkettle(やかん)をblack(黒い)とcalling(呼ぶ)。自分も同じなのに人を批判すること。,"hypocritical criticism(ヒポクリティカル クリティシズム): 偽善的批判, double standard(ダブル スタンダード): 二重基準",人・社会,上級
the straw that broke the camel's back,ザ ストロー ザット ブローク ザ キャメルズ バック,限界を超えた最後の一撃,camel's back(ラクダの背中)をbroke(壊した)straw(わら)。耐えられる限界を超えた出来事。,"last straw(ラスト ストロー): 最後のわら, tipping point(ティッピング ポイント): 転換点",人・社会,上級
there's no smoke without fire,ゼアーズ ノー スモーク ウィザウト ファイア,火のないところに煙は立たぬ,fire(火)なしにsmoke(煙)はない。噂には何らかの根拠があること。,"rumors have basis(ルーマーズ ハブ ベイシス): 噂には根拠がある, underlying truth(アンダーライング トゥルース): 根底にある真実",人・社会,上級
think outside the box,シンク アウトサイド ザ ボックス,既成概念にとらわれない,box(箱)の外でthink(考える)。創造的に発想すること。,"be creative(ビー クリエイティブ): 創造的である, unconventional thinking(アンコンベンショナル シンキング): 型にはまらない思考",学校・学習,上級
through thick and thin,スルー シック アンド シン,良い時も悪い時も,thick(厚い)とthin(薄い)をthrough(通して)。あらゆる状況で。,"in all circumstances(イン オール サーカムスタンシズ): あらゆる状況で, loyally(ロイヤリ): 忠実に",人・社会,上級
time flies,タイム フライズ,光陰矢の如し,time(時間)がflies(飛ぶ)。時間が速く過ぎること。,"time passes quickly(タイム パシズ クイックリ): 時間が速く過ぎる, swift passage(スウィフト パッセージ): 迅速な経過",時間・数量,上級
time is money,タイム イズ マニー,時は金なり,time(時間)はmoney(お金)。時間は貴重な資源であること。,"time valuable(タイム バリュアブル): 時間は貴重, efficiency important(エフィシェンシー インポータント): 効率が重要",時間・数量,上級
tip of the iceberg,ティップ オブ ジ アイスバーグ,氷山の一角,iceberg(氷山)のtip(先端)。問題の一部しか見えていないこと。,"small visible part(スモール ビジブル パート): 見える小さな部分, hidden problem(ヒドゥン プロブレム): 隠れた問題",人・社会,上級
too many cooks spoil the broth,トゥー メニー クックス スポイル ザ ブロス,船頭多くして船山に上る,too many(多すぎる)cooks(コック)がbroth(スープ)をspoil(台無しにする)。指揮者が多すぎると失敗すること。,"too many leaders(トゥー メニー リーダーズ): リーダーが多すぎる, confusion from excess(コンフュージョン フロム エクセス): 過剰による混乱",人・社会,上級
under someone's thumb,アンダー サムワンズ サム,支配下にある,誰かのthumb(親指)の下に。完全に支配されている状態。,"controlled by(コントロールド バイ): 〜に支配されて, dominated(ドミネイティッド): 支配された",人・社会,上級
until the cows come home,アンティル ザ カウズ カム ホーム,いつまでも,cows(牛)がhome(家)にcome(帰って)くるまで。非常に長い時間。,"for a very long time(フォー ア ベリ ロング タイム): とても長い間, indefinitely(インデフィニットリ): 無期限に",時間・数量,上級
variety is the spice of life,バラエティ イズ ザ スパイス オブ ライフ,変化は人生の妙味,variety(多様性)がlife(人生)のspice(香辛料)。変化が人生を豊かにすること。,"diversity enriches(ダイバーシティ エンリッチーズ): 多様性が豊かにする, change is good(チェンジ イズ グッド): 変化は良い",人・社会,上級
waiting for the other shoe to drop,ウェイティング フォー ジ アザー シュー トゥ ドロップ,悪いことが起こるのを待つ,もう一方のshoe(靴)がdrop(落ちる)のをwaiting(待つ)。予想される問題を待つこと。,"anticipating bad news(アンティシペイティング バッド ニューズ): 悪い知らせを予期する, expecting trouble(エクスペクティング トラブル): 問題を予想する",人・社会,上級
turn over a new leaf,ターン オーバー ア ニュー リーフ,心機一転する,new(新しい)leaf(葉)をturn over(めくる)。新たに出発すること。,"start fresh(スタート フレッシュ): 新たに始める, begin anew(ビギン アニュー): 新しく始める",人・社会,上級
wear many hats,ウェア メニー ハッツ,多くの役割を果たす,多くのhats(帽子)をwear(かぶる)。様々な仕事をこなすこと。,"have multiple roles(ハブ マルチプル ローズ): 複数の役割を持つ, multitask(マルチタスク): マルチタスクする",日常生活,上級
