語句,読み,意味,語源等解説,関連語,関連分野,難易度
at the expense of,ア́ット ザ イクスペ́ンス オヴ,〜を犠牲にして,at(〜において)、the expense(費用)、of(〜の)の組み合わせ。何かを失って得るという意味。,"at the cost of(ア́ットザコ́ストオヴ): 〜の代償として, sacrificing(サ́クリファイシング): 犠牲にして",人・社会,中級
in the course of,イン ザ コ́ース オヴ,〜の間に・〜の過程で,in(〜において)、the course(経過)、of(〜の)の組み合わせ。進行中にという意味。,"during(デュ́アリング): 〜の間, in the process of(インザプロ́セスオヴ): 〜の過程で",時間・数量,中級
by virtue of,バ́イ ヴァ́ーチュ オヴ,〜のおかげで・〜の力で,by(〜によって)、virtue(美徳)、of(〜の)の組み合わせ。何かの特性によってという意味。,"owing to(オ́ウイングトゥ): 〜のおかげで, thanks to(サ́ンクストゥ): 〜のおかげで",言語基本,中級
with respect to,ウィズ リスペ́クト トゥ,〜に関して,with(〜と)、respect(関係)、to(〜に)の組み合わせ。特定の話題についてという意味。,"concerning(コンサ́ーニング): 〜について, regarding(リガ́ーディング): 〜に関して",言語基本,中級
in accordance with,イン アコ́ーダンス ウィズ,〜に従って,in(〜において)、accordance(一致)、with(〜と)の組み合わせ。規則や指示に沿うという意味。,"in conformity with(インコンフォ́ーミティウィズ): 〜に適合して, according to(アコ́ーディングトゥ): 〜によれば",言語基本,中級
break out,ブレ́イク ア́ウト,勃発する・脱出する,break(破る)と out(外へ)の組み合わせ。戦争などが始まる、または逃げ出すという意味。,"erupt(イラ́プト): 勃発する, escape(エスケ́イプ): 逃げる",人・社会,中級
break through,ブレ́イク スルー́,突破する・打開する,break(破る)と through(〜を通って)の組み合わせ。障壁を乗り越えるという意味。,"penetrate(ペ́ネトレイト): 貫通する, overcome(オ́ウヴァーカム): 克服する",人・社会,中級
break up,ブレ́イク ア́ップ,別れる・解散する,break(壊す)と up(完全に)の組み合わせ。関係を終わらせる、または組織を解体するという意味。,"separate(セ́パレイト): 別れる, dissolve(ディゾ́ルヴ): 解散する",人・社会,中級
come across,カ́ム アクロ́ス,偶然見つける・出くわす,come(来る)と across(横切って)の組み合わせ。予期せず遭遇するという意味。,"encounter(エンカ́ウンター): 遭遇する, stumble upon(スタ́ンブルアポン): 偶然見つける",日常生活,中級
come down,カ́ム ダ́ウン,下がる・降りてくる,come(来る)と down(下に)の組み合わせ。価格が下落する、または上から降りるという意味。,"decrease(ディクリ́ース): 減少する, descend(ディセ́ンド): 降下する",時間・数量,中級
come off,カ́ム オ́フ,取れる・成功する,come(来る)と off(離れて)の組み合わせ。外れる、または計画が実現するという意味。,"detach(ディタ́ッチ): 取れる, succeed(サクスィ́ード): 成功する",日常生活,中級
draw up,ドロ́ー ア́ップ,作成する・起草する,draw(描く)と up(完成させて)の組み合わせ。文書を準備するという意味。,"draft(ドラ́フト): 草案を作る, compose(コンポ́ウズ): 作成する",学校・学習,中級
fall through,フォ́ール スルー́,失敗する・実現しない,fall(落ちる)と through(〜を通って)の組み合わせ。計画が頓挫するという意味。,"fail(フェ́イル): 失敗する, collapse(コラ́プス): 崩壊する",人・社会,中級
get through,ゲ́ット スルー́,通り抜ける・終える,get(なる)と through(〜を通って)の組み合わせ。困難を乗り越える、または連絡が通じるという意味。,"pass through(パ́ススルー): 通過する, complete(コンプリ́ート): 完了する",学校・学習,中級
hand down,ハ́ンド ダ́ウン,言い渡す・伝える,hand(手渡す)と down(下へ)の組み合わせ。判決を下す、または次世代に伝えるという意味。,"pass down(パ́スダウン): 受け継ぐ, pronounce(プロナ́ウンス): 宣告する",人・社会,中級
hold up,ホ́ウルド ア́ップ,支える・遅らせる,hold(保つ)と up(上に)の組み合わせ。持ち上げる、または進行を妨げるという意味。,"support(サポ́ート): 支える, delay(ディレ́イ): 遅らせる",日常生活,中級
lay off,レ́イ オ́フ,解雇する・一時解雇する,lay(置く)と off(離して)の組み合わせ。従業員を削減するという意味。,"dismiss(ディスミ́ス): 解雇する, terminate(タ́ーミネイト): 解雇する",人・社会,中級
let out,レ́ット ア́ウト,外に出す・漏らす,let(させる)と out(外へ)の組み合わせ。中から外に出す、または秘密を明かすという意味。,"release(リリ́ース): 放つ, reveal(リヴィ́ール): 明かす",日常生活,中級
live up to,リ́ヴ ア́ップ トゥ,〜に応える・期待に沿う,live(生きる)、up(上へ)、to(〜に)の組み合わせ。基準を満たすという意味。,"meet expectations(ミ́ートイクスペクテ́イションズ): 期待に応える, fulfill(フルフィ́ル): 果たす",人・社会,中級
make for,メ́イク フォ́ー,〜に向かう・〜に役立つ,make(作る)と for(〜へ)の組み合わせ。方向に進む、または貢献するという意味。,"head for(ヘ́ッドフォア): 向かう, contribute to(コントリ́ビュートトゥ): 貢献する",場所・移動,中級
pick out,ピ́ック ア́ウト,選び出す・見分ける,pick(選ぶ)と out(外へ)の組み合わせ。多くの中から選ぶという意味。,"select(セレ́クト): 選択する, identify(アイデ́ンティファイ): 識別する",日常生活,中級
pull through,プ́ル スルー́,回復する・切り抜ける,pull(引く)と through(〜を通って)の組み合わせ。困難を乗り越えるという意味。,"survive(サヴァ́イヴ): 生き延びる, recover(リカ́ヴァー): 回復する",人・社会,中級
put forward,プ́ット フォ́ーワード,提案する・提出する,put(置く)と forward(前に)の組み合わせ。意見を提示するという意味。,"propose(プロポ́ウズ): 提案する, suggest(サジェ́スト): 示唆する",学校・学習,中級
rule out,ル́ール ア́ウト,除外する・排除する,rule(支配する)と out(外へ)の組み合わせ。可能性を否定するという意味。,"exclude(イクスクルー́ド): 除外する, eliminate(イリミネイト): 排除する",学校・学習,中級
see off,スィ́ー オ́フ,見送る,see(見る)と off(離れて)の組み合わせ。出発する人を送るという意味。,"bid farewell(ビ́ッドフェアウェ́ル): 別れを告げる, say goodbye(セ́イグッバイ): さようならを言う",人・社会,中級
send off,セ́ンド オ́フ,送り出す・郵送する,send(送る)と off(離して)の組み合わせ。人を出発させる、または物を発送するという意味。,"dispatch(ディスパ́ッチ): 発送する, mail(メ́イル): 郵送する",日常生活,中級
set out,セ́ット ア́ウト,出発する・着手する,set(置く)と out(外へ)の組み合わせ。旅に出る、または始めるという意味。,"depart(ディパ́ート): 出発する, begin(ビギ́ン): 始める",場所・移動,中級
settle for,セ́トゥル フォ́ー,〜で我慢する,settle(定まる)と for(〜で)の組み合わせ。理想ではないが受け入れるという意味。,"accept(アクセ́プト): 受け入れる, make do with(メイクドゥウィズ): 〜で済ませる",人・社会,中級
stand out,スタ́ンド ア́ウト,目立つ・際立つ,stand(立つ)と out(外へ)の組み合わせ。他より優れて見えるという意味。,"be prominent(ビープロ́ミネント): 目立つ, be conspicuous(ビーコンスピ́キュアス): 顕著である",人・社会,中級
take in,テ́イク イ́ン,理解する・だまされる,take(取る)と in(中へ)の組み合わせ。情報を吸収する、または騙されるという意味。,"comprehend(コンプリヘ́ンド): 理解する, deceive(ディスィ́ーヴ): だます",学校・学習,中級
take on,テ́イク オ́ン,引き受ける・雇う,take(取る)と on(上に)の組み合わせ。責任を負う、または新しい人を採用するという意味。,"assume(アスュ́ーム): 引き受ける, employ(エンプロ́イ): 雇用する",人・社会,中級
tell off,テ́ル オ́フ,叱る・𠮟責する,tell(言う)と off(離して)の組み合わせ。厳しく叱るという意味。,"scold(スコ́ウルド): 叱る, reprimand(レ́プリマンド): 叱責する",人・社会,中級
turn down,タ́ーン ダ́ウン,断る・音量を下げる,turn(回す)と down(下に)の組み合わせ。申し出を拒否する、または小さくするという意味。,"refuse(リフュ́ーズ): 断る, reject(リジェ́クト): 拒絶する",人・社会,中級
turn out,タ́ーン ア́ウト,結局〜になる・生産する,turn(回る)と out(外へ)の組み合わせ。最終的な結果になる、または製造するという意味。,"prove to be(プルー́ヴトゥビー): 〜であると分かる, produce(プロデュ́ース): 生産する",時間・数量,中級
turn up,タ́ーン ア́ップ,現れる・音量を上げる,turn(回す)と up(上へ)の組み合わせ。姿を見せる、または大きくするという意味。,"appear(アピ́ア): 現れる, increase volume(インクリ́ーズヴォリュ́ーム): 音量を上げる",日常生活,中級
write off,ラ́イト オ́フ,帳消しにする・見放す,write(書く)と off(離して)の組み合わせ。損失として処理する、または諦めるという意味。,"cancel debt(キャ́ンセルデット): 債務を帳消しにする, dismiss(ディスミス): 見捨てる",人・社会,中級
as far as,ア́ズ ファ́ー ア́ズ,〜する限り・〜まで,as(同じくらい)、far(遠く)、as(〜として)の組み合わせ。範囲や程度を示すという意味。,"to the extent that(トゥザイクステ́ントザット): 〜する範囲で, up to(ア́ップトゥ): 〜まで",言語基本,中級
as well as,ア́ズ ウェ́ル ア́ズ,〜と同様に・〜だけでなく,as(同じくらい)、well(良く)、as(〜として)の組み合わせ。追加や同等を示すという意味。,"in addition to(インアディ́ショントゥ): 〜に加えて, not only(ナ́ットオ́ウンリ): 〜だけでなく",言語基本,中級
at the cost of,ア́ット ザ コ́スト オヴ,〜を犠牲にして,at(〜において)、the cost(代価)、of(〜の)の組み合わせ。何かを失って得るという意味。,"at the expense of(ア́ットザイクスペンスオヴ): 〜を犠牲にして, sacrificing(サクリファイシング): 犠牲にして",人・社会,中級
at the risk of,ア́ット ザ リ́スク オヴ,〜の危険を冒して,at(〜において)、the risk(危険)、of(〜の)の組み合わせ。危険を承知でという意味。,"risking(リ́スキング): 危険を冒して, endangering(エンデ́インジャリング): 危険にさらして",人・社会,中級
for fear of,フォ́ー フィ́ア オヴ,〜を恐れて,for(〜のために)、fear(恐れ)、of(〜の)の組み合わせ。悪い結果を避けるためという意味。,"lest(レ́スト): 〜しないように, to avoid(トゥアヴォ́イド): 避けるために",人・社会,中級
in search of,イン サ́ーチ オヴ,〜を探して,in(〜において)、search(探索)、of(〜の)の組み合わせ。何かを求めてという意味。,"looking for(ル́ッキングフォア): 探している, seeking(スィ́ーキング): 求めている",日常生活,中級
in favor of,イン フェ́イヴァー オヴ,〜に賛成して,in(〜において)、favor(好意)、of(〜の)の組み合わせ。支持するという意味。,"supporting(サポ́ーティング): 支持して, in support of(インサポ́ートオヴ): 〜を支持して",人・社会,中級
in charge of,イン チャ́ージ オヴ,〜を担当して,in(〜において)、charge(責任)、of(〜の)の組み合わせ。管理責任を持つという意味。,"responsible for(リスポ́ンシブルフォア): 〜に責任がある, managing(マ́ニジング): 管理している",人・社会,中級
in need of,イン ニ́ード オヴ,〜を必要として,in(〜において)、need(必要)、of(〜の)の組み合わせ。何かが足りないという意味。,"requiring(リクワ́イアリング): 必要としている, lacking(ラ́ッキング): 欠けている",日常生活,中級
on the verge of,オ́ン ザ ヴァ́ージ オヴ,〜の寸前で,on(〜において)、the verge(縁)、of(〜の)の組み合わせ。まさに起ころうとしているという意味。,"on the brink of(オンザブリンクオヴ): 〜の瀬戸際に, about to(アバ́ウトトゥ): まさに〜しようとしている",時間・数量,中級
on the point of,オ́ン ザ ポ́イント オヴ,まさに〜しようとして,on(〜において)、the point(点)、of(〜の)の組み合わせ。行動の直前という意味。,"about to(アバ́ウトトゥ): 〜しようとしている, on the verge of(オンザヴァージオヴ): 〜の寸前で",時間・数量,中級
with a view to,ウィズ ア ヴュ́ー トゥ,〜する目的で,with(〜と)、a view(見方)、to(〜へ)の組み合わせ。意図を持ってという意味。,"with the intention of(ウィズザインテ́ンションオヴ): 〜する意図で, for the purpose of(フォ́ーザパ́ーパスオヴ): 〜の目的で",人・社会,中級
with regard to,ウィズ リガ́ード トゥ,〜に関して,with(〜と)、regard(関係)、to(〜に)の組み合わせ。特定の話題についてという意味。,"concerning(コンサ́ーニング): 〜について, regarding(リガ́ーディング): 〜に関して",言語基本,中級
with reference to,ウィズ レ́ファレンス トゥ,〜に関連して,with(〜と)、reference(参照)、to(〜に)の組み合わせ。特定の事柄を指してという意味。,"regarding(リガ́ーディング): 〜に関して, concerning(コンサ́ーニング): 〜について",言語基本,中級
in relation to,イン リレ́イション トゥ,〜との関連で,in(〜において)、relation(関係)、to(〜に)の組み合わせ。関連性を示すという意味。,"concerning(コンサ́ーニング): 〜について, with respect to(ウィズリスペクトトゥ): 〜に関して",言語基本,中級
in comparison with,イン コンパ́リソン ウィズ,〜と比較して,in(〜において)、comparison(比較)、with(〜と)の組み合わせ。対照を示すという意味。,"compared with(コンペ́アドウィズ): 〜と比べて, relative to(レ́ラティヴトゥ): 〜に対して",学校・学習,中級
in connection with,イン コネ́クション ウィズ,〜に関連して,in(〜において)、connection(つながり)、with(〜と)の組み合わせ。関係があるという意味。,"in relation to(インリレイショントゥ): 〜との関連で, regarding(リガ́ーディング): 〜について",言語基本,中級
in exchange for,イン イクスチェ́インジ フォ́ー,〜と引き換えに,in(〜において)、exchange(交換)、for(〜のために)の組み合わせ。取引として与えるという意味。,"in return for(インリタ́ーンフォア): 〜の見返りに, as payment for(ア́ズペイメントフォア): 〜の支払いとして",人・社会,中級
for the time being,フォ́ー ザ タ́イム ビ́ーイング,当分の間,for(〜のために)、the time(時間)、being(存在)の組み合わせ。現時点ではという意味。,"temporarily(テンポラ́リリ): 一時的に, for now(フォアナ́ウ): 今のところ",時間・数量,中級
in view of,イン ヴュ́ー オヴ,〜を考慮すると,in(〜において)、view(見方)、of(〜の)の組み合わせ。状況を踏まえてという意味。,"considering(コンスィ́ダリング): 〜を考慮すると, given(ギ́ヴン): 〜を考えると",言語基本,中級
in light of,イン ラ́イト オヴ,〜に照らして,in(〜において)、light(光)、of(〜の)の組み合わせ。情報を基にしてという意味。,"considering(コンスィダリング): 考慮して, in view of(インヴューオヴ): 鑑みて",言語基本,中級
by dint of,バ́イ ディ́ント オヴ,〜の力で・〜によって,by(〜によって)、dint(力)、of(〜の)の組み合わせ。努力や手段によってという意味。,"by means of(バイミーンズオヴ): 〜によって, through(スルー): 〜を通じて",言語基本,中級
on pain of,オ́ン ペ́イン オヴ,〜という罰則を伴って,on(〜において)、pain(苦痛)、of(〜の)の組み合わせ。違反すると罰せられるという意味。,"under penalty of(アンダーペナルティオヴ): 〜の罰則の下で, subject to(サブジェクトトゥ): 〜に従う",人・社会,中級
in lieu of,イン リュ́ー オヴ,〜の代わりに,in(〜において)、lieu(代わり)、of(〜の)の組み合わせ。代替としてという意味。,"instead of(インステッドオヴ): 〜の代わりに, in place of(インプレイスオヴ): 〜に代えて",言語基本,中級
at the mercy of,ア́ット ザ マ́ーシ オヴ,〜のなすがままに,at(〜において)、the mercy(慈悲)、of(〜の)の組み合わせ。支配下にあるという意味。,"at the disposal of(アットザディスポウザルオヴ): 〜の自由になる, subject to(サブジェクトトゥ): 〜に左右される",人・社会,中級
in the face of,イン ザ フェ́イス オヴ,〜に直面して,in(〜において)、the face(顔)、of(〜の)の組み合わせ。困難に向き合ってという意味。,"confronted with(コンフラ́ンティドウィズ): 直面して, facing(フェイシング): 向き合って",人・社会,中級
at the hands of,ア́ット ザ ハ́ンズ オヴ,〜の手によって,at(〜において)、the hands(手)、of(〜の)の組み合わせ。誰かの行為によってという意味。,"by(バイ): 〜によって, through the agency of(スルーザエイジェンシオヴ): 〜の仲介で",人・社会,中級
in the absence of,イン ザ ア́ブセンス オヴ,〜がないので,in(〜において)、the absence(不在)、of(〜の)の組み合わせ。存在しないためという意味。,"without(ウィザ́ウト): 〜なしで, lacking(ラッキング): 欠けている",言語基本,中級
in the presence of,イン ザ プレ́ゼンス オヴ,〜の面前で,in(〜において)、the presence(存在)、of(〜の)の組み合わせ。見ている前でという意味。,"before(ビフォー): 〜の前で, in front of(インフロントオヴ): 〜の前に",人・社会,中級
on the strength of,オ́ン ザ ストレ́ングス オヴ,〜を根拠に,on(〜において)、the strength(強さ)、of(〜の)の組み合わせ。何かを基にしてという意味。,"based on(ベイストオン): 〜に基づいて, on the basis of(オンザベイシスオヴ): 〜を基に",学校・学習,中級
at the sight of,ア́ット ザ サ́イト オヴ,〜を見て,at(〜において)、the sight(光景)、of(〜の)の組み合わせ。目にした瞬間にという意味。,"upon seeing(アポンスィーイング): 見ると, when seeing(ウェンスィーイング): 見たとき",人・社会,中級
for the purpose of,フォ́ー ザ パ́ーパス オヴ,〜の目的で,for(〜のために)、the purpose(目的)、of(〜の)の組み合わせ。意図を示すという意味。,"in order to(インオーダートゥ): 〜するために, with the aim of(ウィズザエイムオヴ): 〜を目指して",人・社会,中級
on the occasion of,オ́ン ザ オケ́イジョン オヴ,〜の際に,on(〜において)、the occasion(機会)、of(〜の)の組み合わせ。特定の出来事のときという意味。,"at the time of(アットザタイムオヴ): 〜のときに, during(デュアリング): 〜の間",時間・数量,中級
under the circumstances,ア́ンダー ザ サ́ーカムスタンシズ,その状況では,under(〜の下で)、the circumstances(状況)の組み合わせ。事情を考えるとという意味。,"given the situation(ギヴンザシチュエイション): 状況を考えると, in this case(インディスケイス): この場合",人・社会,中級
at a loss,ア́ット ア ロ́ス,途方に暮れて・損して,at(〜において)、a loss(損失)の組み合わせ。困惑している、または赤字でという意味。,"perplexed(パープレクスト): 当惑して, at a disadvantage(アットアディスアドヴァンティジ): 不利な立場で",人・社会,中級
at length,ア́ット レ́ングス,詳しく・ついに,at(〜において)と length(長さ)の組み合わせ。長々と、または最終的にという意味。,"in detail(インディテイル): 詳細に, finally(ファイナリ): ついに",言語基本,中級
at random,ア́ット ラ́ンダム,無作為に・でたらめに,at(〜において)と random(無作為)の組み合わせ。規則性なくという意味。,"randomly(ランダムリ): ランダムに, haphazardly(ハプハザードリ): 行き当たりばったりに",学校・学習,中級
at stake,ア́ット ステ́イク,危機に瀕して,at(〜において)と stake(杭)の組み合わせ。重要なものが懸かっているという意味。,"at risk(アットリスク): 危険にさらされて, in jeopardy(インジェパディ): 危機に瀕して",人・社会,中級
by all means,バ́イ オ́ール ミ́ーンズ,ぜひとも・必ず,by(〜によって)、all(全ての)、means(手段)の組み合わせ。どんな方法を使ってもという意味。,"certainly(サ́ートゥンリ): 確かに, definitely(デ́フィニトリ): 絶対に",言語基本,中級
by no means,バ́イ ノ́ウ ミ́ーンズ,決して〜ない,by(〜によって)、no(ない)、means(手段)の組み合わせ。全く不可能だという意味。,"not at all(ナ́ットア́ットオ́ール): 全く〜ない, in no way(インノ́ウウェイ): 決して〜ない",言語基本,中級
in the long run,イン ザ ロ́ング ラ́ン,長期的には,in(〜において)、the long run(長い走り)の組み合わせ。最終的にはという意味。,"eventually(イヴェ́ンチュアリ): 結局, in the end(インザエ́ンド): 最後には",時間・数量,中級
in the short run,イン ザ ショ́ート ラ́ン,短期的には,in(〜において)、the short run(短い走り)の組み合わせ。当面はという意味。,"for now(フォアナ́ウ): 今のところ, temporarily(テンポラリリ): 一時的に",時間・数量,中級
on second thoughts,オ́ン セ́カンド ソ́ーツ,考え直して,on(〜において)、second thoughts(二度目の考え)の組み合わせ。再考した結果という意味。,"after reconsideration(ア́フターリコンシダレ́イション): 再考の後, having thought again(ハ́ヴィングソートアゲイン): 考え直して",人・社会,中級
for good,フォ́ー グ́ッド,永久に・二度と〜ない,for(〜のために)と good(良い)の組み合わせ。永遠にという意味。,"permanently(パーマネントリ): 永久に, forever(フォエ́ヴァー): 永遠に",時間・数量,中級
for short,フォ́ー ショ́ート,略して,for(〜のために)と short(短い)の組み合わせ。省略形としてという意味。,"as an abbreviation(ア́ズアンアブリヴィエ́イション): 略語として, in brief(インブリ́ーフ): 簡単に",言語基本,中級
in vain,イン ヴェ́イン,無駄に・徒労に終わって,in(〜において)と vain(無益)の組み合わせ。成果がないという意味。,"uselessly(ユ́ースレスリ): 無益に, without success(ウィザウトサクセス): 成功せずに",人・社会,中級
off duty,オ́フ デュ́ーティ,非番で・勤務時間外で,off(離れて)と duty(義務)の組み合わせ。仕事から解放されているという意味。,"not working(ナ́ットワ́ーキング): 勤務していない, on break(オンブレイク): 休憩中",人・社会,中級
on the spot,オ́ン ザ スポ́ット,その場で・即座に,on(〜において)とthe spot(その場所)の組み合わせ。即座に対応するという意味。,"immediately(イミ́ーディエトリ): すぐに, right away(ラ́イトアウェ́イ): すぐに",時間・数量,中級
